id|name|desc|category|thumbnail
0464CA03-88374946-83E00C25-122881D1|No Mans Land, Museum Expansion Map.|This map pack allows you to fight on the No Mans Land Museum Map.|Scene-Expansion|L
05959018-4BC040BC-AD0B4D02-CC3BBF9D|Blueprint Home - Cruise Ship Environment|Build your home on the deck of a gigantic cruise ship. Note - You will need to own Blueprint Home to access this content once it has been purchased.|Scene-Expansion|L
06C8437A-1E53412A-A6ACABC0-48695707|Diamond Beach Infinity Pool|Add a private pool and strech of beach to your Modern Beach Mansion complete with rockwaterfall and cabanas. Go swimming in the pool with custom swim animations, lounge in the sun or wade into the ocean and enjoy the scenery. Did we mention the awesome rock waterfall?. Bring your friends over to swim and gift them with exclusive freebies Golden Bikini, Golden Swim Trunks, Golden Beach Blanket, Golden Umbrella and Golden Ice Chest.|Scene-Expansion|L
072F62A3-86CE44BC-9B85BDE6-0BD646A3|Lock-a-doodle Doodle Pack - Jewel of the Skies|Each Doodle Pack contains new colors, stickers, words and shapes. Please note Doodle Packs can only be used in conjunction with the Lock-a-doodle mini-game or Active Object, or Lock-a-doodle Gift Edition.|Scene-Expansion|L
082F422B-2B4E4BAD-8094E7B9-DFBBCF7A|Blueprint Home - Classroom Office Style Pack|This fantastic pack has everything you need to create your perfect classroom office. Purchasing this style pack will unlock the following items for use in your Blueprint Home. * 7 x Classroom Office Wall Textures * 7 x Classroom Office Corner Pieces * 7 x Classroom Office Windows * 3 x Classroom Office Floor Textures * 3 x Classroom Office Ceiling Textures * 2 x Classroom Office Wall Styles * 1 x Classroom Office Pillar * 1 x Outer Classroom Office Wall * 1 x Outer Classroom Office Window * 1 x Outer Classroom Office Pillar * 1 x Outer Classroom Office Corner * Feature - Classroom Office Desk * Feature - Classroom Office Computer * Feature - Classroom Office Whiteboard All of the above items will become available in Blueprint Home once this pack has been purchased. You will need to own Blueprint Home to access these items.|Scene-Expansion|L
0A849C95-68D2468B-969A50F7-D4798327|Blueprint Home - Nightclub Style Pack|Have you ever wanted to create your own nightclub? Well now you can with this amazing Blueprint Home style pack. This pack comes with the following items * 2 x Nightclub Wall Styles with 5 x Textures Each * 3 x Nightclub Floor Textures * 3 x Nightclub Ceiling Textures * 3 x Nightclub Pillars * 1 x Nightclub Outer Style * Feature - Nightclub Lights * Feature - Nightclub Atmosphere All of the above items will become available in Blueprint Home once this pack has been purchased. You will need to own Blueprint Home to access these items.|Scene-Expansion|L
107E5858-4DD348B2-BD0C5BD1-10230902|The Complex Silo|Purchasing this item will unlock the Silo area within The Complex Apartment.|Scene-Expansion|L
11B1D26A-73CC4E69-8422BEDF-DFB0C45A|Lock-a-doodle Doodle Pack - Spring Time|Each Doodle Pack contains new colors, stickers, words and shapes. Please note Doodle Packs can only be used in conjunction with the Lock-a-doodle mini-game or Active Object, or Lock-a-doodle Gift Edition.|Scene-Expansion|L
1774454A-BC524698-A3C44BF0-1AE58BFC|The Complex Bio Dome|Purchasing this item will unlock the Bio Dome area within The Complex Apartment.|Scene-Expansion|L
1B2F04E5-4583472A-A47B6CFC-523B71CB|The Complex 2 Garden|Purchasing this item will unlock the Garden area within The Complex 2.|Scene-Expansion|L
