id|name|desc|category|thumbnail
00000000-00000000-00000000-00000016|Generic Game Launching Object|Generic Game Launching Object|System-GameLaunching|L
00000000-00000000-00000000-00000019|Warhawk Game Launching Object|Warhawk Game Launching Object|System-GameLaunching|P
0AC0ECC9-443F478A-A0F4631B-41F74E8F|SUPER STREET FIGHTER IV LAUNCH OBJECT|Launch Object for Super Street Fighter IV|System-GameLaunching|S
0F7F44F1-947D4E1C-B0FE438B-65D53235|LBP Game Launching Object|LBP Game Launching Object|System-GameLaunching|L
2A265632-3A824462-953AD20C-91B516D9|Xylo Launcher|Object Description|System-GameLaunching|L
31F21226-4F0C4F5E-A8A14CEE-857B4571|Go On A Spelunking|Cave Expedition Together. A Variety Of Stages Await You, Including Glaciers, Volcanoes, And Pyramids Spread Out Beneath The Earths Surface. The Game Is Also Packed With Elements That Everyone Can Enjoy, Such As Multiplayer Play With Other Spelunkers From Around The Country And Online Ranking That Reflects Your Adventure Record.|System-GameLaunching|S
34D2F494-B6214D8B-AE947ACB-5E2E9401|SPELUNKER HD|Venture into a cave full of hazardous environments, from volcanoes to glaciers to pyramids. Play online with spelunkers from around the world and compete with them in online rankings.|System-GameLaunching|S
38A030C6-60154787-B1ED7D88-C9C55A8F|STREET FIGHTER Game Launching Object||System-GameLaunching|S
4F5B2DD5-A33B42C2-8C5B7177-A7014F2E|Catan|Catan|System-GameLaunching|L
61EAEDEE-E95C4F85-9C318099-A65699FD|Resident Evil 5 Launcher|Resident Evil 5 Launcher|System-GameLaunching|L
A9861EC8-B603475B-983754D5-40887D38|CRASH COMMANDO GAME LAUNCHER|THIS OBJECT LAUNCHES CRASH COMMANDO|System-GameLaunching|P
C1D40F2C-11C3431A-859E4ABD-445B1DC2|Game Launching Object For Ad Hoc Parties|Game Launching Object For Ad Hoc Parties Entertainment|System-GameLaunching|L
D7781367-BA6144CD-AAE4426B-EF20D3F6|R2 Launcher|R2 Launcher|System-GameLaunching|L
E9B9BFFF-079847B5-9E0DE032-524A8A2A|MotorStorm Pacific Rift|MotorStorm Pacific Rift|System-GameLaunching|S
F42E46AE-8A5B4033-8C8A6CBB-116BFE17|WWE SmackDown vs. RAW 2011|Activate WWE SmackDown vs. RAW 2011|System-GameLaunching|L
F4C4D44F-9EB54AC8-A7D7DC58-85CCE284|LOST PLANET 2 Game Launching Object|LOST PLANET 2 Game Launching Object.|System-GameLaunching|L
F567C842-255A4088-8BB672DD-5E7B18E9|Minna de SPELUNKER|Lets Go Spelunking. A Variety Of Stages Including Glaciers, Volcanoes, And Pyramids Sprawling Underground Await You. There Are Also Plenty Of Contents For Everyone To Enjoy, Such As A Multi Play Mode For Playing With Other Spelunkers Around The Territory, An Online Ranking In Which Your Exploration Records Decide Your Rank, And More.|System-GameLaunching|L
