id|name|desc|category|thumbnail
029E8AC4-00024C73-AA15228B-C51B1AB3|SOCOM Tactical Operations Center|Meet at the Tactical Operations Center to scheme, plan, and get your team readied for battle.|System-Worldmap|S
0367F55E-55BD41EC-B3AB9DEA-DD082B22|SOCOM Tactical Operations Center|Meet at the Tactical Operations Center to scheme, plan, and get your team readied for battle.|System-Worldmap|S
037CB0CC-49F84E1F-B5B4FA54-0EC31C9B|Gathering Place for Spelunkers|The entrance to the Spelunkers Gathering Place deep inside the Earth. Its filled with Spelunkers exchanging information about the depths of the Earth and searching for exploring partners.|System-Worldmap|S
03EDB0D6-31E64A64-9DBB6134-57B91231|The Nether Institute, Evil Academy|The Nether Institute, Evil Academy in DISGAEA 3 came to here as a lounge.|System-Worldmap|S
05D56819-5ACD4932-9658BC3F-43D4DC08|Carrot NBGI|This Is Namco Bandai Games Amusement Space. Popular Characters And Game Machines Are On Exhibit Here.|System-Worldmap|S
0A42BBB8-5C6F4307-96C3D720-6489932A|MotorStorm Carrier|A decommissioned aircraft Carrier, bought by a wealthy, anonymous rock star and donated to MotorStorm. It is an integral part of the festival, providing a means of escape, an amazing party venue and a home, all rolled into one. The Stormers love the Carrier. The Carrier is MotorStorm .|System-Worldmap|S
0BDA051D-B1664E4C-AAC5467E-E493536B|Resistance Station|A last bastion of hope for Nathan Hale and the Sentinels where youll need to fend off the Chimerian aerial forces with your trusty Quad Barrel, quick repeating, AA ball-turret gun.|System-Worldmap|S
0C2A6976-E7814A86-8C3346F1-39957CB5|FevaArena Entrance|Sony, An Official FIFA Partner, Is A New Communication Zone For The 2010 FIFA World Cup, Football Stadium, A New Communication Zone For The 2010 FIFA World Cup.|System-Worldmap|S
0CC4E017-11474438-ACADBFD8-B60E24A9|Burn Zombie Burn|Welcome to the Burn Zombie Burn graveyard laugh at our zombies, watch our trailer.|System-Worldmap|S
0CD0C26E-52044222-BC23D57F-2FCA4141|Maos Room|Maos Room In Disgaea 3 Appears As A Lounge.|System-Worldmap|S
10C9DA4A-B961422E-A7C1944A-D2DDDFF2|Hot Shots Golf Lounge|This is a lounge specially made for fans of Everybodys Golf and Hot Shots Golf. In this cheerful space, you can exchange information, chat about the game and have a good time. Come and visit us today.|System-Worldmap|S
13A607AC-B3664AB4-9474B380-492AD869|Tekken 6 Mishima Building Entertainment Floor|This Lounge Is For Tekken 6 Fans. You Can Enjoy The World Of Tekken 6 More Deeply With Various Exhibits.|System-Worldmap|S
1512F97E-714C4CA5-B453314F-AFEAE3AD|Audi Home Terminal|Discover the Audi Home Terminal. Learn more about Audi and selected cars or travel to the Audi Vertical Run game with the chance to win an Audi apartment.|System-Worldmap|S
151AEE17-1FD74153-A0682078-E7E8A330|Magical Evil Academy|The Magical Evil Academy From Magical Warfare Disgaea 3 Appears As A Lounge.|System-Worldmap|S
164F32D6-0B914831-BA3AC659-070E0175|Seaside of Memories|Welcome to the seaside of tropical angels blue seas, white sandy beaches and brilliant sunshine. Here you will find a place that reunites you with those fond summer memories. Colorful swimsuits are for sale.|System-Worldmap|S
1B42C85E-E03A4ED9-BCB87BC2-7B3F4E99|Red Bull Illume |Red Bull Illume. Picture this The best action and adventure sports photography, as never seen before. Celebrated, honored, and exhibited in a breathtaking outdoor venue.|System-Worldmap|S
1B9CFD14-F8534594-860CA288-8E70FA71|MALL|Looking for something new? Check out the latest items available for purchase in the Mall.|System-Worldmap|S
1D904759-30A94369-98950074-E6D4469E|Gintama Jinjo Shotengai|This Is A Shopping Street Where People Live Full Of Humanity. The Sound Of Music From The Radio On The Street Corner Is Comforting. However, Once You Step Into The Parlor Pachipara, You Will Find That The Game Players Are Fighting Hotly Day And Night....|System-Worldmap|S
1E87E388-C9CB4CA0-8F27DEC1-F7D02280|MuiMui Ship|This great passenger ship built by the MuiMui is presently moored at LocoIsland. Use the binoculars to check LocoIsland, and play LocoReverse with friends on the deck while enjoying the wonderful view. A surprise awaits those who communicate with LocoRoco characters.|System-Worldmap|S
20093ACE-C1444471-8BEA2323-16EFB272|Namco Arcade Center|Come in, relax, chat with fellow Namco fans and play some classic arcade games. Explore the arcade center and find Namco themed items to personalize your avatar.|System-Worldmap|S
20F7D7AC-D9334CD0-BE8A14A3-84924958|Uncharted Sullys Bar|A social gathering spot from the early 20th Century that has somehow weathered decades of storms and conflict. Sullys is a rustic lounge and watering hole set deep in the tropics.|System-Worldmap|S
219C5724-70564BE7-8D932520-712ED974|S.I.N.s Secret Base from Street Fighter IV|Watch your step. Its S.I.N.s Secret Laboratory. Don your fighting gear from Street Fighter IV and unlock your hidden power...|System-Worldmap|S
23491991-F6084E24-B5ABE089-3C45C66D|Red Bull Air Race|The Red Bull Air Race World Series is a motor sport requiring speed, precision and skill. Experience the thrill at Red Bull Home.|System-Worldmap|S
25F71C3A-70A9453D-824B0FC7-F76C5372|Presentation Podium|Equipped with a jumbo screen and an attractive lounge area. The beating heart of the PlayStation Events Space.|System-Worldmap|S
2B6CD4E7-D5284AA0-88773CCE-B4D281D8|S.I.N.s Secret Base from Street Fighter IV|Watch your step. Its S.I.N.s Secret Laboratory. Don your fighting gear from Street Fighter IV and unlock your hidden power...|System-Worldmap|S
2CFEE1BB-D4144F72-B07C09B5-8D5DD698|The Godfather II|Welcome to The Godfather II, Casino Havana poker room. Enjoy a game of No Limit Texas Holdem Poker and be sure to check out our promotional video and concept art.|System-Worldmap|S
2D1DEED6-11424045-BEDC7C17-F1F0CE84|RESIDENT EVIL 5 Studio Lot|Sightseeing spot where a portion of RESIDENT EVIL 5 was filmed. Enjoy going behind the scenes of RESIDENT EVIL 5 and having a look at the tools and devices used on location.|System-Worldmap|S
2F878A12-2EB241C2-B8149642-1E4A0230|EA SPORTS Golf Complex|Information About The EA Sports Titles Now Available to Be Released. You Can Play Golf Mini-games.|System-Worldmap|S
360F4406-5FD74C96-9ABD06D9-3682E951|Sodium Hub|Sodium has arrived in your reality. Welcome to the entertainment hub of the future an ever-evolving world built around creativity and excitement. Showcasing mini games, popular social activities, and addictive meta-gaming with community objectives there s something for everyone.|System-Worldmap|S
39B16F84-92A24140-93EAF91D-475E56EF|Red Bull Beach|Red Bull Flugtag challenges teams of everyday people to build homemade, human-powered flying machines and pilot them off a 30-foot high deck in hopes of achieving flight.|System-Worldmap|S
48867A3E-80234854-9759EC44-6A55458D|A Place Where Cavers Gather|A Gateway To The Underground Where Spelunkers (cavers) Gather. It Is Crowded With Spelunkers Who Exchange Information About The Underground And Recruit Fellow Explorers.|System-Worldmap|L
547CD656-DCB8405F-8440CAB0-F3446A40|EA SPORTS Racing Complex - Poker I|Get information on upcoming and existing EA SPORTS titles, and play on the green beginner Texas Holdem game.|System-Worldmap|L
5E5495B2-0B6F4107-B7320394-B1645FFF|Red Bull Illume|Red Bull Illume. Picture this The best action and adventure sports photography, as never seen before. Celebrated, honored, and exhibited in a breathtaking outdoor venue.|System-Worldmap|L
65463754-2EFA479E-BF87A3E9-3BEEF674|TEKKEN 6 Mishima Zaibatsu - Recreation Floor|A lounge created especially for TEKKEN 6 fans. Enjoy the world of Tekken like never before.|System-Worldmap|L
6DFA99AD-787E4694-89F75EFD-C91BC3C7|Muimui Cruise Ship|Muimui Built This Luxury Cruise Ship. It Is Now Anchored In The Sea Near Loco Island. You Can See Loco Island Through Binoculars And Enjoy A Game Of Reversi With Your Friends On The Deck With A Great View. You Can See LocoRoco Through The Binoculars And Enjoy A Game Of Reversi With Your Friends On The Deck.|System-Worldmap|L
7463CF62-6FF44058-97C9B9B7-EEFF933D|Xi Alumni Hub|Explore the world of Xi, and find out more about the first ever console-based Alternate Reality Game.|System-Worldmap|S
77F4BA90-17734078-98EFCFED-0A3CDAEB|EA SPORTS Club Fight Night|Information About EA Sports Titles Now Available to Be Released. You Can Play With Club DJ Mini-games.|System-Worldmap|L
