id|name|desc|category|thumbnail
00000000-00000000-00000000-00000001|Scene|The virtual scene object for scripted resources|System-Core|P
00000000-00000000-00000000-00000016|Generic Game Launching Object|Generic Game Launching Object|System-GameLaunching|L
00000000-00000000-00000000-00000019|Warhawk Game Launching Object|Warhawk Game Launching Object|System-GameLaunching|P
00000000-00000000-00000000-00090000|00000000-00000000-00000000-00090000||System-Default|P
00000000-00000000-00000000-01090000|00000000-00000000-00000000-01090000||System-Default|P
00000000-00000000-00000010-00000000|Male Rig|The rig object for male characters|System-Core|L
00000000-00000000-00000010-00000001|Female Rig|The rig used for female characters|System-Core|L
00000000-00000000-00000010-00000002|Fallback Rig|The rig object for male characters|System-Core|P
00000000-00000000-000000A0-00000001|Master All-In-One|A plethora of custom features for a more tailored experience within Playstation Home Online.|System-Core|L
00000000-00000000-000000A0-00000002|Master All-In-One|A plethora of custom features for a more tailored experience within Playstation Home Online.|System-Core|L
00000000-00000000-000000A0-00000003|MAIO DEBUG|A plethora of custom features for a more tailored experience within Playstation Home Online.|System-Core|L
001CF12F-928C476C-B3DBC7B0-7A9233BA|whale_fire_pack||System-ResourcePack|L
029E8AC4-00024C73-AA15228B-C51B1AB3|SOCOM Tactical Operations Center|Meet at the Tactical Operations Center to scheme, plan, and get your team readied for battle.|System-Worldmap|S
033A859F-0A854A8F-BF1FF933-47CB29DF|Challenge Resource Pack|Challenge Resource Pack|System-ResourcePack|L
0367F55E-55BD41EC-B3AB9DEA-DD082B22|SOCOM Tactical Operations Center|Meet at the Tactical Operations Center to scheme, plan, and get your team readied for battle.|System-Worldmap|S
037CB0CC-49F84E1F-B5B4FA54-0EC31C9B|Gathering Place for Spelunkers|The entrance to the Spelunkers Gathering Place deep inside the Earth. Its filled with Spelunkers exchanging information about the depths of the Earth and searching for exploring partners.|System-Worldmap|S
03AB8FF5-E10543F0-82655817-8D80BA45|Killer Plants from Outer Space Level 4|Killer Plants from Outer Space Level 4|System-ResourcePack|L
03EDB0D6-31E64A64-9DBB6134-57B91231|The Nether Institute, Evil Academy|The Nether Institute, Evil Academy in DISGAEA 3 came to here as a lounge.|System-Worldmap|S
04A9AA79-5FBC48FB-BA29DE4B-9934AAE1|Candy Floss Concession Asia|Candy Floss Resource Pack|System-ResourcePack|P
05D56819-5ACD4932-9658BC3F-43D4DC08|Carrot NBGI|This Is Namco Bandai Games Amusement Space. Popular Characters And Game Machines Are On Exhibit Here.|System-Worldmap|S
065C0B44-A35C4172-9D201EFB-96976091|MerciaResourcePack_Sounds|Mercia Resource Pack Fractures Planes Dungeon 1 Old Temple|System-ResourcePack|L
072BD7A1-6F4F48CE-AB063ABE-48569622|FX Listener|FX Listener|System-ResourcePack|L
0735F3ED-9A3146A7-BF4CFE25-F3E5C2D3|Mandragora Aqua Pack||System-ResourcePack|P
09346878-245D4394-B4A37850-BC88959C|PS4 Episode2 Museum|Quest for Greatness|System-ResourcePack|L
09373535-37D74F00-8EA2F2DC-4EF893B6|wooperlooper_aqua_pack||System-ResourcePack|P
0A35A9EB-516B4B2D-8746B75F-A5DBE42E|Xi Continuum Management|Management program for the entire space|System-ResourcePack|L
0A42BBB8-5C6F4307-96C3D720-6489932A|MotorStorm Carrier|A decommissioned aircraft Carrier, bought by a wealthy, anonymous rock star and donated to MotorStorm. It is an integral part of the festival, providing a means of escape, an amazing party venue and a home, all rolled into one. The Stormers love the Carrier. The Carrier is MotorStorm .|System-Worldmap|S
0AB86EBF-255F4EF1-8EC724DF-F6B09E06|Restaurant Resource Pack|Restaurant Resource Pack|System-ResourcePack|P
0AC0ECC9-443F478A-A0F4631B-41F74E8F|SUPER STREET FIGHTER IV LAUNCH OBJECT|Launch Object for Super Street Fighter IV|System-GameLaunching|S
0AD555D3-78614E29-B688BBEB-EE321A75|zaurus_plant_pack||System-ResourcePack|L
0BDA051D-B1664E4C-AAC5467E-E493536B|Resistance Station|A last bastion of hope for Nathan Hale and the Sentinels where youll need to fend off the Chimerian aerial forces with your trusty Quad Barrel, quick repeating, AA ball-turret gun.|System-Worldmap|S
0C2A6976-E7814A86-8C3346F1-39957CB5|FevaArena Entrance|Sony, An Official FIFA Partner, Is A New Communication Zone For The 2010 FIFA World Cup, Football Stadium, A New Communication Zone For The 2010 FIFA World Cup.|System-Worldmap|S
0CC4E017-11474438-ACADBFD8-B60E24A9|Burn Zombie Burn|Welcome to the Burn Zombie Burn graveyard laugh at our zombies, watch our trailer.|System-Worldmap|S
0CD0C26E-52044222-BC23D57F-2FCA4141|Maos Room|Maos Room In Disgaea 3 Appears As A Lounge.|System-Worldmap|S
0E65110A-FF02495F-BFD4F36F-73E46E33|AMP Resource Pack - Dogs Asia|This contains all the resources needed for Acorn Meadows Park Dog Park.|System-ResourcePack|P
0F1A88B4-9C9D4591-B5DA1E5F-35F31813|Portable Item Resource Pack|Resources for the Portable Item|System-ResourcePack|L
0F7F44F1-947D4E1C-B0FE438B-65D53235|LBP Game Launching Object|LBP Game Launching Object|System-GameLaunching|L
0F864134-417C4686-8436380C-6768A6CC|AMP Resource Pack - Bikes Asia|This contains all the resources needed for Acorn Meadows Park Bikes.|System-ResourcePack|P
0FBF7AEA-965F4326-86937073-D8B46A59|Everyones Picture Glittering Sands Beach|Lets Take It Together. On The Beach|System-ResourcePack|P
10496780-5A1F448D-B6840F87-6F70CF0F|Fishing|Which Is A Test Of A Fishing Game|System-ResourcePack|L
10C9DA4A-B961422E-A7C1944A-D2DDDFF2|Hot Shots Golf Lounge|This is a lounge specially made for fans of Everybodys Golf and Hot Shots Golf. In this cheerful space, you can exchange information, chat about the game and have a good time. Come and visit us today.|System-Worldmap|S
11A65FDC-2E314963-BC36CC6A-E7CCE7E8|Link to Pottermore|Link to Pottermore description.|System-ResourcePack|L
124D0DCD-90C1499A-9A6C0717-F704ECB8|yasya_fire_pack||System-ResourcePack|P
13A607AC-B3664AB4-9474B380-492AD869|Tekken 6 Mishima Building Entertainment Floor|This Lounge Is For Tekken 6 Fans. You Can Enjoy The World Of Tekken 6 More Deeply With Various Exhibits.|System-Worldmap|S
13D9B855-6336462F-A430F52A-D3821FE2|Pack_Catch21|Fire Mouse Male Package|System-ResourcePack|L
14BD49AA-80D04745-A74B1DAE-7E054F38|INTELLIVISION SHARK. SHARK. GAME CARTRIDGE|Its arcade excitment with the INTELLIVISION Shark. Shark. Home INTELLIVISION game cartridge- in this updated version of the classic game created especially for PlayStation Home. Big fish eat little fish in this fun and challenging under-sea adventure. Watch out for the shark, lobsters and poisonous jelly-fish. Earn the following three exclusive Shark. Shark. Home-themed rewards during gameplay an animating t-shirt, glitzy game poster, and gold-plated trophy. The Intellivision Home game cartridges are tuned to casual difficulty. Requires the INTELLIVISION GAME CONSOLE AND PLASMA TV or INTELLIVISION INTV SYSTEM III GAME CONSOLE AND PLASMA TV to play.|System-ResourcePack|P
1512F97E-714C4CA5-B453314F-AFEAE3AD|Audi Home Terminal|Discover the Audi Home Terminal. Learn more about Audi and selected cars or travel to the Audi Vertical Run game with the chance to win an Audi apartment.|System-Worldmap|S
151AEE17-1FD74153-A0682078-E7E8A330|Magical Evil Academy|The Magical Evil Academy From Magical Warfare Disgaea 3 Appears As A Lounge.|System-Worldmap|S
15CFB384-ADF84D33-A0C6E862-E3F2B2ED|AMP Resource Pack - Concession - Ice Cream|This contains all the resources needed for the Ice Cream stand.|System-ResourcePack|L
164F32D6-0B914831-BA3AC659-070E0175|Seaside of Memories|Welcome to the seaside of tropical angels blue seas, white sandy beaches and brilliant sunshine. Here you will find a place that reunites you with those fond summer memories. Colorful swimsuits are for sale.|System-Worldmap|S
