id|name|desc|category|thumbnail
004CDEFD-EDC5445B-822BE4E1-D9365293|Present|Present|Unknown|L
0126AD78-4AF44A91-BF41DA82-C7A9459E|Manya Resource Pack|Manya Resource Pack|Unknown|P
0263DCAB-B1F64240-9A6D6EAB-B58FCB43|Black Irem Brigade Entrance Examination|Black Irem Brigade Entrance Examination|Unknown|S
03A942B5-708E4E96-8003205B-3269F04F|Peek At Maos Diary.|Peek At Maos Diary.|Unknown|S
04A57D2F-54CB45F4-9C660C2B-8B592591|H-O-R-S-E Basketball Game|The street basketball game H-O-R-S-E.|Unknown|L
05A7965F-2A214028-8F28FE23-675FAD69|Mercian Stone Slot (Taloc)|Equip an extra Stone in your Mercia Fractured Realms inventory.|Unknown|L
06A2D1C0-B4864C14-8094B5DD-0489DA36|News Flash(Kikai Machine)|News Flash (Battle Lounge)|Unknown|P
079D76BD-CB484098-A9F92D69-51072C44|Lost Planet 2 Trial Version Distribution Corner|Lost Planet 2 Trial Version Distribution Corner|Unknown|P
07FB166B-2AB19A51-950C2A25-C51FCD70|Subway To Playground|Fastest way to get from here to the Playground.|Unknown|P
0886A1CB-EFA5496C-823B2281-7B9B42A4|Ritual of Unbinding|You completed the Ritual of Unbinding in Cutteridge Estate.|Unknown|L
10614E5D-C3B74905-AE594B34-0DFD1B81|mintoro resourcepack|Lets take a picture together.Sandy Beach Resource Pack|Unknown|P
11B04175-4EDD4AF9-BA746E8E-7B8BE5AD|Little Choreographer|Little Choreographer|Unknown|L
139CF2EA-0CFA453C-89CBBCEA-45CC6C80|Little Wrapper|Little Wrapper|Unknown|L
14FCBC31-A9D5466A-B33F9725-460A204D|Neighborhood Association President|Neighborhood Association President|Unknown|P
1577BBB6-58334052-A8E32A7D-B8CDFE55|LMO - Leisure sheet (horizontal stripes)|This sheet is laid on the ground, essential for excursions.When used, the avatar will sit on the sheet when stopped. You can choose from four different ways to sit in the menu opened by pressing R1. Movement speed *LMO (locomotion) is a portable item.|Unknown|S
