folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0281F296-EF57449C-8981A019-5DBD155C|Hip Hop moves bundle|This bundle contains Hip Hop moves volume 1 (the Chicken Soup, the Phat Daddy, the Soldier Boy, Cooking, and the Sponge Mob) and volume 2 (the Reject, the Jerk, the Doggie, Fresh Hair and the Wobbly Leg). All moves are for both male and female avatars. Each animation pack also contains a randomizer, chaining the moves one after the other, for a more varied effect.|Bundle-Animation|Atom Republic|1.80.0.53.PUB|P||L||T032|tdewavrin||||||85B35B17-63114690-B699E4AB-2F70A1EB,A92DA047-5EC24DB3-96B78FB1-AB3E66DE|||||||EP4377-NPER00057_00-HIPHOPMOVE000191|UT5025-NPUR00220_00-0012500000000000||
02C8552A-D6794BE0-88F37AB3-D360882A|The Hot Dance Bundle  Lust|Show off the hottest moves in all of PlayStation Home with these new motion-captured dances from nDreams. This bundle includes  * The Hot Dance Pack  Lust (Male) * The Hot Dance Pack  Lust (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.86.0.17.PUB|P||L||T031|KristianF||||||9EE1A8CF-BEA443D0-9AD300DF-E30AF371,C8478CE8-E1124F45-B6D98DD7-82E6C720|||||||EP4114-NPER00011_00-THEHOTDANC002085|UT5001-NPUR00022_00-0002710000000000||
06930465-0A904FFA-BF584030-8789D93A|LMO - nDreams Sweetie Pie Bundle|Be the cutest person in all of PlayStation Home with these adorable new LMOs from nDreams. This bundle includes  * LMO - nDreams Sweetie Pie - Dandelion * LMO - nDreams Sweetie Pie - Blow A Kiss Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.83.0.11.PUB|P||L||T031|CarlaR|||||||||||||EP4114-NPER00011_00-LMONDREAMS001815|UT5001-NPUR00022_00-0000010000000000||
07BA3908-B1054307-A76E320D-0DE29C4C|Capoeira Dance Bundle|Time to show off with the Capoeira dance packs. This bundle includes  * GST - Capoeira Dance Pack (Male) * GST - Capoeira Dance Pack (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.75.0.85.PUB|P||L||T031|CarlaR||||||581180B7-918B436F-A9EF5534-C931D635,B3D5A16A-C0A84C3C-802971AA-C9374185|||||||EP4114-NPER00011_00-CAPOEIRADA001251|UT5001-NPUR00020_00-0035540000000000|HT4002-NPHR00014_00-0010170000000000|JT4002-NPJR50260_00-AA71530000000000
08170744-3B3940C0-B3755FA6-4FD0B93C|Paradise Health Club  Dance Bundle 1|Dance your way to vitality with these motion-captured dances from nDreams. This bundle includes  * Paradise Health Club  Dance Pack 1 (Male) * Paradise Health Club  Dance Pack 1 (Female) Upon purchase, all items will be added to their corresponding categories.|Bundle-Animation|nDreams Ltd.|1.86.0.17.PUB|P||L||T031|KristianF||||||243FC526-50ED4317-92D727B5-EE90E1CF,3162064C-DC1B4A13-A2F20816-6BF0E25C,6A4A33B4-6C5F4CEF-8D6F9034-50E19A2D,BD9E5B7F-6FB443B3-AA9BEFE5-5A36C9A6|||||||EP4114-NPER00011_00-PARADISEHE002003|UT5001-NPUR00022_00-0001870000000000||
08837467-00884490-A787C791-C77CC600|Robo-Punk  Ultimate Dance Bundle|Show off your dancing talents with da funkiest electronic moves in PlayStation Home. This bundle includes  * Robo-Punk  Dance Pack 1 (Male) * Robo-Punk  Dance Pack 1 (Female) * Robo-Punk  Dance Pack 2 (Male) * Robo-Punk  Dance Pack 2 (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.86.0.17.PUB|P||L||T031|KristianF||||||01077FB1-8C74473D-A600EF46-C858A8A2,506AF53D-14684DC9-849D93A3-CC073A5F,5B0734BE-3B4B4AF6-88666C7B-D866A3B2,A86B5F86-10BA4B7E-8C464AE7-B574E365|||||||EP4114-NPER00011_00-ROBOPUNKUL002162|UT5001-NPUR00022_00-0003480000000000||
13AE57E1-D8474065-B1157BF2-FA780C4D|LMO - nDreams Lifestyle 2 - Technology Bundle|Stand out in PlayStation Home with these cool new LMOs from nDreams. This bundle includes  * LMO - nDreams Lifestyle 2 - Tablet * LMO - nDreams Lifestyle 2 - Texting * LMO - nDreams Lifestyle 2 - Selfie Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.86.0.17.PUB|P||L||T031|KristianF|||||||||||||EP4114-NPER00011_00-LMONDREAMS002150|UT5001-NPUR00022_00-0003360000000000||
15536215-67064E34-901EBA4B-1FEDAFF8|Attitude Dance Bundle|Show attitude as you dance with the Attitude Dance Packs. This bundle includes  * GST - Attitude Dance Pack (Male) * GST - Attitude Dance Pack (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.80.0.53.PUB|P||L||T032|CarlaR||||||1470362F-7DB04CEB-9458EC21-89780001,5CD604B0-C10C4BCB-B9B526B7-6E2BC915|||||||EP4114-NPER00011_00-ATTITUDEDA001247|UT5001-NPUR00020_00-0035500000000000|HT4002-NPHR00014_00-0010130000000000|JT4002-NPJR50260_00-AA71490000000000
1555B0E0-14CE4544-B19E0E69-64C39B86|nDreams 2-Player Interactions  Medieval Dance Bundle|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. This bundle includes  * nDreams 2-Player Interactions  Medieval Dance (Lead) * nDreams 2-Player Interactions  Medieval Dance (Follow) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.86.0.17.PUB|P||L||T031|CarlaR||||||61B50363-DE42408D-8DBF13AB-7DEF2E96,99B1A130-9F4B4209-A6E688EE-706980A7|||||||EP4114-NPER00011_00-NDREAMS2PL002179|UT5001-NPUR00022_00-0003650000000000||
15C2E79D-93CD4783-AFE0A37D-2D924140|nDreams 2-Player Interactions  Dancing Bundle (The Tango)|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. This bundle includes  * nDreams 2-Player Interactions  Dancing Pack 6 (Lead) * nDreams 2-Player Interactions  Dancing Pack 6 (Follow) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.86.0.17.PUB|P||L||T031|CarlaR||||||137D6FB9-893A4897-BEC84325-6263BEBE,434908FD-EB46481D-822AD797-C843C74E,725ED7E2-777B44BB-84DB5F69-95E9EB9F,A35392C3-DAC44B89-98BEAFF1-B0506B0E,A4290F78-B6CC4FDF-B81D83C0-0FB67FE1,AF61AE5D-F1084322-93666FAE-C92DD336,BADC3025-6B82430D-88585355-70564F43,D0C58165-D6D34331-9EC57924-512802DA,D8C0B3C4-38AE4BDA-8D5C3042-4FE88677,E523D6F6-27F04D0C-8727B142-5A257ADE,E8814D7D-06D54018-8553C567-42E2DF15,FF7D224E-E18241BF-AD712F65-5E5CCFD4|||||||EP4114-NPER00011_00-NDREAMS2PL002029|UT5001-NPUR00022_00-0002120000000000||
15E49F5B-28FA402A-836606F1-8A7974E6|The Best of nDreams 2013 Bundle|Receive HUGE savings with this fantastic value for money bundle from nDreams. Get access to all of the top items nDreams have released during 2013. This bundle contains  * Cosmic Corner - Fun Sized Apartment * Masquerade Ball - The Ballroom * Joe s Boxing Gym Apartment * The Complex  Silo * The Complex 2  Feature Room * Kung Fu Dance Bundle * DanceFlash Dance Bundle * GST - Iconic Poses Bundle * OrbRunner  Harmful Orb Anti-Attractor + 750XP * LMO - nDreams Choppers - Lo-Rider (Patriot) * LMO - nGear - Premium Sport (Turquoise) * LMO - MegaStar Podium * LMO Rock Star Guitar (Strummer) * LMO - Bo Staff Kata * Big Wheelies BMX (Gold) (Locomotion) * nFashion - Harajuku Male Clothing Bundle * nFashion - Harajuku Female Clothing Bundle * Venice Beach - Beach Buff (Male) * Venice Beach - Aztec Beach Babe (Female) * BoxBeats Mini  Dance 2 * Apartment Android  Amber (Premium) * nDreams Luxury Hot Tub (Prestige) * Luxury 6 Person Bed (Safari) * Apartment Pets  Kittens * Masquerade Ball - Furniture (Gothic) Bundle Upon purchase, all items will be added to their corresponding categories.|Bundle-Animation|nDreams Ltd.|1.82.0.17.PUB|P||L||T031|DanM||||||3A524E3D-259E4AD8-9008D39F-68D9C8E6,4EF3A37D-07914373-AC53CFDD-F8E81B91,591DC3E9-8F3043C0-8EE7E35A-5DD0DB1E,C27F763D-7CB64947-93764B6B-31595B8B|||||||EP4114-NPER00011_00-THEBESTOFN001752|UT5001-NPUR00020_00-0031350000000000||
160B4490-82D84CD3-A9AD93A0-7D7E5919|nDreams Gestures - Love 2 Bundle|Show those special to you exactly how you feel with these Love gestures. This bundle includes  * GST - nDreams Gestures - Love 2 (Male) * GST - nDreams Gestures - Love 2 (Female) Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Animation|nDreams Ltd.|1.80.0.53.PUB|P||L||T031|DanM|||||2|081CC2F1-AB0C4FE9-886715F4-50E4767F,732B7E8F-9AFC4974-8FB3270E-B668AB77|||||||EP4114-NPER00011_00-NDREAMSGES001623|UT5001-NPUR00020_00-0045530000000000||
