folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00A69035-639A496E-AFE8DCE6-A19E96A7|Ayanami Rei Spectacular Wig Set|This set of costumes allows you to become Ayanami Rei. This set includes the following items for avatar customisation. Ayanami Rei Spinning Wig/Head - Ayanami Rei Spinning Interface/Head Accessory *When purchased, each item will be added to the relevant category in the Customise Avatar section. Colour.|Bundle-Clothing|Sony Computer Entertainment|1.60.0.451.PUB|P||S||T031|Sony Computer Entertainment||||||||||||||||JP9002-NPJQ50460_00-AA20030000000000
025402E9-A3474BA3-BE18E2F4-D78B997C|Sodium Data Runner Clothing Pack|Sodium Data Runner Clothing Pack This pack includes the following  Sodium Salt Flat Visor Hairstyle Sodium Earth Dreamer Gauntlet Sodium Data Runner Jacket Sodium Circuit Breaker Trousers Sodium Data Runner Trainers It can get hot out there on the salt flats - dress to keep cool and look cool.|Bundle-Clothing|Sodium - Lockwood|1.41.0.37.PUB|P||L||T033|Lockwood||||||3B6EE82C-61394742-B01F2EFF-37DFB45D,78853304-D29A4FA7-966026F5-9EB958AC,CA115A86-4BAD4D71-A7F02EB6-F5549CB9,D71B1A6C-E52A4550-8A2DFA33-7BC38FA9,DB7FFAE6-5906480D-86E2859A-EF701920|||||||EP4127-NPER00014_00-SODIUMDATA000692|UT5000-NPUR00010_00-OUTSOSODIUM2DATP|HT4001-NPHR00012_00-0006880000000000|JT4001-NPJR50210_00-AC00080000000000
02C596A4-162141B1-8AA056F2-67CF4740|Poncho Bundle|You can never go wrong with a poncho, so why not get three. Bundle includes a Black Poncho, Pink Poncho and Purple Poncho.|Bundle-Clothing|Sony Computer Entertainment|1.55.0.155.BETA2|P||L||T031|Sony Computer Entertainment||||||47F10BBC-0F864AFB-B1B3ADA5-1B14A4D3,BF9BB72A-F4EE495A-8E81B432-D8E3930A,F4215573-EA314150-811B0396-AEC01540|||||||EP9000-NPEQ00005_00-PONCHOBUND002251|UP9000-NPUQ00020_00-PONCHOBUNDLEF001|HP9000-NPHQ00010_00-0006590000000000|
02D82162-CDA54F3F-88533719-67B06046|Kretzky Taskmaster Sawtip TS17 Bundle|Kretzky Taskmaster Sawtip TS17 Bundle, 1) Kretzky Taskmaster Sawtip TS17 Arm, 2) Kretzky Taskmaster Sawtip TS17 Hand.|Bundle-Clothing|Sony Computer Entertainment|1.70.0.93.PUB|P||S||T033|james||||||8DBE97C2-FDA24992-910F4452-D99DC341,F6E34A2C-CFCC401F-A61631F4-17E398E5|||||||EP9000-NPEQ00005_00-KRETZKYTAS002601|UP9000-NPUQ00020_00-KRETZKYTASKMSTRF||
02E8240E-6401483A-875B0451-9706030C|x7 Bundle Volume 16|Get this exclusive bundle at great value, only available in x7. Includes  Alice 5 Item Bundle, Alice themed dress, Alice themed gloves, Alice themed hair, Alice themed shoes, Alice themed shirt, Mad Hatter themed pants, Mad Hatter themed gloves, Mad Hatter themed hat, Mad Hatter 5 Item Bundle, Mad Hatter themed shirt and Mad Hatter themed shoes.|Bundle-Clothing|Sony Computer Entertainment|1.65.0.139.BETA|P||L||T032|apadua||||||||||||||UP9000-NPUQ00020_00-X7VOLUMEBUNDLE16||
032810D5-F806484C-A9464F99-8408391E|Panda Bundle|Reinvent the Pajama Party. Change your boring outfits and add a touch of color to your nights. Fun and different, there is a Kigurumis to suit every personality. Are you daring, curious, agile or strong. No matter who you are, there is always a Kigurumis for you. Become the center of attention in the most original way, engage your instincts and throw the wildest parties. This bundle contains  - Kigu Panda Hat - Kigu Panda Suit - Kigu Panda Shoes - Kigu Panda Gloves|Bundle-Clothing|KOVOK LTD|1.80.0.53.PUB|P||L||T031|Joan||||||2B9A4FB3-EA3E412A-81CC88EC-5088F70A,2F8B73BE-580F4F10-85A7222C-A5991723,5D190C0C-FEA04F60-8BAD4CAF-278488AE,9718009D-0EA4408D-B32EB2B7-98BAE91F,B7BC4E81-681B4E30-9BDBFBB9-E0DA2D09|||||||EP4468-NPER00076_00-PANDABUNDL000045|UT5035-NPUR00320_00-0000450000000000||
03B4D6A1-F03D4655-AE5C093D-0BDF027F|Sagat Alternate Costume Bundle|Sagat s outfit has been faithfully reproduced for PlayStation Home. This costume bundle includes the following items for your avatar. Sagat Eyepatch - alternate Sagat Pants - alternate Purchasing this set will add each of the above items to their respective categories. In order to make full use of alternate costumes, some parts of the original costumes may be necessary. If you do not already have the original costumes, please purchase them separately. Sagat Bodysuit Sagat Hand Wraps Street Fighter IV CAPCOM U.S.A., Inc.|Bundle-Clothing|Sony Computer Entertainment||P||P||T040|Sony Computer Entertainment||||||30C79C72-BA8A4A00-84CD6735-EFD3D346,36B976FD-47384EAF-B7B06A6A-A716FBF9,8A54B00E-20934048-A9FC2C02-FF1D7FF3,CADC0261-2C51413F-AED15E0A-3FFE50E2,E1F085F3-756C4F86-8B79EADD-6C2608AB|||||||EP9000-NPEQ00005_00-SAGATARRAN000155|UP9000-NPUQ00005_00-SF4COSTUMESAGAT1|HP9000-NPHQ00004_00-000183|JP9002-NPJQ50060_00-000099
044C5A3B-E1814E2D-B030C234-700A41EF|inVerse Special Edition Sneakers Complete Bundle|The inVerse Special Edition Sneakers Patterned Bundle has the perfect shoe to compliment any outfit. This bundle contains  inVerse Special Edition Sneakers - Cobalt Blue - Male inVerse Special Edition Sneakers - Forest Green - Male inVerse Special Edition Sneakers - Sunflower Yellow - Male inVerse Special Edition Sneakers - Pink Frosting - Male inVerse Special Edition Sneakers - Tactical Black - Male inVerse Special Edition Sneakers - Rich Maroon - Male inVerse Special Edition Sneakers - Perfect White - Male inVerse Special Edition Sneakers - Checkboard - Male inVerse Special Edition Sneakers - Red Plaid - Male inVerse Special Edition Sneakers - Jolly Rodger - Male inVerse Special Edition Sneakers - Cobalt Blue - Female inVerse Special Edition Sneakers - Forest Green - Female inVerse Special Edition Sneakers - Sunflower Yellow - Female inVerse Special Edition Sneakers - Pink Frosting - Female inVerse Special Edition Sneakers - Tactical Black - Female inVerse Special Edition Sneakers - Rich Maroon - Female inVerse Special Edition Sneakers - Perfect White - Female inVerse Special Edition Sneakers - Checkboard - Female inVerse Special Edition Sneakers - Red Plaid - Female inVerse Special Edition Sneakers - Jolly Rodger - Female|Bundle-Clothing|VEEMEE|1.80.0.53.PUB|P||L||T031|euan||||||17731371-83854D7E-8CCDEFE9-E16C95F3,1D0ABD80-C22A463C-828E53BC-C1331A9C,246F043E-111841B0-A6E0D38F-3060E90A,25311EF6-4A28470B-85F40A90-43AC98FB,344DE56A-03A74A9C-BB7C67A0-0782C80C,3B354AF0-23E54BCB-884FD36D-33CB06D4,4C86151D-02D44E8A-9720AD1F-9CDA8154,4F4B93E8-1E6041C0-8209C3E6-07CA9370,55258BBF-1AB943BD-BF283B9C-2011289E,6ABB538A-54394958-8CA86F64-81D176D5,8BDC105D-2C154B1D-8D245A18-68672935,92CA2D5C-5A4B4178-9D9BF9CA-798923D8,9DCC38E0-F1B24AED-A8F92363-6723A11B,9F236B37-29594EFC-A6DB1246-6107DAF4,C7ED6E17-E90E4EDA-B52BF29D-BFF415ED,CA1D1787-6D154AC9-B3285A8E-256D6850,CC959837-CAAA4816-9AB9760C-C4AE4566,D6816677-673C41FB-BAD16534-4C1FA666,F0D47CCF-5FAE44BF-A15ED805-F4F64B61,F17CF7B9-3D4948B4-8BD717D4-BA56D8A8|||||||EP4065-NPER00003_00-INVERSESPE002077|UT5002-NPUR00030_00-0038760000000000|HT4005-NPHR00020_00-0010680000000000|
04954B90-0F1F4211-95026525-4CFA2B4E| Robowishbone Bundle|Includes the Robowishbone T-shirt and Hoodie from your friends at Loot and Iron Fist Clothing .|Bundle-Clothing| 2009 Loot |1.3.2.16.BETA1|P||L||T032|dmoura||||||||||||||US0002-NPUR00001_00-LOOTIFBDROBOWISH||
04BEA8C8-63824F81-A932FA95-28F6885A|Born Lucky Waistcoat Bundle|Celebrate St Patrick s Day in style with the born lucky waistcoat bundle. This bundle includes  Born Lucky Waistcoat - Female Born Lucky Waistcoat - Male.|Bundle-Clothing|VEEMEE|1.75.0.85.PUB|P||L||T031|dale||||||D663F937-34534724-A3C16531-7BFEF05F,EFE752EC-F5684D36-B9DC1F3A-88343BC5|||||||EP4065-NPER00003_00-BORNLUCKYW001607|UT5002-NPUR00030_00-0030230000000000||
