folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
1B2F4199-52324D27-807BADD9-FFEE0514|Three Cheerful Cats Set|This Set Includes A Tortoiseshell Cat, Black Cat, And Tiger Cat That Follow Their Owner. This Set Includes The Following Items Cheerful Tortoiseshell Cat portable Item Cheerful Black Cat portable Item Cheerful Tiger Cat portable Item Each Item Will Be Added To The Corresponding Category When Purchased.|Bundle-Companion|Granzella Inc.|1.75.0.85.PUB|P||L||T031|hide||||||F91C3B22-FA264CC2-AC4BFC47-A8C494FA,5AC434CF-894A42C0-BBED1EFC-EB98714D||||||||||JP0025-NPJR50380_00-AA70380000000000
30670D58-811C4F1A-AB825F3C-5CFC3FD9|Super Peep Bonus Bundle (30 items in all.)|Pump up the Peeps with this Super Peep Bonus Bundle Pack, containing all 30 Peeps. Ten (10) Heavy Pet Peeps to bring into your apartment and let the fun begin. You can control your Peep with custom animations and moves. Ten (10) Companion Peeps to take outside of your apartment as a Companion and Ten (10) Mini-Peeps to display in your apartment, each in it s own Peep-a-Boo box. Stack them for all to see. Colors as shown. This set includes the following items. Chim Peep - Black on Black Chim Peep - Static Mini - Black on Black Chim Peep - Heavy Pet - Black on Black Techno Peep - Glowing Green Techno Peep - Static Mini - Glowing Green Techno Peep - Heavy Pet - Glowing Green Super Powered Peep - Ricochet Red Super Powered Peep - Static Mini - Ricochet Red Super Powered Peep - Heavy Pet - Ricochet Red Up-Chuck Peep - Puke Green Up-Chuck Peep - Static Mini - Puke Green Up-Chuck Peep - Heavy Pet - Puke Green What the Bleep Peep - Bone White What the Bleep Peep - Static Mini - Bone White What the Bleep Peep - Heavy Pet - Bone White Scary Fairy Peep - Persnickety Purple Scary Fairy Peep - Static Mini - Persnickety Purple Scary Fairy Peep - Heavy Pet - Persnickety Purple Sweetie Peep - Perfect Pink Sweetie Peep - Static Mini - Perfect Pink Sweetie Peep - Heavy Pet - Perfect Pink Lil Snow Peep - Pampered Purple Lil Snow Peep - Static Mini - Pampered Purple Lil Snow Peep - Heavy Pet - Pampered Purple Sunshine Peep - Blue Skies Sunshine Peep - Static Mini - Blue Skies Sunshine Peep - Heavy Pet - Blue Skies Creepy Peep - Monster Green Creepy Peep - Static Mini - Monster Green Creepy Peep - Heavy Pet - Monster Green All of the above items will become available in their relevant categories on purchasing this bundle.|Bundle-Companion|Heavy Water|1.66.0.144.PUB|P||L||T034|gcochrane||||||04888328-03254A93-A0A8704E-5C44A4AE,07EA2623-12AC4CE2-8C613E17-ED5EDF73,16B85CF5-A31E4248-B2FDBE6C-A92E7DE9,191BB9A4-B9964861-9E64AA62-47AD5BD2,1D49B502-E6E84D54-A69BB373-F4F7E14B,1EF3DAB8-14524994-9D2C1493-7EC9A268,1FD0D876-5C564ECF-B215D79B-DC06EF9B,200AC582-295D4DD8-9C383BA9-592975A5,21A1A563-CD3E4F45-B62BFDAC-8E7416E1,2FF37B17-610944BA-8D9A937E-4681144E,5B673F49-8EEB425B-8203264C-7F42F009,60A68043-2CD149D7-BC42BA4F-5095602C,6250386A-10BF4475-A8FBA4A4-5426E777,68249E6E-F196409A-8037895F-39B03767,68D0A80B-436648D1-90E5DF40-C8AB7C2C,69ECD5F7-481C4417-A5FE15C3-30146B96,727ED9F8-DF124D01-B56322FD-2C2F3962,728556C3-FD904C9E-B6654F3D-8E421DAF,7CA7D7D4-FD4749D6-9DC47907-6B183CF6,82414ADC-AD9643F4-98920EAC-FE73FCD9,893A0C84-29194AB1-8BA2DA51-96ABD202,9FB149A2-E53B4CAC-B527B034-D12FE317,ACB3D508-52EE40A7-AF7428CD-80E02F57,B7CD8CC2-E2224442-98B87B56-4FD67396,B8971046-24134F7A-8BDB8B18-8939458E,BC7AFB8C-9C8B40CA-AD81FE59-43C133EA,BF6AEDEC-BB0343CA-A39E3FCA-D9458D67,D57AC92F-F078446F-B0D806AB-553197C0,DAFE2ECE-E8D9472E-93678134-CB8B3E82,DB7C41DA-2DB641E8-ABF69D10-B49C0612,DE2A8F57-63334F15-94816FBE-348F1421,E0A0CC8B-7EB74EBA-982122DC-5A7AE680,F131134C-C34B4C09-AF587DEC-26EEA0DD|||||||ET0002-NPER00035_00-SUPERPEEPB000112|UT5004-NPUR00050_00-H30SUPRPEEPBUNDL|HT4010-NPHR00022_00-0000480000000000|
34B276E5-AB584FBE-A5AB3296-1EAE0F75|x7 Bundle Volume 78|Exclusive x7 Value Bundle. Includes  Glamourous Hair Glamourous Animated Bracelet GlamourousAnimated Hoops Earrings Glamourous Animated Heels Glamourous Peach Dress Ancient Broadsword Mermaid Companion|Bundle-Companion|Sony Computer Entertainment|1.80.0.53.PUB|P||L||T031|sroche||||||||||||||UP9000-NPUQ00030_00-0030250000000000||
4A1AA0E3-38EC4564-AFA9312B-16A3429A|HGL Mini-Creature Companion - Bundle|The massive Creatures you know and love weren t the only experiment run by the Home Grown Laboratory. Designed to live in underground tunnel networks these Mini-Creatures are perfect for a world where the surface is an inhospitable, irradiated wasteland. This bundle includes  (1) HGL Mini-Creature Companion - Troops (2) HGL Mini-Creature Companion - Critters (3) HGL Mini-Creature Companion - Sonics (4) HGL Mini-Creature Companion - Undead Purchasing this item grants you 80 fights in HGL.|Bundle-Companion|VEEMEE|1.70.0.93.PUB|P||L||T032|euan||||||3992636A-881A4B22-9F88C5E5-65FFFBD3,580AEFF8-ABFF4A7C-8409BECB-D95324A5,E0169FF4-E98741C2-A51578FE-A943E45A,ED50E0A0-42294E9F-96A576EA-C1ED67DC|||||||EP4065-NPER00003_00-HGLMINICRE001317|UT5002-NPUR00030_00-0025120000000000|HT4005-NPHR00020_00-0006070000000000|
5A22DE31-5B9D45A1-8099AD6E-BAE23F7C|Dull-eyed Chick 6 Color Set|Dull-eyed Chick. This 6 Color Set Includes Yellow, Orange, Green, Blue, Purple, And Pink. This Set Includes The Following Items Chick With Dull Eyes (yellow) portable Item Chick With Dull Eyes (pink) portable Item Chick With Dull Eyes (blue) portable Item Chick With Dull Eyes (green) portable Item Chick With Dull Eyes (orange) portable Item Chick With Dull Eyes (purple) portable Item Chick With Dull Eyes (purple) portable Item When Purchased, Each Item Will Be Added To The Corresponding Category.|Bundle-Companion|Granzella Inc.|1.65.0.139.BETA|P||L||T031|hide||||||327E1BA9-AFE14921-BAF0FF65-9F62FAB4,981C3684-E1FA4B12-981B1AEF-681A52FD||||||||||JP0025-NPJR50380_00-AA70090000000000
5A28C58F-E1AF496B-99DEF052-5173CFFD|Legend of Hero NARISOKONAI T-shirt Set (ISSHIN Pack/Women)|This set contains below items for customizing your avatar.*NARISOKONAI T-shirt (Cornet/Women) (Torso)*NARISOKONAI T-shirt (Peter/Women) (Torso)*NARISOKONAI T-shirt (Pudding/Women) (Torso)*NARISOKONAI T-shirt (Bread/Women) (Torso)*NARISOKONAI T-shirt (Panini/Women) (Torso)The items will be added under the category of Wardrobe after purchasing.|Bundle-Companion|IREM SOFTWARE ENGINEERING INC.||P||L||T033|tomy||||||||||||||||
5B22B663-30644746-8B7E9C98-A709E6B7|Thanksgiving - Bundle|Thanksgiving - Bundle This bundle contains  (1) Animal Avatars - Thanksgiving - Turkey (2) Riding Turkey (3) The Autumn Wind (4) Turkey Companion (5) Thanksgiving Dining Table - Refined - 10 Person (6) Pilgrim Costume - Dress (Women) (7) Pilgrim Costume - Hat (Women) (8) Pilgrim Costume - Shoes (Women) (9) Pilgrim Costume - Hat (Men) (10) Pilgrim Costume - Jacket (Men) (11) Pilgrim Costume - Pants (Men) (12) Pilgrim Costume - Shoes (Men)|Bundle-Companion|VEEMEE|1.82.0.17.PUB|P||L||T031|euan||||||29A63BB7-8EA0442E-9DAF7966-EEA43980,300BD049-66B84FF4-B88DD7AD-90566DF1,C9F2C7E9-9A874576-A74DC5ED-A8808E74,CE535333-209B4F15-9A6B87BA-8587E8BD,CF9280BC-3F14467C-A02E6380-C1903D99|||||||EP4065-NPER00071_00-THANKSGIVI000575|UT5002-NPUR00030_00-0046660000000000||
6446B0BE-F6534105-B162422E-34131043|Springtime Adventure Pack|Get the springtime spirit with this bundle of active items and furnishings. Bundle Includes  Bunny Companion Easter Bunny Companion Jackalope Companion Egg Hunt Bunny Den Cascarones Easter Basket Swing Set Bird Perch Bird s Nest Carousel Spring Bouquet Flower Bed - Round Flower Bed - Square Flower Bed - Rectangle Flower Rug|Bundle-Companion|Juggernaut Games|1.80.0.53.PUB|P||L||T032|Juggernaut Games||||||0B43F46B-EDB84DC6-A464FE08-22E2F8B1,0EB9222F-0F4A410A-89271D55-4882BA47,17E7C0FC-095F48F0-973FDD10-484F103A,20C8CD66-DF15494F-865F49D8-C0D33E00,27296B06-D32648D6-A8DD4233-3E8C51CD,72475CE4-52074E66-AE877758-A058E2BB,993D2306-D60C41E9-B61CFA31-1A6CE5F1,A112A3C6-D60147CA-8FB2C6C2-AC87F4F4,A43A23F7-20FA4A0A-8ED0D84C-BE21E9A1,B1A6F0EB-25684E34-91D0B130-8999BAB7,C845BF80-5EB14B80-A519D927-F718D7FE,DFADECDF-A0424BF6-972C0E7A-EB718C53,E8E25085-06EF4DBF-A4A85A9E-A62FBB3E,EB40EB40-403B43A1-B133C8A3-27986504|||||||EP5020-NPER00048_00-SPRINGTIME000358|UT5014-NPUR00140_00-0008160000000000|HT4017-NPHR00037_00-0000170000000000|
7EAB4545-FD1A49D2-95865793-F41A3F1F|Super Peep Bonus Bundle 2 (30 items in all.)|Pump up the Peeps with this Super Peep Bonus Bundle Pack, containing all 30 Peeps. Ten (10) Heavy Pet Peeps to bring into your apartment and let the fun begin. You can control your Peep with custom animations and moves. Ten (10) Companion Peeps to take outside of your apartment as a Companion and Ten (10) Mini-Peeps to display in your apartment, each in it s own Peep-a-Boo box. Stack them for all to see. Colors as shown. This set includes the following items. Chim Peep - Red on White Chim Peep - Static Mini - Red on White Chim Peep - Heavy Pet - Red on White Techno Peep - Robot Red Techno Peep - Static Mini - Robot Red Techno Peep - Heavy Pet - Robot Red Super Powered Peep - Bolting Blue Super Powered Peep - Static Mini - Bolting Blue Super Powered Peep - Heavy Pet - Bolting Blue Up-Chuck - Pasty White Up-Chuck Peep - Static Mini - Pasty White Up-Chuck - Heavy Pet - Pasty White What the Bleep Peep - Blazing Blue What the Bleep Peep - Static Mini - Blazing Blue What the Bleep Peep - Heavy Pet - Blazing Blue Scary Fairy Peep - Rotten Redhead Scary Fairy Peep - Static Mini - Rotten Redhead Scary Fairy Peep - Heavy Pet - Rotten Redhead Sweetie Peep - Vavoom Violet Sweetie Peep - Static Mini - Vavoom Violet Sweetie Peep - Heavy Pet - Vavoom Violet Lil Snow Peep - Powder Pink Lil Snow Peep - Static Mini - Powder Pink Lil Snow Peep - Heavy Pet - Powder Pink Sunshine Peep - Summer Rain Sunshine Peep - Static Mini - Summer Rain Sunshine Peep - Heavy Pet - Summer Rain Creepy Peep - Orphan Orange Creepy Peep - Static Mini - Orphan Orange Creepy Peep - Heavy Pet - Orphan Orange All of the above items will become available in their relevant categories on purchasing this bundle.|Bundle-Companion|Heavy Water|1.66.0.144.PUB|P||L||T039|gcochrane||||||087ECD34-0F1C4176-900CD190-734FED2C,0B951751-EA194FFD-87980D6E-6D001D7C,0FF21636-E0F54CFF-B4FF9D40-DF84EF6D,11B41282-F4D64AAB-86547A43-943A85AE,13125B7C-35F64B34-8717D44E-1A73E16D,16B85CF5-A31E4248-B2FDBE6C-A92E7DE9,16E77BF1-DB144635-B4448F58-7603AFD1,1A8100DE-702B4E50-AB0F898F-5765BF16,1DA63601-0DAC411B-B93D5265-79C81FAE,328D45E3-4D8C4745-87EDFF4E-E3CC627B,34E9A2AB-BE114B61-8096E52D-C9C84198,3AC5B9B8-8FE94B3F-BF93DC51-6C1AD1A0,54F935BA-36AA4C41-9AA3E68F-773F4D73,68249E6E-F196409A-8037895F-39B03767,81F6D20A-99D3468A-99EB01E4-CE2B18FF,82414ADC-AD9643F4-98920EAC-FE73FCD9,A6277AC3-724E45F6-9B1022A6-886BB7A0,AB2B2BC5-E6C34C04-9EE390F0-723BF077,B209B25C-6D3F4B2C-864A6044-2210F1AD,B4FD7A6E-E426473F-8E121056-E3F357AC,B5287E85-AB694462-B91D1915-295651F4,C318FA3B-603E4C20-9187E333-A6EE778C,CBB1C140-C3C8479B-BFE92491-004F5403,D331416E-B8FF4F35-AA34DB8E-008E6D84,D9191909-33954F3C-AA7A4206-9B3C7217,E34441F8-E93540CF-B9BA5633-4D142B70,E39A7ED6-32BC4121-B4BEC9AD-8F9D447F,ECEB0181-D80248C7-976F84EE-042239F6,F0E521FA-1CFC4429-A07FE97D-834339DE,FACD9154-7A2B41C6-AC8E1E80-0D0DB663|||||||ET0002-NPER00035_00-SUPERPEEPB000184|UT5004-NPUR00050_00-H30SUPRPEEPBNBND|HT4010-NPHR00022_00-0000920000000000|
85EC3346-8C8D42C8-852D08CE-D0A63ADE|Forsaken Planet Companion Bundle|Travel PlayStation Home with your favorite companions from Forsaken Planet, a LOOT Entertainment videogame for tablets and smart phones. This bundle comes with all five Forsaken Planet companions  Pimento, Camel, Raccoon, Zombie and Cow. When you purchase this Forsaken Planet Companion Bundle, you unlock a character and character hat* for use in the Forsaken Planet game. This character and hat can only be unlocked in PlayStation Home. To retrieve your rewards, create or access your LOOT Entertainment account at the log-in station located at the Forsaken Planet globe logo in the LOOT Space Station Hub. Looking for even sweeter Forsaken Planet deals and in-game rewards. Check out the Forsaken Planet Ultimate Bundle in the LOOT Store. (*Character and character hat unlock specialized gameplay perks within the Forsaken Planet videogame.)|Bundle-Companion| LOOT |1.66.0.144.PUB|P||L||T031|sstephens||||||5DDB558E-1BBE4C11-AA7207F3-5E1EF114,6A810627-C38C4840-A2CAE2F7-B273FF7F,78858D3B-48E64EEF-AE09503C-9914A148,9391F5C3-19134F7C-BD6173EE-07A2EE49|||||||EP0644-NPER00008_00-FORSAKENPL000643|US0002-NPUR00001_00-LOOTFSPLNCOMPBND||
