folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
001089FC-A76A41CA-88877CBF-429C2CDF|Chic gothic lolita set (Black, Women)|A 7-piece gothic and lolita fashion set that includes hairstyle, dress (with without tights), pumps (with without tights) and headdress (Large Small). Defensive strength  None Cuteness  This set includes the following items. Vertical roll hairstyle (Women)(Head) Lace headdress (Black, Women)(Head accessories) Lace headdress, Small (Black, Women)(Head accessories) Chic gothic lolita dress (Black, Women)(Outfits) Chic gothic lolita dress and Tights (Black, Women)(Outfits) Strap high sole pumps (Black, Women)(Shoes) Strap high sole pumps and Tights (Black, Women)(Shoes) Upon purchase, the items will be placed into their respective categories.|Bundle-Female|Granzella Inc.|1.70.0.93.PUB|P||S||T031|hide||||||0A3EC358-7DE44C15-9BFC7F28-A213B583,0A74B32B-B895441F-BA7C0C90-632A853C,0AFE8341-ED55401D-801CA39C-7EB51F2F,EE8491F3-7F2C42F4-AAFFF518-45B2A9D3,F01796CA-BE3F4897-8EE6B9DF-BFF15594|||||||||HP0025-NPHR00021_00-0025260000000000|
00B19041-50684FE9-BA003AD6-BAC944B6|Sodium Desert Raver Ultimate Pack (for Female)|Sodium Desert Raver Ultimate Pack (for Female) This pack includes the following  Sodium Feather Mohawk with Hairstyle - Pink Sodium Scorpion Shades - Magenta Sodium Happy Daze Halter Bikini - Sundae Sodium Desert Trike Shorts - Sundae Sodium Neon Stomper Boots - Purple Chalk (for Female) Sodium Parakeet Epaulettes - Tropical Sodium Feather Mohawk with Hairstyle - Teal Sodium Scorpion Shades - Ocean Sodium Happy Daze Halter Bikini - Bright Skies Sodium Desert Trike Shorts - Bright Skies Sodium Neon Stomper Boots - Royal Oil (for Female) Sodium Parakeet Epaulettes - Paradise Invited to a rave in the baking hot Sodium desert. We ve got it covered.|Bundle-Female|Lockwood|1.86.0.17.PUB|P||L||T033|Lockwood||||||06C2A22D-E4DC4333-86779A8C-5D6ECAD1,18643C22-EB024436-AA6B2E50-025CF845,1CC3EBAE-9F404F98-96813FDB-3E2F3A7F,469D06D3-6BD74787-94D04638-4446C572,730BCCE7-2BEA4288-A1327687-73A0F80B,8379AE86-E56C4AAB-9349C699-45AD3847,8C07881A-3C734D08-9098D544-B7EAA736,9C997F57-C01D4BC5-B1CC8EA5-60FBD592,BDD8FC80-734F4812-843E7456-1B98B231,C019F374-EAEC4495-ADBFB983-FA7344B9,C69F3EF1-58A04669-B355BBB8-1B94A63F,DBBA27A4-52B14CFA-935FCC15-B84BEE5B|||||||EP4127-NPER00050_00-SODIUMDESE002472|UT5000-NPUR00012_00-LKWDSODIUSAPPAKF||
0141069D-A4A6487A-8ECB6EA7-4E54C947|Element - Release Bundle - Volume 15 (Women)|Element - Release Bundle - Volume 15 (Women) This bundle contains  (1) Element - Honey Tank Top - Rose (Women) (2) Element - Artemis Tank Top - Black (Women) (3) Element - Gallop Tank Top - White (Women) (4) Element - Skippy Long Sleeve Top - Light Blue (Women) (5) Element - Awakening Plaid Flannel Shirt - Neon Pink (Women) (6) Element - Bonfire Vest Jacket - Black (Women) (7) Element - Melodie Jacket - Olive (Women) (8) Element - Keisha Dress - Black (Women) (9) Element - Keisha Dress - White (Women)|Bundle-Female|VEEMEE|1.86.0.17.PUB|P||L||T032|euan||||||03CD8048-2FCA4F49-8AB6D28F-0B281B3C,295B9170-84384B91-90C2354F-687550BD,7C9370F6-23A64182-89F37B56-C125FBBF,8F6CEF1F-01CB4F6A-A7A9D6D6-FF52480A,963990CB-0B064A1A-8C32D59D-7315F555,A00C672B-49444CFC-87D74C3B-0985BBF0,AFEFBC9F-A7F84E9D-91E43FEB-66D039C3,B135D519-EEF24751-9EE32547-E62A9EFB,D7EE0725-D2D64879-9F3CCA07-30E12798,DB9FB588-7A3F4931-945682E9-8FAAC2ED,EDDF6C3A-852E4042-89BD8F47-EF933CD9,F6384605-A27946B2-8A868DB8-1F1735AB|||||||EP4065-NPER00071_00-ELEMENTREL001187|UT5002-NPUR00030_00-0053010000000000||
015CFDFD-EDE34A75-B80729C5-6321B296|Endeavor Bundle - Female|Cropped waistcoats with kerchief arm accents. This bundle contains  Endeavor - Green Endeavor - Black Endeavor - Purple Endeavor - White Endeavor - Yellow|Bundle-Female|Sony Computer Entertainment|1.70.0.93.PUB|P||L||T031|matthew||||||6394534E-06C64AED-BE53C14F-EDE1AE6C,6570DEAC-ED5D4833-B7D64EAF-502FFDAE,7F6E9DC1-52A942C8-850CE1DC-34A4F063,8DECD403-10F74E0C-9D0CF6EE-B3B84B4B,EEFD72B7-3F5D4BD1-AAB024A4-6F71D0F3||||||||UP9000-NPUQ00030_00-0008660000000000||
017E751A-642A46E6-9DA76173-49A761F0|Poker Tournament - Tournament 21 Bracelet|Poker Tournament - Tournament 21 Bracelet. Both male and female versions are included.|Bundle-Female|Digital Leisure|1.75.0.85.PUB|P||L||T033|Paul||||||06C10188-155A4919-BE2B689E-BFB731D3,0C28FC01-FF9249A9-9277AE98-56029E2C,0CD82FA5-38114A8C-85AE8AF1-5D8EE9FA,0D023960-AEE34844-804FE0A7-145A097F,0DF8AC7D-59C54E20-962F2376-16FA129F,12EF8CE4-9C5B4A6A-98753B43-CEE62003,14D0BC5E-340748B3-A603D910-D41C8187,16321C7A-0B6D439F-95C40F79-6640A1A7,198D4C16-10A6420D-AB2F3852-9DE26B66,28E00E1F-4B194123-953B5D83-45BB7E7E,2C29230C-2A904147-A892BDCA-949D4991,4457689A-3893494E-A61C9832-614DE9EE,4BABDF7A-347B450C-94A659C4-10674914,566AE4A1-3E1040FB-9DC9EEF4-11774A05,5A16F318-92E745E5-817314F7-3F95CF3C,5ABBF27F-656A4984-90C0FF57-0095D6A3,6038F7C0-330D47B8-B564589A-D60010C4,67D7A344-30364935-BA08BBC1-E3640C3A,6CFDFAF2-1DFC4D2B-BE9236AC-B7FC053A,744F9B0C-DFC04C10-9D8504D3-15CFA72F,78DC65A9-42E34F1D-B88C5706-837555F8,81DB0E91-77F44989-81977EEC-ABB9B282,88CE3804-0C324094-BB2D6E0D-1916D7E7,95CC50C1-489E4029-A1A3A3FD-E3692688,9C0E48B1-E6FE40B3-8BF0AEB5-0226EFF8,ACA4AE12-4CAC4B28-BC17C691-2ECA5B83,AD7E2D99-7B29437C-BB557797-F7E42E28,AECCAAFD-13D74B6B-A9DEEBBF-5A0FD47A,B138B353-F16A4EC6-9CE7F1AE-B37A327B,B2E0FC17-3F2F41DB-9A9DC2CB-D0002358,B52CB4AA-12834952-BAAB76D5-766E7C00,C7E8BF7B-C6CC4F53-AFE328D5-1E67A0DB,DA6C2CA4-81204663-A13CE8FA-679C07FA,DFE1CA91-A324460A-B8C392F4-8F418080,E2C718FB-632847B4-8163AF26-CEDEEBCD,EA325565-987641EB-B7DCC3AE-378B8EE2,EEE25311-D021458B-8F887CBE-BFE1DB42,F027D550-A08044A6-98331E97-9592DC2B,F1CA0545-79FB4086-A964AC9C-3764C96A,F2366FBA-53EA482C-916F5763-568EE7D3,F7201279-682F4778-92B1AA17-CF9AF702,FB81464A-76624A71-BB013577-48B8842D|||||||EP2043-NPER00040_00-POKERTOURN000335|UP2043-NPUR30261_00-DLCSNPKRTOURX295||
018D087F-FBAC4E16-9C2FDE5B-401E0F5A|Codebreaker (Hacker Class) (bundle)|Outfitted with the latest in defensive shielding technology, the Codebreaker disrupts nearby AI systems, turning bot ships into allies. Powerful engines allow for escape when things go from bad to worse. The male and female versions of a special pilot s helmet are included with the purchase of this ship.|Bundle-Female|Hellfire Games, Inc.|1.52.0.2.PUB|P||L||T032|sphillips||||||0AA7BC91-FC6B4C4F-A6B3E1B7-3FD3D991,1932741D-036D4ACD-A69FB5B5-58C084CF|||||||EP4305-NPER00037_00-CODEBREAKE000029|UT5006-NPUR00070_00-HFGCODEBRKRBUNDL|HT4006-NPHR00019_00-0000080000000000|JT4006-NPJR50360_00-AA90080000000000
01FD57F0-3834467E-9ED9F556-3F95A686|Yacht Bathing Suit Value Pack| The paparazzi will never catch you in the same outfit twice. Includes  5 bikini sets and 2 one piece suits for a total of 14 pieces. |Bundle-Female|Sony Computer Entertainment|1.3.2.27.PUB|P||L||T031|bgans||||||C8F18C92-59554DF9-BEC8D809-3A37E540||||||||UP9000-NPUQ00010_00-1JBYACHTBATHVPF1||
0213BDB4-F32E449F-9355A858-AB4C3A39|Quintek Robotic Left and Right Fist Bundle (Female)|Quintek robotic fist - delicate enough to stroke a kitten, powerful enough to punch through 3 inches of metal polymer. This pack includes the following  Quintek Robotic Right Fist (Female) Quintek Robotic Left Fist (Female)|Bundle-Female|Bigyama|1.65.0.139.BETA|P||L||T034|d204027||||||726AE8F4-D6924AB9-9B78D962-2A754943,C8E0CD8A-33E640D8-A0CF271E-2A2F0905|||||||EP4376-NPER00056_00-QUINTEKROB000027|UT5016-NPUR00160_00-BYQUINROBLNRFSTF||
0226116C-EE5C4216-A0361F1A-34D3C8AB|Mofu Fluffy Costume Set (White For Women)|Mofu Fluffy Costume Set With Animal Image This Set Includes The Following Items Animal Coat (White For Women) (Top) Animal Boots (White For Women) (Shoes) Animal Head Accessory (White For Women) (Head Accessory) Animal Hand (White For Women) (Hand) Animal Hand And Tail (White For Women) (Hand) When Purchased Each Item Will Be Added To The Corresponding Category.|Bundle-Female|O-Two inc.|1.70.0.93.PUB|P||S||T031|Yoshinori Utsumi||||||16FFBC12-4F3D4CA2-955A59D9-0883BB25,21EFC4CD-C0C24C90-B0576CBF-81B93D4D,95824061-BBE447CC-8E87EA00-3EF3D111||||||||||JP0085-NPJR50370_00-AA21880000000000
022E7333-D88A4676-804EE3FF-0EEA455B|Patched Cowgirl Jeans Bundle Female|Stylishly patched to give a modern designer look. This bundle contains  Patched Cowgirl Jeans - Classic Patched Cowgirl Jeans - Washed Patched Cowgirl Jeans - Black Patched Cowgirl Jeans - Navy Patched Cowgirl Jeans - Stonewashed|Bundle-Female|Sony Computer Entertainment|1.83.0.11.PUB|P||L||T032|euan||||||5120D975-FD894641-99CEFA66-E1F803B6,693EC6CD-01C049B9-AB5CBF15-FE54E071,802F76E6-CEFC456C-B7E99E18-684B775F,965BA11F-9B0B422D-BCABF602-4492CF79,EC668DAF-BCC7453C-95EED093-7885B298|||||||EP9000-NPEQ00005_00-PATCHEDCOW003009|UP9000-NPUQ00030_00-VMPTCHDCWGLFMLX6||
