folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
001F9067-F0CC4DF1-8E7F67DF-740F7535|x7 Bundle Volume 27|Get this exclusive bundle at great value, only available in x7. Includes  Crystal Chair, Crystal Desk, Crystal Entertainment Center, Crystal Furniture Bundle, Crystal Lamp, Crystal Sofa and Active Item - Crystal Clock.|Bundle-Furniture|Sony Computer Entertainment|1.65.0.139.BETA|P||L||T032|apadua||||||108CA6E1-838F4EF8-B046BAF1-F25E76FC,1DF23604-1BA24990-B3A4042E-A9775EAB,5CD98F11-5ED7408A-A591864F-839B1C61,9819311D-003241D7-B5F0C676-5AF71D34,9E15918D-0F5A4AAC-BBFC0AB7-8B8CF43D,BB187929-7CCC489D-8576D402-6D7A89D8|||||||UP9000-NPUQ00020_00-X7VOLUMEBUNDLE27|UP9000-NPUQ00020_00-X7VOLUMEBUNDLE27||
007D6DA8-2BB34349-88239B85-01B91FED|Ultimate Modular Bundle| 141x Modular furniture items. This bundle includes  All 45 Modular Kitchen furniture items. All 48 MyBedroom furniture items. All 48 Idea - Modular Sofa furniture items. Upon purchase, the items will be placed into their respective categories. |Bundle-Furniture|VEEMEE|1.80.0.53.PUB|P||L||T032|euan|||||||||||||EP4065-NPER00003_00-ULTIMATEMO002270|UT5002-NPUR00030_00-0041140000000000|HT4005-NPHR00020_00-0012450000000000|
0134D583-377F4A98-93608C0D-8EC101EB|Red Brick Tile Set|A set of red brick tiles. This set includes the following items for customizing your personal space. Red Brick Tile - Square (Ornaments) Red Brick Tile - Wedge (Ornaments) *Each item will be added to their relevant wardrobe and furniture category.|Bundle-Furniture|Toylogic Inc.|1.80.0.53.PUB|P||L||T031|Toylogic Inc.||||||A6B34959-61C1454F-94F80528-5E923E35,D39C7E3D-68784FDD-BE392BDE-00E4B021|||||||EP5033-NPER00072_00-REDBRICKTI000183|||
016C027B-E3784EB0-ABEF608A-F2F7711D|LKWD Venue Customization Pack - Hive|Comes FREE with the LKWD Venue.|Bundle-Furniture|Lockwood|1.75.0.85.PUB|P||L||T035|Lockwood|||||||||||||EP4127-NPER00050_00-LKWDVENUEC000948|UT5000-NPUR00012_00-LKWDLKWDVEIIUPAK|HT4001-NPHR00036_00-0001590000000000|JT4001-NPJR50210_00-AA40020000000000
02639A40-EEDD43B7-94044437-28C1BB80|Fossil Collection Plate Set (for Trilobite)|A two plate set perfectly suited to mounting and displaying Trilobit fossils. This set contains the following items. Antiquated Fossil Collection Plate (for Trilobite) (Ornaments) Brand-new Fossil Collection Plate (for Trilobite) (Ornaments) *When purchased, each item is added to the appropriate category.|Bundle-Furniture|Granzella Inc.|1.60.0.450.BETA|P||L||T035|hide||||||||||||||||
03E874D1-3E774090-AC32152B-73FF2CBC|x7 Bundle Volume 9|Get this exclusive bundle at great value, only available in x7. Includes  Active Item - Hourglass, Animated Neon Green Electra Lamp, Animated Neon Blue Electra Lamp, Active Item - Toy Race Track, Active Item - Toy Train Set and Active Item - Fortune Cookie.|Bundle-Furniture|Sony Computer Entertainment|1.60.0.450.BETA|P||L||T032|apadua||||||||||||||||
053AC0FD-3B774D8E-BED84FAA-7898F90D|Fossil Collection Plate Set (for Starfish)|A 2-piece set of collection plates perfect for displaying starfish fossils. This set includes the following items  Old-Fashioned Fossil Collection Plate (for Starfish) Brand New Fossil Collection Plate (for Starfish) *Upon purchase, each item will be added to the applicable category.|Bundle-Furniture|Granzella Inc.|1.65.0.139.BETA|P||L||T031|hide||||||00FA4351-B80143E6-865C2423-73ED5D66,02BF6A60-4DDB4199-B94D86D3-94D60A34,C295096B-85C94845-BB82FDEB-1F637268,C883A157-269141F0-8A0AF27A-55123A9B|||||||EP5017-NPER00046_00-FOSSILCOLL000727|||
05A706B9-DB814D5E-92DE07C8-E16E5AC5|Collection Plate Set (For Starfish)|A set of 2 plates that is perfectly suited to mounting and displaying starfish fossils. This set includes the following items  Antiquated Fossil Collection Plate (For Starfish) (Accessory) Brand-new Fossil Collection Plate (For Starfish) (Accessory) Upon purchase, all items will be placed into their respective categories.|Bundle-Furniture|Granzella Inc.|1.65.0.139.BETA|P||S||T031|hide||||||119250FF-A143482C-8B641431-4503667A,4D54E9FC-B6FF4172-90BDF362-A459D9AB,5692F1B2-30FB4963-84943C8D-E269C85A,596D7C99-86564C01-A9A52A02-08A009A6,6C5F9FB2-1A544205-BF90536E-15666FEC,7884D5AE-D8724EEC-A3972C48-4DD10F15,C03F44E1-D4AC4EDA-86FC5724-FCB7912C,CA175B90-0BCF468D-ABA19D5E-71210A06,F0393F22-CE534A53-A58C6607-012F9830,00FA4351-B80143E6-865C2423-73ED5D66,02BF6A60-4DDB4199-B94D86D3-94D60A34|||||||||HP0025-NPHR00021_00-0007570000000000|
0697F228-C9B348C1-B2A6BA1D-8FE79CC2|6-piece Dining Set With Pizza And Condiments|This 6-piece Set Includes Pizza, Pizza Tray & Pizza Cutter, Fish-shaped Bottle, Olive Oil And Condiments, Plus Items That Combine Them Into One. This Set Includes The Following Items Pizza 1 6 Piece decoration Pizza Tray & Pizza Cutter decoration 5 Seasonings decoration Olive Oil decoration Fish-shaped Bottle decoration Table With Pizza And Seasonings decoration When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Furniture|Granzella Inc.|1.70.0.93.PUB|P||L||T031|hide||||||||||||||||
06E1DED3-2CB24812-904A8925-D6EBEC7C|Miu Miu chamber set|Arcade Cabinet And Cute Neko Furniture Set For Playing Miu Miu Chamber This Set Includes The Following Items Miu Miu Chamber (furniture) Shiro Neko Mat (rug) Ash Neko Cushion (decoration) Toraneko Big Cushion (decoration) Ham Neko Table (table) Each Item Will Be Added To The Corresponding Category When Purchased.|Bundle-Furniture|O-Two inc.|1.65.0.139.BETA|P||L||T031|Yoshinori Utsumi||||||0113FA11-12094BDD-A3AEC1FF-1741274A,5DD28B93-84154BF0-B07629ED-52D2E812,C7811E1D-FB124FFE-A268C06C-56952DC3,C8AE30D2-FC8B4E4C-98BFE0E0-8E431C18||||||||||
