folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0077C74C-9D1F4EF8-BAB58F5C-DF827578|LMO Pop-Up Chair Bundle|Feel free to lounge wherever you please in PlayStation Home with these new pop-up chair locomotions from nDreams. This bundle includes  * LMO Pop-Up Chair - Set 1 * LMO Pop-Up Chair - Set 2 * LMO Pop-Up Chair - Set 3 * LMO Pop-Up Chair - Set 4 * LMO Pop-Up Chair - Set 5 Upon purchase, all items will be added to their corresponding categories. *These are portable items.|Bundle-Locomotion|nDreams Ltd.|1.83.0.11.PUB|P||L||T031|CarlaR||||||8148029B-D1DC4DAA-AD6F8C52-33E09CEE,BB4A5068-15624530-83A93888-9EB33669,BE0058D1-82A64E4C-BF685852-83ECD9F7,ED98E10C-5B5A450D-9B8A15A3-4DB22551,FFF73722-637D4A4A-8136797A-F9CDF3BA|||||||EP4114-NPER00011_00-LMOPOPUPCH001809|UT5001-NPUR00020_00-0047560000000000||
00CBA776-DF2242BD-9026C826-47C0D191|VEEMEE Locomotion - Motor Vehicle Bundle|Ride in style with these motorised locomotions. This bundle contains  (1) Go-Kart - Red (2) Go-Kart - Blue (3) Go-Kart - Flames (4) Classic Scooter - Black (5) Classic Scooter - Cream (6) Classic Scooter - Pink (7) Classic Scooter - Baby Blue (8) Classic Scooter - Union Flag (9) Classic Scooter - Il Tricolore|Bundle-Locomotion|VEEMEE|1.82.0.17.PUB|P||L||T031|euan|||||||||||||EP4065-NPER00071_00-VEEMEELOCO000761|||
019C05E0-A1C24BEA-A4FAF5CE-D9106F28|Carnie Rides Ultimate Bundle|This bundle contains  Carnie Ride - Mug Carnie Ride - Tea Cup Carnie Ride - The Duck Carnie Ride - Old Bumper Carnie Ride - Vintage Bumper Carnie Ride - Bumper Train Carnie Ride - Bump Racer Carnie Ride - Horse Carnie Ride - Unicorn Carnie Ride - Zebra Carnie Ride - Seahorse Carnie Ride - Shuttle Coaster Carnie Ride - Wooden Coaster Carnie Ride - Hanging Coaster These Items increase your speed to the maximum when you hold the square button.|Bundle-Locomotion|Sony Computer Entertainment|1.80.0.53.PUB|P||L||T033|sroche||||||045B5861-29254F99-B1DEFC03-CA2FD088,06815330-7CA140AC-9B73F379-811401D3,0D4E83EB-226342A7-B0BED01C-3EF0253F,23FCF4A2-B91A4303-B39BD7B7-D5A18A07,36A861A6-7DB04249-9051A451-981D124C,45F8A998-D93D4846-87D4E38F-6922A1B3,555F0EF3-01C644D9-B272858F-F33CE69D,65031E20-C11E46BD-BFA11D5B-A452ABBC,687B4032-BE02494C-99A2DB28-017861BF,ACC36965-B2054264-BFA17F82-6C4510A2,AF7182A5-D8A74FC5-83843B89-C391C664,E29617C4-17CE4EFD-84CF3C57-088F1CFA,F8839322-E4204CFC-80551EF6-AB7E2D15,FC7A82B6-EA0A476D-996220E6-98E70C6C||||||||UP9000-NPUQ00030_00-0025390000000000||
01ABC99C-980A4B62-AA39D920-503A82FF|VEEMEE Locomotion - Bikes Bundle|Get in gear with these bicycle locomotions. This bundle contains  (1) Hot Rod Bicycle (2) Road Bicycle (3) Mountain Bike with Full Suspension (4) Mountain Bike - Hard Tail (5) Beach Cruiser (6) Old Fashioned Bicycle (7) Penny Farthing (8) Unicycle (9) BMX (10) BMX Trick Bike - Hang Five (11) BMX Trick Bike - Tail Whip (12) BMX Trick Bike - Flat 360 (13) BMX Trick Bike - Rollaid (14) BMX Trick Bike - Whiplash|Bundle-Locomotion|VEEMEE|1.82.0.17.PUB|P||L||T031|euan||||||0E396661-E8CC4592-9BD01E73-38EF9E68,C4AD310F-D7CF4CDA-9E863368-ACBAA11D|||||||EP4065-NPER00071_00-VEEMEELOCO000760|||
033D4D0F-23C34E1F-9E5128C3-240EDAFA|Tales Mega Bundle|This bundle contains  - Gunner Suit (female) - Gunner Shoes (female) - Gunner Gun (female) - Gunner Hat (female) - Gunner Suit (male) - Gunner Shoes (male) - Gunner Shotgun (male) - Gunner Hat (male) - Golden Chinese Dragon - Red Chinese Dragon - Cyan Chinese Dragon - White Chinese Dragon - Green Chinese Dragon - Warrior Helmet - Warrior Suit - Warrior Sword and Shield - Warrior Sandals - Succubus Horns - Red Succubus - Red Succubus Gloves - Energy Helmet (male) - Energy Suit - Energy Helmet (female) - Energy Top - Energy Shorts - Energy Boots - Black-Blue Energy Motorbike - Black-Pink Energy Motorbike - White-Blue Energy Motorbike - White-Pink Energy Motorbike|Bundle-Locomotion|KOVOK LTD|1.86.0.17.PUB|P||L||T032|Joan||||||045D9930-3E9D4AC8-B5F5BFB8-5844B6A6,0A9B5DED-1B6A41F0-B8D8D194-E0964B96,0B7566D3-8EAD441A-A6696DE6-0988839C,0F693579-129A4BDF-970BB8F1-067329C0,1887B4EA-856C49C9-B5856AB7-DCF7301B,239EAA92-F5B04DFA-B47388D3-D9E3645E,2791A957-5FA64A1D-AACEA131-AC864B16,2EFAB745-3B564C5B-B1C34E24-A616A084,32B2EE37-DA2845E2-8125F7A9-1B72345E,3CA8E2CF-CCDE4B6D-8A3500E9-7348F2E7,4063B279-85E34759-87DA67BD-0D95EC79,4280578E-340C4FD0-93F20773-11A8A25B,52AEBBD8-DB414C51-A7F83379-CA04034F,55B954A5-215D4115-BC40FA2B-946723F9,63210312-5FBD4B93-B44F4289-6CE9064C,7299DBDE-CB5340F0-A7A361FA-30F95F2F,7CD2910F-70FA4CB9-B4707411-6A14670F,7ED0E906-F38B46F7-92830704-1BBB5A0C,854A0C66-AA424794-B77C11FD-1147CA14,87429AE2-8CB24212-87FC9CF2-138B951F,88C69256-905F437A-869C2E94-356DE542,9F2F58E9-EC3B435C-B641EF33-01B290D7,A9531A55-41DA4804-9B8B91F6-BAC2F511,B3897409-AA654E7A-9B65E810-5F8090C8,C72128C4-2A894152-ADC65AD5-7A07A8A3,D230A993-779B4BA4-8240EBAA-DB62AD08,D45000A1-FA4E456E-9046DB1F-8C1422BA,D47BB670-FAB44814-87892A59-A5A05AD9,D5EECD5D-A583466F-924724AA-B1368AD2,D84B207A-41104E4E-B5175385-82D14E57,E7A8D733-44C6431C-99DD7D62-9B486E68,ECBCA0CA-C3904AF5-B4FB97C2-93FC5FCE,EE50B311-84B54F47-A33B61A6-DDAC1E69,FE660F08-4CCB4A10-A75F4559-CBA3E98B|||||||EP4468-NPER00076_00-TALESMEGAB000976|UT5035-NPUR00320_00-0008640000000000||
043D2ABE-EF34475F-868ABB72-E2B4079D|LMO - Succubus wings set (Violet wings)|A locomotion item 2-piece set that includes succubus head wings as well as succubus wings and tail. The inner part of the wings is violet in colour. Movement speed of locomotion item  This set includes the following items. LMO - Succubus head wings (Violet wings)(Portable item) LMO - Succubus wings and tail (Violet wings)(Portable item) LMO (Locomotion) is a portable item. Upon purchase, the items will be placed in their respective categories.|Bundle-Locomotion|Granzella Inc.|1.70.0.93.PUB|P||L||T033|hide||||||CF198A5B-E5BD418B-A0F95157-C5D5EBF7,E00E4928-78B9445F-B85D4324-27830734|||||||||HP0025-NPHR00021_00-0024100000000000|
04C3E0C3-FC0E4CD3-BBE8871F-CBC789F6|LMO-Roller skates set, Inline skates (White, Women, Men)|A set of shoes for roller skating and inline roller skates. If you use this item, you can move in skating movements. Defensive Strength  Movement speed  *LMO(Locomotion) is portable item. This set includes the following items. Roller skates, Inline skates (White, Men)(Shoes) Roller skates, Inline skates (White, Women)(Shoes) LMO-Roller skates, Inline skates (Red)(Portable items) *When purchased, each item is added to its respective category.|Bundle-Locomotion|Granzella Inc.|1.70.0.93.PUB|P||L||T031|hide||||||F53FF2E2-1865436F-A59EEA8C-34B64F82,F889A1F5-67654AF2-803EE5CA-1583E721|||||||||HP0025-NPHR00021_00-0012950000000000|
057C5C4B-3FF8483C-851033C4-C645C726|Cute Gothic Loli Umbrella Set Of 2 (navy)|Parasol In Gothic & Lolita Fashion. This 2-piece Set Includes A Locomotion Item And A Furniture Item In An Umbrella Stand. Locomotion Movement Speed  ~ LMO (locomotion) Is A Portable Item. This Set Includes The Following Items Cute Gothic Loli Umbrella And Umbrella Stand (navy) Decoration LMO-Cute Gothic Loli Umbrella (navy) Portable Items When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Locomotion|Granzella Inc.|1.70.0.93.PUB|P||L||T032|hide||||||||||||||||JP0025-NPJR50380_00-AA90270000000000
05DF853D-82034CCA-AA57170C-38B6CAE2|Spunland Rabbit Hop Bundle|Bundle Contains 3 Rabbit Hop LMOs Orange, Purple and White. By equipping this Locomotion Item, your avatar s run speed will be faster. LMO (Locomotion) is a Portable Item.|Bundle-Locomotion|madmunki|1.82.0.17.PUB|P||L||T032|munki||||||1A284D8D-B1E84918-8505FF6F-EEA68E0F,CE39E9FF-6C044591-BEE9F13D-D5E22FF9|||||||EP4393-NPER00062_00-SPUNLANDRA000154|UT5032-NPUR00280_00-0001570000000000||
069810EE-4D004CF8-85890FBB-3F9AAB61|2-piece Pocket Bike Set (yellow & White)|Two Wheel Type Pocket Bike. This 2-piece Set Includes A Locomotion That Can Be Ridden And Moved And A Piece Of Furniture That Can Be Placed In A Room. Movement Speed  - LMO (locomotion) Is A Portable Item. This Set Includes The Following Items Pocket Bike Figurine (yellow & White) decoration LMO-pocket Bike (yellow & White) portable Item When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Locomotion|Granzella Inc.|1.70.0.93.PUB|P||L||T031|hide||||||512FC5BF-67144F4F-ABC436B3-80682839||||||||||JP0025-NPJR50380_00-AA90320000000000
