folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0211E84C-F7154168-A49D7832-F464B8CB|Brown Tabby Cat Costume Set (Men)|Brown Tabby Cat Costume Set (Men) This Set Contains The Following Items  Brown Tabby Cat Suit (Hommes) (Outfit) Brown Tabby Cat Ears (Men) (Head Accessory) Brown Tabby Cat Footware (Men) (Shoes) Brown Tabby Cat Gloves (Men) (Hand) Items Are Added To Each Category After Purchase.|Bundle-Male|O-Two inc.|1.80.0.53.PUB|P||L||T032|Yoshinori Utsumi||||||00387ED8-7BB84FC1-8DC2CB1B-AF3D6284,69B0E004-4B2240E6-BF28E1B9-34FDA689,A6432BB7-03834C8E-B6BC105E-E052B17E||||||||UT5028-NPUR00240_00-0006330000000000||
02240619-587C418F-A341BA4D-B5CBDA36|Spuntacle Bundle (male)|3 Pairs of stylish Spuntacles for the discerning Homie.|Bundle-Male|madmunki|1.82.0.17.PUB|P||L||T032|Dave||||||1487F5C5-9CE04B4D-BA27CB46-E3F02481|||||||EP4393-NPER00062_00-SPUNTACLES000134|UT5032-NPUR00280_00-0001340000000000||
0231EA16-08EE4E4A-97C398C7-35C6CFCA|Rave Piercings (male)|Long live the party. Rave Party is the ideal collection for all those who love to go out to have fun and dance. Dare to combine different designs and create your own style.|Bundle-Male|KOVOK LTD|1.86.0.17.PUB|P||L||T031|Joan||||||04BE755A-A9B74F52-85FC696F-253C8329,F5F9B6F1-1F0D4084-8BEFAADC-0E832C86|||||||EP4468-NPER00076_00-RAVEPIERCI000907|UT5035-NPUR00320_00-0007770000000000||
05A5A050-20A946A5-B99428D8-D7098C65|Halloween Dark Minion Collection|This bundle contains the following items  Flaming Skeletal Warrior Outfit (male) Frozen Skeletal Warrior Outfit (male) Spiked Demon Outfit (male) Orc Warrior Outfit (male and female) Each object will be added to its relevant wardrobe or furniture category.|Bundle-Male|Sony Computer Entertainment|1.80.0.53.PUB|P||L||T032|mtyoung|||||4|078BC284-11554CA7-BBF1D3D1-2E3B3E5A,1C9F7C91-96584E36-93C31B4A-1AB0A1C6,40F16ECB-E5C9412D-BDC8ED97-470A4505,E9276035-8FE241A0-87B62DFF-4D5076B1||||||||||
062E7964-BEE744E3-B9002EBD-4EAE85FB|Windbreaker And Cargo Pants Dressing Set (white And Green Male)|3 Different Size Black Knit Hats, White Checked Windbreaker, Green Cargo Pants, Brown 7-piece Set Including Belt Boots And Their Combinations. Defense  Coolness  This Set Includes The Following Items. Knit Hat Small (black Male) head Accessory Knit Hat Medium (black Male) head Accessory Knit Hat Large (black Male) head Accessory Windbreaker (white Check Male) top Cargo Pants (green Male) bottoms Belt Boots (brown Male) shoes Cargo Pants & Belt Boots (Green & Brown Men) Bottoms When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Male|Granzella Inc.|1.65.0.139.BETA|P||S||T032|hide|||||3|0C5B07CF-1E084359-92032212-7DCECA13,268BFB84-D52040F0-AEE0ABD0-5B91F1C5,5233A18C-281147D8-A4BD754A-DBB780C3||||||||||JP0025-NPJR50380_00-AA04380000000000
06DBD04B-B32E4F8C-9ECF61E7-97954B03|Gunslinger with fire Bundle (Men)|You will feel like that you are an actor in cowboy movie when you wear this Gunslinger outfit. This bundle includes following items  Gunslinger Hat (Men) Gunslinger Top (Men) Gunslinger Pants (Men) Gunslinger Pistol (Men) Gunslinger Boots (Men) Animated Outdoor Firepit|Bundle-Male|Sony Computer Entertainment|1.60.0.451.PUB|P||S||T031|Sony Computer Entertainment|||||||||||||||HP9000-NPHQ00010_00-0009660000000000|
081C3D57-10EC4A37-ABBAC860-10BD70E3|Raven Culture Megabundle I|This bundle contains  - Raven Culture Piercings - Wicked Boots - Raven Black Jacket (female) - Raven Red Jacket (female) - Raven Reinforced Boots - Raven Kilt - Extreme Hairstyle - Enchanted Black Rose - Shelves of Sinister Stories - Raven Culture Hairstyle (male) - Red Rose Chained Corset - Spider Earrings - Black Raven Trousers - Raven Red Jacket (male) - Raven Black Jacket (male) - Raven Culture Corset - Raven Culture III Hairstyle (female) - Bands and Collar Raven - Raven Culture III Hairstyle (male) - Raven Culture Sofa - Raven Claws - Not so good girl Hairstyle - Raven Striped Trousers - Raven Platform Boots (male) - Raven Leather Leggings - Spiked Wristband Raven - Victorian Chair - Marble Round Table - Silver Skull Cane - Black Rose (male) - Black Rose (female) - Flirty Skirt - Neo Victorian Jacket - Black Bombe chest of drawers - Raven Signature - Spiked Shoes - Raven Leather Trousers (male) - Raven Leather Trousers (female) - Mysterious Hairstyle - Raven Culture Boots - Raven Culture Sunglasses (female) - Raven Culture Sun Glasses (male) - Nightfall Skirt - Raven Boots - Victorian Dandy Shoes - Gothic Blazer - Mystic Blue Waistcoat - Mysterious Mask - Raven Culture Hairstyle (female) - Black Rose Handbag - Raven Culture Handbag|Bundle-Male|KOVOK LTD|1.86.0.17.PUB|P||L||T032|Joan||||||07779A12-A70248D3-ACEB0B50-0B63B211,0AF4152E-B6D64C26-B1C863FA-DAFDC1E7,0B0583E3-1199489F-8F4C42D1-4D69B4A4,0B8897E2-7F884A7A-869FC5D5-441EC77A,1196E0A4-CC9940A4-9694C81B-044E5596,18753AF8-82E74D4B-8CB409FE-2B4D2296,19673D1D-C6A048F4-A8B56407-FD557EAE,1B63AD7C-6EEA495C-A272E411-DA56AE61,1C476870-1E514B4A-9528069B-95B6FB99,22D4FF61-B4524506-A9333A94-53A9C475,249607AB-ACB746DF-BE0CDB89-D89D7DB7,24AA6504-4A834CBF-93C93085-2964B539,24AD53FA-EEEC4B0E-A76F46B4-271FDE74,28DB39C7-FE514E6E-AD2106BD-5B440326,29A83D2F-629B4948-B529363D-E5E2348B,2C3DB9AD-70E24759-8F6B5E76-D5CB1ED1,2D06F4B7-B0B041D9-97131740-F4C056B6,314B9F31-E6BD425A-BB82CA69-252E9A2E,333D404A-DFD744D5-A7547EFC-6D71B458,33EEAC22-A98F46E0-9A665975-F2987566,354F9715-72B34BB5-840F0458-67E039A7,383A683D-7C824564-A63D241C-0383D2F4,391CE294-315745DA-9250F90F-76CFC247,3B052BBC-EDD641CB-88A549E4-A8AC4CC8,3ED675F4-400F4200-8750E294-DADDBE12,4013C679-255F423D-AB5E71BC-CE824F01,41791687-4648493F-99EEC65F-807327AC,44AEA2DD-531E45F7-8B21D226-68D059F7,46AE68D9-72DF499D-B1AEBB30-17260615,503345EE-C7514D0C-B1CDB8DA-D62B801A,51067483-C4834A55-8206341D-41545863,55B954A5-215D4115-BC40FA2B-946723F9,570B0AE8-CA614625-BD6060C8-8BBA3252,5A43C79A-AABE4D11-A645928E-C01C5AF3,5E6FD1C4-A2BC4EFD-AFB6D9D3-AE0B4DB2,5F4DACE6-604B4341-99D78FDD-F75B4768,61D6EDD6-15B14CDD-8A4AB7F4-4C9E8A8B,66DCC8FA-03D04262-A1167E53-A22891B6,67503C42-5E8B4E4B-98920669-F0B8E6C2,6860A76C-8D90402C-93FC0873-9E6B8A66,698C0579-21064F93-948C30F7-0195A4EB,6BCD355A-06314518-9BCBE431-60FB62EB,6CC2CEBB-50324C98-ABC767B0-68487089,707EA055-119941A9-A65EBE96-A5058AF1,81F38081-A5964654-AD68E1F3-A05508CB,86CBB201-432C4BE8-A8FBCF78-705319FE,97309EBF-8E4E4729-A97B1B17-7E544672,9952A3D6-03EC4B36-9AAE0831-F58078C0,9AD417C3-C7D64600-9CE9355D-B790965C,9E34F5BA-7CA747FF-AF241620-EF9AD6A7,9E8EEB4A-E6474E1C-89D1D213-5117CB7C,A316AB3D-82C1405F-945179CE-2AB069F3,A36863F5-641B41A6-872A9DF6-ED0C69AC,BE294844-FD5B4F2D-9217CA8F-897818AB,C00DDA32-5E60430E-8DC160F8-AC12B752,C1F19DA0-2B984317-898EC7A0-9FA8A50A,C3EA22BC-71D643CC-930D577B-C2D8EA16,C56586D5-87214476-BA9CE95D-B3DF9AEE,C8E73F93-B01D4A20-B0FD02B4-D1F45847,D0467E58-AFEF46E9-8A434D9D-57722103,D6CFA398-213546B7-9F9DA71A-E5D9817F,D9E758CC-8F9B471B-848181F2-A2280828,E5933FBC-5DAB4431-9CC441D1-FED4CF0C,EC4BA528-403E4F3C-BD8FE383-CC978ABB,ED24F2E5-438947A6-981CE314-93C0370A,EFC58B5C-D8234FF7-9C9748D4-D7B7E7AD,F0B98D9F-4F27490B-BB508B79-726366B2,F1612449-DCB74D0D-ACDE47CB-D633FCE8,F2FDE6AF-41BC4F23-9B22CA31-E7A1FF5C,F565FABC-A5614F21-980FBB70-10FBEFCC,F7E865EC-F75C44D1-BFC1B0B3-5946C582,F9AE70AE-2B414E14-8826A6E0-68AE1D95,FA630B5B-29404066-96826E27-10296C8B,FC0700D2-F9FE4A9A-8F111704-6896459C|||||||EP4468-NPER00076_00-RAVENCULTU000975|UT5035-NPUR00320_00-0008630000000000||
09700FA8-988C435D-80249978-E1435E7A|Guardian Amulet Set|The Amulet Set Is Surrounded By A Mysterious Light. When Purchased, It Can Only Be Used Once Per Battle In The Oedo Mononoke Extermination Lounge, And When Used, Increases Defense For A Certain Amount Of Time. Increased Defense   This Set Includes The Following Items. Hand Clutching A Charm Of Protection (Hand Male) Hand Clutching A Charm Of Protection (Hand Female) Amulet Of Protection (decoration) When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Male|Granzella Inc.|1.52.0.2.PUB|P||S||T033|hide|||||2|C1606DD6-34634783-BDD05CED-B68DDB61,F43625AC-2AD14F27-B64B687C-3E205422||||||||||
097F5FD3-A2B1431E-AD014184-8B2D28E9|5-piece Set Of Costumes For A Celestial Being (pink And Yellow Male)|Includes Hairstyle, Hoodie, Bracelet, Shorts And Sandals. Defense  (None) - Magic  This Set Includes The Following Items. Soft Mohawk Hairstyle (Pink Hairpin For Men) Head Hoodie Of The Heavenly Host (Pink For Men) Tops Bracelets Of The Heavenly Host (Yellow For Men) Hands Shorts And Socks Of The Heavenly Host (Pink And Yellow For Men) Bottoms Sandals Of The Heavenly Host (Yellow For Men) Shoes When Purchased, Each The Item Will Be Added To The Corresponding Category.|Bundle-Male|Granzella Inc.|1.75.0.85.PUB|P||L||T031|hide||||||5968901E-964D45EF-9D06F712-1B863DE3||||||||||JP0025-NPJR50380_00-AA06530000000000
0A2EB2A6-F17445DF-B92FADE1-722735BC|Element - Release Bundle - Volume 07|Element - Release Bundle - Volume 07 This bundle contains  (1) Element - Best Coast Cap - White (Men) (2) Element - Knutsen Cap - Pine (Men) (3) Element - Lion Cap - Garnet (Men) (4) Element - Plan B - Short Stop Cap - Grey (Men) (5) Element - Chopped Hoodie - Grey Heather (Men) (6) Element - Plan B - Coaches Jacket - Red (Men) (7) Element - Cornell Jacket - Navy (Men) (8) Element - Plan B - Crosstown Hoodie - Grey Heather (Men) (9) Element - The OG Script Hoodie - Navy (Men) (10) Element - Bellflower Hoodie - Charcoal (Men) (11) Element - Dilly-Dally Beanie - Black (Women) (12) Element - Adorn Tank - Black (Women) (13) Element - Gabby Knit and Rowan Backpack - Natural and Natural (Women) (14) Element - Stormer Hoodie - Grey Heather (Women)|Bundle-Male|VEEMEE|1.82.0.17.PUB|P||L||T031|euan||||||0697452E-7EE34403-83BB3DA1-02D3D52F,0D2137E9-D0894B8F-8E7137F9-14A6E4DC,0E05F7AB-D0DC4888-926F8756-04A038D3,16EB35CE-52334D3B-B5CA72FA-798E2FE0,1C69E3CD-E3714687-8428BC34-3284565D,339B7978-D71B40E3-B1E68C56-8FE2532C,341FCC50-BAAF410D-BBB5882E-A69AEA5E,53116A12-E46C484B-988B0A40-69F7163D,54B2882E-772D4D79-94C607EA-2FCB5057,6EFA20F7-B9624EA2-B00DE585-9B123A78,983E9259-3772482A-8F45DF99-D4F68257,9BBA7B69-09114E92-BEA89666-1115AE20,B2DC12CE-471443A9-B047D913-CE59058C,BB88CE03-45094ACB-BBFBB153-09E19EDD,C0F150CC-802348C7-A03220FC-46191A35,D3A12477-B95845F7-9989E0BA-BD9CF993,D75F29B1-055742ED-A082D360-9C487B43,E99F9251-ECC74BE0-88BA01C6-E893611C,F43F4163-03E74E3B-BE0BCC8C-4341CEBC,F7765F44-C6DE427F-8BBBD215-7F727F3E,FB48185D-71554F0E-BAC7C8C6-F4A92E5D|||||||EP4065-NPER00071_00-ELEMENTREL000717|UT5002-NPUR00030_00-0047400000000000||
0A47CD51-10CB4569-A98F172F-CF0FCEE6|Sergeant Mutsumi Maekawa s Mask 2-piece Set (male)|The Mask Of Sergeant Mutsumi Maekawa From The Four-panel Comic Kanazawa Independent Front Serialized On The Granzella Website. This Two-piece Set Includes One To Be Worn From The Front And The Other To Be Hooked Onto The Top Of The Head At An Angle. This Set Includes The Following Items Mutsumi Sergeant Maekawa s Mask Front (male) Head Accessory Mutsumi Sergeant Maekawa s Mask Oblique (male) Head Accessory When Purchased, Each Item Will Be Added To The Appropriate Category.|Bundle-Male|Granzella Inc.|1.65.0.139.BETA|P||S||T031|hide||||||089996F6-4E904E9E-B8257F41-37AE4057,188D8038-D5D8479C-BC092D37-7BA9A03F||||||||||JP0025-NPJR50380_00-AA03620000000000
