folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0021EB95-BC944D0B-8A6D2200-01D14375|Hollywood Hills House Ultimate Bundle|This amazing bundle comes with all four versions of the Hollywood Hills House as well as the following items  1) Hollywood Hills House Daytime Estate (with Home Theatre) 2) Hollywood Hills House Daytime Clubhouse (with Home Theatre) 3) Hollywood Hills House Nighttime Estate (with Home Theatre) 4) Hollywood Hills House Nighttime Clubhouse (with Home Theatre) 5) LOOT Active Camera 6) LOOT Active Light 7) 140 LOOT EOD TV - Flatscreen 8) Aerial Swimming 9) LOOT Firepit 10) LOOT Outdoor Oven 11) LOOT Velvet Rope 12) LOOT Tiki Torch - Single 13) LOOT Tiki Torch - Double 14) LOOT Tiki Totem 15) Cabin Boy in Trout Trouble Classic 16) LOOT Photo Telescope 17) LOOT Grandfather Clock 18) LOOT Searchlight 19) LOOT Fog Machine Create the ultimate party with your friends -- at your Hollywood Hills House from LOOT . PLEASE READ BEFORE YOU PURCHASE  Due to contractual and rights agreements, some EOD channels are nation specific. Crackle content is ONLY available in United States, Canada, United Kingdom, and Australia. RadioIO is ONLY available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one TV can be active at a time. The LOOT EOD will work in any private space, UNLESS the space comes with a video screen you cannot turn off.|Bundle-Scene| LOOT |1.80.0.53.PUB|P||L||T035|jsorensen||||||144D13F7-EB574A85-8526A0C7-D1913709,20ECBB88-18B94338-ACF40889-3EBCE4F5,3DC7D8FA-ACF64809-992B607B-0483B5B8,67C5004E-BDB44973-8F939FCC-736ACA6A,701BFCB3-27804E8A-8A6DDC80-848B42F3,73C36656-7FFE4486-B60C346F-486DFE91,74BCC53C-88AC4092-AD93DED1-41DD5D19,75E0E98C-F5754D97-ABE8E202-C40C2DE2,A96AA65F-1B2D4FFA-98EB098D-3EB25DCE,CF713A13-887D4A93-88D237D9-461C2E76,D0B5FBED-87AD4A6A-8D001B00-F10E429B,DA163C81-D96D4B92-BD4A4B55-466F2154,FA444D73-286F40F9-813CC6F9-44D8C0DC|||||||EP0644-NPER00008_00-HOLLYWOODH000755|US0002-NPUR00001_00-4025060000000000||
00A1BD13-AC5F46D2-B2A9A70A-3E3D0C5B|Plum Tree Pavilion Mega Bundle|Available as a single purchase, the Plum Tree Pavilion Mega Bundle includes the apartment, clubhouse, and furniture bundle for this space. Now you can enjoy everything this elaborate space has to offer.|Bundle-Scene|Sony Computer Entertainment|1.75.0.85.PUB|P||L||T032|apadua||||||C448493B-36F64B13-8437B3FE-74A67430,D173B874-16054E3F-A72DE46A-5E9A8336|||||||EP9000-NPEQ00005_00-PLUMTREEPA002450|UP9000-NPUQ00020_00-PLUMTREEPAVBNDL1|HP9000-NPHQ00010_00-0008600000000000|
02543AF9-7DF84AAF-81E16F0A-B4C1D39D|Red Bull House of Skate Super Bundle (for Female)|Red Bull House of Skate Super Bundle (for Female) This pack includes the following  Red Bull House of Skate Personal Space Red Bull Skateboarding Jacket (for Female) Red Bull Skateboard (for Female) Red Bull Skateboarding Jeans (for Female) Red Bull Skateboarding Sunglasses (for Female) Red Bull Skateboard - OG Logo Red Bull s 10,000 sq ft House of Skate including scenic views of the Hollywood Hills, hot tub, Red Bull Skateboarding gear including 2 skate decks, and a playable skate game. Flip, grind, and ollie your way through this modern skate haven while earning trophies and street cred.|Bundle-Scene|Red Bull|1.52.0.2.PUB|P||S||T031|Red Bull||||||0975C2B9-7AB24FE8-ADA38852-ED980D77,535A2A82-34BB4F41-9240F714-902563B2,7D55701D-772C4B3F-8F09920D-C35179F6,96F3B49C-A5414C20-A7623942-ECCCFA37,186BE0D9-22DE4333-A7395829-E9CB3B6A|||||||EP5019-NPER00047_00-RYANSHECKL000050|UT5013-NPUR00130_00-RBRSSK8SPRBNDLF1||
04D43019-2B44408E-B8309EBF-1BE778F7|Dream Forest Paradise Bundle|Dream Forest Paradise Bundle This bundle includes the following  Dream Forest Paradise Dream Forest Paradise Clubhouse Your dreams come true with this breathtaking deluxe home amongst the trees, a luxurious treehouse if you will. Traverse the treetop bridges, swim in the lagoon, and explore your lush surroundings to obtain rewards. With a magnificent view from every angle you ll never want to leave the Dream Forest Paradise from Figment. Live the Dream.|Bundle-Scene|Lockwood|1.86.0.17.PUB|P||L||T031|Lockwood||||||1FA691D0-0F0444E1-8406D8F9-701754E7,8350F4C2-A07F4B1D-960F693C-4D3DFE72|||||||EP4127-NPER00050_00-DREAMFORES002717|UT5000-NPUR00012_00-LKWDDREAMFRSTBND||
06A68487-C88540B9-BE2FBF6B-BE61CB05|Paradise at Sea Mega Bundle|Available as a single purchase, the Paradise at Sea Mega Bundle includes the apartment, clubhouse, and furniture bundle for this space. Now you can enjoy everything this elaborate space has to offer.|Bundle-Scene|Sony Computer Entertainment|1.60.0.451.PUB|P||L||T033|apadua||||||2B21B916-5CA84F03-B40C2539-4AD5B055,2E7DCB48-B61C4304-AEF5532F-049E07AC|||||||EP9000-NPEQ00005_00-PARADISEAT002515|UP9000-NPUQ00020_00-PRDSSEAMEGABNDLE|HP9000-NPHQ00010_00-0009270000000000|
07C04136-E54443FD-857666D8-35F3DE11|Oscar s Lobster Mania Island Bundle|This bundle contains  Oscar s Lobster Suit (Women) Oscar s Lobster Suit (Men) Oscar s Lobster Mania Island Upon purchase, the items will be placed into their respective categories.|Bundle-Scene|VEEMEE|1.70.0.93.PUB|P||L||T032|euan||||||0E5B665A-61944690-B5078E1B-FDE176ED,3662DA41-265E474C-8F35900B-50DBEB66,92E73C12-F52A416E-B2DE84D5-3A1F6756|||||||||HT4005-NPHR00020_00-0002260000000000|
08CD680D-0AF3466F-9DB332E8-0A9570BA|Abbey Hill Cottage - Winter Retreat Ultimate Bundle (for Male)|Abbey Hill s finest quality clothing for the most elegant of country folk. This pack includes the following  Abbey Hill Cottage - Winter Retreat Personal Space Sir Gladstone s Distinguished Boots The Julius Hairstyle Sir Gladstone s Distinguished Coat|Bundle-Scene|Lockwood|1.80.0.53.PUB|P||L||T031|Lockwood||||||1662E4E3-4C2846BC-9EF46DE8-A86169B5,8D1A3CD6-9E9D406F-8117F0A7-9502F45C,B7E489AA-E02443C8-8295AD7C-E3F29A98,E2293B69-62AF4FFD-94D18DAF-490A0FDE|||||||EP4127-NPER00050_00-ABBEYHILLC001615|UT5000-NPUR00012_00-LKWDABHILWINTMUF||
09DC9CFB-A51C4246-9E2D20C9-FD2C6E7E|Planetland Mega Bundle|Discover a great new collection of furniture items and clothing items with this amusing mega bundle. This one of a kind bundle includes the Planetland apartment, 22 furniture items and 16 clothing items.|Bundle-Scene|Sony Computer Entertainment|1.55.0.155.BETA2|P||L||T032|mvan||||||E33173CD-17B8405B-8C913D8A-2AB9A529||||||||UP9000-NPUQ00020_00-PLANETMEGABUNDLE||
0D2A4545-8764403D-9EE4F6EA-45BE57DC|Pharaoh s Tomb Mega Bundle|Take a trip back in time to the era of the Pharaoh. This Egyptian themed mega bundle includes Pharaoh s Tomb apartment, 17 furniture items and 35 clothing items.|Bundle-Scene|Sony Computer Entertainment|1.55.0.155.BETA2|P||L||T031|mvan||||||||||||||UP9000-NPUQ00020_00-PHARAOHMEGABUNDL||
0D7BECF7-56CC4AC5-B04A0BB0-65BA2318|Dream Yacht Bundle|Dream Yacht Bundle This bundle includes the following  The Dream Yacht The Dream Yacht Clubhouse Have the lifestyle you always dreamed of with the Dream Yacht from Figment. Three decks of opulent living, two hot tubs and more than 30 collectable rewards, plus an exclusive commerce point only available through the Dream Yacht. Live the dream.|Bundle-Scene|Lockwood|1.86.0.17.PUB|P||L||T031|Lockwood||||||2E962339-5B474D6B-B5330518-E9C24241|||||||EP4127-NPER00050_00-DREAMYACHT002713|UT5000-NPUR00012_00-LKWDDREAMYCHTBND||
