folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
002BCC9B-D754451E-98659D3E-28F7751F|Tropical Flower Decoration & Moo Moo Set (Purple & Green Female)|Two Pieces Of Flower Decoration With Purple Flowers And A Green Muumuu. Defense  Tropical Degree  ~ This Set Includes The Following Items. Tropical Flower Ornament (Purple Female) (Head Accessory) Muumuu (Tropical Green Female) (Combination) When Purchased, Each Item Will Be Added To The Appropriate Category.|Female-Bundle|Granzella Inc.|1.65.0.139.BETA|P||L||T032|hide||||||811FB48D-6E364DDE-B50CAFEC-7BED75BA,D9969B2A-13C945A5-AB7DE763-470CA2ED||||||||||JP0025-NPJR50380_00-AA24550000000000
006FEC54-D52A4479-99256F27-AF2E6409|Bollywood Star Bundle - Pearl|Bollywood Star Bundle - Pearl This pack includes the following  Bollywood Star Crop Top - Pearl Bollywood Star Maxi Skirt - Pearl Bring a taste of the East to your wardrobe with this Bollywood inspired garment.|Female-Bundle|Lockwood|1.86.0.17.PUB|P||L||T031|Lockwood||||||04C8D165-7B7643B5-9E95F1CF-53ADC0FE,F35C1C59-A78E4A67-B1ED477A-F5C7915C|||||||EP4127-NPER00078_00-BOLLYWOODS000150|UT5000-NPUR00012_00-LKWDBOLLYWSXKBUN||
015E1382-9564472D-A7CAEAAB-A8DE71AD|Madam Wildfire Outfit (Female)|Looking like Super Fly on a Friday. Bundle includes hat, top, pants, rings, and shoes.|Female-Bundle|Sony Computer Entertainment|1.50.0.238.BETA|P||S||T033|mvan||||||5E9B4EFD-348F44E1-8347AA16-8B29D90A,89558318-F90D47EA-B151E30B-71F3780C,915DFDF4-D753400F-99D8DC3B-923727BE,D297BA8B-C0A04895-851E6AA6-BA6E73C6,E73A6117-06ED4D1E-95145118-ABBA08CC|||||||EP9000-NPEQ00005_00-PIMPSUITBU001341|UP9000-NPUQ00020_00-PIMPSUITBUNDLEF1|HP9000-NPHQ00006_00-0002550000000000|
01DB38AE-F4174937-8F353E52-EC81DFFD|Queen of Hearts Bundle|This Valentines day, the quality and attention to detail of Altamar blend with romance to create this exclusive line. This limited edition is a unique design, accompanied by a line of warm and captivating accessories. Fall in love with class, fall in love with Altamar. This bundle contains  - Queen of Hearts - Altamar Flirty Shoes - Altamar Red HandBag - Gold Necklace|Female-Bundle|KOVOK LTD|1.80.0.53.PUB|P||L||T031|Joan||||||5F6C9167-C65540CC-B66D1FBE-F416CAE6,784B2C5C-47FC45ED-BFC90558-83C3029E,ADCFBD3C-D5344FAB-AF1B087A-D7E66047,C13418AF-152F49E8-9D3C3442-249BE702|||||||EP4468-NPER00076_00-QUEENOFHEA000005|UT5035-NPUR00320_00-0000180000000000||
028266EA-CB214D06-9EC90BE1-CC09820F|Holy Set (White Women)|The Costume Of Holy Unit Organized In Order To Fight Against Zombies. You Can Cultivate New Type Of This By Advancing L-Project. The Effect Of This Item Is To Make New Type As Same As The Other Holy Set. This Set Contains The Following Items  Holy Cloak (White Women) (Outfit) Holy Veil (White Women) (Head) Items Are Added To Each Category After Purchase.|Female-Bundle|O-Two inc.|1.80.0.53.PUB|P||L||T031|Yoshinori Utsumi||||||53C4D017-D4CB4188-825E9225-D3CC5487,595443CA-A1644B57-B520473E-A9099718||||||||UT5028-NPUR00240_00-0004540000000000||
02977C93-B35E4B67-A630BCD2-782D4485|Mercian Defender Khul Armor (Female)|Mercian Defender Khul Armor (Female) This pack includes the following   Mercian Defender Khul Wristguards and Amulet (Female) Mercian Defender Khul Breastplate (Female) Mercian Defender Khul Greaves(Female) Mercian Defender Khul Sabatons (Female) The Defender Armor can withstand the onslaught of heavy attacks, providing unstoppable force and raw power for the dedicated melee Warrior. Fame Required  15.|Female-Bundle|Lockwood|1.60.0.450.BETA|P||L||T034|Lockwood||||||23F26AEC-53B14196-82957582-C63D784A,33798C9E-9E6441BF-956BA673-998FC805,7916E6BD-95BC4029-B292484F-E6CE49D7,B93154F3-248349A2-8F7BF3CC-3ED52668|||||||EP4127-NPER00050_00-MERCIANDEF000198|UT5000-NPUR00010_00-LKWDMRCBUNDLEX32||
0297A870-4C414F72-B76AA2ED-46C0A651|Pop Diva Bundle (Female)|You ll be setting off fireworks when they see you dressed up. Bundle includes a new hairstyle, top, bottom, shoes, a bracelet and earrings.|Female-Bundle|Sony Computer Entertainment|1.60.0.450.BETA|P||L||T032|apadua||||||31F11822-0AFC4F94-B4A9D523-D165569D,50E517F3-BFD24D0E-A8D33141-D260CCB2,66B20D19-474D480B-8FB26F2B-90D1B088,97CF0C9A-5BF94A12-A8053213-D322D918,9D18DD08-5F4D4694-82E06FC9-BBEBC254,C2D75AB9-FC00493C-A5CD357A-8343FEC2,D5407668-045D4B45-995EA936-C8A975B6|||||||EP9000-NPEQ00005_00-POPDIVABUN002093|UP9000-NPUQ00020_00-POPDIVABUNDLEF01|HP9000-NPHQ00010_00-0004970000000000|
02CB8CEE-6C04455B-A1E05AE9-8438D032|Desert Island Designer Pack (for Female)|Desert Island Designer Pack (for Female) This pack includes the following  The Desert Island Damsel Desert Island Designer Sandals Desert Island Designer Bracelet Desert Island Designer Skirt Desert Island Designer Top Keep it chic while you re down at the beach.|Female-Bundle|Lockwood|1.60.0.450.BETA|P||L||T033|Lockwood||||||18A49EE5-1F264E39-966BB706-F2598967,26FB0ABB-E89349B0-B8C8A30E-947B44DD,ADCA4612-792C44C0-8598255D-8CB8FC88,BF3D177F-EEB042BE-BE3DE457-CABC10F0,CB81C4C1-C832499E-B95FB428-1647D716|||||||EP4127-NPER00050_00-DESERTISLA000267|UT5000-NPUR00012_00-LKWDAUGFGMNTDIDF|HT4001-NPHR00012_00-0020200000000000|
02E0967E-54224C5C-B792DD97-B4FB6F17|Glow Heart Bundle - Pink|Glow Heart Bundle - including High Tops, Corset and Earrings|Female-Bundle|Sodium - Lockwood|1.3.2.27.PUB|P||L||T031|Lockwood||||||8FCF2E16-E8564E47-A5C300A1-C026A7D5,D22C2D3C-39214E60-A2CD234C-157F175A,279182BB-C6ED423E-B0D3C5D8-B723BFB6,288607EB-788E4BD4-BED67507-26B98229||||||||UT5000-NPUR00010_00-OUTSOGLOWHEAPIBU||
03067D1A-8A1D4AA0-A7EC2A7C-E9EE1E4F|Contrast Bundle|This bundle contains  Contrast Studded Wedge Boots, Black Belted Jeans, Contrast Skull Vest Top and Contrast Black and White Gloves|Female-Bundle|JAM Games Ltd|1.80.0.53.PUB|P||L||T032|Joan||||||7F20D536-95274C44-AC465F5C-D930BEAE,E4923C1C-206E4334-B0EE6169-475DC76B,F20A0F36-2AFE4B03-AC6FECA8-8CFFD933,F99E5F8B-22704B47-884C087C-55B3790D|||||||EP4375-NPER00055_00-CONTRASTBU000216|UT5021-NPUR00200_00-0002990000000000||
032E9637-2F134396-9E306A52-C99BE471|Magic Sparkles - Set (female, black)|Add a touch of magic wherever you go. This content includes the following items  Magic Sparkles - Long Animated Dress (female, black) TorsoLegs Magic Sparkles - Short Animated Dress (female, black) TorsoLegs Magic Sparkles - Shoes (female, black) Feet Magic Sparkles - Bracelet (female, black) Hands The items will be added to the relevant categories when bought. By Dani.|Female-Bundle|Codeglue B.V.|1.80.0.53.PUB|P||L||T032|Tom Rutjens||||||040FD92E-D3EE4C32-955C1148-48F67A78,40B05DB3-31AA4492-B53D4EC7-BB97E755,5EA07CB3-11BC4739-BA802117-CE3388F6,DD109047-2F194C6C-AA176A72-19B45F4A|||||||EP4297-NPER00033_00-MAGICSPARK000354|UT5007-NPUR00080_00-0020120000000000|HT4007-NPHR00016_00-0003790000000000|
03350632-FD284C9F-A12736CD-7E30DE2D|Black and White Bundle III|This bundle contains  -Striped Corset -Striped short skirt -Shoes with thighs -Lace Gloves|Female-Bundle|KOVOK LTD|1.86.0.17.PUB|P||L||T031|Joan||||||DF223BB3-BA44439C-83B0E078-AB48ED77,ED822750-FB7F456A-9B945402-567855EF,F2CCB723-DAB8408A-B0856F44-1C406E53,FA57E0F6-D43C444C-A2F9C8C5-A97C7A0D|||||||EP4468-NPER00076_00-BLACKANDWH000845|UT5035-NPUR00320_00-0007200000000000||
03456492-F9194AF2-A40C34D7-DB3942E9|Monk Armor Set (Female)|You are a holy warrior. Decimate foes with your physical and spiritual prowess in this iconic Monk armor set from Diablo III. The set includes the Monk s Master Crown, Monk Cuirass, Monk Legwraps, Monk Treads, and Monk Fists.|Female-Bundle|Blizzard Entertainment|1.80.0.53.PUB|P||L||T031|Leslie||||||2356115A-6C8E4D3D-B31C8DF9-87F1FE7B,837ECC93-F27D4525-BB8A6036-0F90C229,87D1B081-C7384812-83EDD88E-78566854,ADABCF99-E8004618-A6F1C194-24198693,B7B1DB0B-5E954994-ADED3B58-E32FFE4D|||||||EP0002-NPER00031_00-MONKARMORS000055|UP2090-NPUR30360_00-0000490000000000||
044D02F3-30AA4B43-ABAC46E0-8B8AD18F|SilverSpike Bundle (Female)|And to think this is just SilverSpike s getting the mail outfit. Bundle includes headdress, jacket, leather pants, knee-high boots and of course, lots a spikes.|Female-Bundle|Sony Computer Entertainment|1.3.6.22.PUB|P||S||T031|jpena||||||262A515B-BC3649BA-9FBD1323-D61D344F,EABE5693-577B4CA4-B6C9D9E3-B1ABD3F9,EBE424BF-12534588-85761AFC-83F4885B,BD9B0C34-BE97496D-B136BC51-58FC9D4A|||||||EP9000-NPEQ00005_00-SILVERSPIK000799|UP9000-NPUQ00020_00-SILVERSPIKEBNDLF||
049C72EE-05594D4F-854EE6B3-8E58436C|Kalila Clothing Pack - Onyx (for Female)|Kalila Clothing Pack - Onyx (for Female) This pack includes the following  The Kalila - Onyx Band (for Female) Kalila s Bikini Top - Onyx (for Female) Kalila s Sarong - Onyx (for Female) Kalila s Pendant - Onyx (for Female) Kalila s Ankle Bangles - Onyx Polish (for Female) The Kalila always aims to look her best for every ocassion.|Female-Bundle|Lockwood|1.80.0.53.PUB|P||L||T031|Lockwood||||||08D21864-170F4243-96D75499-0B3B80EC,2D639EBB-71974333-81B214A4-2A5FF418,2E4E234E-3255431B-9098F362-A2406A82,308DF0B7-2EBD4096-9F4206A7-E692DD57,A277AA1F-FD4A4494-82E44FB7-CEE3FE4D|||||||EP4127-NPER00050_00-KALILACLOT001971|UT5000-NPUR00012_00-LKWDKALILACLPAKF||
