folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01050002|Bar Shoes||Female-Feet|||D|7|S||T001||||||||||Feet_shoesbar_lod1.mdl,Feet_shoesbar_N.dds,Shared,Feet_shoesbar_navy_C.dds,Skin_Body_N.dds,Textures,Feet_shoesbar_lod2.mdl,Feet_shoesbar_S.dds,Feet,textures,Characters,Feet_shoesbar_lod3.mdl,V2|||||||
00000000-00000000-00000000-01050014|Sandals||Female-Feet|||D|7|S||T000||||||||||Feet_sandals_N.dds,placeholder_s.dds,Feet_sandals_black_C.dds,Shared,Skin_Body_N.dds,shared,Textures,Feet,feet_sandals_lod1.mdl,Characters,feet_sandals_lod3.mdl,generic,feet_sandals_lod2.mdl,textures,V2|||||||
00000000-00000000-00000000-01050019|Yellow Sandals|A splash of yellow brings these stylish sandals to life.|Female-Feet|Sony Computer Entertainment|1.3.0.297.CORE|P|7|S||T034||||||||||v2,shared,Textures,feet_sandals_n.dds,characters,feet,Feet,feet_sandals_lod1.mdl,Characters,feet_sandals_lod3.mdl,feet_sandals_s.dds,generic,feet_sandals_lod2.mdl,skin_body_n.dds,textures,Feet_sandals_yellow_C.dds,V2|||||UP9000-NPUQ00010_00-FEMALEYELSANDALS|HP9000-NPHQ00001_00-0006740000000000|JP9002-NPJQ50000_00-0022220000000000
00000000-00000000-00000000-01050020|White Sandals|These sandals look great with anything.|Female-Feet|Sony Computer Entertainment|1.3.0.297.CORE|P|7|S||T034||||||||||v2,shared,Textures,feet_sandals_n.dds,characters,feet,Feet,feet_sandals_lod1.mdl,Characters,feet_sandals_lod3.mdl,feet_sandals_s.dds,generic,feet_sandals_lod2.mdl,skin_body_n.dds,textures,Feet_sandals_white_C.dds,V2|||||UP9000-NPUQ00010_00-FEMALEWHTSANDALS|HP9000-NPHQ00001_00-0006730000000000|JP9002-NPJQ50000_00-0022210000000000
00000000-00000000-00000000-01050024|Basketball Boots|Athletic eight-hole basketball boots with toe cap detail.|Female-Feet|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||Feet_trainerbasketball_S.dds,Textures,Feet_TrainerBasketball_lod1.mdl,Feet_TrainerBasketball_lod2.mdl,Feet,Feet_trainerbasketball_N.dds,Feet_trainerbasketball_pink_C.dds,Characters,Feet_TrainerBasketball_lod3.mdl,V2||||EP9000-NPEQ00001_00-BASKETBOOTSPINK0|UP9000-NPUQ00001_00-BASKETBOOTSPINK0|HP9000-NPHQ00001_00-BASKETBOOTSPINK0|JP9002-NPJQ50000_00-BASKETBOOTSPINK0
00000000-00000000-00000000-01050028|Court Shoes||Female-Feet|||D|7|S||T000||||||||||feet_courtshoes_N.dds,placeholder_s.dds,Shared,Skin_Body_N.dds,shared,Textures,Feet,Characters,feet_courtshoes_lod1.mdl,feet_courtshoes_lod2.mdl,generic,feet_courtshoes_flowers_C.dds,textures,feet_courtshoes_lod3.mdl,V2|||||||
00000000-00000000-00000000-01050034|Pointed Ankle Boots|Brown leather ankle boots with pointed toes and buckle detail.|Female-Feet|Sony Computer Entertainment||P|6|S||T031||||||||||Feet_anklebootspointed_black_C.dds,Feet_anklebootspointed_lod2.mdl,Textures,Feet_anklebootspointed_lod1.mdl,Feet_anklebootspointed_N.dds,Feet,Feet_anklebootspointed_S.dds,Characters,Feet_anklebootspointed_lod3.mdl,V2||||EP9000-NPEQ00001_00-POINTEDANK000348|UP9000-NPUQ0010_00-FEMPOINTANKLBOOT|HP9000-NPHQ00001_00-000406|JP9002-NPJQ50000_00-002124
00000000-00000000-00000000-01050039|Biker Boots|Rugged, tough boots. Great in any conditions.|Female-Feet|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||v2,characters,feet,Feet,Feet_boots_lod1.mdl,Characters,feet_boots_s.dds,feet_boots_black_c.dds,Black,Feet_boots_lod3.mdl,textures,Feet_boots_lod2.mdl,feet_boots_n.dds,V2|||||||
00000000-00000000-00000000-01050041|Work Boots|A solid seven holed work boot.|Female-Feet|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||v2,Feet_dmboots_lod1.mdl,Feet_dmboots_lod3.mdl,Feet_dmboots_lod2.mdl,feet_dmboots_n.dds,characters,feet,Feet,textures,Characters,feet_dmboots_s.dds,feet_dmboots_black_c.dds,V2||||EP9000-NPEQ00001_00-WORKBOOTSBLACK00|UP9000-NPUQ00001_00-WORKBOOTSBLACK00|HP9000-NPHQ00001_00-WORKBOOTSBLACK00|JP9002-NPJQ50000_00-WORKBOOTSBLACK00
00000000-00000000-00000000-01050048|Walking Sandals|Free those toes with these strappy leather sandals.|Female-Feet|Sony Computer Entertainment||P|9|S||T000|PlayStation Home|||||||||v2,Feet_sandalswalking_lod3.mdl,shared,characters,feet,Feet,Characters,Feet_sandalswalking_lod2.mdl,Feet_sandalswalking_lod1.mdl,feet_sandalswalking_brown_c.dds,skin_body_n.dds,skin_body_white_c.dds,textures,skin_body_s.dds,feet_sandalswalking_n.dds,V2,feet_sandalswalking_s.dds||||EP9000-NPEQ00001_00-WALKSANDALSBROWN|UP9000-NPUQ00001_00-WALKSANDALSBROWN|HP9000-NPHQ00001_00-WALKSANDALSBROWN|JP9002-NPJQ50000_00-WALKSANDALSBROWN
