folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01060001|Circular Framed Spectacles|Circular Framed Spectacles|Female-Glasses|Sony Computer Entertainment||P|9|S||T000||||||||||Accessories_glassesheavyframe_lod1.mdl,Accessories_glassesheavyframe_lod3.mdl,Accessories,v2,generic,generic01_accessories_glasses_lens_darkgreen_s.dds,Accessories_glassesheavyframe_lod2.mdl,characters,generic01_accessories_glasses_frame_red_s.dds,generic01_accessories_glasses_frame_black_c.dds,generic01_accessories_glasses_lens_cleargradient_c.dds,nonormals_n.dds,Characters,accessories,V2||||EP9000-NPEQ00001_00-GLASSESCIRCLE000|UP9000-NPUQ00001_00-GLASSESCIRCLE000|HP9000-NPHQ00001_00-000087|
00000000-00000000-00000000-01060002|Light Frame Glasses|Light Frame Glasses|Female-Glasses||1.55.0.156.PUB|D|9|S||T031||||||||||Accessories,v2,generic,shared,accessories,generic01_accessories_glasses_lens_blue_s.dds,characters,textures,Accessories_glasseslightframe_lod3.mdl,Accessories_glasseslightframe_lod2.mdl,Characters,generic01_accessories_glasses_lens_50_c.dds,V2,generic01_accessories_glasses_lens_blue_c.dds,placeholder_n.dds,Accessories_glasseslightframe_lod1.mdl,generic01_accessories_glasses_frame_mtl_silver_s.dds|||||||
00000000-00000000-00000000-01060006|70 s Sunglasses|Be unique in these great vintage 70 s sunglasses.|Female-Glasses|Sony Computer Entertainment||P|12|S||T034||||||||||v2,shared,accessories,characters,Accessories_sunglasses_70s_lod1.mdl,Characters,Accessories_sunglasses_70s_lod2.mdl,generic01_accessories_glasses_lens_browngradient_s.dds,generic01_accessories_glasses_frame_mtl_silver_s.dds,generic01_accessories_glasses_frame_mtl_silver_c.dds,Accessories,V2,generic,generic01_accessories_glasses_frame_black_c.dds,generic01_accessories_glasses_lens_cleargradient_c.dds,textures,Accessories_sunglasses_70s_lod3.mdl,placeholder_n.dds||||EP9000-NPEQ00001_00-70SSUNGLAS000369|UP9000-NPUQ00010_00-FEMALE70SGLASSES|HP9000-NPHQ00001_00-000421|JP9002-NPJQ50000_00-002133
00000000-00000000-00000000-01060011|Big Sunglasses|Big Sunglasses|Female-Glasses||1.3.5.75.ALPHA|D|12|S||T031||||||||||generic01_accessories_sunglassesbig_lens_yellow_s.dds,v2,generic01_accessories_glasses_frame_mtl_gold_c.dds,shared,accessories,characters,Accessories_sunglassesbig_lod2.mdl,Characters,V2,Accessories,generic,generic01_accessories_sunglassesbig_frame_yellow_s.dds,Accessories_sunglassesbig_lod1.mdl,generic01_accessories_glasses_frame_black_c.dds,Accessories_sunglassesbig_lod3.mdl,generic01_accessories_glasses_frame_mtl_gold_s.dds,generic01_accessories_glasses_lens_cleargradient_c.dds,textures,placeholder_n.dds|||||||
00000000-00000000-00000000-01060012|Half Frame Sunglasses|Protect your eyes in these cool half frame sunglasses.|Female-Glasses|Sony Computer Entertainment||P|12|S||T034||||||||||v2,Accessories_sunglassesfashion_lod1.mdl,shared,accessories,characters,Characters,generic01_accessories_glasses_frame_mtl_silver_s.dds,generic01_accessories_glasses_frame_mtl_silver_c.dds,Accessories,V2,generic,Accessories_sunglassesfashion_lod2.mdl,generic01_accessories_glasses_lens_purplegreen_c.dds,generic01_accessories_glasses_lens_yellowpink_s.dds,generic01_accessories_glasses_frame_black_c.dds,textures,generic01_accessories_glasses_frame_ptc_black_s.dds,placeholder_n.dds,Accessories_sunglassesfashion_lod3.mdl||||EP9000-NPEQ00001_00-HALFFRAMES000368|UP9000-NPUQ00010_00-FEMHLFFRMSUNGLAS|HP9000-NPHQ00001_00-000420|JP9002-NPJQ50000_00-002132
00000000-00000000-00000000-01060013|Wraparound Sunglasses|Smooth lines and wide frames in these stylish wraparound sunglasses.|Female-Glasses|Sony Computer Entertainment||P|9|S||T001|PlayStation Home|||||||||Accessories,v2,generic,shared,accessories,placeholder_n.dds,generic01_accessories_sunglassesbig_frame_yellow_s.dds,characters,Accessories_sunglassesflywrap_lod2.mdl,Accessories_sunglassesflywrap_lod3.mdl,generic01_accessories_glasses_frame_black_c.dds,textures,Characters,generic01_accessories_glasses_lens_50_c.dds,generic01_accessories_glasses_lens_yellow_s.dds,Accessories_sunglassesflywrap_lod1.mdl,V2||||EP9000-NPEQ00001_00-WRAPAROUND000154|UP9000-NPUQ00001_00-WRAPAROUNDSUNGL1|HP9000-NPHQ00001_00-000254|JP9002-NPJQ50000_00-002045
00000000-00000000-00000000-01060014|Glam Sunglasses|Chic purple wraparound sunglasses.|Female-Glasses|Sony Computer Entertainment||P|12|S||T000|PlayStation Home|||||||||placeholder_s.dds,Accessories_sunglassesglam_lod3.mdl,v2,shared,accessories,characters,Accessories_sunglassesglam_lod2.mdl,Characters,generic01_accessories_glasses_frame_ptc_purplegrey.dds,generic01_accessories_glasses_frame_mtl_silver_s.dds,generic01_accessories_glasses_frame_mtl_silver_c.dds,Accessories,V2,generic,generic01_accessories_glasses_lens_purplegreen_c.dds,Accessories_sunglassesglam_lod1.mdl,textures,generic01_accessories_glasses_lens_glam_s.dds,placeholder_n.dds||||EP9000-NPEQ00001_00-GLAMSUNGLA000229|UP9000-NPUQ00001_00-GLAMSUNGLASSES01|HP9000-NPHQ00001_00-000286|JP9002-NPJQ50000_00-002057
00000000-00000000-00000000-01060016|Sport Sunglasses|Sleek and stylish sport sunglasses, a great look wherever you go.|Female-Glasses|Sony Computer Entertainment||P|9|S||T000|PlayStation Home|||||||||v2,accessories_sunglassessport_c.dds,shared,accessories,characters,Characters,accessories_sunglassessport_s.dds,V2,Accessories,Accessories_sunglassessport_lod2.mdl,generic01_accessories_glasses_lens_clear_s.dds,generic,generic01_accessories_glasses_lens_orangeyellow_c.dds,textures,Accessories_sunglassessport_lod1.mdl,Accessories_sunglassessport_lod3.mdl,placeholder_n.dds||||EP9000-NPEQ00001_00-SPORTSUNGL000189|UP9000-NPUQ00001_00-SPORTSUNGLASSES1|HP9000-NPHQ00001_00-000228|JP9002-NPJQ50000_00-002037
00000000-00000000-00000000-01060017|Star Sunglasses|Lights, camera, action Feel every bit the star in these.|Female-Glasses|Sony Computer Entertainment||P|9|S||T000|PlayStation Home|||||||||Accessories,v2,generic01_accessories_glasses_lens_brown_s.dds,generic,accessories,Accessories_sunglassesstar_lod3.mdl,generic01_accessories_glasses_lens_brown_c.dds,characters,generic01_accessories_glasses_frame_yellow_c.dds,nonormals_n.dds,Characters,Accessories_sunglassesstar_lod1.mdl,Accessories_sunglassesstar_lod2.mdl,generic01_accessories_glasses_frame_ptc_yellow_s.dds,V2||||EP9000-NPEQ00001_00-SUNGLASSESSTAR00|UP9000-NPUQ00001_00-SUNGLASSESSTAR00|HP9000-NPHQ00001_00-SUNGLASSESSTAR00|JP9002-NPJQ50000_00-SUNGLASSESSTAR00
0106BD8D-7BCD401B-A7F0FD95-E1A6DA53|Orange Spuntacles (female)|Orange Spuntacles (female)|Female-Glasses|madmunki|1.82.0.17.PUB|P|9|L||T032|Dave||||||920D4361-936A4BE6-B245464D-01C6679B|||v2,sharedtextures,spiral_lense_v2_n.dds,base_spec.dds,spiral_lense_v2.dds,Glasses_spuntacles_1_female_lod2.mdl,characters,Glasses_spuntacles_1_female_lod1.mdl,Glasses_spuntacles_1_female_lod3.mdl,spunland,glasses||||EP4393-NPER00062_00-SPUNTACLES000131|UT5032-NPUR00280_00-0001360000000000||
