folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01010001|Ponytail|Description|Female-Hair||1.75.0.68.PUB|D|9|L||T031||||||||||Hair_ponytight_lod3.mdl,Hair,hair_ponytight_gripband_c.dds,v2,hair_ponytight_s.dds,characters,Hair_ponytight_lod1.mdl,hair_ponytight_a.dds,textures,Characters,hair_ponytight_gripband_n.dds,Hair_ponytight_lod2.mdl,V2,hair,hair_ponytight_c.dds,hair_ponytight_gripband_s.dds|||||||
00000000-00000000-00000000-01010002|Ponytail with Fringe|Ponytail with Fringe|Female-Hair||1.75.0.81.PUB|D|9|L||T033||||||||||Hair,Hair_ponybangsband_C.dds,Textures,Hair_ponybangs_lod3.mdl,Hair_ponybangs_S.dds,Hair_ponybangs_lod1.mdl,Hair_ponybangs_A.dds,Hair_ponybangs_lod2.mdl,Characters,Hair_ponybangsband_N.dds,Hair_ponybangs_C.dds,Hair_ponybangsband_S.dds,V2|||||||
00000000-00000000-00000000-01010003|Pigtails|Pigtails|Female-Hair||1.75.0.68.PUB|D|9|L||T031||||||||||hair_ponybangsband_c.dds,Hair,v2,hair_pigtails_s.dds,Hair_pigtails_lod1.mdl,hair_pigtails_a.dds,Hair_pigtails_lod2.mdl,characters,Hair_pigtails_lod3.mdl,hair_ponybangsband_n.dds,textures,Characters,hair_pigtails_c.dds,V2,hair,hair_ponybangsband_s.dds|||||||
00000000-00000000-00000000-01010004|Short Crop|Short Crop|Female-Hair|Sony Computer Entertainment|1.75.0.68.PUB|D|6|L||T031|PlayStation Home|||||||||Hair_shortcrop_lod1.mdl,Hair_shortcrop_lod2.mdl,Hair,Hair_shortcrop_A.dds,Textures,Characters,V2,Hair_shortcrop_lod3.mdl,Hair_shortcrop_C.dds,Hair_shortcrop_S.dds|||||||
00000000-00000000-00000000-01010005|Bob|Bob|Female-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,hair_mediumbob_lod1.mdl,hair_mediumbob_lod2.mdl,Textures,hair_mediumbob_S.dds,hair_mediumbob_A.dds,Characters,hair_mediumbob_C.dds,hair_mediumbob_lod3.mdl,V2|||||||
00000000-00000000-00000000-01010006|Punky|Punky|Female-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,Hair_punky_lod2.mdl,Textures,Hair_punky_lod3.mdl,Hair_punky_A.dds,Hair_punky_S.dds,Hair_punky_lod1.mdl,Hair_punky_C.dds,Characters,V2|||||||
00000000-00000000-00000000-01010007|Large Afro|Large Afro|Female-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,Hair_afrodisco_lod3.mdl,Textures,Hair_afrodisco_S.dds,Hair_afrodisco_A.dds,Hair_afrodisco_C.dds,Characters,Hair_afrodisco_lod2.mdl,Hair_afrodisco_lod1.mdl,V2|||||||
00000000-00000000-00000000-01010008|Shaved|Shaved|Female-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,v2,hair_shaved_c.dds,Hair_shaved_lod3.mdl,characters,Hair_shaved_lod2.mdl,hair_shaved_a.dds,hair_shaved_s.dds,textures,Characters,Hair_shaved_lod1.mdl,hair,V2|||||||
00000000-00000000-00000000-01010009|Loose Hair Up|Loose Hair Up|Female-Hair||1.75.0.68.PUB|D|9|L||T031||||||||||Hair,v2,Hair_looseupdo_lod1.mdl,hair_updoslide_n.dds,hair_updoslide_s.dds,hair_updoslide_c.dds,Hair_looseupdo_lod3.mdl,hair_looseupdo_a.dds,hair_looseupdo_s.dds,hair_looseupdo_c.dds,characters,textures,Characters,Hair_looseupdo_lod2.mdl,hair,V2|||||||
00000000-00000000-00000000-01010010|Sleek Bob|Sleek Bob|Female-Hair||1.75.0.68.PUB|D|9|L||T031||||||||||Hair_bobdyedbangs_main_C.dds,Hair_bobdyedbangs_N.dds,Hair_bobdyedbangs_red_C.dds,Hair_bobdyedbangs_lod3.mdl,Hair,Hair_bobdyedbangs_lod1.mdl,Textures,Hair_bobdyedbangs_main_S.dds,Hair_bobdyedbangs_S.dds,Characters,Hair_bobdyedbangs_main_A.dds,Hair_bobdyedbangs_lod2.mdl,V2|||||||
