folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01020000|Bare Hands||Female-Hands|||D|6|S||T001||||||||||Hands,v2,hands_lod2.mdl,shared,hands_lod1.mdl,characters,hands_lod3.mdl,skin_body_n.dds,skin_body_white_c.dds,textures,Characters,V2,skin_body_white_s.dds|||||||
00000000-00000000-00000000-01020001|Fingerless Lace Gloves|Fingerless Lace Gloves|Female-Hands||1.3.5.75.ALPHA|D|7|S||T031||||||||||placeholder_s.dds,Hands,v2,hands,Hands_fingerlesslace_lod1.mdl,shared,characters,hands_fingerlesslace_black_c.dds,Hands_fingerlesslace_lod2.mdl,Characters,V2,generic,Hands_fingerlesslace_lod3.mdl,skin_body_n.dds,textures,placeholder_n.dds|||||||
000DBCFD-8B814FD3-91E3CCB9-CA88417E|Morocco Wasp Gloves|Smart leather gloves with a sci-fi twist.|Female-Hands|Bigyama|1.80.0.53.PUB|P|7|L||T032|Barney||||||6B5CA3B3-D385435B-B8206B84-B5520052|||v2,hands,glove_n.dds,Hands_future_clothing_lod2.mdl,shared,characters,july,futureclothing,Hands_future_clothing_lod3.mdl,glove_d_yellow.dds,futurespace,bigyama,generic,tools,skin_body_n.dds,female,Hands_future_clothing_lod1.mdl,textures,2013,gloves_s.dds||||EP4376-NPER00056_00-MOROCCOWAS000060|UT5016-NPUR00160_00-0002050000000000||
001AC637-75554FBB-AF61FFD5-E708BAAF|Gran Turismo 5 Schick Racing Gloves|Exclusive Gran Turismo 5 Schick Racing Gloves.|Female-Hands||1.3.6.22.PUB|P|6|S||T031|sunjiajie|||||||||gtracingsuit,v2,hands,hands_gtracingsuit_grey_s.dds,grey,Hands_GTRacingsuit_Grey_lod2.mdl,characters,hands_gtracingsuit_grey_c.dds,textures,hands_gtracingsuit_grey_n.dds,Hands_GTRacingsuit_Grey_lod1.mdl,Hands_GTRacingsuit_Grey_lod3.mdl|||||UP9000-NPUQ00004_00-GT5SCHICKGLOVESF||
0062DBE8-612143F5-9B10B1C2-BDFF7076|Anime Ninja Kunai and Gloves - Black (for Female)|Live your life as a noble Ninja or just cosplay for fun.|Female-Hands|Lockwood|1.83.0.11.PUB|P|7|L||T031|Lockwood||||||0DBE75CC-78C54BB2-AF5CF86C-33930691,472575BD-453A4353-9660F39B-F76CFED8|||anime,2014,hands,v2,shared,hands_ninja_diffuse.dds,characters,lockwood,Hands_Ninja_lod1.mdl,generic,tools,Hands_Ninja_lod2.mdl,02,feb,Hands_Ninja_lod3.mdl,skin_body_n.dds,hands_ninja_specular.dds,female,textures,hands_ninja_normal.dds,ninja||||EP4127-NPER00050_00-ANIMENINJA002129|UT5000-NPUR00012_00-LKWDANIMENINJAKF||
00877438-BC7B47EE-804A89D3-A01C566C|The Secret Party Garden  Boho Rings and Flowers (Female)|Look and feel part of the party with this boho clothing item from nDreams.|Female-Hands|nDreams Ltd.|1.86.0.17.PUB|P|7|L||T032|KristianF||||||849662D6-07244AEB-9AB0FAA9-5FC966C4,D999CBD4-85B04EFE-B6D4588A-BC49E6A6|||flowers_and_rings_d.dds,Hands_Flowers_and_Rings_lod3.mdl,v2,generic,hands,tools,shared,characters,Hands_Flowers_and_Rings_lod2.mdl,Hands_Flowers_and_Rings_lod1.mdl,skin_body_n.dds,textures,flowers_and_rings_n.dds,flowers_and_rings_s.dds||||EP4114-NPER00011_00-THESECRETP002043|UT5001-NPUR00022_00-0002290000000000||
0094DABE-511D4516-A6A1B9B6-337E244B|Animated Poison Axe (Female)|Forged deep in the tropical rainforest, infused with toxin, a venomous liquid seeps from the blade.|Female-Hands|Sony Computer Entertainment|1.41.0.37.PUB|P|8|L||T031|bgans||||||553AAAF6-50B047BA-B958F4F9-50623F35|||hands_commnov_uvaxepoison_n.dds,v2,generic,hands,Hands_CommNov_UVAxePoison_lod1.mdl,shared,characters,commnov,skin_body_n.dds,Hands_CommNov_UVAxePoison_lod2.mdl,textures,hands_commnov_uvaxepoison_c.dds,hands_commnov_uvaxepoison_s.dds,Hands_CommNov_UVAxePoison_lod3.mdl,poison.dds,uvaxepoison||||EP9000-NPEQ00005_00-ANIMATEDPO001515|UP9000-NPUQ00020_00-ANIMPOISONAXEF01|HP9000-NPHQ00006_00-0004270000000000|
009551BB-650C486D-B2B5890B-25B1D79B|Cornet Bracelet (Women)| Bracelet worn by Cornet , who went off searching for her father the adventurer. With blue nail polish on the fingernails. (From Legend of Hero NARISOKONAI ) |Female-Hands|IREM SOFTWARE ENGINEERING INC.||P|9|S||T033|cmn|||||||||Hands,v2,hands,shared,Hands_naritan_corne_lod2.mdl,Hands_naritan_corne_lod3.mdl,characters,sourceimages,Characters,04,generic,scenes,hands_naritan_corne_c.dds,skin_body_n.dds,skin_body_white_c.dds,hands_naritan_corne_n.dds,Hands_naritan_corne_lod1.mdl,textures,hands_naritan_corne_s.dds,V2,skin_body_s.dds||||||HP0024-NPHR00005_00-000096|JP0024-NPJR50050_00-AA2165
0099DA14-9FFC4F48-AAC67890-AE5A249F|Dirtbike Gloves - Pink (Female)|Protective gear for riding on a dirtbike. This will protect your hands.|Female-Hands|Konami Digital Entertainment, Inc.|1.80.0.53.PUB|P|7|L||T032|tgraybill|||||||||v2,hands,shared,Hands_dirt_bike_gloves_lod2.mdl,dds,characters,bike,dirt,dirt_bike_gear_gloves_s.dds,Hands_dirt_bike_gloves_lod1.mdl,Hands_dirt_bike_gloves_lod3.mdl,colors,generic,tools,skin_body_n.dds,gear,dirt_bike_gear_gloves_n.dds,dirt_bike_gear_gloves_pink.dds,textures||||EP0101-NPER00034_00-DIRTBIKEGL001296|UP0101-NPUR30230_00-0035020000000000||
00AD1057-AC604994-85B3868E-88139D3B|Bollywood Star Hand Henna|Bring a taste of the East to your wardrobe with this Bollywood inspired garment.|Female-Hands|Lockwood|1.86.0.17.PUB|P|7|L||T031|Lockwood||||||339FE6A0-681C43E7-9A2A9BA4-00EF5FB9,734E97C6-D2D64B0F-B70E1BBD-02852846,AF8708EC-E4F74DE2-93DDA30A-98E5A6B7,F2860CF3-D7B54CF9-93D3898A-5BAE8E5D|||Hands_Indian_lod2.mdl,placeholder_s.dds,2014,hands,lkwd,v2,shared,characters,hands_indian_d.dds,lockwood,Hands_Indian_lod3.mdl,bollywood,generic,tools,03,skin_body_n.dds,general,female,textures,Hands_Indian_lod1.mdl,mar,placeholder_n.dds||||EP4127-NPER00050_00-BOLLYWOODS002209|UT5000-NPUR00012_00-LKWDBOLLYWOODHBI||
