folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01010028|Beanie Hat||Female-Hat|||D|9|S||T000||||||||||Hair_beanie_N.dds,Hair,Hair_shortcrop_A.dds,Textures,Hair_beanie_colourstripes1_C.dds,Hair_beanie_lod3.mdl,Hair_beanie_lod2.mdl,Characters,Hair_beanie_lod1.mdl,V2,Hair_beanie_S.dds,Hair_shortcrop_C.dds,Hair_shortcrop_S.dds|||||||
00000000-00000000-00000000-01010031|Black Bucket Hat|The perfect accessory to add to your hat collection. This simple black bucket hat looks great and keeps the sun off.|Female-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair,Hair_buckethat_lod2.mdl,Hair_Buckethat_N.dds,Hair_shortcrop_A.dds,Textures,Hair_shortcrop_C.dds,Hair_buckethat_lod1.mdl,Hair_Buckethat_black_C.dds,Characters,V2,Hair_Buckethat_S.dds,Hair_buckethat_lod3.mdl,Hair_shortcrop_S.dds|||||UP9000-NPUQ00010_00-FEMBUCKETHATBLK1|HP9000-NPHQ00001_00-0006880000000000|JP9002-NPJQ50000_00-0022360000000000
00000000-00000000-00000000-01010032|Blue Bucket Hat|Summer has arrived. Look no further than this blue bucket hat.|Female-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair,Hair_buckethat_lod2.mdl,Hair_Buckethat_blue_C.dds,Hair_Buckethat_N.dds,Hair_shortcrop_A.dds,Textures,Hair_shortcrop_C.dds,Hair_buckethat_lod1.mdl,Characters,V2,Hair_Buckethat_S.dds,Hair_buckethat_lod3.mdl,Hair_shortcrop_S.dds|||||UP9000-NPUQ00010_00-FEMBUCKETHATBLU1|HP9000-NPHQ00001_00-0006890000000000|JP9002-NPJQ50000_00-0002700000000000
00000000-00000000-00000000-01010033|Brown Bucket Hat|This simple brown bucket hat combines practicality and a great retro-look.|Female-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair,Hair_buckethat_lod2.mdl,Hair_Buckethat_N.dds,Hair_shortcrop_A.dds,Textures,Hair_shortcrop_C.dds,Hair_buckethat_lod1.mdl,Hair_Buckethat_brown_C.dds,Characters,V2,Hair_Buckethat_S.dds,Hair_buckethat_lod3.mdl,Hair_shortcrop_S.dds|||||UP9000-NPUQ00010_00-FEMBUCKETHATBRWN|HP9000-NPHQ00001_00-0006910000000000|JP9002-NPJQ50000_00-0022390000000000
00000000-00000000-00000000-01010034|Bucket Hat||Female-Hat|||D|9|S||T000||||||||||Hair,Hair_buckethat_lod2.mdl,Hair_Buckethat_N.dds,Hair_shortcrop_A.dds,Textures,Hair_shortcrop_C.dds,Hair_buckethat_lod1.mdl,Characters,V2,Hair_Buckethat_S.dds,Hair_buckethat_lod3.mdl,Hair_Buckethat_camopink_C.dds,Hair_shortcrop_S.dds|||||||
00000000-00000000-00000000-01010035|Blue Floral Bucket Hat|Look your best with this blue floral-patterned bucket hat.|Female-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair,Hair_buckethat_lod2.mdl,Hair_Buckethat_N.dds,Hair_shortcrop_A.dds,Textures,Hair_shortcrop_C.dds,Hair_buckethat_lod1.mdl,Hair_Buckethat_floral_C.dds,Characters,V2,Hair_Buckethat_S.dds,Hair_buckethat_lod3.mdl,Hair_shortcrop_S.dds||||EP9000-NPEQ00001_00-BLUEFLORAL000519|UP9000-NPUQ00010_00-FEMBUCKETHATBLUF|HP9000-NPHQ00001_00-0006900000000000|JP9002-NPJQ50000_00-0022380000000000
00000000-00000000-00000000-01010036|Khaki Bucket Hat|Look great and avoid those harmful UV-rays with this great khaki bucket hat.|Female-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair,Hair_buckethat_lod2.mdl,Hair_Buckethat_N.dds,Hair_shortcrop_A.dds,Textures,Hair_shortcrop_C.dds,Hair_buckethat_lod1.mdl,Hair_Buckethat_khaki_C.dds,Characters,V2,Hair_Buckethat_S.dds,Hair_buckethat_lod3.mdl,Hair_shortcrop_S.dds|||||UP9000-NPUQ00010_00-FEMBUCKETHATKAKI|HP9000-NPHQ00001_00-0006960000000000|JP9002-NPJQ50000_00-0022440000000000
00000000-00000000-00000000-01010037|White Bucket Hat|This simple white bucket hat looks great and keeps the sun off.|Female-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair,Hair_buckethat_lod2.mdl,Hair_Buckethat_white_C.dds,Hair_Buckethat_N.dds,Hair_shortcrop_A.dds,Textures,Hair_shortcrop_C.dds,Hair_buckethat_lod1.mdl,Characters,V2,Hair_Buckethat_S.dds,Hair_buckethat_lod3.mdl,Hair_shortcrop_S.dds|||||UP9000-NPUQ00010_00-FEMBUCKETHATWHT1|HP9000-NPHQ00001_00-0006950000000000|JP9002-NPJQ50000_00-0022430000000000
00000000-00000000-00000000-01010038|Baseball Cap||Female-Hat|||D|9|S||T000||||||||||Hair,Hair_shortcrop_A.dds,Hair_baseballcap_lod3.mdl,Hair_bballcap_S.dds,Textures,Hair_baseballcap_lod1.mdl,Characters,Hair_baseballcap_lod2.mdl,Hair_bballcap_beige_C.dds,V2,Hair_shortcrop_C.dds,Hair_bballcap_N.dds,Hair_shortcrop_S.dds|||||||
00000000-00000000-00000000-01010039|Blue Baseball Cap|Keep your head covered in style with this classic baseball cap in blue.|Female-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair,Hair_shortcrop_A.dds,Hair_baseballcap_lod3.mdl,Hair_bballcap_S.dds,Textures,Hair_bballcap_blue_C.dds,Hair_baseballcap_lod1.mdl,Characters,Hair_baseballcap_lod2.mdl,V2,Hair_shortcrop_C.dds,Hair_bballcap_N.dds,Hair_shortcrop_S.dds|||||UP9000-NPUQ00010_00-FEMBASEBALLCPBLU|HP9000-NPHQ00001_00-0006970000000000|JP9002-NPJQ50000_00-0022450000000000
