folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01060004|Earclip Headphones|Show your love for music in these Earclip earphones.|Female-HeadPhones|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||Accessories_headphoneshookon_C.dds,generic,Accessories_headphoneshookon_lod2.mdl,Accessories_headphoneshookon_lod1.mdl,shared,accessories,Accessories_headphoneshookon_lod3.mdl,Accessories_headphoneshookon_S.dds,textures,Characters,placeholder_n.dds,V2||||EP9000-NPEQ00001_00-EARCLIPHEA000153|UP9000-NPUQ00001_00-EARCLIPHDP000001|HP9000-NPHQ00001_00-000253|JP9002-NPJQ50000_00-002044
00000000-00000000-00000000-01060005|Neckband Headphones||Female-HeadPhones|||D|6|S||T000||||||||||Shared,Accessories_headphonesstreetstyle_lod1.mdl,Accessories_headphonesstreetstyle_C.dds,Accessories_headphonesstreetstyle_S.dds,Accessories_headphonesstreetstyle_lod2.mdl,textures,nonormals_N.dds,Characters,Accessories_headphonesstreetstyle_lod3.mdl,accessories,V2|||||||
00EC76CB-9A4B49F6-A39C010E-785FA65E|Cute Beret, Small (Purple, Women)|Small-sized girly purple beret. Cuteness  |Female-HeadPhones|Granzella Inc.|1.70.0.93.PUB|P|9|L||T031|iwata||||||4E43AA20-AB4F4414-862838E6-CE9FD08F|||headphones_beret_01_n.dds,HeadPhones_beret_01_lod3.mdl,v2,HeadPhones_beret_01_lod1.mdl,08,headphones_beret_01_s.dds,characters,sourceimages,headphones_beret_01_c.dds,HeadPhones_beret_01_lod2.mdl,headphones|||||UT5012-NPUR00120_00-GRNZATMNDRSBRTX1||
014B31B1-ADEF44DB-BBF42C44-62CF13D1|Witch Hat (Black, Women)|Triangular witch hat perfect for a Halloween costume. Defensive Strength  Magic Power  |Female-HeadPhones|Granzella Inc.|1.70.0.93.PUB|P|6|L||T031|Gud||||||53A70A4D-A9814CBC-8B288070-3F681C77|||headphones_halloween_witch_00_n.dds,placeholder_s.dds,v2,HeadPhones_halloween_witch_00_lod2.mdl,HeadPhones_halloween_witch_00_lod1.mdl,shared,accessories,characters,sourceimages,HeadPhones_halloween_witch_00_lod3.mdl,generic,tools,06,textures,headphones_halloween_witch_00_c.dds,headphones|||||UT5012-NPUR00120_00-GRNZWITCHFML3400||
020879CC-BBAC438B-97AD1792-1F59467D|Glowing Catsuit (red) (Women)|The Catsuit Is Awarded To The Player Who Successfully Wins First Place In The Dolphy Race. The Same Design As This Catsuit Will Be Available As A Dolphy Customization For Those Who Are Currently Raising Dolphins In The Dolphy Room.|Female-HeadPhones|Hudson Soft Co., Ltd.|1.3.6.22.PUB|A|8|L||T031|tmwatana|||||||||HeadPhones_kachusya_lod3.mdl,v2,HeadPhones_kachusya_lod1.mdl,generic,headphones,shared,placeholder_grey_c.dds,characters,placeholder_n.dds,HeadPhones_kachusya_lod2.mdl,textures,headphones_kachusya_c.dds|||||||
025384B5-EFD244A4-951A8108-521A59A7|Animated Revolving Emoticon - Love (for Female)|Express yourself with an animated emoticon buddy.|Female-HeadPhones|Lockwood|1.40.0.264.BETA4|P|5|L||T033|Lockwood||||||C64CA317-FCA546B4-A069C1E9-9B58FB5A|||placeholder_s.dds,v2,14,shared,valentines,characters,headphones_lw_emote_vale_smile_lod3.mdl,lockwood,headphones_lw_emote_vale_smile_lod1.mdl,headphones_lw_emote_vale_smile_lod2.mdl,generic,smile,01,emoticon,female,10,textures,smile_hearts.dds||||EP4127-NPER00014_00-ANIMATEDEM000026|UT5000-NPUR00010_00-OUTSOLOVEEMOTIFE|HT4001-NPHR00012_00-0003890000000000|JT4001-NPJR50210_00-AA21500000000000
027C2477-A24F4323-AB1BE144-3A301788|Cute Beret, Medium (Purple, Women)|Regular-sized girly purple beret. Cuteness  |Female-HeadPhones|Granzella Inc.|1.70.0.93.PUB|P|6|S||T031|iwata||||||4E43AA20-AB4F4414-862838E6-CE9FD08F|||headphones_beret_01_n.dds,v2,08,headphones_beret_01_s.dds,characters,sourceimages,HeadPhones_beret_04_lod1.mdl,HeadPhones_beret_04_lod3.mdl,headphones_beret_01_c.dds,headphones,HeadPhones_beret_04_lod2.mdl|||||UT5012-NPUR00120_00-GRNZATMNDRSBRTX2||
02C95C46-FF614FA9-B7BA700B-2901D976|Large Pompom Hat Medium (Female)|This Is A Large Red Hat With Pompoms That Goes Completely On The Head.|Female-HeadPhones|Granzella Inc.|1.70.0.93.PUB|P|6|S||T031|sigiyama||||||3CEB9BAD-E2584F1A-B52931C2-B1DD5C13|||v2,headphones_xmashat_00_s.dds,08,characters,headphones_xmashat_00_c.dds,sourceimages,HeadPhones_xmashat_10_lod3.mdl,HeadPhones_xmashat_10_lod2.mdl,HeadPhones_xmashat_10_lod1.mdl,headphones_xmashat_00_n.dds,headphones|||||||JP0025-NPJR50380_00-AA26940000000000
02EED258-F77E4A39-83616C9E-00E4BAF6|Knit Cap Large (Cream Female)|Cream Knit Cap That Can Be Combined With Your Favorite Hairstyle. Size  L Cuteness  |Female-HeadPhones|Granzella Inc.|1.65.0.139.BETA|P|6|L||T031|sigiyama|||||||||v2,08,HeadPhones_nithat_00_lod2.mdl,headphones_nithat_00_n.dds,characters,headphones_nithat_00_s.dds,HeadPhones_nithat_00_lod1.mdl,sourceimages,headphones_nithat_00_c.dds,HeadPhones_nithat_00_lod3.mdl,headphones|||||||JP0025-NPJR50380_00-AA26460000000000
031FCFCD-14CD48CA-A34F8F40-4091694D|Category  Legendary Creatures Bronze Medal (Women)|A Medal Given To The Person Who Obtained Many Items, Which Is Categorized Legendary Creatures. For Female.|Female-HeadPhones|O-Two inc.|1.70.0.93.PUB|A|9|L||T034|Administrator|||||||||v2,HeadPhones_LPmedal_lod3.mdl,characters,HeadPhones_LPmedal_lod1.mdl,headphones_lpmedal_side_bronze_c.dds,headphones_lpmedal_side_n.dds,textures,headphones_lpmedal_01_bronze_s.dds,headphones_lpmedal_side_bronze_s.dds,HeadPhones_LPmedal_lod2.mdl,headphones,headphones_lpmedal_01_bronze_c.dds,headphones_lpmedal_01_n.dds|||||||
