folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01070001|Left Silver Square Stud|Left Silver Square Stud|Female-Jewellery|Sony Computer Entertainment||P|5|S||T001||||||||||Accessories,Shared,Jewellery,jewellery_leftstudsquare_lod1.mdl,jewellery_leftstudsquare_lod2.mdl,textures,nonormals_N.dds,Characters,Generic01_Accessories_silver_C.dds,Generic,Generic01_Accessories_silver_S.dds,V2||||EP9000-NPEQ00001_00-SQUARESTUDL00000|UP9000-NPUQ00001_00-SQUARESTUDL00000|HP9000-NPHQ00001_00-000088|JP9002-NPJQ50000_00-002013
00000000-00000000-00000000-01070002|Right Silver Square Stud|Right Silver Square Stud|Female-Jewellery|Sony Computer Entertainment||P|5|S||T001||||||||||Accessories,Shared,Jewellery,jewellery_rightstudsquare_lod1.mdl,textures,nonormals_N.dds,Characters,Generic01_Accessories_silver_C.dds,jewellery_rightstudsquare_lod2.mdl,Generic,Generic01_Accessories_silver_S.dds,V2||||EP9000-NPEQ00001_00-SQUARESTUDR00000|UP9000-NPUQ00001_00-SQUARESTUDR00000|HP9000-NPHQ00001_00-000089|JP9002-NPJQ50000_00-002013
00000000-00000000-00000000-01070004|Left Large Hoop||Female-Jewellery|||D|5|S||T000||||||||||Accessories,Shared,Jewellery,textures,jewellery_leftlooplarge_lod2.mdl,nonormals_N.dds,Characters,Generic01_Accessories_silver_C.dds,V2,Generic,Generic01_Accessories_silver_S.dds,jewellery_leftlooplarge_lod1.mdl|||||||
00000000-00000000-00000000-01070005|Right Large Loop||Female-Jewellery|||D|5|S||T000||||||||||Accessories,Shared,Jewellery,jewellery_rightlooplarge_lod1.mdl,textures,nonormals_N.dds,Characters,Generic01_Accessories_silver_C.dds,jewellery_rightlooplarge_lod2.mdl,Generic,Generic01_Accessories_silver_S.dds,V2|||||||
00000000-00000000-00000000-01070006|Both Silver Large Hoops||Female-Jewellery|||D|5|S||T000||||||||||Accessories,Shared,Jewellery,jewellery_bothlooplarge_lod1.mdl,textures,nonormals_N.dds,Characters,Generic01_Accessories_silver_C.dds,Generic,jewellery_bothlooplarge_lod2.mdl,Generic01_Accessories_silver_S.dds,V2|||||||
00766D26-FB1C4923-8DE5041B-F2BD44B8|Figment Medallion Earring - Silver (Left Ear)|Figment has the perfect pieces for a sophisticated date night, whether it s a night out at the theatre or dinner on the deck of a yacht.|Female-Jewellery|Lockwood|1.80.0.53.PUB|L|6|L||T031|Lockwood|||||||||v2,JewelLeftEar_Figment_lod1.mdl,characters,jewelleftear_figment_n.dds,lockwood,female,november,figment,2013,JewelLeftEar_Figment_lod2.mdl,jewellery,JewelLeftEar_Figment_lod3.mdl,jewelleftear_figment_d.dds,jewelleftear_figment_s.dds|||||||
00CC6EE8-1CAD457F-90037D66-10FE37E4|Glow Spiral Earring - White (for Female Left Ear)|Pick a color, pick a style, or be avant garde and mix em up. How glow will you go..|Female-Jewellery|Lockwood|1.60.0.450.BETA|P|10|L||T032|Lockwood||||||8A099FFB-88F24C31-A2590DB0-5013000C|||placeholder_s.dds,v2,whitebase_d.dds,trends,shared,jewelleftear_template_c.dds,characters,lockwood,october,JewelLeftEar_SpiralSpike_lod1.mdl,generic,tools,earrings,2012,female,textures,JewelLeftEar_SpiralSpike_lod3.mdl,JewelLeftEar_SpiralSpike_lod2.mdl,whiteglow_e.dds,placeholder_n.dds||||EP4127-NPER00050_00-GLOWSPIRAL000757|UT5000-NPUR00012_00-LKWDMARGLOWEPWFL|HT4001-NPHR00012_00-0025330000000000|JT4001-NPJR50210_00-AA24320000000000
00F33C8C-65D64750-8B343D7D-2DEF0C1D|Earrings of the Seven Winds (Female) Red (Right Ear)|Exotic and sophisticated.|Female-Jewellery|Juggernaut Games|1.65.0.139.BETA|L|9|L||T031|Juggernaut Games|||||||||winds,JewelRightEar_WINDS_Raiment_Red_Earing_lod1.mdl,v2,shared,characters,source,fire2.dds,jewelleftear_winds_raiment_red_earing_clr.dds,earing,JewelRightEar_WINDS_Raiment_Red_Earing_lod2.mdl,generic,JewelRightEar_WINDS_Raiment_Red_Earing_lod3.mdl,tools,raiment,jewelrightear,textures,placeholder_n.dds|||||||
018A9188-FB114E2C-B6FB44C9-1F56871F|DNA (Blue) Earring (Right Women)|DNA (Blue) earring for the right ear. For female.|Female-Jewellery|O-Two inc.|1.70.0.93.PUB|A|6|L||T035|zura|||||||||JewelRightEar_jewelDNAblue_lod2.mdl,JewelRightEar_jewelDNAblue_lod3.mdl,v2,characters,jewelrightear_jeweldnablue_s.dds,jewelrightear,jewelrightear_jeweldnablue_n.dds,textures,jewelrightear_jeweldnablue_c.dds,JewelRightEar_jewelDNAblue_lod1.mdl|||||||
01EE18D7-A42747EB-A741E907-CA38B261|Glow Bunny Earring - White (for Female Right Ear)|If you have trouble spotting your friends in dark places gift them these dayglow earrings and you ll spot them a mile off.|Female-Jewellery|Lockwood|1.70.0.93.PUB|L|13|L||T031|Lockwood|||||||||placeholder_s.dds,v2,whitebase_d.dds,trends,shared,jewelleftear_template_c.dds,characters,lockwood,eyes_d.dds,october,generic,tools,earrings,2012,female,textures,JewelRightEar_Bunny_lod3.mdl,JewelRightEar_Bunny_lod1.mdl,JewelRightEar_Bunny_lod2.mdl,whiteglow_e.dds,placeholder_n.dds|||||||
026A0DD4-85574906-B658ACF8-1EE043BE|Glow Alien Earring - Blue (for Female Right Ear)|If you have trouble spotting your friends in dark places gift them these dayglow earrings and you ll spot them a mile off.|Female-Jewellery|Lockwood|1.70.0.93.PUB|L|13|L||T031|Lockwood|||||||||placeholder_s.dds,v2,trends,shared,jewelleftear_template_c.dds,JewelRightEar_Skull_lod1.mdl,characters,lockwood,eyes_d.dds,october,generic,tools,earrings,2012,bluebase_d.dds,female,textures,JewelRightEar_Skull_lod2.mdl,blueglow_e.dds,placeholder_n.dds,JewelRightEar_Skull_lod3.mdl|||||||
02D2E576-A4AD480C-AAC37BF3-236AF778|Feather Earrings (Pink Gold, Right Ear, Women)|Simple, elegant earrings in the shape of wings. Gorgeousness  |Female-Jewellery|Granzella Inc.|1.70.0.93.PUB|P|6|L||T031|Hattori|||||||||v2,JewelRightEar_cute_01_lod3.mdl,JewelRightEar_cute_01_lod1.mdl,accessories,characters,sourceimages,jewelrightear,06,jewelrightear_cute_01_s.dds,JewelRightEar_cute_01_lod2.mdl,jewelrightear_cute_00_n.dds,jewelrightear_cute_01_c.dds|||||UT5012-NPUR00120_00-0045420000000000||
0323C89E-AB5E4960-A501BC80-BFCB0D62|Pansy Colored 3 Strand Earrings, Right Ear (for Women)|Three Strands Of Yellow And Purple Based Flowers (for Right Ear). The Delicate Design Is Lovely And Will Be Useful For Various Fashionable Occasions.|Female-Jewellery|Sony Computer Entertainment|1.70.0.93.PUB|A|9|L||T031|Sony Computer Entertainment|||||||||v2,JewelRightEar_RightEarD_2_lod1.mdl,JewelRightEar_RightEarD_2_lod3.mdl,JewelRightEar_RightEarD_2_lod2.mdl,characters,jewelrightear_rightearc_1_n.dds,jewelrightear,textures,jewelrightear_rightearc_1_s.dds,jewelrightear_righteard_2_c.dds|||||||
03C56AED-B9A84742-9D23DD94-F464FC9B|Gold Left Earring|Bellver, the haute couture line for exclusive people. Outfits designed with class, combining fabrics of the finest quality with a casual and elegant style.|Female-Jewellery|KOVOK LTD|1.86.0.17.PUB|P|6|L||T031|Joan||||||4A233206-9E28475E-82ADE63F-4C013931|||gold_c.dds,v2,JewelLeftEar_Gold_Earring_lod2.mdl,shared,jewelleftear,characters,necklace,JewelLeftEar_Gold_Earring_lod3.mdl,JewelLeftEar_Gold_Earring_lod1.mdl,gold_s.dds,generic,tools,headphones,gold,textures,placeholder_n.dds||||EP4468-NPER00076_00-GOLDLEFTEA000679|UT5035-NPUR00320_00-0005650000000000||
