folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01040000|Blue Jeans|Blue Jeans|Female-Legs|Sony Computer Entertainment|1.52.0.2.PUB|D|6|S||T032|PlayStation Home|||||||||placeholder_s.dds,v2,shared,Legs,characters,legs,legs_jeansregular_n.dds,Legs_jeansregular_lod3.mdl,Legs_jeansregular_lod2.mdl,Characters,generic,legs_jeansregular_blue_c.dds,textures,Legs_jeansregular_lod1.mdl,V2|||||||
00000000-00000000-00000000-01040005|Green Trousers|Timeless smart green trousers, great for any occasion.|Female-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||legs_trousersmilitary_lod2.mdl,Legs_trousersmilitary_armygreen_C.dds,legs_trousersmilitary_lod1.mdl,Textures,Legs,legs_trousersmilitary_lod3.mdl,Characters,Legs_trousersmilitary_S.dds,V2,Legs_trousersmilitary_N.dds||||EP9000-NPEQ00001_00-GREENTROUS000395|UP9000-NPUQ00010_00-FEMGREENTROUSERS|HP9000-NPHQ00001_00-000448|JP9002-NPJQ50000_00-002160
00000000-00000000-00000000-01040006|Beige Trousers|Timeless smart beige trousers, great for any occasion.|Female-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,v2,shared,legs_trousersmilitary_beige_c.dds,Legs,characters,legs,Characters,Legs_trousersmilitary_lod3.mdl,Legs_trousersmilitary_lod1.mdl,generic,Legs_trousersmilitary_lod2.mdl,legs_trousersmilitary_n.dds,textures,V2||||EP9000-NPEQ00001_00-BEIGETROUS000396|UP9000-NPUQ00010_00-FEMBEIGETROUSERS|HP9000-NPHQ00001_00-000449|JP9002-NPJQ50000_00-002161
00000000-00000000-00000000-01040007|Black Trousers|Timeless smart black trousers, great for any occasion.|Female-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||legs_trousersmilitary_lod2.mdl,placeholder_s.dds,generic,shared,Legs_trousersmilitary_black_C.dds,legs_trousersmilitary_lod1.mdl,Textures,Legs,legs_trousersmilitary_lod3.mdl,textures,Characters,V2,Legs_trousersmilitary_N.dds||||EP9000-NPEQ00001_00-BLACKTROUS000397|UP9000-NPUQ00010_00-FEMBLACKTROUSERS|HP9000-NPHQ00001_00-000450|JP9002-NPJQ50000_00-002162
00000000-00000000-00000000-01040008|Grey Trousers|Timeless smart grey trousers, great for any occasion.|Female-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||legs_trousersmilitary_lod2.mdl,placeholder_s.dds,generic,shared,Textures,legs_trousersmilitary_lod1.mdl,Legs_trousersmilitary_grey_C.dds,Legs,legs_trousersmilitary_lod3.mdl,textures,Characters,V2,Legs_trousersmilitary_N.dds||||EP9000-NPEQ00001_00-GREYTROUSE000398|UP9000-NPUQ00010_00-FEMGREYTROUSERS1|HP9000-NPHQ00001_00-000451|JP9002-NPJQ50000_00-002163
00000000-00000000-00000000-01040009|Blue Trousers|Timeless smart blue trousers, great for any occasion.|Female-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||legs_trousersmilitary_lod2.mdl,placeholder_s.dds,generic,shared,Textures,legs_trousersmilitary_lod1.mdl,Legs,legs_trousersmilitary_lod3.mdl,textures,Characters,V2,Legs_trousersmilitary_blue_C.dds,Legs_trousersmilitary_N.dds||||EP9000-NPEQ00001_00-BLUETROUSE000399|UP9000-NPUQ00010_00-FEMBLUETROUSERS1|HP9000-NPHQ00001_00-000452|JP9002-NPJQ50000_00-002164
00000000-00000000-00000000-01040010|White Trousers|Timeless smart white trousers, great for any occasion.|Female-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||legs_trousersmilitary_lod2.mdl,Textures,legs_trousersmilitary_lod1.mdl,Legs_trousersmilitary_white_C.dds,Legs,legs_trousersmilitary_lod3.mdl,Characters,Legs_trousersmilitary_S.dds,V2,Legs_trousersmilitary_N.dds||||EP9000-NPEQ00001_00-WHITETROUS000400|UP9000-NPUQ00010_00-FEMWHITETROUSERS|HP9000-NPHQ00001_00-000453|JP9002-NPJQ50000_00-002165
00000000-00000000-00000000-01040011|Capri Pants|Capri Pants|Female-Legs||1.60.0|D|7|S||T031||||||||||Shared,legs_trouserscapris_lod2.mdl,Textures,Legs,Legs_capris_N.dds,Legs_capris_S.dds,legs_trouserscapris_lod1.mdl,textures,skin_body_N.dds,Characters,Legs_capris_armygreen_C.dds,legs_trouserscapris_lod3.mdl,V2|||||||
00000000-00000000-00000000-01040022|Sweat Pants|Casual and comfy, for that athletic look.|Female-Legs|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||legs_yogapants_lod1.mdl,legs_yogapants_lod2.mdl,Textures,Legs,legs_yogapants_lod3.mdl,Legs_yogapants_N.dds,Legs_yogapants_white_C.dds,Characters,Legs_yogapants_S.dds,V2||||EP9000-NPEQ00001_00-SWEATPANTSWHITE0|UP9000-NPUQ00001_00-SWEATPANTSWHITE0|HP9000-NPHQ00001_00-SWEATPANTSWHITE0|JP9002-NPJQ50000_00-SWEATPANTSWHITE0
00000000-00000000-00000000-01040023|Hotpants||Female-Legs|||D|12|S||T000|John Godwin|||||||||placeholder_s.dds,v2,shared,Legs,characters,generic01_accessories_belt01_n.dds,legs,legs_hotpants_n.dds,Characters,V2,legs_hotpants_black_c.dds,generic,generic01_accessories_belt01_s.dds,skin_body_n.dds,Legs_hotpants_lod1.mdl,skin_body_white_c.dds,textures,Legs_hotpants_lod3.mdl,generic01_accessories_belt01_c.dds,accessories,Legs_hotpants_lod2.mdl,skin_body_s.dds|||||||
