folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00119E6C-B8004772-B856174F-DFD519B0|Jyu Furisode (Scarlet Flower Dance, Female)|Female Formal Japanese Dress Worn At Festive Occasions. Defense  |Female-Outfit|Granzella Inc.|1.70.0.93.PUB|P|13|P||T032|Hattori|||||||||torsolegs_hurisode_0_00_c.dds,torsolegs_hurisode_2_00_s.dds,v2,09,shared,torsolegs_hurisode_1_00_c.dds,characters,sourceimages,torsolegs,torsolegs_hurisode_1_00_n.dds,torsolegs_hurisode_0_00_s.dds,TorsoLegs_hurisode_00_lod2.mdl,torsolegs_hurisode_0_00_n.dds,TorsoLegs_hurisode_00_lod3.mdl,generic,tools,TorsoLegs_hurisode_00_lod1.mdl,torsolegs_hurisode_2_00_c.dds,skin_body_n.dds,textures,torsolegs_hurisode_1_00_s.dds,torsolegs_hurisode_2_00_n.dds|||||||JP0025-NPJR50380_00-AA26960000000000
00482DFA-F7904558-8A0571A9-C0D3611C|Element - Beaumont Dress - Black (Women)|Jersey dress with all over printed pattern.|Female-Outfit|VEEMEE|1.80.0.53.PUB|P|7|L||T032|debbie||||||7B25D6BD-7A274F20-A7F18A15-97BD5112|||placeholder_s.dds,v2,generic,tools,shared,TorsoLegs_Beaumont_Dress_lod2.mdl,characters,TorsoLegs_Beaumont_Dress_lod1.mdl,TorsoLegs_Beaumont_Dress_lod3.mdl,skin_body_n.dds,torsolegs,textures,beaumontdress_n.dds,beaumontdress_c.dds||||EP4065-NPER00071_00-ELEMENTBEA000340|UT5002-NPUR00030_00-0044310000000000||
0074A316-5FFD461F-8B19AB05-538F53E3|Sorceress Defenders Dress (Black)|A Dress Of An Apprentice Sorceress Who Defends Her Kingdom.|Female-Outfit|O-Two inc.|1.80.0.53.PUB|P|12|L||T031|otwo-110||||||9BE2DD5D-3D71475A-AF5721C6-0A9A8DA4,A85E2294-AAAE4084-BD402C30-84561262,BBDE602C-857048DC-89A345F7-E907205C,BC6DF22B-27664AFD-AE5441E2-24786F07,FBE7B1F6-B542444C-B012C2F1-11F75268|||female_torsolegs_majo_skirts_n.dds,female_torso_majo_s.dds,v2,female_torso_majo_black_c.dds,female_torso_majo_n.dds,female_torsolegs_majo_skirts_s.dds,female_torsolegs_majo_parts_black_c.dds,TorsoLegs_majo_lod2.mdl,TorsoLegs_majo_lod1.mdl,female_torsolegs_majo_parts_s.dds,characters,torsolegs,textures,female_torsolegs_majo_skirts_black_c.dds,TorsoLegs_majo_lod3.mdl,female_torsolegs_majo_parts_n.dds|||||UT5028-NPUR00240_00-0006160000000000||
007E0A61-EC604EEA-8E450E49-6446CB07|Magic Sparkles - Short Animated Dress (female, pink)|Add a touch of magic wherever you go. By Dani.|Female-Outfit|Codeglue B.V.|1.80.0.53.PUB|P|9|L||T032|Tom Rutjens||||||83993DF2-29F94EC4-87E88571-632C83A7|||v2,generic,tools,shared,TorsoLegs_Magic_casual_dress_lod1.mdl,characters,sparkle2_c.dds,skin_body_n.dds,pink_magic_casual_dress_c.dds,magic_casual_dress_s.dds,torsolegs,textures,TorsoLegs_Magic_casual_dress_lod3.mdl,magic_dress_n.dds,sparkle_c.dds,TorsoLegs_Magic_casual_dress_lod2.mdl||||EP4297-NPER00033_00-MAGICSPARK000369|UT5007-NPUR00080_00-0020270000000000|HT4007-NPHR00016_00-0003940000000000|JT4007-NPJR50340_00-AA21130000000000
0096AD1C-D1404D6F-A577DD12-A503D172|Wardrobe Wars - Wide Lapel Jacket - Blue - Female|Female blue dress jacket with wide lapels.|Female-Outfit|Sony Computer Entertainment|1.60.0.450.BETA|A|10|L||T032|nick|||||||||looseneckdress_underskirt_c.dds,placeholder_s.dds,v2,looseneckdress_n.dds,generic,tools,shared,looseneckdress_c.dds,characters,skin_body_n.dds,torsolegs,textures,TorsoLegs_WideLapelJacket_lod3.mdl,TorsoLegs_WideLapelJacket_lod2.mdl,TorsoLegs_WideLapelJacket_lod1.mdl,placeholder_n.dds|||||||
00AB0056-6D2A4EE9-8BAD407D-1B6FFAD6|Holy Cloak (Black Women)|A Costume As The Symbol Of The Spirit To Love People Equally.|Female-Outfit|O-Two inc.|1.80.0.53.PUB|P|12|L||T031|yamamoto||||||A1A4C310-56FC4691-9BEAAC33-4881541C,DB41ADB4-885444C5-852FE342-8404121A|||torsolegsfeet_frock_parts_c.dds,torsolegsfeet_frock_c.dds,torsolegsfeet_frock_s.dds,torsolegsfeet_frock_parts_s.dds,torsolegsfeet_frock_legs_c.dds,torsolegsfeet_frock_legs_s.dds,torsolegsfeet_frock_n.dds,torsolegsfeet_frock_parts_n.dds,v2,torsolegsfeet_frock_legs_n.dds,TorsoLegsFeet_Frock_lod1.mdl,characters,TorsoLegsFeet_Frock_lod2.mdl,textures,TorsoLegsFeet_Frock_lod3.mdl,torsolegsfeet|||||UT5028-NPUR00240_00-0004400000000000||
011BA4C5-88CE4D98-884F032F-5DE1E9D4|Scottish Clothing - Designer Tartan Dress - Skye (Women)|A stylish tartan dress for women.|Female-Outfit|VEEMEE|1.86.0.17.PUB|P|7|L||T031|nick||||||4C782646-80C44255-AEB69921-072AAC2D|||tartandress_s.dds,v2,generic,TorsoLegs_TartanDress_lod1.mdl,tools,shared,TorsoLegs_TartanDress_lod3.mdl,characters,skin_body_n.dds,TorsoLegs_TartanDress_lod2.mdl,tartandress_n.dds,torsolegs,textures,tartandress_skye_c.dds||||EP4065-NPER00071_00-SCOTTISHCL001979|UT5002-NPUR00030_00-0060800000000000||
014538E5-289A41AF-9AE0A039-30E3D4E5|Wardrobe Wars - Collegiate dress - Black - Female|Female Collegiate style dress in black with Wardrobe Wars logos|Female-Outfit|Sony Computer Entertainment|1.55.0.155.BETA2|A|7|L||T031|danny|||||||||placeholder_s.dds,v2,generic,wwdressgrey_c.dds,TorsoLegs_WardrobeWarsDress_lod1.mdl,tools,shared,characters,skin_body_n.dds,torsolegs,textures,TorsoLegs_WardrobeWarsDress_lod2.mdl,TorsoLegs_WardrobeWarsDress_lod3.mdl,wwdress_n.dds|||||||
014BDC5D-D3364655-A529EAA9-6241E978|Park Hot Dog Suit - Female|Take a piece of Acorn Meadows everywhere you go with the hot dog suit (female) clothing item. Rewarded for completing a challenge in Acorn Meadows Park.|Female-Outfit|VEEMEE|1.80.0.53.PUB|L|9|L||T032|Danny|||||||||ketchup_hotdog_c.dds,hotdog_n.dds,v2,humansockred_c.dds,humansockred_s.dds,ketchup_hotdog_s.dds,characters,FullBodySuit_HotDogSuitFemale_lod3.mdl,FullBodySuit_HotDogSuitFemale_lod1.mdl,fullbodysuit,textures,humansockred_n.dds,FullBodySuit_HotDogSuitFemale_lod2.mdl|||||||
01504502-80624ACA-BC381DE1-6374D9D1|Party Dress (White, Women)|A dress with a strapless top and knee-length tight skirt. Defensive Strength  Sexiness  *A gift from GZ gift|Female-Outfit|Granzella Inc.|1.82.0.17.PUB|L|10|L||T031|Tanaka|||||||||legs_formaldress_00_s.dds,v2,shared,TorsoLegs_formalDress_00_lod3.mdl,characters,sourceimages,legs_formaldress_00_c.dds,torso_formaldress_02_s.dds,torsolegs,troso,legs_formaldress_00_n.dds,TorsoLegs_formalDress_00_lod1.mdl,generic,tools,torso_formaldress_01_n.dds,02,torso_formaldress_02_c.dds,skin_body_n.dds,textures,TorsoLegs_formalDress_00_lod2.mdl,03|||||||
015CBA39-101145DE-BAB084DC-FC7FDE6C|Ascendance - Equilibrium Dress - White (Women)|Suitable for all formal occasions, this one-piece dress will allow you to conform to The Bureau s clothing recommendations for a better society. Be the shining beacon that sets a good example.|Female-Outfit|VEEMEE|1.86.0.17.PUB|P|7|L||T031|Mathew||||||0646DDD6-E7BF45D5-8F1D54D4-53D93A1B,3F8BB548-5D0845BE-A2C451EA-55D397AB|||cyberpunkdress02_c.dds,v2,generic,tools,shared,cyberpunkdress01_n.dds,cyberpunkdress02_s.dds,characters,skin_body_n.dds,TorsoLegsFeet_CyberpunkClothingCyberDress_lod2.mdl,textures,TorsoLegsFeet_CyberpunkClothingCyberDress_lod1.mdl,TorsoLegsFeet_CyberpunkClothingCyberDress_lod3.mdl,torsolegsfeet||||EP4065-NPER00071_00-ASCENDANCE001424|UT5002-NPUR00030_00-0055120000000000||
0171A5DB-13AA4E76-9B3F4F3B-29E9471E|Cozy Onesie - Hearts|This onesie features full body coverage and comfort with pockets, buttons and back flap. So snuggle up for bedtime or just lounging. Sometimes you just want to hang out in your pajamas.|Female-Outfit|Konami Digital Entertainment Inc.|1.70.0.93.PUB|P|7|L||T031|tgraybill|||||||||TorsoLegsFeet_onezy_pjs_lod1.mdl,placeholder_s.dds,v2,shared,characters,pj_tlf_c_cropped.dds,pjs,TorsoLegsFeet_onezy_pjs_lod2.mdl,pj_tlf_n_1024.dds,generic,tools,skin_body_n.dds,textures,TorsoLegsFeet_onezy_pjs_lod3.mdl,torsolegsfeet||||EP0101-NPER00034_00-COZYONESIE000965|UP0101-NPUR30230_00-0032300000000000||
017206CB-6369418D-97460DC5-0409A72E|Stylish Suit (Black, Female)|A black suit with a tight fit. Defensive Strength  Coolness  |Female-Outfit|Granzella Inc.|1.65.0.139.BETA|P|9|S||T031|sigiyama|||||||||TorsoLegs_smartsuit_00_lod3.mdl,torso_smartsuit_00_n.dds,v2,02,characters,sourceimages,legs_smartsuit_00_n.dds,legs_smartsuit_00_c.dds,torsolegs,troso,TorsoLegs_smartsuit_00_lod2.mdl,TorsoLegs_smartsuit_00_lod1.mdl,legs_smartsuit_00_s.dds,03,torso_smartsuit_00_s.dds,torso_smartsuit_00_c.dds||||||HP0025-NPHR00021_00-0004860000000000|
019B3D9B-2A744B10-9C1724AD-0A6DF3BD|Pinafore Dress - Heather|A simple, stylish Lockwood favorite in some versatile new colors.|Female-Outfit|Lockwood|1.60.0.450.BETA|P|7|L||T034|Lockwood|||||||||reddress_purple_d.dds,TorsoLegs_RedDress_lod2.mdl,v2,shared,characters,july,lockwood,reddress_n.dds,reddress_s.dds,TorsoLegs_RedDress_lod3.mdl,TorsoLegs_RedDress_lod1.mdl,generic,tools,2012,reddress,skin_body_n.dds,textures||||EP4127-NPER00050_00-PINAFOREDR000326|UT5000-NPUR00012_00-LKWDSEPTPINAFORH|HT4001-NPHR00012_00-0020660000000000|JT4001-NPJR50210_00-AA23300000000000
01C96A0F-BAC54351-BAEC97A9-B4C147B3|Pink summer dress|You enjoy wearing the latest fashion and you re able to mix and match any item and turn it into an original and unique outfit combination. You know how to have fun, live in the moment and most importantly how to dress for any occasion. Don t miss the moment, make the most of it.|Female-Outfit|KOVOK LTD|1.86.0.17.PUB|P|7|L||T031|Joan||||||FE59C12D-6EA9446A-BF4B3718-278EE183|||placeholder_s.dds,v2,shared,characters,dress,stereo,torsolegs,TorsoLegs_Stereo_03_Dress_lod2.mdl,flowers,generic,tools,TorsoLegs_Stereo_03_Dress_lod3.mdl,pink_dress_c.dds,skin_body_n.dds,textures,womanflowerdress_n.dds,TorsoLegs_Stereo_03_Dress_lod1.mdl||||EP4468-NPER00076_00-PINKSUMMER000641|UT5035-NPUR00320_00-0005380000000000||
01D2A2B9-FE774417-A2882706-6DD08AFB|Epic Ark Hunter - Female|Most Humans and Votans run from arkfalls. This outfit makes it clear that you re not like most you have braved the new frontier of Defiance and now have the look to prove it. These rugged boots, trousers, and leather jacket are modeled on the outfit worn by the famous ark hunter Irisa in Defiance.|Female-Outfit|Trion Worlds|1.70.0.93.PUB|P|10|L||T031|Joan|||||||||placeholder_s.dds,v2,generic,tools,shared,irisa_n.dds,TorsoLegsFeet_Irisa_lod1.mdl,irisa_a.dds,characters,irisa_s.dds,irisa,textures,TorsoLegsFeet_Irisa_lod3.mdl,irisa_c.dds,placeholder_n.dds,TorsoLegsFeet_Irisa_lod2.mdl,torsolegsfeet||||EP2025-NPER00067_00-EPICARKHUN000005|UT5021-NPUR00200_00-0002410000000000||
022360B0-588E4C88-807624CE-F8FFC824|Tenugui Set For Bathing (Female)|Tenugui Outfit Wrapped Around Body Perfect For Bathing.|Female-Outfit|Granzella Inc.|1.55.0.155.BETA2|U|7|L||T033|Gud|||||||||TorsoLegs_BathTowel_10_lod2.mdl,placeholder_s.dds,v2,shared,characters,sourceimages,torsolegs,troso,TorsoLegs_BathTowel_10_lod3.mdl,torso_bathtowel_10_c.dds,generic,tools,02,torso_bathtowel_10_n.dds,skin_body_n.dds,textures,TorsoLegs_BathTowel_10_lod1.mdl|||||||
