folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-01030008|Home T-Shirt||Female-Torso|||D|7|S||T001||||||||||placeholder_s.dds,Shared,Skin_Body_N.dds,shared,Textures,Characters,Torso,Torso_tshirtbabydoll_lod2.mdl,Torso_tshirtbabydoll_lod1.mdl,Torso_tshirtbabydoll_ppink_C.dds,Torso_tshirtbabydoll_N.dds,Torso_tshirtbabydoll_lod3.mdl,generic,textures,V2|||||||
00000000-00000000-00000000-01030009|T-Shirt||Female-Torso|||D|7|S||T000||||||||||placeholder_s.dds,Shared,Skin_Body_N.dds,shared,Textures,Characters,Torso,Torso_tshirtbabydoll_lod2.mdl,Torso_tshirtbabydoll_lod1.mdl,Torso_tshirtbabydoll_white_C.dds,Torso_tshirtbabydoll_N.dds,Torso_tshirtbabydoll_lod3.mdl,generic,textures,V2|||||||
00000000-00000000-00000000-01030019|Layered T-Shirt|Casual long sleeve t-shirt layered under a short sleeve top.|Female-Torso|Sony Computer Entertainment||P|7|S||T000|PlayStation Home|||||||||placeholder_s.dds,Shared,torso_layeredtop_lod1.mdl,shared,Textures,torso_layeredtop_N.dds,Characters,torso_layeredtop_lod2.mdl,Torso,torso_layeredtop_lod3.mdl,generic,Torso_layeredtop_greencream_C.dds,textures,skin_body_N.dds,V2||||EP9000-NPEQ00001_00-LAYEREDTSHIRT000|UP9000-NPUQ00001_00-LAYEREDTSHIRT000|HP9000-NPHQ00001_00-LAYEREDTSHIRT000|JP9002-NPJQ50000_00-LAYEREDTSHIRT000
00000000-00000000-00000000-01030025|Sports Vest||Female-Torso|||D|7|S||T000||||||||||torso_tanktop_lod1.mdl,Torso_tanktop_N.dds,placeholder_s.dds,Shared,shared,Textures,Torso_tanktop_pblue_C.dds,Characters,Torso,generic,torso_tanktop_lod3.mdl,torso_tanktop_lod2.mdl,textures,skin_body_N.dds,V2|||||||
00000000-00000000-00000000-01030032|Capped Sleeved T-Shirt||Female-Torso|||D|7|S||T000||||||||||placeholder_s.dds,Shared,shared,Textures,torso_tshirtjellabah_lod1.mdl,torso_tshirtjellabah_lod3.mdl,Characters,Torso,Torso_tshirtjellabah_red_C.dds,generic,torso_tshirtjellabah_lod2.mdl,Torso_tshirtjellabah_N.dds,textures,skin_body_N.dds,V2|||||||
00000000-00000000-00000000-01030034|Leather Jacket|Modern, colourful biker jacket, stylish and tough.|Female-Torso|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||torso_bikerjacket_yellowblue_c.dds,placeholder_s.dds,torso,v2,shared,characters,Torso_bikerjacket_lod1.mdl,Characters,Torso,V2,generic,Torso_bikerjacket_lod3.mdl,textures,torso_bikerjacket_n.dds,Torso_bikerjacket_lod2.mdl||||EP9000-NPEQ00001_00-LEATHERJAC000160|UP9000-NPUQ00001_00-FEMLEATHERJACKET|HP9000-NPHQ00001_00-000195|JP9002-NPJQ50000_00-002031
00000000-00000000-00000000-01030036|Denim Jacket|Stylish Denim Jacket with breast pockets and simple stitching detail on front.|Female-Torso|Sony Computer Entertainment||P|9|S||T000|PlayStation Home|||||||||placeholder_s.dds,torso,v2,Torso_denimjacket_lod3.mdl,shared,characters,Torso_denimjacket_lod2.mdl,Characters,Torso,torso_denimjacket_n.dds,Torso_denimjacket_lod1.mdl,generic,torso_denimjacket_bluebrown_c.dds,skin_body_n.dds,skin_body_white_c.dds,textures,V2,skin_body_s.dds||||EP9000-NPEQ00001_00-DENIMJACKETBLUE0|UP9000-NPUQ00001_00-DENIMJACKETBLUE0|HP9000-NPHQ00001_00-DENIMJACKETBLUE0|JP9002-NPJQ50000_00-DENIMJACKETBLUE0
00000000-00000000-00000000-01030042|Black and White Padded Gilet over Fleece|A comfy black puffer vest jacket over a fleece long sleeved shirt.|Female-Torso|Sony Computer Entertainment||P|7|S||T034||||||||||placeholder_s.dds,Torso_paddedgilet_N.dds,shared,Torso_paddedgilet_lod1.mdl,Textures,characters,Characters,Torso,generic,skin_body_n.dds,Torso_paddedgilet_lod3.mdl,textures,Torso_paddedgilet_blackwhite_C.dds,V2,Torso_paddedgilet_lod2.mdl||||EP9000-NPEQ00001_00-BLACKANDWH000470|UP9000-NPUQ00010_00-FEMBLKWHTGILFLEC|HP9000-NPHQ00001_00-000523|JP9002-NPJQ50000_00-002171
00000000-00000000-00000000-01030044|Brown and Cream Padded Gilet over Fleece|A comfy brown puffer vest jacket over a fleece long sleeved shirt.|Female-Torso|Sony Computer Entertainment||P|7|S||T034||||||||||placeholder_s.dds,Torso_paddedgilet_N.dds,shared,Torso_paddedgilet_lod1.mdl,Textures,Torso_paddedgilet_browncream_C.dds,characters,Characters,Torso,generic,skin_body_n.dds,Torso_paddedgilet_lod3.mdl,textures,V2,Torso_paddedgilet_lod2.mdl||||EP9000-NPEQ00001_00-BROWNANDCR000471|UP9000-NPUQ00010_00-FEMBRWNCRMGLFLEC|HP9000-NPHQ00001_00-000524|JP9002-NPJQ50000_00-002172
00000000-00000000-00000000-01030045|Grey and Black Padded Gilet over Fleece|A comfy puffer vest jacket over a fleece long sleeved shirt.|Female-Torso|Sony Computer Entertainment|1.3.0.285.CORE|P|7|S||T034||||||||||torso,v2,shared,Torso_paddedgilet_lod1.mdl,characters,torso_paddedgilet_greyblack_c.dds,torso_paddedgilet_n.dds,Characters,Torso,generic,torso_paddedgilet_s.dds,skin_body_n.dds,Torso_paddedgilet_lod3.mdl,textures,V2,Torso_paddedgilet_lod2.mdl||||EP9000-NPEQ00001_00-GREYANDBLA000472|UP9000-NPUQ00010_00-FEMGRYBLKGILFLEC|HP9000-NPHQ00001_00-000525|JP9002-NPJQ50000_00-002173
