folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-0000000F|Ice Breaker|Keep the ball bouncing and smash all of the ice blocks.|Furniture-Appliance|Sony Computer Entertainment||U|3|S||T038|PlayStation Home|||||||||Arcade_Machine_Penganoid.hkx,title,Arcade_Machine_IceBreaker.mdl,ArcadeGames,Breakout,Furniture,Screen.dds,Appliances|||||||
001A2BC2-EABB4D0C-8B278FB5-5743F8DE|Active Item - Cat|Mai-Mai the cat enjoys jumping up and down the levels of her cat post.|Furniture-Appliance|Sony Computer Entertainment|1.41.0.37.PUB|P|32|L||T031|Sunny Chu||||||3FA23A2A-FBCE41AD-AB8F41FC-566BCD4C,9F2E6828-7F91435D-8A2C6306-20496A61|||CommJuly_Cat_Sleeping.ani,cat.bnk,CatEyelid.mdl,CommJuly_Cat_ScratchingPost.ani,CommJuly_Cat_JumpingUp_Exp.ani,CommJuly_Cat_Standing_Idle.ani,WayPoints.lua,models,2010,CommJuly_Cat_Sleeping_to_Standing.ani,Cat.mdl,CommJuly_Cat_LickingPaws.ani,StateMachine.lua,programming,CommJuly_Cat_TurnRight.ani,CommJuly_Cat_TurnLeft_90.ani,Data.lua,CommJuly_KittyCondo.mdl,cat,CommJuly_KittyCondo.hkx,commjuly,FIFO.lua,RandPick.lua,anims,Network.xml,sounds,CommJuly_Cat_TurnRight_90.ani,CommJuly_Cat_JumpDown.ani,Main.lua,CommJuly_Cat_TurnLeft.ani,CommJuly_Cat_Sleeping_Idle.ani,Pet.lua,Animations.lua,SfxMgr.lua,EyeLid.lua,ActiveItems,Utility.lua,CommJuly_Cat_Walk.ani,Cat.skn,CommJuly_KittyCondo_SafeVolume.hkx||||EP9000-NPEQ00005_00-ANIMATEDCA000820|UP9000-NPUQ00020_00-ANIMATEDCAT00001||
005756D8-5C3E4160-B2AE82B2-F8D1FF9A|MyBedroom - Birch Wood - Bed|An interactive MyBedroom bed with sleeping animation.|Furniture-Appliance|VEEMEE|1.80.0.53.PUB|P|18|L||T034|martin||||||4B72FA58-B7C84D39-A439380A-27F3017F,B14A2A51-9B844F7E-93AB11D3-93BD666B|||White_Bed.mdl,lua,sleeping_male_emote.xml,bedroomassets,Network.xml,Bed_Idle_Right.ani,Bed_SafeVolume.hkx,sleeping_female_emote.xml,Wood_Bed.hkx,furniture,sleeping_male.xml,collision,animation,file,female,SleepingBed,Bed_Climb_Left.ani,MiniGame.lua,Bed_Climb_Right.ani,sleeping_female.xml,ActiveModel.safevolume.hkx,Bed_Idle_Left.ani,MiniGames||||EP4065-NPER00003_00-MYBEDROOMB001684|UT5002-NPUR00030_00-0035890000000000|HT4005-NPHR00020_00-0007030000000000|
006383B0-0A884F32-BC7FE411-BFFA7C48|Arabian Canopy Bed (Active Object)|Elegant furnishings fit for a King. Or Queen.|Furniture-Appliance|Lockwood|1.80.0.53.PUB|L|32|L||T033|Lockwood|||||||||NetState_UserRegister.luac,repertoires,jewel,bed,MainSystems,female_lying_bed_relax_mirrored.ani,Seat.luac,NetState.luac,ThirdPersonCamera.luac,Code,sodium,SupportSystems,XmlConvert.luac,skies,Startup.luac,female_lying_bed_relax.ani,NetState_Occupancy.luac,January,male_lying_bed_idle.ani,general,CoroutineMgr.luac,2013,bed.mdl,AnimMgr.luac,female.xml,male.xml,Playmetrix.luac,lkwd,male_lying_bed_relax.ani,of,PadControl.luac,female_lying_bed_idle_mirrored.ani,Hud.luac,Jamin.luac,male_lying_bed_idle_mirrored.ani,female_lying_bed_idle.ani,Defs.xml,Main.luac,the,animations,NetLib.luac,NetworkDef.xml,bed.hkx,UniversalResources,male_lying_bed_relax_mirrored.ani,gradient.dds,Fsm_Mealey.luac,posertrons|||||||
013937B8-772948C9-911A0E1C-0A6B6948|Active Item - Wooden Orrery|Keep track of your favorite planet with your very own wooden orrery.|Furniture-Appliance|Sony Computer Entertainment|1.41.0.37.PUB|P|21|L||T033|Sunny Chu|||||||||WoodenOrreryMain.lua,CommAug_Orrery02_Planet05_Arm.mdl,CommAug_Orrery02_Planet04_Arm.mdl,CommAug_Orrery02_Planet01_Arm.mdl,CommAug_Orrery02_Planet03_Moon02.mdl,DebugDraw.lua,CommAug_Orrery02_Planet04.mdl,orrery,models,Orrery_02_Planets_Proxy_01.mdl,2010,CommAug_Orrery02_Base.mdl,CommAug_Orrery02_Planet02_Arm.mdl,CommAug_Orrery02_Planet03.mdl,Planet.lua,02,ActiveItems,CommAug_Orrery02_Planet03_Moon01.mdl,CommAug_Orrery02_Planet02_Ring.mdl,CommAug_Orrery02_Planet02.mdl,CommAug_Orrery02_Planet06_Arm.mdl,Utility.lua,commaugust,CommAug_Orrery02_Planet01.mdl,programming,CommAug_Orrery02_Base.hkx,CommAug_Orrery02_Planet03_Arm.mdl,Orrery.lua||||EP9000-NPEQ00005_00-ACTIVEOBJE001081|UP9000-NPUQ00020_00-ACTIVWOODORRERY1||
01505C2E-2D3C469C-AC284081-AD250021|Crypt Keeper (White)|This Crypt Keeper ensures your safety from the evil creatures that lurk within. However, this does not stop your apartment from filling with an eerie white fog and the sound of the horrific creatures imprisoned within the crypt below.|Furniture-Appliance|nDreams Ltd.|1.52.0.2.PUB|P|6|L||T033|janes||||||CAFBA347-58694E2F-901BE94D-64010528|||furniture,lua,smokeyTable,sound,ATGParticles,stone,Active.lua,Horror_Pack_Audio.bnk,Stone_Altar.hkx,candle_one.hkx,Actives,altar,Stone_Altar_white.mdl,candle,smoke.efx||||EP4114-NPER00011_00-CRYPTKEEPE000166|UT5001-NPUR00020_00-NDPARTYCRYPTKPRW|HT4002-NPHR00014_00-0002020000000000|
01CD95B2-9ECC4A27-B30B47D4-1B4448D6|BoxBeats  Dance|This stylish sound system comes jam packed with over 10 amazing dance tracks for you and your friends to listen to while you bust some moves. This active item also allows you to select specific tracks to play, set the volume and even randomise the track list. This is an essential item for your apartment.|Furniture-Appliance|nDreams Ltd.|1.65.0.139.BETA|P|28|L||T033|adamf||||||F58044D5-3C2C41F2-BC6F0B3A-839564F1|||Util.lua,lua,dance_speakers.ani,watersplash2.mdl,dance_speakers.mdl,track3.mp3,track7.mp3,Active.lua,track11.mp3,track8.mp3,track12.mp3,track10.mp3,track6.mp3,dance_stereo.mdl,legendO.dds,network.xml,stereo,Dance,Actives,furniture,track2.mp3,track5.mp3,BoxBeats,track4.mp3,legendX.dds,watersplash3.mdl,device_c.dds,track9.mp3,overlaysquare_c.dds,track1.mp3,dance_stereo.hkx,interface,tracks,dance_speakers.skn,dance,occlusion_c.dds,watersplash.mdl||||EP4114-NPER00011_00-BOXBEATSDA000604|UT5001-NPUR00020_00-NDBXBEATSDANCACT|HT4002-NPHR00014_00-0004820000000000|JT4002-NPJR50260_00-AA80080000000000
02EF7EF3-AAC24A21-8EDD04B9-5D3753AB|Telescope|This active item lets you move freely about your space in first person view, activate a spotlight, take videos and pictures and even customize your shots with photographic filters.|Furniture-Appliance|Juggernaut Games|1.80.0.53.PUB|P|35|L||T033|Juggernaut Games|||||||||state_idle.luac,winds,lounger,lua,statemachine.luac,Audio,observer,farm,Vignette_Overlay.dds,Observer.skn,Graphics,UnderWater_Overlay.dds,utility.luac,furniture,decorative,chimes.mp3,FARM_W_Telescope.hkx,Parchment.dds,Dusk_Overlay.dds,HipsterOverlay.dds,batchresourceloader.luac,camera.mp3,messagemanager.luac,observer.luac,Observer.ani,RedGel.dds,Stained_Glass.dds,background.dds,Network.xml,telescope,xray_overlay.dds,state_mainmenu.luac,chime_a.mp3,overlays.luac,jug,main.luac,FARM_W_Telescope.mdl,coroutinemanager.luac,state_observing.luac,telescope_music.mp3,JUG_Observer.safevolume.hkx,state_settings.luac,BrokenGlass.dds,pad.luac,chime_b.mp3,Observer_Collider.hkx||||EP5020-NPER00048_00-TELESCOPEX000405|UT5014-NPUR00140_00-0006550000000000||
03379C94-8BB84280-85934FA2-CA78FB97|Doctor Who - Scientist Dalek (Orange) Furniture|The Orange Daleks are the caretakers of Dalek science. Don t worry if you re not good at mathematics, your first lesson will only hurt for a moment. EXTERMINATE. Doctor Who logo 2013 and TM BBC. Dalek image BBC Terry Nation 1963. Licensed by BBC WW Ltd.|Furniture-Appliance|BBC Worldwide Limited|1.80.0.53.PUB|P|9|L||T033|tkim||||||53EF71DC-BEF94474-97973B3D-731B35D4,CF13A920-84A24C0A-9CE7B33F-AA1D3DC7|||Orange,lua,travel,active,Daleks_Exterminate.bnk,settings.luac,brains,ornaments,Loot_Red_Dalek_Ornaments.hkx,red,reward,follow,Skn,furniture,2012,soundbank,Loot,Orange_dalek_companions_LOD.mdl,animating,loot,Red_dalek_companion.skn,then,applicances,2013,run.ani,zombie,FP_Free_Reward_zombie.mdl,Fly,Actives,free,BBCAnimatedOrnament,AvatarAnimPacks,dalek,fp,main.luac,walk.ani,model,Dalek,CompanionFollowers,pause,while||||EP2066-NPER00063_00-DOCTORWHOO000027|UP2066-NPUR30340_00-0001240000000000||
0356813E-3FD045C5-90F7CA20-64CBC6AC|Cobalt Blue Toaster|Get cooking with this interactive toaster.|Furniture-Appliance|Juggernaut Games|1.80.0.53.PUB|P|15|L||T031|Juggernaut Games||||||452EF77B-87C24D88-AF865872-A30E4E3F,96D1541C-39934E92-9318E5C8-DD901291|||NetworkManager.luac,COOK_Toaster_Blue_RIG.mdl,cook,cutt,COOK_Toaster_RIG.skn,COOK_Toaster_LoadToast.ani,Pad.luac,Network.xml,toast_start.mp3,COOK_Toaster.hkx,COOK_Toaster_ToastFinish.ani,CUTT_Demonic_Ottoman_01.mdl,COOK,ottoman,furniture,toaster,Main.luac,Utility.luac,COOK_Toaster_Empty.ani,AtgParticles,Tools,Lua,BBQ_Smoke.efx,toast_done.mp3,demonic||||EP5020-NPER00048_00-COBALTBLUE000444|UT5014-NPUR00140_00-0011310000000000||
