folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0010BAE0-F8BA4F61-81AF3FDF-643F44E9|ABC Blocks|An oversized version of the ABC blocks you played with as a kid.|Furniture-Bundle|Disney|1.3.6.22.PUB|P||L||T035|paulh||||||7A3A6917-886B4FCB-A8D9B079-1CF7CD41,DFB87FE2-FD8E4590-AA83FECD-692A6E5B,A3D69A11-350B4952-83D264CA-39AFB532|||||||EP1006-NPER00027_00-ABCBLOCKSX000032|UP1082-NPUR30210_00-DISTSABCBLOCKS01||
00A18817-353B4E94-A8DC0C1A-150ECF2C|Captain s Collection|Discuss tactics and reminisce over past victories with the Captain s Furniture Collection. This pack includes the following  Captain s Couch Captain s Chair Captain s Coffee Table|Furniture-Bundle|Bigyama|1.65.0.139.BETA|P||L||T034|D204027||||||EF327233-CC494F67-A2D08092-879328EC,FB552ABC-F8524893-855FE8F7-27877D37,FCAB8AE6-001B4828-8156D863-5A0B0F97|||||||EP4376-NPER00056_00-CAPTAINSCO000033|UT5016-NPUR00160_00-BYCAPTAINSBUNDLE||
01E7608D-DD2A4E20-854D25EB-7D9B9C2C|Cherry Red Kitchenware Bundle|Outfit your kitchen in style with this bundle of 8 active items. Bundle includes the following items  Chef s Oven BBQ Grill Stockpot Saucepot Cherry Red Hot Pot Cherry Red Stand Mixer Cherry Red Toaster Cherry Red Blender|Furniture-Bundle|Juggernaut Games|1.80.0.53.PUB|P||L||T031|Juggernaut Games||||||6A9D3B9B-40FF4C85-9260DF28-89D0F168,97417F6A-402342E7-85B4D0F2-3281685A,A7EF5F48-BF8240A0-A741733E-B8345D82,CB220057-595446B9-B297BDA9-51CC30DF,EB51193C-2FE74F71-9EBDD666-1CE6D50B,F1D3A337-A5F04482-999C187E-63525E82,A9819222-40BF45EB-8CC08400-9797580A,9DE25E88-72374F2E-AFC22458-AB6B78D4|||||||EP5020-NPER00048_00-CHERRYREDK000451|UT5014-NPUR00140_00-0011380000000000||
0327958E-1BE24FAA-9F0C5113-F2286F66|Age of Swords - Throne - Bundle|This bundle contains  (1) Age of Swords - Throne - King (2) Age of Swords - Throne - Queen (3) Age of Swords - Throne - Prince (4) Age of Swords - Throne - Princess (5) Age of Swords - Throne - Dais|Furniture-Bundle|VEEMEE|1.70.0.93.PUB|P||L||T032|euan||||||45E462B7-7C794879-9EEFEA1C-FF68BCEF,68A82BBF-7DC94B55-A5ACA7B4-5BFC8167,9BC735A6-7A014845-82F7485B-BDF7D07D,9C2A940D-68774117-B0BF7BE5-7299C6A7,C40BC9DF-FD3049FA-84F9DEDE-38667B33|||||||EP4065-NPER00003_00-MEDIEVALTH000996|UT5002-NPUR00030_00-VMMDVLTHRONEBNDL|HT4005-NPHR00020_00-0002720000000000|
034CBED9-BCFE45DA-845E54F5-92C1303E|Techno Peep - Bundle Pack - Robot Red|Move to the groove with Techno Peep. As the hottest gadget on the market, it s three for one with extra Peep fun. Bring your Heavy Pet Peep into your apartment and let the fun begin. You can control your Peep with custom animations and moves. Take him outside of your apartment as a Companion or place him on display in your apartment in his Peep-a-Boo box. Collect them all and stack them for all to see. This set includes the following items. Techno Peep - Robot Red Techno Peep - Static Mini - Robot Red Techno Peep - Heavy Pet - Robot Red All of the above items will become available in their relevant categories on purchasing this bundle.|Furniture-Bundle|Heavy Water|1.66.0.144.PUB|P||L||T035|bryan gaier||||||1A8100DE-702B4E50-AB0F898F-5765BF16,54F935BA-36AA4C41-9AA3E68F-773F4D73,D331416E-B8FF4F35-AA34DB8E-008E6D84|||||||ET0002-NPER00035_00-TECHNOPEEP000175|UT5004-NPUR00050_00-H30TECHNORREDBND|HT4010-NPHR00022_00-0000830000000000|
03BE0549-7D754A51-8E1398A9-0B2FA293|Luxury Interior Design Pack|Luxury Interior Design Pack This pack includes the following  Luxury Leather Sofa Luxury King-Size Bed Luxury Dining Table Luxury Dining Chair Luxury Floor Lamp Decorate that luxurious beach hideaway with the quality furnishings it deserves.|Furniture-Bundle|Lockwood|1.60.0.450.BETA|P||L||T032|Lockwood||||||2BA95193-5DF24C90-8E28778D-4842C62C,B3EFDE90-363B4A08-9ED76823-22AA9366,D01592BF-3A1D432D-BCBDD339-B0A7EFAA,E36CBE88-7B934B9E-BCF8EE8C-70AAE61D,FA7097BE-503B4A8A-9F06B146-B53FAA47|||||||EP4127-NPER00050_00-LUXURYINTE000295|UT5000-NPUR00012_00-LKWDAUGFGMNTLUXP|HT4001-NPHR00012_00-0020340000000000|
03F30846-0F4A428C-8EF045B8-93275E53|Smug - Bundle - Red|All of the red Smug furniture. This Bundle Contains  (1) Smug - Dining Chair - Red (2) Smug - Dining Table - Red (3) Smug - Refrigerator - Red (4) Smug - Toaster - Red (5) Smug - TV - Red (6) Smug - Washing Machine - Red|Furniture-Bundle|VEEMEE|1.80.0.53.PUB|P||L||T031|euan||||||0B43A2A4-4D5E4CA2-B183B9DE-6C98B750,0E9A80DE-9F2043DD-BB319F92-A1A47677,0F3C47F9-805148C8-9CD281BF-6D9E7739,47E04E4C-60F1432B-A965812E-1624A9CE,618DA24E-3AB5483B-943E0EF5-9776BFFF,A6252813-AB5E4279-9AB0F0F2-C2509D71|||||||EP4065-NPER00003_00-SMUGBUNDLE002254|UT5002-NPUR00030_00-0040700000000000|HT4005-NPHR00020_00-0011940000000000|
042D53FE-ABF24599-A7B8AD39-F14B0B6D|Fossil Collection Plate Set (for Starfish)|A 2-piece set of collection plates perfect for displaying starfish fossils. This set includes the following items  Old-Fashioned Fossil Collection Plate (for Starfish) Brand New Fossil Collection Plate (for Starfish) *Upon purchase, each item will be added to the applicable category.|Furniture-Bundle|Granzella Inc.|1.65.0.139.BETA|P||L||T032|hide||||||00FA4351-B80143E6-865C2423-73ED5D66,02BF6A60-4DDB4199-B94D86D3-94D60A34||||||||UT5012-NPUR00120_00-GRNZCOLSTRPLTBND||
046B2B1D-C6444365-90959BCA-2BC8D6D1|MyBedroom - Bed Bundles - Men|New designer beds for guys. This bundle contains  (1) MyBedroom Guy s Bed - Red Black (2) MyBedroom Guy s Bed - Black Grey This is an active item. Active items provide more functionality than normal items. You may only place limited numbers of the active items in your apartment or clubhouse at any time.|Furniture-Bundle|VEEMEE|1.86.0.17.PUB|P||L||T032|martin.bosak||||||3DE107AD-BF6D4DC2-B57AAC34-4D2B74CD,D8F1DEDE-22374C09-BC42EBF5-2EDA29DF||||||||||
065FFE97-A071438C-8F66C095-1A5866BA|Cucumber Country Kitchen Set - Gingerbread|Cucumber Country Kitchen Set - Gingerbread This pack includes the following  Corner Unit - Gingerbread Cupboard Unit - Gingerbread Country Oven - Gingerbread All the warmth and comfort of a country kitchen, with that added Cucumber zing.|Furniture-Bundle|Lockwood|1.60.0.451.PUB|P||L||T033|Lockwood||||||2DC7AE0E-FD284D0B-A8D3EDEC-89630DAC,6E72A0A1-4ACD4C81-9EC57206-6CC25F3C,C0B41E85-10D94EE2-84539EB4-8979BDA7|||||||EP4127-NPER00050_00-CUCUMBERCO000229|UT5000-NPUR00010_00-LKWDAUGCUCMBRKSG|HT4001-NPHR00012_00-0019750000000000|JT4001-NPJR50210_00-AB60970000000000
