folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000001-00000014|Neo Armchair|Neo, design Alban Gilles, Ligne Roset, 2003. Suitable for both contemporary and traditional interiors. Successful thanks to its simple and geometric design.|Furniture-Chair|Sony Computer Entertainment|1.3.0.317.CORE|P|2|S||T035||||||||||LigneRoset_Neo_Armchair.mdl,Furniture,LigneRoset_Neo_Armchair.hkx,Ligne,Roset||||EP9000-NPEQ00003_00-0000000000000010|UP9000-NPUQ00003_00-0000000000000010|HP9000-NPHQ00003_00-000010| 9004-NPJQ50040_00-AB6010
00000000-00000000-00000001-00000015|Moel Armchair|Moel, design Inga Semp , Ligne Roset, 2007. Soft curves and unique appearance define this stylish and unusual piece of furniture. Bicolour interpretation recommended.|Furniture-Chair|Sony Computer Entertainment|1.3.6.22.PUB|P|2|S||T035||||||||||LigneRoset_Moel_Armchair.hkx,Furniture,Ligne,LigneRoset_Moel_Armchair.mdl,Roset||||EP9000-NPEQ00003_00-0000000000000009|UP9000-NPUQ00003_00-0000000000000009|HP9000-NPHQ00003_00-000009| 9004-NPJQ50040_00-AB6009
00000000-00000000-00000001-0000001A|Pam Chair|Pam, design Archirivolto, Ligne Roset, 2003. Modern and chic bar stool adjustable via a gas piston.|Furniture-Chair|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||Furniture,Ligne,LigneRoset_Pam_Chair.mdl,LigneRoset_Pam_Chair.hkx,Roset||||EP9000-NPEQ00003_00-PAMCHAIRXX000040|||
00000000-00000000-00000001-0000001B|Alster Chair|Alster Chair, design Emmanuel Dietrich, Ligne Roset, 2006. Elegant and comfortable, recommended in Microfiber (Alcantara or Loop) and in wool fabric.|Furniture-Chair|Sony Computer Entertainment||P|2|S||T034||||||||||LigneRoset_Alster_Chair.mdl,Furniture,Ligne,Roset,LigneRoset_Alster_Chair.hkx||||EP9000-NPEQ00003_00-0000000000000001|UP9000-NPUQ00003_00-0000000000000001|HP9000-NPHQ00003_00-000001| 9004-NPJQ50040_00-AB6001
00000000-00000000-00000001-00000023|Tip Up Armchair| Tip Up, design C + B Lefebvre, Ligne Roset, 2006. Revolutionary and strikingly unusual relax chair from Ligne Roset Collection. Ideal for teenagers. |Furniture-Chair|Sony Computer Entertainment||P|2|S||T034||||||||||Furniture,LigneRoset_TipUp_Armchair.mdl,LigneRoset_TipUp_Armchair.hkx,Ligne,Roset||||EP9000-NPEQ00003_00-0000000000000017|UP9000-NPUQ00003_00-0000000000000017|HP9000-NPHQ00003_00-000017| 9004-NPJQ50040_00-AB6017
00000000-00000000-00000001-0000002D|Sala Chair|Sala chair, design Pascal Mourgue, Ligne Roset, 2003. Elegant chair with flexible back section guaranteeing great comfort.|Furniture-Chair|||P|2|S||T000||||||||||LigneRoset_Sala_Chair.hkx,Furniture,Ligne,LigneRoset_Sala_Chair.mdl,Roset||||EP9000-NPEQ00003_00-0000000000000015|UP9000-NPUQ00003_00-0000000000000015|HP9000-NPHQ00003_00-000015|JP9004-NPJQ50040_00-AB6015
00000000-00000000-00000001-00000035|Shaman Armchair|Shaman, design Eric Jourdan, Ligne Roset, 2006. Re-interpretation of the shapes of the fifties, contemporary and timeless armchair combining graceful design and comfort.|Furniture-Chair|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||LigneRoset_Shaman_Armchair.hkx,Furniture,Ligne,LigneRoset_Shaman_Armchair.mdl,Roset||||EP9000-NPEQ00003_00-SHAMANARMC000038|||
00000000-00000000-00000001-00000038|Pop Armchair|Pop fireside chair, design Christian Werner, Ligne Roset, 2001. Superb design inspired by the 1960s school of design - combining style and fun.|Furniture-Chair|Sony Computer Entertainment|1.3.0.292.CORE|P|2|S||T034||||||||||Furniture,Ligne,LigneRoset_Pop_Armchair.mdl,LigneRoset_Pop_Armchair.hkx,Roset||||EP9000-NPEQ00003_00-0000000000000013|UP9000-NPUQ00003_00-0000000000000013|HP9000-NPHQ00003_00-000013| 9004-NPJQ50040_00-AB6013
00000000-00000000-00000001-0000003A|Summer House Armchair|A grey fabric single seat armchair with wooden legs.|Furniture-Chair|Sony Computer Entertainment||P|2|S||T034|PlayStation Home||||||CB89BF8C-AAD84EC3-A12BE5B3-7324CD42|||Penthouse,Penthouse_Armchair.hkx,Penthouse_Armchair.mdl,Furniture||||EP9000-NPEQ00001_00-SUMMERHOUSEARM00|UP9000-NPUQ00001_00-SUMMERHOUSEARM00|HP9000-NPHQ00001_00-SUMMERHOUSEARM00|JP9002-NPJQ50000_00-SUMMERHOUSEARM00
00000000-00000000-00000002-00000001|Harbour Studio Armchair|A white fabric single seat armchair with chrome legs.|Furniture-Chair|Sony Computer Entertainment||D|2|S||T034|PlayStation Home|||||||||Home_ArmChair.hkx,Furniture,Home,Home_ArmChair.mdl|||||||
00000000-00000000-00000002-00000002|Harbour Studio Chair|A shiny white plastic single seat chair with chrome legs.|Furniture-Chair|Sony Computer Entertainment||D|2|S||T000|PlayStation Home|||||||||Furniture,Home_Chair.mdl,Home,Home_Chair.hkx|||||||
00000000-00000000-00000002-00000012|Hans Chair|Hans Chair, design Emmanuel Dietrich, Ligne Roset, 2007. Combination of innovative design, modernity and comfort. Cover in synderme.|Furniture-Chair|||P|2|S||T000||||||||||Furniture,LigneRoset_Hans_Chair.hkx,Ligne,Roset,LigneRoset_Hans_Chair.mdl||||EP9000-NPEQ00003_00-0000000000000006|UP9000-NPUQ00003_00-0000000000000006|HP9000-NPHQ00003_00-000006|JP9004-NPJQ50040_00-AB6006
00000000-00000000-00000002-00000017|Summer House Chair|A classic style wooden chair.|Furniture-Chair|Sony Computer Entertainment||P|2|S||T000|PlayStation Home||||||898902B3-AAF34F69-B087494B-937E9237,CB89BF8C-AAD84EC3-A12BE5B3-7324CD42|||Penthouse,Furniture,Penthouse_Chair.hkx,Penthouse_Chair.mdl||||EP9000-NPEQ00001_00-SUMMERHOUSECHAIR|UP9000-NPUQ00001_00-SUMMERHOUSECHAIR|HP9000-NPHQ00001_00-SUMMERHOUSECHAIR|JP9002-NPJQ50000_00-SUMMERHOUSECHAIR
0007C0B4-9DF0406C-B197C0EF-74291833|Mushroom Chair|A super cute mushroom chair.|Furniture-Chair|Sony Computer Entertainment Toylogic Inc.|1.80.0.53.PUB|P|2|L||T032|Sony Computer Entertainment Toylogic Inc.|||||||||Ga045.mdl,furniture,ga045,green white,Ga045.hkx|||||||
008B89EE-BEEB421C-850F92A6-0B66E04F|Treasure Chest (Mysterious Creature)|A wooden treasure chest containing a mysterious creature.|Furniture-Chair|IREM SOFTWARE ENGINEERING INC.|1.3.6.22.PUB|L|2|L||T036|cmn|||||||||furniture_cha_takarabako_03.hkx,furniture,furniture_cha_takarabako_03.mdl,scenes|||||||
00B6D014-1BCB41DA-9791C495-9B832288|Tron Chair|Relax in this chair from Tron Evolution.|Furniture-Chair|Disney Interactive Studios|1.3.6.22.PUB|P|2|L||T032|George Cochrane||||||7B4FAFEC-DB7D4DC0-8ECC19F8-9CFE9F0C|||chair,tron,furniture,TRON_Chair_01.mdl,01,TRON_Chair_01.hkx||||EP1006-NPER00027_00-CHAIRXXXXX000071|UP1082-NPUR30210_00-DISTRONCHAIR0001||
00F8603D-B5654ECB-8CABB974-70FAC27D|Cucumber Chair|A Cucumber From Kappa No Sato Has Grown Huge Over The Years. It Is So Big That Three People Can Sit On It And Take A Rest. Note That It Cannot Be Used As Fishing Bait.|Furniture-Chair|Will Co.,Ltd.|1.65.0.139.BETA|P|2|S||T031|tsuboi|||||||||Kyuuri_chair01.mdl,furniture,fishng,chair01,kyuuri,Kyuuri_chair01.hkx|||||||JP0043-NPJR50420_00-AA60180000000000
010CFEB9-E6E34A4C-80F397DE-CACEDA8A|Blueprint  Patio Chair (White)|This stylish seat is the perfect addition to your garden. This item is recommended for use with Blueprint  Home but can be used in any personal space.|Furniture-Chair|nDreams Ltd.|1.70.0.93.PUB|P|2|L||T032|janes||||||15023225-E60E495B-ABA0A56F-52DB2EC1,EE7BA109-7D934683-9B4A77DD-7E009242|||furniture,patio_chair_white_plastic.hkx,patio_chair_white_plastic.mdl,patio||||EP4114-NPER00011_00-BLUEPRINTP000837|UT5001-NPUR00020_00-NDBLUEPRNTHOMEX7|HT4002-NPHR00014_00-0005860000000000|JT4002-NPJR50260_00-AA60250000000000
015B6723-35A9449C-81177F66-F02FEAE8|Hay Bale - Floral|Don t worry, the fabric s nice and thick so the straw doesn t poke through when you sit down.|Furniture-Chair|Lockwood|1.80.0.53.PUB|L|2|L||T033|Lockwood|||||||||furniture,items,seasonal,2012,hay,march,Hay_Bail_Seats.mdl,lockwood,bail,seats,Hay_Bail_Seats.hkx|||||||
