folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00944181-D4924EFE-B4843ABA-1E031C71|Space Cubes (4) - Closed - White|The Space Cubes (4), as in four compartments, are a great way to decorate your Space Apartment. Each Space Cubes (4) set comes with the open, closed and glass versions of your color choice. Check out the awesome Space Cubes (4) Bundle for more colorful stack em and mismatch em possibilities.|Furniture-Cube| LOOT |1.66.0.144.PUB|P|2|L||T033|claursen||||||11A27C20-54B64E25-B92D2794-7E6AEDF8,3DE325B8-02D04A68-8CCABFBE-DEA3A4EE,77FDCE94-F6134515-84507659-2B55FDD3,B14D8566-41D64130-B0E53B6E-2A081D2B,C50F58C2-D78D44EA-9CDDE0CE-13DAB12C,C8F68A38-B500475E-A8A84285-F9A623ED|||black,Space_ShelfCube4_White_closed.hkx,furniture,Space_ShelfCube4_White_closed.mdl,space,shelfcube4||||EP0644-NPER00008_00-SPACECUBES000559|US0002-NPUR00001_00-LOOTSPCCUBESWHT4||
074B415E-E74E4A40-A576A8A5-670EAF9F|Female||Furniture-Cube|Atom Republic|1.83.0.11.PUB|U|4|L||T035|tdewavrin|||||||||ActiveModel.mdl,lua,point,collision,model,female.lua,ActiveModel.hkx,Commerce,ActiveModel.safevolume.hkx,MiniGames|||||||
0815CB6B-F12946C9-B009DFA2-AD730F98|Locobloc (Chavez)|Blocks Designed After LocoRoco. Show Your Creativity By Mixing And Stacking Blocks Of Varying Colours.|Furniture-Cube|Sony Computer Entertainment|1.3.2.16.BETA1|P|2|L||T032|Sony Computer Entertainment||||||E842CD8B-CD224807-A90D3280-DD0CF4A4|||cube_green.mdl,furniture,cube,green,cube_green.hkx|||||UP9000-NPUQ00012_00-LOCOBLOCKCHAVEZ1|HP9000-NPHQ00005_00-0002780000000000|JP9000-NPJQ50010_00-AC60050000000000
0835BC4F-0EDA4EEF-AD12233E-3357A7EC|Patterned LittleBigPlanet Cloth Cube|A patterned LittleBigPlanet cube made of cloth.|Furniture-Cube|Sony Computer Entertainment|1.3.5.113.BETA|A|2|L||T031|Robert Calinescu|||||||||furniture,ornaments_mexicocloth.hkx,mexicocloth,ornaments,ornaments_mexicocloth.mdl|||||||
087ECD34-0F1C4176-900CD190-734FED2C|Scary Fairy Peep - Static Mini - Rotten Redhead|Scary Fairy is one twisted sister Peep. Put your Mini-Peep on display in your apartment in her own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|Heavy Water|1.66.0.144.PUB|P|2|L||T035|bryan gaier||||||36190816-9C394098-9CA68363-72E75473,7EAB4545-FD1A49D2-95865793-F41A3F1F,8ED26ED3-9F314BAA-94E9E0F3-0D3D611C|||furniture,3b,Peep_3A_S.mdl,release,02,peeps,Peep_3A_S.hkx||||ET0002-NPER00035_00-SCARYFAIRY000142|UT5004-NPUR00050_00-H30SCFAPESMRORDH|HT4010-NPHR00022_00-0000610000000000|
08B57C71-B13E4386-8341BD7D-97E50026|Locobloc (Kulche)|Blocks designed after LocoRoco. Show your creativity by mixing and stacking blocks of varying colours.|Furniture-Cube|Sony Computer Entertainment|1.3.2.16.BETA1|P|2|L||T032|Sony Computer Entertainment||||||E842CD8B-CD224807-A90D3280-DD0CF4A4|||furniture,cube_yellow2.hkx,cube_yellow2.mdl,cube,yellow|||||UP9000-NPUQ00012_00-LOCOBLOCKKULCHE1|HP9000-NPHQ00005_00-0002730000000000|JP9000-NPJQ50010_00-AC60050000000000
0FF21636-E0F54CFF-B4FF9D40-DF84EF6D|Super Powered Peep - Static Mini - Bolting Blue|Super Powered Peep is fueled by Heavy Water for all of his mad skills. Put your Mini-Peep on display in your apartment in his own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|Heavy Water|1.66.0.144.PUB|P|2|L||T035|bryan gaier||||||37482A97-70004B87-B1EA58B7-D990B310,7127AAB0-C7584D52-B966DC24-CAF53FF7,7EAB4545-FD1A49D2-95865793-F41A3F1F|||Peep_9A_S.mdl,Peep_9A_S.hkx,furniture,peeps,9b,02,release||||ET0002-NPER00035_00-SUPERPOWER000148|UT5004-NPUR00050_00-H30SUPPWRPSMBOBL|HT4010-NPHR00022_00-0000670000000000|
11B41282-F4D64AAB-86547A43-943A85AE|Up-Chuck Peep - Static Mini - Pasty White|Up-Chuck is one wild and crazy guy and the life of every party. Put your Mini-Peep on display in your apartment in his own Peep-A-Boo Box. Collect them all and stack them up for all to see.|Furniture-Cube|Heavy Water|1.66.0.144.PUB|P|2|L||T036|bryan gaier||||||36190816-9C394098-9CA68363-72E75473,7EAB4545-FD1A49D2-95865793-F41A3F1F,878D05D5-B0EE44CD-9DEB143D-7E0E83C6|||furniture,peeps,Peep_1A_S.hkx,Peep_1A_S.mdl,02,1b,release||||ET0002-NPER00035_00-UPCHUCKPEE000140|UT5004-NPUR00050_00-H30UPCHUCKSMPWHT|HT4010-NPHR00022_00-0000590000000000|
122E5C7D-3A994C14-A25D2E1D-4216BEDE|Geo Block  Aqua|A Statue Of A Block-shaped Object Called A Geo Block. These Objects Appear In Disgaea 3 And Are Sought After As Collector s Items.|Furniture-Cube|NIPPON ICHI SOFTWARE INC.|1.3.6.22.PUB|P|2|S||T035|NIPPON ICHI SOFTWARE INC.|||||||||Nis_GeoBlock_Aqua.hkx,Aqua,Furniture,Nis_GeoBlock_Aqua.mdl,GeoBlock,Nis|||||UP1063-NPUR30100_00-NISGEOBLOCKAQUA1|HP0404-NPHR00004_00-000051|JP0404-NPJR50020_00-AA6016
147ECCFC-87DF48B4-AA282ED6-BC57322C|Sodium Small Neon Cube - Orange|Industry chic with a splash of color, but what s inside..|Furniture-Cube|Sodium - Lockwood|1.50.0.238.BETA|P|2|L||T031|Lockwood|||||||||furniture,sodium,cube,neon_cube_small.hkx,neon_cube_small.mdl,neon||||EP4127-NPER00014_00-SODIUMSMAL000991|UT5000-NPUR00010_00-OUTSOSODIUMSNCOR|HT4001-NPHR00012_00-0009550000000000|JT4001-NPJR50210_00-AC60980000000000
