folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00434B10-2CBC40D6-98456A5D-978E88E8|Football Centre Spot Carpet|A carpet made to look like the centre sport from a football pitch. Exclusive to the Football Mania Acorn Meadows Park.|Furniture-Flooring|VEEMEE|1.86.0.17.PUB|L|2|L||T031|martin.bosak|||||||||CentreSpotCircularRug.hkx,furniture,centrespotcircularrug,CentreSpotCircularRug.mdl|||||||
00C3F8B5-772F4316-969564FD-4ED34AFF|70 s Shag Carpet (Circular)|A groovy shag carpet to chill out on.|Furniture-Flooring|nDreams Ltd.|1.41.0.37.PUB|P|2|S||T033|janes||||||312F8B8C-A9284147-B3CC7D9D-8CEDFD56|||furniture,carpet,carpet.hkx,carpet.mdl||||EP4114-NPER00011_00-70SFURNITU000104|UT5001-NPUR00020_00-ND70SSHAGCARPET1|HT4002-NPHR00014_00-0001150000000000|JT4002-NPJR50260_00-AA60050000000000
00E586F6-5E374937-8361463E-D87AB00D|Whack Off Prize 8|Whack Off Prize 8|Furniture-Flooring|Mass Media Games, Inc.|1.60.0.450.BETA|A|2|L||T031|mikelj|||||||||bugrug,WO_BugRug.mdl,furniture,wo,WO_BugRug.hkx|||||||
0226B3AC-F98F41E5-BBC1535D-B396BA06|Sodium Small Tasseled Floor Pillow  Purple|Want to deck out your apartment as center for lounging and relaxation. Now you can with this excellent floor pillow.|Furniture-Flooring|Sodium - Lockwood|1.40.0.265.PUB|L|2|L||T034|Lockwood|||||||||Cushion_small_3.mdl,furniture,sodium,Cushion_small_3.hkx,cushion|||||||
0297073E-48494D5F-BA085422-DF0B4B2C|Gograk s Light Up Floor|This dazzling light up piece comes from the best in Alien technology. It adds the perfect bit of flair to any Mad Scientist laboratory. Check out the Mad Scientist Starter Kit for an exclusive item.|Furniture-Flooring| 2010 LOOT |1.52.0.2.PUB|P|2|L||T040|claursen|||||||||basicprops,furniture,stageset3,ComputerPanelFloor.mdl,ComputerPanelFloor.hkx||||EP0644-NPER00008_00-GOGRAKSLIG000273|US0002-NPUR00001_00-LOOTSTORE10MB023||JT4003-NPJR50250_00-AA60440000000000
0584A66B-908F4B35-B5D2476A-10D8B124|Cowboy Rug|The perfect rug for their apartment.|Furniture-Flooring|Lockwood|1.75.0.85.PUB|P|2|L||T034|Lockwood|||||||||furniture,Rug_Cowboy.mdl,02,lockwood,batch,gifts,2011,april,rug,Rug_Cowboy.hkx|||||||JT4001-NPJR50210_00-AB61530000000000
05A11CD3-59A14826-B5CE8A4E-CBC08F60|Pitch Rug|A Rug That Resembles A Football Pitch.|Furniture-Flooring|Sony Computer Entertainment|1.3.5.121.PUB|L|2|S||T031||||||||||furniture,japan,FifaRugMat.mdl,fifarugmat,FifaRugMat.hkx|||||||
06433D60-70364195-939F2317-74F1DAE8|Imperial Persian Rug|Spice up your personal space with this alluring Persian Rug from Hellfire Games.|Furniture-Flooring|Hellfire Games, Inc.|1.86.0.17.PUB|A|2|L||T031|Patrick Sutter|||||||||furniture,PersianRug.mdl,persianrug,PersianRug.hkx|||||||
074100BF-973347D5-A166DC15-0683CCB1|gamescom 2010 Pink Neon Rug|A neon rug for your apartment.|Furniture-Flooring|Sony Computer Entertainment|1.3.6.22.PUB|P|2|S||T035|katielt|||||||||furniture,NeonRugPink.hkx,NeonRugPink.mdl,neonrug||||EP9000-NPEQ00004_00-GAMESCOM20000140|UP9000-NPUQ00007_00-GAMESCOM10RUGPNK|HP9000-NPHQ00011_00-0000470000000000|
07C57EC1-302F47A4-BE6A9088-EAF94990|Casino Card Rug|Casino Card Rug|Furniture-Flooring|Digital Leisure|1.55.0.155.BETA2|A|2|L||T031|Ryan Mason|||||||||furniture,casino,Casino_CardRug.mdl,cardrug,Casino_CardRug.hkx|||||||
