folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000001-00000007|Pas Si Classique Footstool|Pas Si Classique footstool, design Pascal Mourgue, Ligne Roset, 2007.|Furniture-Footstool|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||LigneRoset_PaSiClassique_Footstool.mdl,Furniture,Ligne,LigneRoset_PaSiClassique_Footstool.hkx,Roset||||EP9000-NPEQ00003_00-PASICLASSI000035|||
00000000-00000000-00000001-00000012|Facett Footstool|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Footstool|Sony Computer Entertainment|1.3.5|P|2|S||T032||||||||||Furniture,Ligne,Roset,LigneRoset_Facett_Footstool.mdl,LigneRoset_Facett_Footstool.hkx||||EP9000-NPEQ00003_00-FACETTFOOT000025|||
00000000-00000000-00000001-00000016|Neo Footstool|Neo, design Alban Gilles, Ligne Roset, 2003. Suitable for both contemporary and traditional interiors. Successful thanks to its simple and geometric design.|Furniture-Footstool|Sony Computer Entertainment|1.3.0.317.CORE|P|2|S||T035||||||||||LigneRoset_Neo_Footstool.mdl,LigneRoset_Neo_Footstool.hkx,Furniture,Ligne,Roset||||EP9000-NPEQ00003_00-0000000000000011|UP9000-NPUQ00003_00-0000000000000011|HP9000-NPHQ00003_00-000011| 9004-NPJQ50040_00-AB6011
00000000-00000000-00000001-0000001C|Togo Footstool|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70 s, first of Ligne Roset s all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Footstool|Sony Computer Entertainment|1.3.0.289.CORE|P|2|S||T034||||||||||Furniture,Ligne,Roset,LigneRoset_Togo_Footstool.hkx,LigneRoset_Togo_Footstool.mdl||||EP9000-NPEQ00003_00-0000000000000018|UP9000-NPUQ00003_00-0000000000000018|HP9000-NPHQ00003_00-000018| 9004-NPJQ50040_00-AB6018
00000000-00000000-00000001-00000021|Facett 2 Seater Footstool|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Footstool|Sony Computer Entertainment|1.3.0.317.CORE|P|2|S||T031||||||||||LigneRoset_Facett2S_Footstool.mdl,LigneRoset_Facett2S_Footstool.hkx,Furniture,Ligne,Roset||||EP9000-NPEQ00003_00-0000000000000003|UP9000-NPUQ00003_00-0000000000000003|HP9000-NPHQ00003_00-000003| 9004-NPJQ50040_00-AB6003
00000000-00000000-00000001-00000031|Malhoun Footstool|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Footstool|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||LigneRoset_Malhoun_Footstool.hkx,LigneRoset_Malhoun_Footstool.mdl,Furniture,Ligne,Roset||||EP9000-NPEQ00003_00-MALHOUNFOO000045|||
00000000-00000000-00000001-00000037|Pop Footstool|Pop fireside chair, design Christian Werner, Ligne Roset, 2001. Superb design inspired by the 1960s school of design - combining style and fun.|Furniture-Footstool|Sony Computer Entertainment|1.3.0.292.CORE|P|2|S||T034||||||||||LigneRoset_Pop_Footstool.hkx,Furniture,Ligne,LigneRoset_Pop_Footstool.mdl,Roset||||EP9000-NPEQ00003_00-0000000000000014|UP9000-NPUQ00003_00-0000000000000014|HP9000-NPHQ00003_00-000014| 9004-NPJQ50040_00-AB6014
00000000-00000000-00000001-0000003B|Summer House Foot Stool|A grey fabric foot stool with wooden legs.|Furniture-Footstool|Sony Computer Entertainment||P|2|S||T034|PlayStation Home||||||898902B3-AAF34F69-B087494B-937E9237|||Penthouse,Penthouse_Footstool.hkx,Penthouse_Footstool.mdl,Furniture||||EP9000-NPEQ00001_00-SUMMERHFOOTSTOOL|UP9000-NPUQ00001_00-SUMMERHFOOTSTOOL|HP9000-NPHQ00001_00-SUMMERHFOOTSTOOL|JP9002-NPJQ50000_00-SUMMERHFOOTSTOOL
00000000-00000000-00000002-00000004|Harbour Studio Foot Stool|A white fabric foot stool with chrome legs.|Furniture-Footstool|Sony Computer Entertainment||D|2|S||T034|PlayStation Home|||||||||Furniture,Home_FootStool.mdl,Home,Home_FootStool.hkx|||||||
00000000-00000000-00000002-00000013|Shaman Footstool|Shaman, design Eric Jourdan, Ligne Roset, 2006. Re-interpretation of the shapes of the fifties, contemporary and timeless footstool combining graceful design and comfort.|Furniture-Footstool|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||LigneRoset_Shaman_Footstool.mdl,Furniture,Ligne,LigneRoset_Shaman_Footstool.hkx,Roset||||EP9000-NPEQ00003_00-SHAMANFOOT000039|||
