folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000002-00000006|Harbour Studio Picture Frame|A modern, slimline picture frame for your Personal Space. You may only use this item to display content that (i) you have the legal right to use and display (ii) is not illegal, offensive or inappropriate and (iii) complies with the Terms of Service and User Agreement.|Furniture-Frame|Sony Computer Entertainment||P|2|S||T036|PlayStation Home|||||||||Home_PictureFrame_Portrait.hkx,Furniture,Home_PictureFrame_Portrait.mdl,Home||||EP9000-NPEQ00001_00-HARBOURSTUD00000|UP9000-NPUQ00001_00-HARBSTUDIOPICFR1|HP9000-NPHQ00001_00-000173|JP9002-NPJQ50000_00-006035
0019B1B0-884E4685-8151BF5F-B4A2CD69|Wonderland Poster 3|Poster 1 of 4 in the second set from the comic book series Wonderland and Grimm Fairy Tales. This series is produced by Zenescope Entertainment and brought to you from Evil Tree Studios.|Furniture-Frame|Evil Tree Studios LLC|1.80.0.53.PUB|P|2|L||T033|Evil Tree Studios||||||1BC9C1E1-A9D64B58-890F415F-AD5D5BBD,75123724-C56241E1-A6043A00-D4CCA5A9,B1ADD648-BC4547B7-87DF29DE-1458E0D9|||furniture,Wonderland_Poster_003.hkx,Wonderland_Poster_003.mdl|||||UT5026-NPUR00225_00-0000300000000000||
00455F91-55174086-B2B98B2A-B1F3644D|Stop Sign Wall Art|This is a reward from Home Tycoon.|Furniture-Frame|Hellfire Games, Inc.|1.70.0.93.PUB|A|2|L||T034|Jessie|||||||||furniture,ht,sign,ht_wall_stop_sign.mdl,wall,stop,ht_wall_stop_sign.hkx|||||||
00BB5C32-95744D8C-A1AEF95F-252A1756|Mountain Ecstasy|A gorgeous landscape and perfect accent to any space.|Furniture-Frame|Sony Computer Entertainment|1.70.0.93.PUB|P|2|L||T032|Matt|||||||||Scenery01.mdl,furniture,Scenery01.hkx,scenery01||||EP9000-NPEQ00022_00-MOUNTAINEC000290|UP9000-NPUQ00020_00-HWMTNECSTACYXXXX||
0108E86D-71284F0B-9D205C29-D8FD345E|Poster - Dead Reckoning|Poster featuring page from a Judge Dredd comic|Furniture-Frame|VEEMEE|1.41.0.37.PUB|P|2|L||T033|mark|||||||||furniture,Poster_DeadReckoning.hkx,deadreckoning,poster,Poster_DeadReckoning.mdl||||EP4065-NPER00003_00-DEADRECKON000340|UT5002-NPUR00030_00-VMPSTRDEADRCNING||
01831EEA-AB604AF8-B502A427-7794248A|Hot Pepper Neon Sign|Get yer Hot Pepper right here. Cozy up to the heat of the sign on the wall in all it s shining glory. Hallelujah.|Furniture-Frame|Mass Media Games, Inc.|1.65.0.139.BETA|A|2|L||T033|SeanR|||||||||HotZone_PepperSign.mdl,furniture,peppersign,HotZone_PepperSign.hkx,hotzone|||||||
01F023EC-48FB4A6D-9F282742-D5A03986|Tee d Off Prize 7|Tee d Off Prize 7|Furniture-Frame|Mass Media Games, Inc.|1.41.0.37.PUB|A|2|L||T033|gabes|||||||||furniture,to,poster,TO_Poster.hkx,TO_Poster.mdl|||||||
029D34A7-C4BD49EE-921B45D5-4608D217|Stitchkins Fruit Salad Bunny Wall Art|Some knitted loveliness for your apartment wall in the form of this quirky Stitchkin Wall Art.|Furniture-Frame|Lockwood|1.41.0.37.PUB|P|2|L||T031|Lockwood|||||||||furniture,january,Stitch_Rabbit_Wall_Art.hkx,stitchkins,art,Stitch_Rabbit_Wall_Art.mdl,lockwood,2011,wall,rabbit||||EP4127-NPER00014_00-STITCHKINS000636|UT5000-NPUR00010_00-OUTSOAPRSKFRUIWA|HT4001-NPHR00012_00-0006540000000000|JT4001-NPJR50210_00-AB90050000000000
02C8336E-68684FD7-846B7B61-9D6303DF|Fine Cuckoo Clock|This active item tells real time.|Furniture-Frame|Juggernaut Games|1.80.0.53.PUB|P|28|L||T031|Juggernaut Games||||||E19685EF-865B46DD-9D367A36-C98E7442|||FARM_F_FineCucoClock_BottomBits_CowMove.ani,FARM_F_FineCucoClock_ClockParts_RIG.skn,FARM_F_FineCucoClock_TopBits_RIG.skn,FARM_F_FineCucoClock.hkx,Audio,FARM_F_FineCucoClock_TopBits_Closed.skn,FARM_F_FineCucoClock_BottomBits_PigMove.ani,FARM_F_FineCucoClock_ClockParts_Loop.ani,cuckooclock.luac,FARM_F_FineCucoClock_BottomBits_RIG.skn,farm,FARM_F_FineCucoClock_TopBits_Closed.ani,FARM_F_FineCucoClock_TopBits_Closed.mdl,MinuteHand.mdl,finecucoclock,FARM_F_FineCucoClock_BottomBits_SheepMove.ani,8_chimes.mp3,FARM_F_FineCucoClock_Base.mdl,FARM_F_FineCucoClock_BottomBits_Closed.ani,HourHand.mdl,furniture,FARM_F_FineCucoClock_TopBits_RIG.mdl,FARM_F_FineCucoClock_BottomBits_RIG.mdl,FARM_F_FineCucoClock_SheepPiece_RIG.mdl,FARM_F_FineCucoClock_PigPiece_RIG.mdl,FARM_F_FineCucoClock_ClockParts_RIG.mdl,FARM_F_FineCucoClock_CowPiece_RIG.skn,FARM_F_FineCucoClock_CowPiece_RIG.mdl,FARM_F_FineCucoClock_PigPiece_RIG.skn,FARM_F_FineCucoClock_SheepPiece_RIG.skn,FARM_F_FineCucoClock_TopBits_ClockDing.ani||||EP5020-NPER00048_00-FINECUCKOO000399|UT5014-NPUR00140_00-0006490000000000||
02E480B0-528443CC-83744AF2-5EBAF5E0|Yuletide Ribbon Wreath|Gift giving is at the heart of Christmas, so give this merry gift to someone special.|Furniture-Frame|Lockwood|1.80.0.53.PUB|L|2|L||T031|Lockwood|||||||||wreath,furniture,october,lkwd,wreath.hkx,christmas,wreath.mdl,general,lockwood,2013|||||||
