folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000001-0000003C|Summer House Light|A chrome stand with six flower shaped lights.|Furniture-Light|Sony Computer Entertainment||P|3|S||T034|PlayStation Home||||||898902B3-AAF34F69-B087494B-937E9237,CB89BF8C-AAD84EC3-A12BE5B3-7324CD42|||Penthouse,Penthouse_Light.mdl,Environment,Shared,Penthouse_Light.hkx,Maps,Textures,Furniture,lampOutputCube.dds||||EP9000-NPEQ00001_00-SUMERHOUSELIGHT0|UP9000-NPUQ00001_00-SUMERHOUSELIGHT0|HP9000-NPHQ00001_00-SUMERHOUSELIGHT0|JP9002-NPJQ50000_00-SUMERHOUSELIGHT0
00000000-00000000-00000002-00000005|Harbour Studio Lamp|A small white lamp in the shape of the PlayStation Home logo.|Furniture-Light|Sony Computer Entertainment||D|3|S||T000|PlayStation Home|||||||||Environment,Shared,Home,Maps,Textures,Home_Lamp.hkx,Home_Lamp.mdl,Furniture,lampOutputCube.dds|||||||
003FB00C-87B24C92-B4E07859-790EF9E7|Kasuga lantern|A tall, pillar-like stone lantern.|Furniture-Light|Granzella Inc.|1.70.0.93.PUB|P|3|L||T031|Hattori||||||1020837B-188A4607-AF866529-0383B306|||furniture,sourceimages,scenes,placeholder_01_c.dds,Furniture_tourou_00.hkx,Furniture_tourou_00.mdl|||||UT5012-NPUR00120_00-GZKASUGALANTERNX||
00D14F96-51304899-8B199052-A0BBE720|Cubic Table Light|Simple cube-shaped tabletop lamp.|Furniture-Light|Granzella Inc.|1.82.0.17.PUB|L|3|S||T031|iwabuchi|||||||||Furniture_tablelight_00.hkx,furniture,shared,scenes,blocking_colour_orange.dds,Furniture_tablelight_00.mdl,textures,environments|||||||
0142BD77-518D49C6-A8C640BE-8BD2A744|Victorian Street Light|Retro street light with a hexagonal lamp chimney.|Furniture-Light|Granzella Inc.|1.82.0.17.PUB|L|3|L||T031|Hattori|||||||||furniture,Furniture_san_light_00.mdl,scenes,Furniture_san_light_00.hkx,furniture_san_light_00_1_c.dds,sourceimages|||||||
01C07BE6-7D974689-A124CCEF-ED699789|Yukimi lantern|A low, four-legged stone lantern.|Furniture-Light|Granzella Inc.|1.70.0.93.PUB|P|3|L||T031|Hattori||||||1020837B-188A4607-AF866529-0383B306|||Furniture_tourou_01.mdl,furniture,Furniture_tourou_01.hkx,scenes,placeholder_01_c.dds,sourceimages|||||UT5012-NPUR00120_00-GZYUKIMILANTERNX||
02956441-70E84929-8D594CC6-AC5C1D12|Los Penguini Brothers - Penguin Lamp|A cool reward won from beating a challenge in Los Penguini Brothers.|Furniture-Light|nDreams Ltd.|1.55.0.155.BETA2|A|3|S||T032|andrewm|||||||||placeholder_c.dds,furniture,textures,generic,shared,lamp.mdl,lamp.hkx|||||||
02CAD1E6-60414184-B4F62E1B-BAE6F90C|Kotoji lantern, with foot stand|A two-legged stone lantern with one broken leg.The lantern is balanced with a stone under the broken leg.|Furniture-Light|Granzella Inc.|1.70.0.93.PUB|P|3|L||T031|Hattori||||||1020837B-188A4607-AF866529-0383B306|||Furniture_tourou_02.mdl,furniture,Furniture_tourou_02.hkx,scenes,placeholder_01_c.dds,sourceimages|||||UT5012-NPUR00120_00-GZKOTOJILANTERN1||
039F68BD-8A5244BA-817B5247-118DE260|Candleman|A Candle Monster Of The World Route.|Furniture-Light|O-Two inc.|1.80.0.53.PUB|P|3|L||T031|OTWO104|||||||||furniture,Candleman.mdl,texture,candleman,Candleman.hkx,candleman_mask.dds|||||UT5028-NPUR00240_00-0005350000000000||
060B9085-36914946-8860C95E-45B47A9D|Purple Teardrop Lamp|A purple teardrop mood lamp.|Furniture-Light|Sony Computer Entertainment|1.83.0.11.PUB|P|3|L||T033|debbie|||||||||furniture,bat_001_aniFurn_003.hkx,bat,001,textures,bat_001_aniFurn_003.mdl,bat_001_aniFurn_003_LightColour_c.dds,anifurn,003||||EP9000-NPEQ00005_00-PURPLETEAR002730|UP9000-NPUQ00020_00-VMHOMEITEMSXXX80||
06C006AB-18794345-BFB0DD7C-2D544283|Animated Lava Lamp|Get mesmerized with this glowing lava lamp.|Furniture-Light|Sony Computer Entertainment|1.41.0.37.PUB|P|8|L||T034|mnajor|||||||||2010,CommAugust_LavaLamp_Loop.ani,lavaLamp.lua,CommAugust_LavaLamp.hkx,lavalamp,ActiveItems,CommAugust_LavaLamp.mdl,commaugust,Network.xml,activeitems,CommAugust_LavaLamp_Loop.skn,programming,MyPad.lua,CommAugust_LavaLamp_Loop.mdl||||EP9000-NPEQ00005_00-ANIMATEDLA001090|UP9000-NPUQ00020_00-ANIMLAVALAMP0001||
079EDDF6-6C31413C-B8478292-02D95F8E|Animated LED Lights|This tree shines some light from its branches and is small enough to fit on your desk.|Furniture-Light|Sony Computer Entertainment|1.50.0.238.BETA|P|8|L||T034|mnajor|||||||||CommOct_LEDLightV2_LightsOff.mdl,models,2010,ActiveItems,activeitems,Network.xml,commoctober,CommOct_LEDLightV2.hkx,bulbLight.lua,CommOct_LEDLightV2_LightsOn.mdl,programming,LEDLight.lua,MyPad.lua,CommOct_LEDLightV2.mdl,ledlightv2||||EP9000-NPEQ00005_00-ACTIVEITEM001449|UP9000-NPUQ00020_00-ACTIVEBEDLIGHTS1|HP9000-NPHQ00006_00-0003630000000000|
07A11D39-1DF1408E-810EB41E-68EA4B83|MyBedroom - Black Marble - Table Lamp|A MyBedroom table lamp|Furniture-Light|VEEMEE|1.75.0.85.PUB|P|3|L||T031|debbie||||||99783BB8-A2404093-959D4B1E-B5B6ED34,B14A2A51-9B844F7E-93AB11D3-93BD666B|||furniture,Placeholder_c.dds,Shared,bedroomassets,Textures,Black_DecorativeLamp.mdl,environments,Black_DecorativeLamp.hkx||||EP4065-NPER00003_00-MYBEDROOMB001695|UT5002-NPUR00030_00-0035810000000000|HT4005-NPHR00020_00-0006950000000000|
07AFBC36-77C44241-B171C1CA-28203A71|Angry Jack o Lantern|Decorate your personal space for Halloween with this carved pumpkin.|Furniture-Light|Virtuos|1.55.0.155.BETA2|A|3|L||T031|shangqiuchen|||||||||furniture,carved,texture,Carved_Pumpkins_large_angry.hkx,pumpkins,large,Carved_Pumpkins_large_angry.mdl,light.dds|||||||
07C86CAA-BB4C490E-84AE543A-62252B6F|Abstract Table Lamp|A miniature version of the webbed-cyclindrical lamp.|Furniture-Light|Sony Computer Entertainment|1.3.6.22.PUB|P|3|L||T032|flaguna||||||A5425B8D-672A441F-B561C1F2-D1DDD796,C1C55E65-82A64A82-B22B7C86-5911B7BC,CB451A3C-882B498C-A3EE22E5-7D3A410B,F5BDED65-1253469B-A22D533B-EE39B6BE,F7E4CC95-B5D642F9-8169077D-B886CC2E|||furniture,CommMay_TableLamp.hkx,generic,light,commmay,shared,gv,placeholder_c.dds,CommMay_TableLamp.mdl,textures,internalartapproved,tablelamp||||EP9000-NPEQ00005_00-ABSTRACTTA000658|UP9000-NPUQ00010_00-LAKEABSTRCTTLAMP|HP9000-NPHQ00010_00-0000300000000000|JP9002-NPJQ50280_00-AE60050000000000
09A8FFDA-FAD34143-8A78300C-2C649DA0|Blue Toad Light (Gold)|Exclusive gold version. Place the soft glowing light on your wall to create a relaxing atmosphere in your space.|Furniture-Light|Relentless Software|1.41.0.37.PUB|P|3|L||T031|mrashand|||||||||furniture,CreateLightGold.lua,btho,gold,BTHO_LIGHT_ToadLight_Gold.hkx,toadlight,Scripts,BTHO_LIGHT_ToadLight_Gold.mdl||||EP4075-NPER00038_00-BLUETOADLI000059|UP4075-NPUR30270_00-BTGOLDLIGHT00001||
