folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000001-0000003D|Summer House Ornament|A shiny twisted chrome ornament on a white wire base.|Furniture-Ornament|Sony Computer Entertainment||P|2|S||T034|PlayStation Home||||||898902B3-AAF34F69-B087494B-937E9237,CB89BF8C-AAD84EC3-A12BE5B3-7324CD42|||Penthouse,Furniture,Penthouse_Ornament.mdl,Penthouse_Ornament.hkx||||EP9000-NPEQ00001_00-SUMMERORNAMENT00|UP9000-NPUQ00001_00-SUMMERORNAMENT00|HP9000-NPHQ00001_00-SUMMERORNAMENT00|JP9002-NPJQ50000_00-SUMMERORNAMENT00
00000000-00000000-00000002-00000028|Astronaut Helmet|Astronaut Helmet|Furniture-Ornament|Sony Computer Entertainment||P|2|S||T034|PlayStation Home|||||||||Bric-a-brac_AstronautHelmet.mdl,Furniture,Bric-a-brac,Bric-a-brac_AstronautHelmet.hkx||||EP9000-NPEQ00001_00-ASTROHELMET00000|UP9000-NPUQ00001_00-ASTROHELMET00000|HP9000-NPHQ00001_00-000052|JP9002-NPJQ50000_00-006005
00000000-00000000-00000002-00000029|Barbecue|Barbecue|Furniture-Ornament|Sony Computer Entertainment|1.3.5|P|2|S||T035|PlayStation Home|||||||||Bric-a-brac_BBQ.hkx,Bric-a-brac,Furniture,Bric-a-brac_BBQ.mdl||||EP9000-NPEQ00001_00-BARBECUE00000000|UP9000-NPUQ00001_00-BARBECUE00000000|HP9000-NPHQ00001_00-000053|JP9002-NPJQ50000_00-006006
00000000-00000000-00000002-00000030|Blue Robot|A classic tin robot toy with blue detailing.|Furniture-Ornament|Sony Computer Entertainment|1.3.5|P|2|S||T035|PlayStation Home|||||||||Bric-a-brac,Bric-a-brac_BlueRobot.hkx,Bric-a-brac_BlueRobot.mdl,Furniture||||EP9000-NPEQ00001_00-BRICABLUEROBOT00|UP9000-NPUQ00001_00-BRICABLUEROBOT00|HP9000-NPHQ00001_00-BRICABLUEROBOT00|JP9002-NPJQ50000_00-BRICABLUEROBOT00
00000000-00000000-00000002-00000031|Small Cactus|A small, prickly single stalk cactus in a red and orange ceramic pot.|Furniture-Ornament|Sony Computer Entertainment||P|2|S||T000|PlayStation Home|||||||||Bric-a-brac,Furniture,Bric-a-brac_Cactus1.mdl,Bric-a-brac_Cactus1.hkx||||EP9000-NPEQ00001_00-BRICACACTUS10000|UP9000-NPUQ00001_00-BRICACACTUS10000|HP9000-NPHQ00001_00-BRICACACTUS10000|JP9002-NPJQ50000_00-BRICACACTUS10000
00000000-00000000-00000002-00000032|Large Cactus|A large, spiky double stalk cactus in a blue ceramic pot.|Furniture-Ornament|Sony Computer Entertainment||P|2|S||T001|PlayStation Home|||||||||Bric-a-brac_Cactus2.hkx,Bric-a-brac,Furniture,Bric-a-brac_Cactus2.mdl||||EP9000-NPEQ00001_00-BRICACACTUS20000|UP9000-NPUQ00001_00-BRICACACTUS20000|HP9000-NPHQ00001_00-BRICACACTUS20000|JP9002-NPJQ50000_00-BRICACACTUS20000
00000000-00000000-00000002-00000033|Large Leaf Plant|A floor standing potted plant with large, dark green striped leaves.|Furniture-Ornament|Sony Computer Entertainment||P|2|S||T034|PlayStation Home|||||||||Bric-a-brac_Dracaena.hkx,Bric-a-brac_Dracaena.mdl,Bric-a-brac,Furniture||||EP9000-NPEQ00001_00-BRICADRACAENA000|UP9000-NPUQ00001_00-BRICADRACAENA000|HP9000-NPHQ00001_00-BRICADRACAENA000|JP9002-NPJQ50000_00-BRICADRACAENA000
00000000-00000000-00000002-00000034|Football|Football|Furniture-Ornament|Sony Computer Entertainment||P|2|S||T000|PlayStation Home|||||||||Bric-a-brac,Furniture,Bric-a-brac_Football.mdl,Bric-a-brac_Football.hkx||||EP9000-NPEQ00001_00-FOOTBALL00000000|UP9000-NPUQ00001_00-FOOTBALL00000000|HP9000-NPHQ00001_00-000054|
00000000-00000000-00000002-00000040|Model Plane|A model fighter jet in mid-flight displayed on a plinth.|Furniture-Ornament|Sony Computer Entertainment||P|2|S||T034|PlayStation Home|||||||||Bric-a-brac_ModelPlane.mdl,Furniture,Bric-a-brac,Bric-a-brac_ModelPlane.hkx||||EP9000-NPEQ00001_00-BRICAMODELPLANE0|UP9000-NPUQ00001_00-BRICAMODELPLANE0|HP9000-NPHQ00001_00-BRICAMODELPLANE0|JP9002-NPJQ50000_00-BRICAMODELPLANE0
00000000-00000000-00000002-00000041|Model Train|Model Train|Furniture-Ornament|Sony Computer Entertainment||P|2|S||T034|PlayStation Home|||||||||Bric-a-brac,Bric-a-brac_ModelTrain.mdl,Furniture,Bric-a-brac_ModelTrain.hkx||||EP9000-NPEQ00001_00-MODELTRAIN000000|UP9000-NPUQ00001_00-MODELTRAIN000000|HP9000-NPHQ00001_00-000055|JP9002-NPJQ50000_00-006008
