folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000001-0000000F|Togo 1 Seater Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70 s, first of Ligne Roset s all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|Sony Computer Entertainment|1.3.0.289.CORE|P|2|S||T034||||||||||LigneRoset_Togo1S_Sofa.mdl,Furniture,Ligne,LigneRoset_Togo1S_Sofa.hkx,Roset||||EP9000-NPEQ00003_00-0000000000000019|UP9000-NPUQ00003_00-0000000000000019|HP9000-NPHQ00003_00-000019| 9004-NPJQ50040_00-AB6019
00000000-00000000-00000001-00000013|Facett 2 Seater Sofa|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Sofa|Sony Computer Entertainment|1.3.0.317.CORE|P|2|S||T031||||||||||LigneRoset_Facett2S_Sofa.hkx,Furniture,Ligne,LigneRoset_Facett2S_Sofa.mdl,Roset||||EP9000-NPEQ00003_00-0000000000000004|UP9000-NPUQ00003_00-0000000000000004|HP9000-NPHQ00003_00-000004| 9004-NPJQ50040_00-AB6004
00000000-00000000-00000001-0000001D|Malhoun Chaise Right|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|Sony Computer Entertainment|1.3.0.289.CORE|P|2|S||T034||||||||||LigneRoset_MalhounChR_Sofa.mdl,Furniture,Ligne,Roset,LigneRoset_MalhounChR_Sofa.hkx||||EP9000-NPEQ00003_00-0000000000000008|UP9000-NPUQ00003_00-0000000000000008|HP9000-NPHQ00003_00-000008| 9004-NPJQ50040_00-AB6008
00000000-00000000-00000001-0000001E|Togo 2 Seater Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70 s, first of Ligne Roset s all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|Sony Computer Entertainment|1.3.0.289.CORE|P|2|S||T034||||||||||LigneRoset_Togo2S_Sofa.hkx,LigneRoset_Togo2S_Sofa.mdl,Furniture,Ligne,Roset||||EP9000-NPEQ00003_00-0000000000000020|UP9000-NPUQ00003_00-0000000000000020|HP9000-NPHQ00003_00-000020| 9004-NPJQ50040_00-AB6020
00000000-00000000-00000001-0000001F|Facett 3 Seater Sofa|Facett, design Ronan and Erwan Bouroullec, Ligne Roset, 2002. Multi award-winning piece from the inspiring and influential Bouroullec Brothers.|Furniture-Sofa|Sony Computer Entertainment|1.3.0.317.CORE|P|2|S||T031||||||||||LigneRoset_Facett3S_Sofa.mdl,Furniture,Ligne,LigneRoset_Facett3S_Sofa.hkx,Roset||||EP9000-NPEQ00003_00-0000000000000005|UP9000-NPUQ00003_00-0000000000000005|HP9000-NPHQ00003_00-000005| 9004-NPJQ50040_00-AB6005
00000000-00000000-00000001-00000028|Malhoun Mini-Chaise Right|Malhoun, design Didier Gomez, Ligne Roset, 2007. Modern translation of the traditional Chesterfield design, a deep and luxurious modular collection of seating.|Furniture-Sofa|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||Furniture,Ligne,Roset,LigneRoset_MalhounMiniChR_Sofa.hkx,LigneRoset_MalhounMiniChR_Sofa.mdl||||EP9000-NPEQ00003_00-MALHOUNMIN000027|||
00000000-00000000-00000001-00000029|Pas Si Classique Left Sofa|Pas Si Classique, design Pascal Mourgue, Ligne Roset, 2007. Low, deep settee, elegant and clearly-drawn from every angle with adjustable back and multiple combinations of positions and fabrics.|Furniture-Sofa|Sony Computer Entertainment|1.40.0.265.PUB|P|2|S||T033||||||||||Furniture,Ligne,Roset,LigneRoset_PaSiClassiqueL_Sofa.hkx,LigneRoset_PaSiClassiqueL_Sofa.mdl||||EP9000-NPEQ00003_00-PASICLASSI000036|||
00000000-00000000-00000001-0000002A|Moel 3 Seater Sofa|Moel, design Inga Semp , Ligne Roset, 2007. Soft curves and unique appearance define this stylish and unusual piece of furniture. Bicolour interpretation recommended.|Furniture-Sofa|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||Furniture,Ligne,LigneRoset_Moel3S_Sofa.mdl,LigneRoset_Moel3S_Sofa.hkx,Roset||||EP9000-NPEQ00003_00-MOEL3SEATE000030|||
00000000-00000000-00000001-0000002B|Togo Corner Sofa|Togo, design Michel Ducaroy, Ligne Roset, 1971. Iconic piece from the 70 s, first of Ligne Roset s all foam seating range which has been enduringly popular. Suitable in any fabric and leather of the collection.|Furniture-Sofa|Sony Computer Entertainment|1.3.0.289.CORE|P|2|S||T034||||||||||Furniture,LigneRoset_TogoCnr_Sofa.mdl,Ligne,LigneRoset_TogoCnr_Sofa.hkx,Roset||||EP9000-NPEQ00003_00-0000000000000022|UP9000-NPUQ00003_00-0000000000000022|HP9000-NPHQ00003_00-000022| 9004-NPJQ50040_00-AB6022
00000000-00000000-00000001-0000002C|Pas Si Classique Right Sofa|Pas Si Classique, design Pascal Mourgue, Ligne Roset, 2007. Low, deep settee, elegant and clearly-drawn from every angle with adjustable back and multiple combinations of positions and fabrics.|Furniture-Sofa|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||LigneRoset_PaSiClassiqueR_Sofa.hkx,LigneRoset_PaSiClassiqueR_Sofa.mdl,Furniture,Ligne,Roset||||EP9000-NPEQ00003_00-PASICLASSI000037|||
