folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000002-00000009|Harbour Studio Storage|A shiny white plastic four door storage unit.|Furniture-Storage|Sony Computer Entertainment||D|2|S||T000|PlayStation Home|||||||||Home_Storage.hkx,Furniture,Home_Storage.mdl,Home|||||||
00000000-00000000-00000002-00000053|Standard Cabinet|Standard Cabinet|Furniture-Storage|Sony Computer Entertainment||P|2|S||T034|PlayStation Home|||||||||Bric-a-brac_TVCabinet1.hkx,Bric-a-brac,Furniture,Bric-a-brac_TVCabinet1.mdl||||EP9000-NPEQ00001_00-CABINETSTD000000|UP9000-NPUQ00001_00-CABINETSTD000000|HP9000-NPHQ00001_00-000050|JP9002-NPJQ50000_00-006003
00000000-00000000-00000002-00000054|Modern Cabinet|Modern Cabinet|Furniture-Storage|Sony Computer Entertainment||P|2|S||T031|PlayStation Home|||||||||Bric-a-brac,Furniture,Bric-a-brac_TVCabinet2.mdl,Bric-a-brac_TVCabinet2.hkx||||EP9000-NPEQ00001_00-CABINETMOD000000|UP9000-NPUQ00001_00-CABINETMOD000000|HP9000-NPHQ00001_00-000051|JP9002-NPJQ50000_00-006004
00312F10-14B44DD9-B05A1080-E0C5FFDC|Modular Kitchen - Sink - Steel|A single unit with sink and wall mounted cupboards.|Furniture-Storage|VEEMEE|1.70.0.93.PUB|P|2|L||T033|debbie||||||46C4AE62-93DD4E35-A89EB8B9-948CA019,68AB3A5D-E6EB4F4D-BA42F77E-2125A4EF|||furniture,Kitchen_Wall_Sink_BrushedSteel.hkx,sink,Kitchen_Wall_Sink_BrushedSteel.mdl,wall,kitchen||||EP4065-NPER00003_00-MODULARKIT001038|UT5002-NPUR00030_00-VMMDLRKTCHSINKST|HT4005-NPHR00020_00-0003860000000000|
0089BDBB-A274485F-BF6FB6D2-07D611D7|Country Chic Kitchen - Hob Unit|The time has come to hit the road and party. Take full advantage of the freedoms a virtual world provides, slip the bus into cruise control and join the party at full speed. Just remember what goes on tour, stays on tour.|Furniture-Storage|JAM Games Ltd|1.86.0.17.PUB|P|2|L||T031|Mike||||||1A16E6C0-4E98429B-9CA2BA4A-C4664A04,EC2EB33F-76CC4057-8A3D8422-E213FB26|||unit,furniture,Brown_Kitchen_Hob_Unit.mdl,hob,kitchens,Brown_Kitchen_Hob_Unit.hkx,brown,winnebago||||EP4375-NPER00055_00-COUNTRYCHI000743|UT5021-NPUR00200_00-0008250000000000||
00CC8756-BB674C2E-A0B06F66-02AE7A73|Ghostbusters Locker - Closed|A Ghostbusters inspired set decoration piece for use in the LOOT Stage Set personal space. Check out the Ghostbusters Locker Room Bundle for an exclusive item.|Furniture-Storage| 2010 Columbia Pictures Industries, Inc.|1.55.0.155.BETA2|P|2|L||T034|claursen||||||5CB66F2C-9B4E494E-9232B7D8-5917DB21|||furniture,Locker_Closed.hkx,Locker_Closed.mdl,stageset3,basicprops||||EP0644-NPER00008_00-GHOSTBUSTE000263|US0002-NPUR00001_00-LOOTSTORE10MB013||JT4003-NPJR50250_00-AA60430000000000
00E1E4B5-F6404222-A40FF170-8310B7D9|Health Pick-up|This crate holds a lot of health.|Furniture-Storage|Heavy Water|1.70.0.93.PUB|L|2|L||T032|jason|||||||||crate,common,ammo,apartment_health_pickup.hkx,apartment_health_pickup.mdl,games,props|||||||
01093864-D50F4326-B9C906D3-BE68AFE3|Valor Gun Rack|This gun rack is where Valor operatives keep their tools of the trade. Notice the organized fashion in which they store their firearms. I dare you to touch one without asking.|Furniture-Storage|Sony Computer Entertainment|1.3.6.22.PUB|P|2|L||T031|cdrazo|||||||||furniture,valorgunrack,storage,MAGApt_ValorGunRack2.mdl,MAGApt_ValorGunRack2.hkx||||EP9000-NPEQ00018_00-VALORGUNRA000051|UP9000-NPUQ00004_00-MAGVALORGUNRACK1|HP9000-NPHQ00005_00-0002390000000000|JP9000-NPJQ50100_00-AE60130000000000
01724972-5BC44320-8698EA2B-38AFF96E|Gold Stagecoach Chest|A gold plated chest.|Furniture-Storage|Sony Computer Entertainment|1.60.0.450.BETA|L|2|L||T033|mvan|||||||||CommSept_Chest2Gold.mdl,furniture,chest2gold,commsept,CommSept_Chest2Gold.hkx|||||||
01E2BD67-C34D49AE-B2089D72-9F8E4278|Pink Paradise Kitchen - Corner Unit|The time has come to hit the road and party. Take full advantage of the freedoms a virtual world provides, slip the bus into cruise control and join the party at full speed. Just remember what goes on tour, stays on tour.|Furniture-Storage|JAM Games Ltd|1.86.0.17.PUB|P|2|L||T031|Mike||||||4AA14A24-359E4496-ABAFA660-6285A701,BDCC3146-529B4581-923A4E94-9E44550B|||Pink_Kitchen_Corner_Unit.mdl,unit,furniture,Pink_Kitchen_Corner_Unit.hkx,pink,kitchens,corner,winnebago||||EP4375-NPER00055_00-PINKPARADI000796|UT5021-NPUR00200_00-0008780000000000||
