folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000001-00000009|Eaton Table|Eaton, design Ligne Roset. Contemporary solid wood table available in solid walnut, oak or cherry.|Furniture-Table|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||LigneRoset_Eaton_Table.mdl,Furniture,LigneRoset_Eaton_Table.hkx,Ligne,Roset||||EP9000-NPEQ00003_00-EATONTABLE000031|||
00000000-00000000-00000001-0000000C|Ponton Table|Ponton, design Deichmann and Osko, Ligne Roset, 2006. Sleek and modern double-surfaced low table.|Furniture-Table|||P|2|S||T034||||||||||LigneRoset_Ponton_Table.hkx,Furniture,Ligne,LigneRoset_Ponton_Table.mdl,Roset||||EP9000-NPEQ00003_00-0000000000000012|UP9000-NPUQ00003_00-0000000000000012|HP9000-NPHQ00003_00-000012| 9004-NPJQ50040_00-AB6012
00000000-00000000-00000001-0000000D|Strates Table|Strates Pivotante, design Pagnon and Pelha tre, Ligne Roset, 2005. Modernity and flexibility define this low table with 3 possible positions.|Furniture-Table|Sony Computer Entertainment||P|2|S||T034||||||||||Furniture,LigneRoset_Strates_Table.hkx,Ligne,LigneRoset_Strates_Table.mdl,Roset||||EP9000-NPEQ00003_00-0000000000000016|UP9000-NPUQ00003_00-0000000000000016|HP9000-NPHQ00003_00-000016| 9004-NPJQ50040_00-AB6016
00000000-00000000-00000001-00000018|Cineline Table|Cineline table, design Pagnon and Pelha tre, Ligne Roset, 2006. Majestic table combining ingenuity, technology and aesthetics.|Furniture-Table|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||Furniture,Ligne,LigneRoset_Cineline_Table.hkx,LigneRoset_Cineline_Table.mdl,Roset||||EP9000-NPEQ00003_00-CINELINETA000028|||
00000000-00000000-00000001-00000024|Bobine Table|Bobine, design Michael Koenig, Ligne Roset, 2004. Inspired by an inverted cable reel, stylish occasional table made in brilliant steel.|Furniture-Table|Sony Computer Entertainment|1.3.5|P|2|S||T032||||||||||LigneRoset_Bobine_Table.mdl,Furniture,Ligne,LigneRoset_Bobine_Table.hkx,Roset||||EP9000-NPEQ00003_00-BOBINETABL000046|||
00000000-00000000-00000001-00000025|Contours Table|Dining table available with a fixed top or with an extension leaf. Top finished in dark brown, natural or ebony-stained oak veneer or oiled, varnished solid American walnut.|Furniture-Table|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||Furniture,Ligne,LigneRoset_ContoursRt_Table.hkx,Roset,LigneRoset_ContoursRt_Table.mdl||||EP9000-NPEQ00003_00-CONTOURSXX000041|||
00000000-00000000-00000001-00000027|Bobine Glass Table|Bobine, design Michael Koenig, Ligne Roset, 2004. Inspired by an inverted cable reel, stylish occasional table made in brilliant steel.|Furniture-Table|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||LigneRoset_BobineGlass_Table.mdl,LigneRoset_BobineGlass_Table.hkx,Furniture,Ligne,Roset||||EP9000-NPEQ00003_00-BOBINEGLAS000033|||
00000000-00000000-00000001-0000002E|Diamant Table|Frame in brilliant chromed steel. Top in toughened clear glass.|Furniture-Table|Sony Computer Entertainment|1.3.5|P|2|S||T031||||||||||LigneRoset_Diamant_Table.hkx,Furniture,Ligne,Roset,LigneRoset_Diamant_Table.mdl||||EP9000-NPEQ00003_00-DIAMANTTAB000029|||
00000000-00000000-00000001-0000003F|Summer House Table|A wooden table with a glass top.|Furniture-Table|Sony Computer Entertainment||P|2|S||T034|PlayStation Home||||||898902B3-AAF34F69-B087494B-937E9237,CB89BF8C-AAD84EC3-A12BE5B3-7324CD42|||Penthouse,Furniture,Penthouse_Table.mdl,Penthouse_Table.hkx||||EP9000-NPEQ00001_00-SUMMERHOUSETABLE|UP9000-NPUQ00001_00-SUMMERHOUSETABLE|HP9000-NPHQ00001_00-SUMMERHOUSETABLE|JP9002-NPJQ50000_00-SUMMERHOUSETABLE
00000000-00000000-00000001-00000064|YoYo Table|Yoyo table, design Pagnon and Pelha tre, Ligne Roset, 1999. Ingenious, clever and flexible dining coffee table from Ligne Roset collection.|Furniture-Table|||P|2|S||T031||||||||||Furniture,Ligne,Roset,LigneRoset_YoYo_Table.hkx,LigneRoset_YoYo_Table.mdl||||EP9000-NPEQ00003_00-0000000000000023|UP9000-NPUQ00003_00-0000000000000023|HP9000-NPHQ00003_00-000023| 9004-NPJQ50040_00-AB6023
00000000-00000000-00000002-00000003|Harbour Studio Coffee Table|A shiny white plastic coffee table with chrome legs.|Furniture-Table|Sony Computer Entertainment||D|2|S||T001|PlayStation Home|||||||||Furniture,Home_CoffeeTable.mdl,Home_CoffeeTable.hkx,Home|||||||
00000000-00000000-00000002-00000010|Harbour Studio Table|A shiny white plastic table with chrome legs.|Furniture-Table|Sony Computer Entertainment||D|2|S||T000|PlayStation Home|||||||||Home_Table.mdl,Furniture,Home_Table.hkx,Home|||||||
00000000-00000000-00000002-00000011|Crash Table|Crash Table, design Marie Christine Dorner, Ligne Roset, 2007. Smart and elegant low table, made of thick crash glass.|Furniture-Table|Sony Computer Entertainment||P|2|S||T034||||||||||LigneRoset_Crash_Table.mdl,Furniture,Ligne,Roset,LigneRoset_Crash_Table.hkx||||EP9000-NPEQ00003_00-0000000000000002|UP9000-NPUQ00003_00-0000000000000002|HP9000-NPHQ00003_00-000002| 9004-NPJQ50040_00-AB6002
003779F0-94ED4CCA-9C1512C4-90DFE88D|Bamboo Table|A 1st Event Improvement Questionnaire reward. A table made of bamboo.|Furniture-Table|||L|2|S||T000||||||||||Furniture,Bamboo_Table.hkx,Bamboo_Table.mdl,Home|||||||
01097700-CE5B44A7-92B5293B-0345E9DF|Restaurant Table (Round)|A round-shaped table placed for customer seating at the burger shop.|Furniture-Table|Granzella Inc.|1.70.0.93.PUB|P|2|L||T031|hatake||||||3C961576-C22543C3-9A13DA22-8303B0E7|||furniture,Furniture_GZburger_table_01.hkx,Furniture_GZburger_table_01.mdl,scenes|||||UT5012-NPUR00120_00-GRNZRSTRNTTBLXX1||
0113FA11-12094BDD-A3AEC1FF-1741274A|Ham Cat Table| The Ham Cat Table appears in the Miu Miu Chamber. His name is Smiel . |Furniture-Table|O-Two inc.|1.65.0.139.BETA|P|2|P||T031|OTWO104||||||06E1DED3-2CB24812-904A8925-D6EBEC7C|||table,furniture,mmc,MMC_table_01Ham.mdl,MMC_table_01Ham.hkx|||||||JP0085-NPJR50370_00-AA60980000000000
01326C1C-780D4A7D-929D8481-D843E192|Arabian Table - Iridium|A traditional carved Iridium and Acacia wood table, perfect for serving guests tea.|Furniture-Table|Lockwood|1.60.0.451.PUB|L|2|L||T031|Lockwood|||||||||brass,furniture,2012,july,lockwood,Brass_Coffee_Table_Silver.mdl,table,Brass_Coffee_Table_Silver.hkx,coffee,arabian,castle,silver|||||||
0132C8AC-1CF34A44-AD4FB74E-FD75C307|Ancient Greece Outdoor Table|Perfect for hosting all your fraternity brothers and sisters.|Furniture-Table|Sony Computer Entertainment|1.3.2.27.PUB|P|2|L||T031|tkim|||||||||commfeb_agrctableout.hkx,commfeb,commfeb_agrctableout.mdl,agrctableout,furniture|||||UP9000-NPUQ00010_00-1JBANCIENTGROTBL||
015CD32D-EF434CB0-98D50B04-734BDCC8|Restaurant Table (Round + Parasol)|A round-shaped table placed for customer seating at the burger shop. For use in an open terrace, includes a parasol.|Furniture-Table|Granzella Inc.|1.70.0.93.PUB|P|2|L||T031|hatake||||||3C961576-C22543C3-9A13DA22-8303B0E7|||furniture,Furniture_GZburger_table_02.hkx,Furniture_GZburger_table_02.mdl,scenes|||||UT5012-NPUR00120_00-GRNZRSTRNTTBLXX2||
01614B68-DBEA485E-8C7C6259-0AC0C191|Coffee Table Wood Effect (pale)|The LIVING luxury furniture brand combines style with affordability. Covering a range of designs, this collection with answer all your decorating needs remember...Fashion passes, style remains, LIVING is the key.|Furniture-Table|JAM Games Ltd|1.86.0.17.PUB|P|2|L||T031|Mike||||||0C08A865-5E5B4019-9CB70CDD-2E06C985|||table,furniture,Coffee_Table_Wood.hkx,living,coffee,Coffee_Table_Wood.mdl||||EP4375-NPER00055_00-COFFEETABL000840|UT5021-NPUR00200_00-0009170000000000||
016379A3-62FC4F50-9B898419-DC4A7AF5|Design Table Black|Table Rack Black|Furniture-Table|O-Two inc.|1.75.0.85.PUB|P|2|L||T031|n_yamamoto|||||||||table,furniture,Table_Rack_02_Black.hkx,rack,02,Table_Rack_02_Black.mdl|||||||JP0085-NPJR50370_00-AA61560000000000
016F086D-5EFD4EC3-A3876351-7967D7C1|Racing Dining Table - Dark Wood|Wooden table-top with a glass cover.|Furniture-Table|Sony Computer Entertainment|1.41.0.37.PUB|P|2|S||T033|cdeogracias|||||||||furniture,CommSept_DiningTableGTDarkWood.hkx,commsept,diningtablegtdarkwood,CommSept_DiningTableGTDarkWood.mdl||||EP9000-NPEQ00005_00-RACINGDINI001214|UP9000-NPUQ00020_00-RACINGDININGTABL|HP9000-NPHQ00006_00-0001320000000000|
01901000-164C4459-9A028605-A2F1B593|WT Exterior Patio Set #1  Square Table w Umbrella|This square table comes complete with an umbrella to keep you shaded from the sun. Also available as a round table.|Furniture-Table|Sony Computer Entertainment|1.3.2.16.BETA1|P|2|L||T031|jcopeland|||||||||furniture,wtsquaretable,commnov,commnov_wtsquaretable.mdl,commnov_wtsquaretable.hkx|||||UP9000-NPUQ00010_00-1JBWTPATIOSET1TB||
01D2E854-73FD43E6-A062DCE7-F66DC421|Cafe Table, Round|A wooden table perfectly suited for a cafe.|Furniture-Table|Granzella Inc.|1.80.0.53.PUB|P|2|L||T031|iwata||||||3A04B302-44CC4621-94D92A15-AA796CCC|||Furniture_sentai_table_01.hkx,Furniture_sentai_table_01.mdl,furniture,scenes|||||UT5012-NPUR00121_00-0010360000000000||
01F543CF-1A4E4178-8D9B71E0-EA8E701A|Antique Glass Table (Brown)|Antique style glass countertop table.|Furniture-Table|Granzella Inc.|1.70.0.93.PUB|P|2|L||T031|shimizu||||||318CF97E-9A924CE1-A94CEB8B-41DFEBCE|||furniture,Furniture_paris_table_00.hkx,Furniture_paris_table_00.mdl,scenes|||||UT5012-NPUR00120_00-0048120000000000||
02139C56-9CCC4475-9CA6FB26-F9708749|Restaurant Table (Square)|A rectangular table placed for customer seating at the burger shop.|Furniture-Table|Granzella Inc.|1.70.0.93.PUB|P|2|L||T031|hatake||||||3C961576-C22543C3-9A13DA22-8303B0E7|||Furniture_GZburger_table_03.hkx,furniture,Furniture_GZburger_table_03.mdl,scenes|||||UT5012-NPUR00120_00-GRNZRSTRNTTBLXX3||
02CEFE42-65434D48-AB1D0A46-5398624B|Landshark Coffee  Table|A table from the Landshark Coffee Collection Bundle.|Furniture-Table|nDreams Ltd.|1.50.0.238.BETA|P|2|S||T032|andrewm||||||A4D3DBF3-E1904B35-B1AA650D-48CFC5C5,C869B1E8-AA1642A7-9FC1F568-F9675011|||furniture,islandtable,islandTable.mdl,islandTable.hkx||||EP4114-NPER00011_00-LANDSHARKC000082|UT5001-NPUR00020_00-NDLNDSHRKTABLE01|HT4002-NPHR00014_00-0001740000000000|JT4002-NPJR50260_00-AA60110000000000
02EE75B1-221D4B84-8F3EE283-DFDAB8B0|Valor Table|This Valor table has been used by Squad Leaders, Platoon Leaders, and the Officer in Charge, so what will you do with it.|Furniture-Table|Sony Computer Entertainment|1.3.5.120.PUB|P|2|L||T031|dpaulsen|||||||||furniture,magapt_vt.hkx,magapt_vt.mdl,magapt,valortable||||EP9000-NPEQ00018_00-VALORTABLE000054|UP9000-NPUQ00004_00-MAGVALORTABLE001|HP9000-NPHQ00005_00-0002420000000000|JP9000-NPJQ50100_00-AE60160000000000
03BAC06C-2A2F4682-B065DBBF-560F67D4|Smug - Dining Table - Chrome|A Smug designed dining table, perfect for any kitchen.|Furniture-Table|VEEMEE|1.70.0.93.PUB|P|2|L||T032|alan.searle||||||FEB5807F-5BC74751-95D3CB48-798C8ED0|||retrotable_chrome.mdl,retrotable_chrome.hkx,furniture,chrome,retrotable||||EP4065-NPER00003_00-60SDININGT000635|UT5002-NPUR00030_00-TOVS2TBLSMGDTCM1|HT4005-NPHR00020_00-0003270000000000|
03E7BBCA-A8BD4A6B-BFD40DA9-A99516D0|Wicker table|Create the perfect relaxing environment, the Zen Furniture is designed to improve the mood and the good feelings in any garden or greenhouse.|Furniture-Table|KOVOK LTD|1.86.0.17.PUB|P|2|L||T031|Joan||||||6F736865-FF81444C-8A46170E-FD1F2CFA|||Straw_Table.mdl,table,Straw_Table.hkx,furniture,straw||||EP4468-NPER00076_00-WICKERTABL000998|UT5035-NPUR00320_00-0008860000000000||
0422CD99-BB904D65-A3A785BB-873440DA|Whimsy Hollow Side Table| So that s why Whimsy Hollow looked so bare. That grateful Whimsy you found has returned this family heirloom he borrowed . |Furniture-Table|Lockwood|1.80.0.53.PUB|L|2|L||T031|Lockwood|||||||||small_table.hkx,furniture,lkwd,small_table.mdl,whimsy,general,lockwood,table,hollow,2013,february,small|||||||
04ADCAB1-73E143A5-885ADD1D-297F98F7|Iron Table|Iron Table. You Can Put It In Your Personal Garden Of Your Chatting Farm And Enjoy Your Tea Time.|Furniture-Table|Sony Computer Entertainment|1.66.0.144.PUB|A|2|L||T031|Sony Computer Entertainment|||||||||Ga005.hkx,furniture,Ga005.mdl,ga005|||||||
04E4ABAB-18694CA0-852D8250-B0E1289A|Amaterasu Side Table|If only I had somewhere to place my mid-sized objects in a tropical setting. What. The Loot Yacht side table.. I ll take two, strictly for symmetry purposes.|Furniture-Table| 2010 LOOT |1.41.0.37.PUB|P|2|L||T031|rbenoist|||||||||furniture,lagoon,lagoon_furniture_sidetable.mdl,lagoon_furniture_sidetable.hkx||||EP0644-NPER00008_00-CRUISESIDE000239|US0002-NPUR00001_00-LOOTSTORE10LY018||JT4003-NPJR50250_00-AA60340000000000
05946B00-41E94AC0-93FF259A-ED22C3F8|MyGarden - Glass Coffee Table|A coffee table. Decorate your garden spaces with this attractive garden furniture.|Furniture-Table|VEEMEE|1.86.0.17.PUB|P|2|L||T031|debbie||||||BE8F0D48-9C07438C-87AFC028-5094B876|||Garden_Table.hkx,furniture,Garden_Table.mdl,gardenassets||||EP4065-NPER00071_00-MYGARDENGL001970|UT5002-NPUR00030_00-0060500000000000||
05EFAFF4-9F1E4A67-B3A49492-FA5F773A|Barrel Table|Barrels. What can t they do.|Furniture-Table|LucasArts|1.3.5.120.PUB|P|2|L||T033|George Cochrane|||||||||barreltable,furniture,monkeyisland_barreltable.mdl,monkeyisland,monkeyisland_barreltable.hkx||||EP1010-NPER00024_00-BARRELTABL000109|UP1010-NPUR30060_00-LECMIBARRELTABLE||
