folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0064D950-904746D6-AD518837-9D816E74|Heavy Metal Bundle (Male)|Bundle includes the Heavy Chain Shirt and Pants and the Heavy Trench Coat.|Male-Bundle|Sony Computer Entertainment|1.70.0.93.PUB|P||L||T032|Stephen||||||44585868-95664B23-AEA9D8E3-B3F13ED9,8AFD31FC-E2EA48E5-809048A2-3C23B461,C72F2CAE-131C4EF2-B141F8B1-D692C263|||||||EP9000-NPEQ00022_00-HEAVYMETAL000208|UP9000-NPUQ00020_00-HWHVYMTLBNDLMALE||
00CC45FC-2A774556-8666523D-286A2791|Bunny Bundle (male)|Reinvent the Pyjama Party. Change your boring outfits and add a touch of colour to your nights. Fun and different the Kigurumis suits your personality. Are you daring, curious, agile or strong. No matter who you are. There is always a Kigurumis for you. Become the focus of attention in the most original way, engage your instincts and start your wildest parties. This bundle contains  - Kigu Bunny Hat (male) - Kigu Bunny Suit (male) - Kigu Bunny Shoes (male) - Kigu Bunny Gloves (male)|Male-Bundle|KOVOK LTD|1.80.0.53.PUB|P||L||T033|Joan||||||B4608A04-A5CD45FF-9F15432A-CBAF00A4,8998F57D-D44940DE-8CF3EB35-1F8D97EF,380F5B6A-EBAF4FE6-A74821A4-94FEE1DC,43DED4F2-C0154453-B4796784-C5B9B710||||||||||
00DED48D-6BE04F3D-A9C7309A-1420A957|MuiMui King Swimwear Set (men s)|Be the king of the beach with the MuiMui King s memorable striped shorts and a towel featuring His Majesty. Includes MuiMui King body paint. This set includes the following items  -MuiMui King Swimwear Set (top men s) (tops) -MuiMui King Swimwear Set (bottom men s) (bottom s) Purchasing this item adds 1 LocoRoco to your Loco Island personal space. Up to 20 LocoRoco can be added to Loco Island. Once the maximum is reached, no further units can be added.|Male-Bundle|Sony Computer Entertainment|1.3.2.16.BETA1|P||L||T033|Sony Computer Entertainment|||||2|0E580E8F-C2324124-84B94BC5-96BA5D2E,CA3FA49E-EC3D4499-B535E881-34C8EBE2|||||||EP9000-NPEQ00016_00-MUIMUIKING000027|UP9000-NPUQ00012_00-LOCOKINGSETMALE1|HP9000-NPHQ00005_00-0002940000000000|JP9000-NPJQ50010_00-AC00170000000000
01210ED4-570B406C-89E66F94-08DAFE14|Shocker Costume Bundle (male)|Includes all the pieces to the Shocker costume, bundled together and offered at a discount.|Male-Bundle|Sony Computer Entertainment|1.3.0.125.BETA1|P||L||T031|PPurdy||||||3CD809B6-B05B4529-A4017BF0-FDC3B563,76E11378-94424CEB-925023AD-79B06D55,B173A6E7-C26F4F8E-84860F1C-9DFB0C21,D0D624D0-2E03422E-992F0C45-52B93B11,EE23F4B0-DC4D4B2E-9F4CF0C8-3C324335||||||||UP9000-NPUQ00001_00-CSTBNDLSHOCKERM1||
01321587-6FFD46A8-BFE950CE-49F886F6|Animated Tattoo Bundle (Male)|Four animated arm tattoos.|Male-Bundle|Sony Computer Entertainment|1.83.0.11.PUB|P||L||T032|euan||||||0F76BC93-C7CF47A4-B688A74C-B6230E7E,60D189E8-165A421A-81BAFF74-83C89FD8,72878312-EE664E50-AE3356F2-BE271B5C,D77CEDAB-68EA4D35-870E0A8A-78A166BD|||male-outfit-complete|||||||
013414CB-D2B941DE-807FA076-3E8AFB14|HoT Dog Bundle(Male)|Download this hotdog suit outfit from Saints Row.|Male-Bundle|THQ|1.41.0.37.PUB|P||L||T032|kreilly||||||9A04322B-99154F33-8DCD750F-47D2163D,E37C1147-21CD403F-9E0D5974-97879F2D||||||||UP1005-NPUR30110_00-THQSR2HOTDOGMALE||
0170F470-0EAB4E6B-83DEE3D1-ECA79739|Planta Kingdom Ethnic Pants And Boots Set Yellow (for Men)|The Bright Yellow Loin Cloth And Ethnic Pants Are Produced By Dyeing Techniques Cultivated Through Tradition. The Short Boots Are Perfect For Pants Styles And Are Very Useful For A Variety Of Outfits. Both Are Made By Skilled Craftsmen With The Utmost Care And Attention To Detail. When Worn, They Are A Talking Farm And Have The Following Effects. Planta Kingdom Ethnic Pants Yellow (for Men)  The Effect Slightly Increases The Probability Of Fever Time. Planta Kingdom Ethnic Boots Yellow (for Men)  The Effect Is To Slightly Increase The Amount Of Minori. This Set Includes The Following Items For Customizing Avatars. Planta Kingdom Ethnic Pants Yellow (for Men) (Bottoms) Planta Kingdom Ethnic Boots Yellow (for Men) (Shoes) When Purchased, Each Item Will Be Added To The Appropriate Category In Customize Avatar.|Male-Bundle|Sony Computer Entertainment|1.70.0.93.PUB|P||L||T031|Sony Computer Entertainment||||||663838A1-8A3A439E-937E56A0-90702EE5,F0AA7200-4E4B47E5-805438F8-8001FE1E||||||||||JP9002-NPJQ50470_00-AA00140000000000
01B46552-907043FB-A726D6C0-A0ED2BDD|The World s Most Colorful Suit Bundle (Male)|The first suit visible from space. Bundle includes shades, hair, jacket, pants, shoes, and gloves.|Male-Bundle|Sony Computer Entertainment|1.3.6.22.PUB|P||L||T031|dpaulsen||||||7484882F-97614CDB-9A2CC53C-3466F2A0,92AFB92A-81D54640-95200A72-217846C6,A0A27526-B61F4CC5-B640A9F1-C49C1359,CACD8922-36DF41F2-B60636F5-5346FF2D,3F4CEB22-3A05464E-BDC84DA5-285C9717||||||||||
01EAEE29-E37841F7-A785CBED-CCF6F773|Stripes Bundle (male)|This bundle contains  -T-Shirt Stripes -Shorts Blue -Casual Boots Stripes (male)|Male-Bundle|KOVOK LTD|1.86.0.17.PUB|P||L||T031|Joan||||||99A751CE-FBC145F4-AC04D442-DFBAF4C2,BF57DBE0-0F0D431D-8FD4148D-4F3F713E,E7A8D733-44C6431C-99DD7D62-9B486E68|||||||EP4468-NPER00076_00-STRIPESBUN000608|UT5035-NPUR00320_00-0005050000000000||
02006159-27174675-AC5E6B99-807398F1|Go-Kart - Clothing Bundle|Race safe with this Go-Kart racing gear. This bundle contains  (1) Go-Kart - Racing Suit - Male (2) Go-Kart - Racing Suit - Female (3) Go-Kart - Racing Helmet - Male (4) Go-Kart - Racing Helmet - Female (5) Go-Kart - Racing Gloves - Male (6) Go-Kart - Racing Gloves - Female (7) Go-Kart - Racing Boots - Male (8) Go-Kart - Racing Boots - Female|Male-Bundle|VEEMEE|1.75.0.85.PUB|P||L||T033|euan||||||185223D2-2F8B4EF3-9D264B24-3E22801A,23AA7726-3ACC4302-B3798911-3FB1F12F,4C09784A-98394E74-B3759A3F-41C16C56,53F38696-EBEC428F-A7AB2EAC-CA8693FD,5F6D6FA7-D0004889-AC4FE7C2-4FC3130D,7A9A9E32-C0A2483C-8457ED2B-57AA312B,B42B1578-9EB54491-AFFA8D33-EB17C1B4,BE204038-C28F42A0-B6963ED9-AF15B67A|||||||EP4065-NPER00003_00-GOKARTCLOT001864|UT5002-NPUR00030_00-0037130000000000|HT4005-NPHR00020_00-0009290000000000|
024B6BB5-849444A3-968C5452-51AB8D97|Billabong - Release Bundle - Volume 29 (Men)|Billabong - Release Bundle - Volume 29 (Men) This bundle contains  (1) Billabong - All Day-Mix Sandals - Military Camo (Men) (2) Billabong - Andy Davis Shredding Boardshorts - Aqua (Men) (3) Billabong - Washed Out Tee - Dark Blue (Men) (4) Billabong - Flor Realz Tee - Burgandy (Men) (5) Billabong - All Day Puff Jacket - Camo (Men)|Male-Bundle|VEEMEE|1.86.0.17.PUB|P||L||T031|euan||||||3852D4B5-64344ADA-B992C7D5-FEAF6726,D9A1B4B8-346F499C-BFDD1333-958FF86D,DE6E6870-156347C6-980EAD63-5F68A09B,EBDF6141-DF50409A-8134E45A-D90E0585,F009A0F3-901B4BD7-A146055E-DBFC3957|||||||EP4065-NPER00071_00-BILLABONGR001931|UT5002-NPUR00030_00-0060110000000000||
02500BB8-2E834D05-91F0B5CF-401FBC75|Elemental Aura Bundle male |Command the Elements with this bundle of Elemental Auras. Includes  Flame, Aqua, Earth and Air auras.|Male-Bundle|Sony Computer Entertainment|1.70.0.93.PUB|P||L||T033|Stephen||||||358CB6ED-38644F28-BD92512E-EC9B4185,3645B63D-699F417F-99560D6B-0E410B0E,376E94A2-C03642E9-9A6ED0A4-6314AC3C,3F270350-3D8446DB-BB821E91-C0789D87|||||||EP9000-NPEQ00022_00-ELEMENTALA000099|UP9000-NPUQ00020_00-ELEMENTALAURAS01||
0251B94B-362949A7-9C942129-1C4DBAE0|Anime Critter Onesie - Brown Mouse (for Male)|Anime Critter Onesie - Brown Mouse (for Male) This bundle includes the following items  Critter Onesie Hood - Brown Mouse (for Male) Critter Onesie Suit - Brown Mouse (for Male) Kawaii Kigurumi dress up fun or the ultimate loungewear attire. You decide.|Male-Bundle|Lockwood|1.86.0.17.PUB|P||L||T032|Lockwood||||||6E841D96-C5AA4458-A4F9F8D1-96CA1C46,D54DBFC6-18C14048-A0E71F15-B17669FA|||||||EP4127-NPER00050_00-ANIMECRITT002229|UT5000-NPUR00012_00-LKWDCRITTEROHCBM||
02624896-BE58440F-B0C8E5FD-A50C69E2|Drop Science Crew Pack - Bank (for Male)|Drop Science Crew Pack - Bank (for Male) This pack includes the following  Drop Science Baller Jacket - Bank Drop Science Graffiti Jeans - Burner Drop Science Kicks - Down Low Drop Science Crew Bandana Sweatband - White (for Male) Drop Science Crew Bandana - White (for Male) Represent in the latest street styles from Drop Science.|Male-Bundle|Lockwood|1.86.0.17.PUB|P||L||T032|Lockwood||||||1369CA55-42814E8F-86C0AAF5-A51764B8,6764492A-33FA4ACA-B9EDF285-AD009A7C,73CB26AE-8EF943F5-8D6FC215-D4A34CA1,8DA28A17-D3DA4AFE-8366E26E-6A69ED8F,F407CE04-27414B16-A2243625-1778A39F|||||||EP4127-NPER00050_00-DROPSCIENC002915|UT5000-NPUR00012_00-LKWDDROPSSXKPAKM||
029E5E02-54764612-A613DE5C-0366FE45|Men s Shirt Wearing 3-Piece Set (Male)|This 3-piece Set Includes A Large Men s Shirt, Cropped Jeans And Sneakers. Defense  Coolness  (None) - This Set Includes The Following Items. Large Men s Shirt (white Men) Tops Cropped Jeans (blue Men) Bottoms Sneakers (pink Men) Foot When Purchased, Each Item Will Be Added To The Appropriate Category.|Male-Bundle|Granzella Inc.|1.70.0.93.PUB|P||S||T032|hide|||||3|227B897F-DAB045C1-8D945C39-2791779A,D162C4A5-909942A4-A978DE79-6814C8B6,F849F378-73684FFB-83533EB7-258DF2B9||||||||||JP0025-NPJR50380_00-AA04780000000000
02AE7507-6AE34195-87B528D1-F5C0FF9F|Drey Model Behavior Bundle - Violet Skies (for Male)|Drey Model Behavior Bundle - Violet Skies and Marshmallow (for Male) This bundle includes the following items  The Guy Drey Color Block T-Shirt - Violet Skies Drey Rolled Cuff Chinos - Marshmallow Drey Laced Loafers - Peacock Drey Bright Beaded Bracelets - Zoology Eight out of ten supermodels prefer Drey.|Male-Bundle|Lockwood|1.80.0.53.PUB|P||L||T031|Lockwood||||||2267879C-E2D64D3E-BC6F7D12-44D7F550,2F80A09A-F99D44B5-B387869E-C8057F80,E230339B-FB32482D-B2E283D5-BA0A917F,EC90C717-561E48FA-99D17504-EEB8E538,ED1B6386-7C5848EC-8908BAA9-AE64AA35|||||||EP4127-NPER00050_00-DREYMODELB002081|UT5000-NPUR00012_00-LKWDDREYMWVKBUNM||
02C76EFE-0DCA4FD4-B8891F97-0228333C|Angel Pack (for Male)| Angel Pack (for Male) This pack includes the following  Open Angel Wings (for Male) Closed Angel Wings (for Male) Angel Halo (for Male) Now all you need to do is flutter your eyelashes and say Who. Me. Never. |Male-Bundle|Lockwood|1.41.0.37.PUB|P||L||T033|Lockwood||||||7E26F8EB-C0C6419B-8DB1077F-F0E58B20,C84ED1A9-913C4E6C-80DD3441-DE717CC4,CECA958C-215C40E2-A92AE606-E0FDDF75|||||||EP4127-NPER00014_00-ANGELPACKF000720|UT5000-NPUR00010_00-OUTSOMAYANGELPAM|HT4001-NPHR00012_00-0007160000000000|JT4001-NPJR50210_00-AA01160000000000
02E03852-2CCF4D3C-962CE18D-46263B22|Delirious Squid Skate Star Pack - Black|Delirious Squid Skate Star Pack - Black This pack includes the following  Fitted Cap - Black Hooded Shirt and Backpack - Squid Zinc Smart Skater Shorts - School Boy Skate Star Plug - Black (Male Right Ear) Skate Star Plug - Black (Male Left Ear) Leather Hi-Tops - Squid Inc New Squid on the Block.|Male-Bundle|Lockwood|1.60.0.450.BETA|P||L||T033|Lockwood||||||19CE7343-CF334A7E-9644B51B-3702956E,7B806535-8EA8449F-9221202B-CED719A9,A6C97512-1F854A8A-BF4901EB-42DB28D6,B45AD01E-82E94AB7-A3DD88AF-495B4872,D05082C6-C7894D86-87AB966B-CAEBD025,E12B4C3E-8F514F00-AB5516CB-4D9AFBE2|||||||EP4127-NPER00014_00-DELIRIOUSS001790|UT5000-NPUR00010_00-LKWDAPRDSSKATESB|HT4001-NPHR00012_00-0017410000000000|
0364612A-81C247D2-A3677EAD-D63AA4D4|Sodium2 - Project Velocity Racer Pack - Black (for Male)|Sodium2 - Project Velocity Racer Pack - Black (for Male) This pack includes the following  Sodium2 - Project Velocity Boots - Black (for Male) Sodium2 - Project Velocity Body Armor - Black (for Male) Sodium2 - Project Velocity Visor - Green (for Male) Sodium2 - Project Velocity Gloves - Black (for Male) Sodium2 - Project Velocity Helmet Charcoal (for Male) Sodium2 - Project Velocity Trousers - Gray (for Male) Ultra lightweight and super tough, the Sodium2 - Project Velocity Range offers ultimate protection combined with anti-drag technology.|Male-Bundle|Sodium - Lockwood|1.50.0.238.BETA|P||L||T034|Lockwood||||||06A18FB6-53864F30-9F44EE1E-155F2EC4,4A2D7B65-78A74B17-807E4F9F-68544A07,5712D587-5BAB4F37-8A6CCD72-D8CF8631,858F8061-49204147-8A91EF19-80528103,D831B57D-BEE447F3-BC6E7AC7-6C09995B,E592674A-2FE44C55-A6233A65-A2EC82B4|||||||EP4127-NPER00014_00-SODIUM2PRO000479|UT5000-NPUR00010_00-OUTSOSODIUM2PVPM|HT4001-NPHR00012_00-0004930000000000|JT4001-NPJR50210_00-AC00120000000000
038307CC-702A4C29-9A4E384F-FBD84548|Boba Fett Mandalorian Bundle|The most famous of the galactic bounty hunters, Boba Fett wore Mandalorian armor and was a clone of the famed Jango Fett. Boba Fett was one of six bounty hunters hired by Darth Vader to track and capture the Millennium Falcon. Fett was successful by setting a trap for the Millennium Falcon on Bespin. Includes  Complete Mandalorian Armor, Helmet and Gloves|Male-Bundle|LucasArts Entertainment Company|1.3.6.22.PUB|P||L||T032|LucasArts||||||0F6C97E1-DCBF41D3-AEF0DED7-79E0A0D5,479FCE39-1D6C456C-AC04D190-697460C0,571E298A-64954BE9-8A1C3F62-C64C12E4,712FDD9A-7F3D430B-8ECBC337-627394C9,B1A2E8C7-E4A24BB9-B4D2EE3E-F73393A4,FB07C2B2-622F47B3-8F7F1783-2FDE23C4|||||||EP1010-NPER00024_00-BOBAFETTMA000257|UP1010-NPUR30060_00-LECESBFETTBUNDLM||
03D12C1A-BFC94AFF-B3B33E15-D420984B|Seasonal Daywear Collection - Charcoal Mist|Seasonal Daywear Collection - Charcoal Mist This bundle includes the following items  Military Cap - Charcoal Bodywarmer and Hoodie - Yellow and Gray Slim Fit Jeans - Black Deck Sneakers - Mist Watch and Bracelets - Boho Fashionable and comfortable winter daywear.|Male-Bundle|Lockwood|1.80.0.53.PUB|P||L||T031|Lockwood||||||571A9174-7D834281-859459EC-74BC2E64,6555CF47-7AA2477D-AC12114F-A7530302,93B347CE-1A5E4288-A4EA6E5A-CAB156D3,AD08EC86-945545D3-A8D3912A-7ED55B6A,B9C92128-A4C94FCA-BA6A6CB1-1E4A81BA|||||||EP4127-NPER00050_00-SEASONALDA001863|UT5000-NPUR00012_00-LKWDSEASONALDAYW||
03E852B6-C4EB49F7-8C922624-26D191E7|Drop Science Clothing Pack - Word|Drop Science Clothing Pack - Word This pack includes the following  Drop Science Varsity Jacket - Word Drop Science Baggy Jeans - Bust Up Drop Science Hi-Tops - Writer Drop Science Bad Man Glasses Drop Science Cap Pack - High Flier Drop Science Bracelet and Rings - Sazon Drop some Science.|Male-Bundle|Lockwood|1.80.0.53.PUB|P||L||T032|Lockwood|||||12|276D0CDD-51E0459F-B3F4AF2C-49908751,41EE6805-A7E14E86-BC9CF03F-B3D23228,528409DB-933A4AAD-889E665A-65A776B0,536B5C53-7E4E44AB-B4117933-118A1AD0,5E2D0AAE-006D4275-A3B2DCA5-208EBF9E,771F8E0B-B0144C3A-B9319241-CE2889F2,78A7A6E6-9DF04E0C-B55E277C-85FC8E73,95BFC13E-84B64DA3-8D1277F1-D0040F69,C071B06D-2F3949B5-90D8A2D7-D02FB83A,C52C1997-D6944650-AD1B4EF3-0F950392,E1FC0A11-C84344BA-80F20214-90D63D7C,F3DC0C9E-BC3946AD-B0F7B9DB-BB743732|||||||EP4127-NPER00050_00-DROPSCIENC001293|UT5000-NPUR00012_00-LKWDDROPSCLOVPAK|HT4001-NPHR00036_00-0004940000000000|
