folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00080001|Thin Moustache|Thin Moustache|Male-FacialHair||1.75.0.68.PUB|D|6|L||T034||||||||||v2,facehair_moustache_medium_c.dds,FaceHair_MOUSTACHE_MEDIUM_lod1.mdl,FaceHair,characters,textures,facehair_moustache_medium_a.dds,FaceHair_MOUSTACHE_MEDIUM_lod2.mdl,facehair_moustache_medium_s.dds,FaceHair_MOUSTACHE_MEDIUM_lod3.mdl,Characters,facehair,V2,Male01|||||||
00000000-00000000-00000000-00080003|Extra Thick Moustache|Extra Thick Moustache|Male-FacialHair||1.75.0.68.PUB|D|6|L||T031||||||||||facehair_moustache_magnum_c.dds,v2,FacialHair_moustache_magnum_lod2.mdl,FacialHair_moustache_magnum_lod3.mdl,characters,FacialHair,textures,Characters,facehair,facehair_moustache_magnum_s.dds,facehair_moustache_magnum_a.dds,V2,FacialHair_moustache_magnum_lod1.mdl|||||||
00000000-00000000-00000000-00080004|Medium Moustache|Medium Moustache|Male-FacialHair||1.75.0.68.PUB|D|6|L||T031||||||||||v2,facehair_moustache_earl_c.dds,FaceHair_MOUSTACHE_EARL_lod3.mdl,characters,FaceHair_MOUSTACHE_EARL_lod2.mdl,facehair_moustache_earl_a.dds,textures,Characters,FaceHair,facehair,V2,facehair_moustache_earl_s.dds,FaceHair_MOUSTACHE_EARL_lod1.mdl|||||||
00000000-00000000-00000000-00080005|Gentleman s Moustache|Gentleman s Moustache|Male-FacialHair||1.75.0.68.PUB|D|6|L||T031||||||||||facehair_moustache_eccentricgent_s.dds,facehair_moustache_eccentricgent_a.dds,v2,FaceHair_MOUSTACHE_ECCENTRICGENT_lod3.mdl,facehair_moustache_eccentricgent_c.dds,characters,textures,FaceHair_MOUSTACHE_ECCENTRICGENT_lod1.mdl,FaceHair_MOUSTACHE_ECCENTRICGENT_lod2.mdl,Characters,FaceHair,facehair,V2,Male01|||||||
00000000-00000000-00000000-00080006|Turned Up Moustache|Turned Up Moustache|Male-FacialHair||1.75.0.68.PUB|D|6|L||T038||||||||||FaceHair_MOUSTACHE_POIROT_lod3.mdl,facehair_moustache_poirot_a.dds,v2,characters,facehair_moustache_poirot_s.dds,textures,FaceHair_MOUSTACHE_POIROT_lod2.mdl,Characters,FaceHair,facehair,V2,FaceHair_MOUSTACHE_POIROT_lod1.mdl,facehair_moustache_poirot_c.dds|||||||
00000000-00000000-00000000-00080007|Extra Long Moustache|Extra Long Moustache|Male-FacialHair||1.75.0.68.PUB|D|6|L||T031||||||||||v2,facehair_moustache_thorin_c.dds,facehair_moustache_thorin_s.dds,characters,FaceHair_MOUSTACHE_THORIN_lod3.mdl,FaceHair_MOUSTACHE_THORIN_lod1.mdl,textures,Characters,facehair_moustache_thorin_a.dds,FaceHair,facehair,V2,FaceHair_MOUSTACHE_THORIN_lod2.mdl,Male01|||||||
00000000-00000000-00000000-00080008|Full Braided Beard|Full Braided Beard|Male-FacialHair||1.75.0.68.PUB|D|6|L||T032||||||||||v2,FaceHair_BEARD_THORIN_lod3.mdl,characters,FaceHair_BEARD_THORIN_lod1.mdl,facehair_beard_thorin_a.dds,textures,FaceHair_BEARD_THORIN_lod2.mdl,facehair_beard_thorin_s.dds,Characters,FaceHair,facehair,V2,facehair_beard_thorin_c.dds,Male01|||||||
00000000-00000000-00000000-00080009|Ponderer Beard|Ponderer Beard|Male-FacialHair||1.75.0.68.PUB|D|6|L||T032||||||||||v2,FaceHair_BEARD_PONDERER_lod3.mdl,FaceHair_BEARD_PONDERER_lod1.mdl,characters,textures,facehair_beard_ponderer_s.dds,Characters,facehair_beard_ponderer_c.dds,FaceHair_BEARD_PONDERER_lod2.mdl,FaceHair,facehair,V2,facehair_beard_ponderer_a.dds,Male01|||||||
00000000-00000000-00000000-00080014|Long Sideburns|Long Sideburns|Male-FacialHair||1.75.0.68.PUB|D|6|L||T032||||||||||facehair_sides_long_a.dds,FaceHair_SIDES_LONG_lod2.mdl,v2,FaceHair_SIDES_LONG_lod1.mdl,characters,facehair_sides_long_s.dds,textures,facehair_sides_long_c.dds,FaceHair_SIDES_LONG_lod3.mdl,Characters,FaceHair,facehair,V2,Male01|||||||
00000000-00000000-00000000-00080015|Thick Sideburns|Thick Sideburns|Male-FacialHair||1.75.0.68.PUB|D|6|L||T032||||||||||v2,facehair_sides_wolverine_c.dds,facehair_sides_wolverine_a.dds,characters,FaceHair_SIDES_WOLVERINE_lod1.mdl,FaceHair_SIDES_WOLVERINE_lod2.mdl,facehair_sides_wolverine_s.dds,textures,Characters,FaceHair,facehair,V2,FaceHair_SIDES_WOLVERINE_lod3.mdl|||||||
05A7B97E-3C24478D-9D9849E0-EC18134A|Chin Beard|Chin Beard|Male-FacialHair||1.75.0.68.PUB|D|6|L||T032|edward_peretti|||||||||v2,beard_chin_s.dds,beard_chin_c.dds,characters,FaceHair_BEARD_CHIN_lod3.mdl,FaceHair_BEARD_CHIN_lod1.mdl,textures,beard_chin_a.dds,Characters,FaceHair,facehair,V2,FaceHair_BEARD_CHIN_lod2.mdl,Male01|||||||
06229800-9DB748AC-BCC5BC2E-E8C15FF3|Age of Swords - Man At Arms - Beard|The beard of a man at arms.|Male-FacialHair|VEEMEE|1.70.0.93.PUB|P|6|L||T032|matthew||||||259E5561-35E34FAC-8722B658-D3716A2D|||FacialHair_MedievalManAtArmsBeard_lod3.mdl,v2,generic,manatarmsbeard_s.dds,tools,shared,manatarmsbeard_c.dds,characters,placeholder_c.dds,textures,facialhair,FacialHair_MedievalManAtArmsBeard_lod1.mdl,FacialHair_MedievalManAtArmsBeard_lod2.mdl||||EP4065-NPER00003_00-AGEOFSWORD001277|UT5002-NPUR00030_00-VMAGEOFSWRDX2201|HT4005-NPHR00020_00-0004570000000000|
09557ED2-052E46A8-9C02009D-C73969F0|Leprechaun Beard - Male|Celebrate St. Patrick s Day in style with a leprechaun beard. A perfect partner to the green top hat.|Male-FacialHair|VEEMEE|1.75.0.85.PUB|P|6|L||T031|matthew||||||A82249B8-81804DED-A419F287-3A7DF237,D425B927-87734724-AFA52BD9-09C9C2D5|||v2,facialhair,leprechaunbeard_a.dds,characters,leprechaunbeard_c.dds,FacialHair_LeprechaunBeard_lod2.mdl,textures,FacialHair_LeprechaunBeard_lod3.mdl,FacialHair_LeprechaunBeard_lod1.mdl,leprechaunbeard_s.dds||||EP4065-NPER00003_00-LEPRECHAUN001588|UT5002-NPUR00030_00-0030040000000000||
097B871E-6FCB4D32-857961CB-E9DC3233|Storm of the North - Mercenary Veteran - The Musketeer (Men)|This rather dapper moustache will strike fear into the hearts of men and flutters into the hearts of ladies.|Male-FacialHair|VEEMEE|1.86.0.17.PUB|P|6|L||T031|dale||||||6CCDA5F8-FF94486D-92A8286D-CC34E41D|||v2,generic,tools,facialhair,shared,FacialHair_MedievalManAtArmsBeard_Muskateer_lod3.mdl,FacialHair_MedievalManAtArmsBeard_Muskateer_lod2.mdl,characters,placeholder_c.dds,FacialHair_MedievalManAtArmsBeard_Muskateer_lod1.mdl,textures,muskateerbeard_s.dds,muskateerbeard_c.dds||||EP4065-NPER00071_00-STORMOFTHE001875|UT5002-NPUR00030_00-0059720000000000||
09991122-2D4341B2-81C58E96-EF6398B2|Gnome Curling - Beard|Gnome Curling - Beard|Male-FacialHair|Sony Computer Entertainment Europe|1.52.0.2.PUB|A|6|S||T032|alan|||||||||FacialHair_GnomeCurling_Beard_lod3.mdl,v2,facialhair,gnomecurlingbeard_c.dds,gnomecurlingbeard_a.dds,FacialHair_GnomeCurling_Beard_lod2.mdl,characters,textures,gnomecurlingbeard_s.dds,FacialHair_GnomeCurling_Beard_lod1.mdl|||||||
