folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00050000|Smart Shoes||Male-Feet|||D|6|S||T001||||||||||feet_shoesgeneric_black_c.dds,v2,feet_shoesgeneric_lod3.mdl,feet_shoesgeneric_lod1.mdl,characters,feet_shoesgeneric_lod2.mdl,feet,Feet,textures,feet_shoesgeneric_s.dds,feet_shoesgeneric_n.dds,Characters,V2,Male01|||||||
00000000-00000000-00000000-00050002|Classic Trainers||Male-Feet|Sony Computer Entertainment||D|6|S||T031||||||||||feet_trainersregular_lod1.mdl,placeholder_s.dds,generic,shared,Textures,feet_trainersregular_lod3.mdl,feet_trainersregular_lod2.mdl,Feet_trainersregular_white_C.dds,Feet,textures,Characters,V2,Feet_trainersregular_N.dds|||||||
00000000-00000000-00000000-00050012|Basketball Boots|Athletic eight-hole basketball boots with toe cap detail.|Male-Feet|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||Feet_basketball_S.dds,Textures,Feet_basketball_red_C.dds,feet_basketball_lod3.mdl,Feet,feet_basketball_lod1.mdl,Characters,Feet_basketball_N.dds,feet_basketball_lod2.mdl,V2,Male01||||EP9000-NPEQ00001_00-BASKETBALLBOOTS0|UP9000-NPUQ00001_00-BASKETBALLBOOTS0|HP9000-NPHQ00001_00-BASKETBALLBOOTS0|JP9002-NPJQ50000_00-BASKETBALLBOOTS0
00000000-00000000-00000000-00050014|Suede Trainers|Suede Trainers|Male-Feet|Sony Computer Entertainment||P|6|S||T000||||||||||placeholder_s.dds,generic,feet_trainersleisure_lod3.mdl,Feet_trainersleisure_N.dds,shared,Textures,feet_trainersleisure_lod1.mdl,Feet,textures,Characters,feet_trainersleisure_lod2.mdl,Feet_trainersleisure_brown_C.dds,V2||||EP9000-NPEQ00001_00-SUEDETRAINERS000|UP9000-NPUQ00001_00-SUEDETRAINERS000|HP9000-NPHQ00001_00-000070|
00000000-00000000-00000000-00050019|Slip-on Trainers|Smart, comfortable and practical slip on trainers with line detailing on the sides.|Male-Feet|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||placeholder_s.dds,Feet_slipontrainers_N.dds,generic,feet_slipontrainers_lod1.mdl,shared,Textures,Feet_slipontrainers_brown_C.dds,feet_slipontrainers_lod2.mdl,Feet,textures,Characters,V2,feet_slipontrainers_lod3.mdl,Male01||||EP9000-NPEQ00001_00-SLIPONLEATHERTRA|UP9000-NPUQ00001_00-SLIPONLEATHERTRA|HP9000-NPHQ00001_00-SLIPONLEATHERTRA|JP9002-NPJQ50000_00-SLIPONLEATHERTRA
00000000-00000000-00000000-00050021|Biker Boots|No nonsense, tough leather boots for everyday and everywhere.|Male-Feet|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||v2,Textures,characters,feet,Feet_bikerboots_lod3.mdl,Feet,Characters,Feet_bikerboots_black_C.dds,Feet_bikerboots_lod2.mdl,feet_bikerboots_n.dds,textures,feet_bikerboots_s.dds,Feet_bikerboots_lod1.mdl,V2||||EP9000-NPEQ00001_00-BIKERBOOTS000167|UP9000-NPUQ00001_00-MALEBIKERBOOTS01|HP9000-NPHQ00001_00-000203|JP9002-NPJQ50000_00-000047
00000000-00000000-00000000-00050024|Chelsea Boots|Chelsea Boots.|Male-Feet|Sony Computer Entertainment||P|6|S||T034||||||||||Feet_bootsleather_lod3.mdl,Feet_bootsleather_N.dds,Feet_bootsleather_S.dds,Textures,Feet_bootsleather_lod1.mdl,Feet_bootsleather_black_C.dds,Feet,Characters,Feet_bootsleather_lod2.mdl,V2,Male01||||EP9000-NPEQ00001_00-CHELSEABOOTS0000|UP9000-NPUQ00001_00-CHELSEABOOTS0000|HP9000-NPHQ00001_00-000066|JP9002-NPJQ50000_00-000020
00000000-00000000-00000000-00050028|Work Boots||Male-Feet|||D|6|S||T000||||||||||Feet_dmboots_S.dds,Textures,Feet_dmboots_brown_C.dds,Feet_dmboots_N.dds,Feet_dmboots_lod3.mdl,Feet,Feet_dmboots_lod2.mdl,Characters,V2,Feet_dmboots_lod1.mdl|||||||
00000000-00000000-00000000-00050031|Winklepicker Shoes|The classic and always elegant wincklepicker, for that suave touch to any outfit.|Male-Feet|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||v2,Feet_winklepickers_lod3.mdl,feet_winklepickers_blackwhite_c.dds,characters,feet,Feet_winklepickers_lod1.mdl,feet_winklepickers_s.dds,Feet,textures,Characters,V2,Feet_winklepickers_lod2.mdl,feet_winklepickers_n.dds||||EP9000-NPEQ00001_00-WINKLEPICKERS000|UP9000-NPUQ00001_00-WINKLEPICKERS000|HP9000-NPHQ00001_00-WINKLEPICKERS000|JP9002-NPJQ50000_00-WINKLEPICKERS000
00000000-00000000-00000000-00050035|Skate Shoes||Male-Feet|||D|6|S||T000||||||||||Feet_skateshoes_lod3.mdl,placeholder_s.dds,generic,shared,Textures,Feet_skateshoes_beige_C.dds,Feet,Feet_skateshoes_lod2.mdl,textures,Characters,Feet_skateshoes_lod1.mdl,V2,Feet_skateshoes_N.dds,Male01|||||||
