folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00060001|Heavy Frame Glasses||Male-Glasses|||D|9|S||T000||||||||||Accessories,v2,generic01_accessories_glasses_lens_clear_s.dds,generic,generic01_accessories_glasses_frame_shell_s.dds,shared,accessories,Accessories_glassesheavyframe_lod1.mdl,characters,generic01_accessories_glasses_frame_shell_c.dds,Accessories_glassesheavyframe_lod3.mdl,generic01_accessories_glasses_lens_clear_c.dds,textures,Characters,Accessories_glassesheavyframe_lod2.mdl,placeholder_n.dds,V2|||||||
00000000-00000000-00000000-00060002|Thin Framed Glasses|Thin Framed Glasses|Male-Glasses|Sony Computer Entertainment||P|12|S||T000||||||||||generic01_accessories_glasses_frame_mtl_silver_c.dds,Accessories,v2,generic,accessories,characters,Accessories_glasseslightframed_lod1.mdl,generic01_accessories_glasses_lens_cleargradient_c.dds,generic01_accessories_glasses_frame_black_c.dds,nonormals_n.dds,Accessories_glasseslightframed_lod2.mdl,Characters,V2,Accessories_glasseslightframed_lod3.mdl,generic01_accessories_glasses_lens_grey_s.dds,generic01_accessories_glasses_frame_mtl_silver_s.dds||||EP9000-NPEQ00001_00-GLASSESTHIN00000|UP9000-NPUQ00001_00-GLASSESTHIN00000|HP9000-NPHQ00001_00-000071|
00000000-00000000-00000000-00060006|Aviator Sunglasses|Always look great in these timeless sunglasses.|Male-Glasses|Sony Computer Entertainment||P|9|S||T034||||||||||Accessories,v2,generic,Accessories_sunglassesaviator_lod1.mdl,Generic01_Accessories_glasses_frame_mtl_gold_S.dds,generic01_accessories_glasses_lens_darkgreen_S.dds,shared,accessories,generic01_accessories_glasses_lens_darkgreen_C.dds,characters,textures,Generic01_Accessories_glasses_frame_mtl_gold_C.dds,Characters,placeholder_n.dds,Accessories_sunglassesaviator_lod2.mdl,Accessories_sunglassesaviator_lod3.mdl,V2||||EP9000-NPEQ00001_00-AVIATORSUN000424|UP9000-NPUQ00010_00-MALEAVIATORSUNGL|HP9000-NPHQ00001_00-000477|JP9002-NPJQ50000_00-000147
00000000-00000000-00000000-00060007|Heart Shaped Sunglasses|Add a little pizzazz to your summer look, with these heart shaped sunglasses.|Male-Glasses|Sony Computer Entertainment|1.3.5|P|9|S||T036|PlayStation Home|||||||||Accessories,v2,Accessories_sunglassesheart_lod2.mdl,generic,shared,accessories,Accessories_sunglassesheart_lod1.mdl,characters,generic01_accessories_glasses_frame_mtl_red_s.dds,generic01_accessories_glasses_frame_red_c.dds,Accessories_sunglassesheart_lod3.mdl,textures,Characters,V2,placeholder_n.dds,generic01_accessories_glasses_lens_grey_s.dds,generic01_accessories_glasses_lens_darkgreen_c.dds||||EP9000-NPEQ00001_00-SUNGLASSESHEART0|UP9000-NPUQ00001_00-SUNGLASSESHEART0|HP9000-NPHQ00001_00-SUNGLASSESHEART0|JP9002-NPJQ50000_00-SUNGLASSESHEART0
00000000-00000000-00000000-00060008|Sport Sunglasses||Male-Glasses|||D|9|S||T000||||||||||Accessories_sunglassessportstyle_lod2.mdl,Accessories,Accessories_sunglassessportstyle_lod1.mdl,v2,generic,generic01_accessories_glasses_frame_darkred_c.dds,shared,accessories,characters,generic01_accessories_glasses_lens_yellowpink_s.dds,textures,generic01_accessories_glasses_frame_ptc_red_s.dds,Characters,V2,generic01_accessories_glasses_lens_blue_c.dds,placeholder_n.dds,Accessories_sunglassessportstyle_lod3.mdl|||||||
00000000-00000000-00000000-00060010|Star Shaped Sunglasses|Shine brightly in these fun star shaped sunglasses.|Male-Glasses|Sony Computer Entertainment||P|9|S||T034||||||||||Accessories,Accessories_sunglassesstar_lod1.mdl,generic01_accessories_glasses_lens_brown_s.dds,v2,generic,shared,Accessories_sunglassesstar_lod3.mdl,accessories,characters,generic01_accessories_glasses_lens_brown_c.dds,generic01_accessories_glasses_frame_yellow_c.dds,Accessories_sunglassesstar_lod2.mdl,textures,Characters,placeholder_n.dds,generic01_accessories_glasses_frame_ptc_yellow_s.dds,V2||||EP9000-NPEQ00001_00-STARSHAPED000409|UP9000-NPUQ00010_00-MALESTARSUNGLASS|HP9000-NPHQ00001_00-000462|JP9002-NPJQ50000_00-000132
00000000-00000000-00000000-00060011|Black Glasses|Classic, black framed glasses.|Male-Glasses|Sony Computer Entertainment||P|9|S||T000|PlayStation Home|||||||||Accessories_sunglassesthickblack_lod2.mdl,Accessories,v2,generic,shared,accessories,Accessories_sunglassesthickblack_lod3.mdl,generic01_accessories_glasses_lens_clearblue_s.dds,characters,generic01_accessories_glasses_frame_black_c.dds,Accessories_sunglassesthickblack_lod1.mdl,generic01_accessories_glasses_lens_clearblue_c.dds,textures,generic01_accessories_glasses_frame_ptc_black_s.dds,Characters,placeholder_n.dds,V2||||EP9000-NPEQ00001_00-BLACKGLASS000163|UP9000-NPUQ00001_00-BLACKGLASSESQ001|HP9000-NPHQ00001_00-000263|JP9002-NPJQ50000_00-000060
00000000-00000000-00000000-00060012|Small Square Framed Sunglasses|Looking for a more unique pair of sunglasses. Try these on for size.|Male-Glasses|Sony Computer Entertainment||P|12|S||T034||||||||||Accessories_sunglassesthinblue_lod1.mdl,v2,shared,accessories,Accessories_sunglassesthinblue_lod2.mdl,characters,Characters,generic01_accessories_glasses_lens_75_c.dds,generic01_accessories_glasses_lens_blue_s.dds,generic01_accessories_glasses_frame_mtl_silver_s.dds,generic01_accessories_glasses_frame_mtl_silver_c.dds,Accessories,V2,Accessories_sunglassesthinblue_lod3.mdl,generic,generic01_accessories_glasses_frame_black_c.dds,textures,placeholder_n.dds||||EP9000-NPEQ00001_00-SMALLSQUAR000486|UP9000-NPUQ00010_00-MALESMLSQRFRMDSG|HP9000-NPHQ00001_00-000539|JP9002-NPJQ50000_00-000198
00000000-00000000-00000000-00060013|Oval Sunglasses|Frame your face in style with these sleek oval sunglasses.|Male-Glasses|Sony Computer Entertainment|1.3.0.285.CORE|P|9|S||T034||||||||||generic01_accessories_glasses_frame_mtl_silver_c.dds,Accessories,v2,generic01_accessories_glasses_lens_clear_s.dds,generic,shared,Accessories_sunglassesthinsilver_lod3.mdl,Accessories_sunglassesthinsilver_lod1.mdl,Accessories_sunglassesthinsilver_lod2.mdl,accessories,characters,textures,Characters,generic01_accessories_glasses_lens_50_c.dds,V2,placeholder_n.dds,generic01_accessories_glasses_frame_mtl_silver_s.dds||||EP9000-NPEQ00001_00-OVALSUNGLA000425|UP9000-NPUQ00010_00-MALEOVALSUNGLASS|HP9000-NPHQ00001_00-000478|JP9002-NPJQ50000_00-000148
0007DB00-72A241F3-93C04695-E4428C6E|KIF - Headset (Men)| Headset that appears in the Kanazawa Independence Front 4-panel comic series on the Granzella website. Defensive Strength  |Male-Glasses|Granzella Inc.|1.75.0.85.PUB|P|9|L||T031|iwata|||||||||Glasses_kana_Headset_01_lod1.mdl,Glasses_kana_Headset_01_lod3.mdl,v2,scenes,glasses_kana_headset_01_s.dds,characters,glasses_kana_headset_01_n.dds,sourceimages,06,Glasses_kana_Headset_01_lod2.mdl,glasses_kana_headset_01_c.dds,accessories|||||UT5012-NPUR00121_00-0007280000000000||
