folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00010001|Spiky|Description|Male-Hair|Sony Computer Entertainment|1.75.0.68.PUB|D|6|L||T031|PlayStation Home|||||||||Hair,v2,Hair_spiky_lod1.mdl,hair_spiky_a.dds,hair_spiky_s.dds,characters,Hair_spiky_lod3.mdl,hair_spiky_c.dds,Hair_spiky_lod2.mdl,textures,Characters,V2,hair,Male01|||||||
00000000-00000000-00000000-00010002|Mid Length Mop|Mid Length Mop|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||hair_shaggy_c.dds,Hair,v2,hair,characters,Hair_shaggy_lod3.mdl,hair_shaggy_a.dds,textures,Characters,V2,hair_shaggy_s.dds,Hair_shaggy_lod2.mdl,Hair_shaggy_lod1.mdl|||||||
00000000-00000000-00000000-00010003|Shaved|Description|Male-Hair|Sony Computer Entertainment|1.75.0.68.PUB|D|6|L||T031|PlayStation Home|||||||||Hair,hair_short_c.dds,Hair_short_lod2.mdl,v2,characters,Hair_short_lod3.mdl,Hair_short_lod1.mdl,hair_short_a.dds,textures,Characters,hair_short_s.dds,hair,V2|||||||
00000000-00000000-00000000-00010004|Side Parting|Side Parting|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||hair_sideparting_c.dds,hair_sideparting_s.dds,Hair,v2,Hair_sideparting_lod1.mdl,characters,textures,Hair_sideparting_lod2.mdl,hair_sideparting_a.dds,Characters,Hair_sideparting_lod3.mdl,hair,V2|||||||
00000000-00000000-00000000-00010005|Short afro|Short afro|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair_shortafro_lod3.mdl,Hair,Hair_shortafro_lod1.mdl,v2,hair_shortafro_s.dds,characters,Hair_shortafro_lod2.mdl,textures,hair_shortafro_c.dds,hair_shortafro_a.dds,Characters,V2,hair,Male01|||||||
00000000-00000000-00000000-00010006|Afro|Afro|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,v2,Hair_afro_lod1.mdl,hair_afro_s.dds,hair_afro_c.dds,Hair_afro_lod3.mdl,characters,textures,Characters,Hair_afro_lod2.mdl,hair_afro_a.dds,V2,hair,Male01|||||||
00000000-00000000-00000000-00010007|Dreads Tied Back|Dreads Tied Back|Male-Hair||1.75.0.68.PUB|D|9|L||T031||||||||||hair_dreadlocks_dreadband_n.dds,hair_dreadlocks_s.dds,Hair,hair_dreadlocks_dreadband_c.dds,v2,Hair_dreadlocks_lod2.mdl,Hair_dreadlocks_lod1.mdl,hair_dreadlocks_dreadband_s.dds,characters,textures,Characters,hair_dreadlocks_a.dds,V2,hair,hair_dreadlocks_c.dds,Hair_dreadlocks_lod3.mdl|||||||
00000000-00000000-00000000-00010008|Ponytail|Ponytail|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,hair_ponytail_c.dds,hair_ponytail_s.dds,v2,hair_ponytail_a.dds,characters,Hair_ponytail_lod2.mdl,textures,Characters,Hair_ponytail_lod1.mdl,V2,hair,Hair_ponytail_lod3.mdl|||||||
00000000-00000000-00000000-00010009|Bald|Bald|Male-Hair||1.75.0.68.PUB|D|4|L||T031||||||||||Accessories,placeholder_s.dds,generic,accessory_null_lod1.mdl,shared,placeholder_c.dds,textures,Characters,placeholder_n.dds,V2|||||||
00000000-00000000-00000000-00010010|Punk Spikes|Punk Spikes|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair_punkspikes_lod2.mdl,Hair,v2,generic,generic01_hair_punkspikes_a.dds,characters,textures,Hair_punkspikes_lod3.mdl,Characters,generic01_hair_punkspikes_s.dds,hair,Hair_punkspikes_lod1.mdl,generic01_hair_punkspikes_c.dds,V2|||||||
00000000-00000000-00000000-00010011|Hoxton Fin|Hoxton Fin|Male-Hair||1.75.0.68.PUB|D|9|L||T031||||||||||placeholder_s.dds,Hair,v2,Hair_hoxtonfin_lod2.mdl,shared,characters,hair_hoxtonfin_a.dds,Characters,hair,V2,hair_hoxtonfin_s.dds,generic,Hair_hoxtonfin_lod3.mdl,placeholder_grey_c.dds,textures,hair_hoxtonfin_c.dds,Hair_hoxtonfin_lod1.mdl,placeholder_n.dds|||||||
00000000-00000000-00000000-00010012|Shaved Receding|Shaved Receding|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,hair_shavedreceeding_c.dds,v2,Hair_shavedreceeding_lod1.mdl,Hair_shavedreceeding_lod2.mdl,characters,hair_shavedreceeding_a.dds,textures,hair_shavedreceeding_s.dds,Characters,Hair_shavedreceeding_lod3.mdl,hair,V2|||||||
00000000-00000000-00000000-00010013|Flat-Top|Flat-Top|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||hair_flattop_a.dds,Hair,v2,Hair_flattop_lod3.mdl,characters,hair_flattop_s.dds,textures,hair_flattop_c.dds,Hair_flattop_lod2.mdl,Characters,V2,hair,Hair_flattop_lod1.mdl,Male01|||||||
00000000-00000000-00000000-00010014|Centre Parting|Centre Parting|Male-Hair||1.75.0.68.PUB|D|9|L||T031||||||||||placeholder_s.dds,Hair,v2,shared,characters,Characters,hair_additional_01_c.dds,hair,V2,generic,placeholder_grey_c.dds,Hair_additional_01_lod3.mdl,textures,hair_additional_01_s.dds,Hair_additional_01_lod1.mdl,placeholder_n.dds,hair_additional_01_a.dds,Hair_additional_01_lod2.mdl|||||||
00000000-00000000-00000000-00010015|Trendy Crop|Trendy Crop|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,Hair_additional_02_A.dds,Textures,Hair_additional_02_S.dds,Hair_additional_02_C.dds,Hair_additional_02_lod2.mdl,Characters,V2,Hair_additional_02_lod1.mdl,Hair_additional_02_lod3.mdl|||||||
00000000-00000000-00000000-00010016|Spiky Crop|Description|Male-Hair|Sony Computer Entertainment|1.75.0.68.PUB|D|6|L||T031|PlayStation Home|||||||||Hair_additional_03_lod1.mdl,Hair_additional_03_C.dds,Hair,Textures,Hair_additional_03_lod2.mdl,Hair_additional_03_S.dds,Hair_additional_03_A.dds,Hair_additional_03_lod3.mdl,Characters,V2,Male01|||||||
00000000-00000000-00000000-00010017|Layered Mid Length|Layered Mid Length|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair_additional_04_A.dds,Hair_additional_04_S.dds,Hair,Textures,Hair_additional_04_lod3.mdl,Characters,Hair_additional_04_C.dds,Hair_additional_04_lod2.mdl,Hair_additional_04_lod1.mdl,V2|||||||
00000000-00000000-00000000-00010018|Mohawk||Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,v2,generic,Hair_spikedmohawk_lod2.mdl,generic01_hair_spikedmohawk_c.dds,characters,Hair_spikedmohawk_lod3.mdl,generic01_hair_spikedmohawk_a.dds,generic01_hair_spikedmohawk_s.dds,Characters,Hair_spikedmohawk_lod1.mdl,hair,V2|||||||
00000000-00000000-00000000-00010019|Cropped Mohawk|Cropped Mohawk|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair_croppedmohawk_lod2.mdl,hair_croppedmohawk_s.dds,Hair,v2,hair,characters,hair_croppedmohawk_a.dds,textures,Hair_croppedmohawk_lod1.mdl,Characters,Hair_croppedmohawk_lod3.mdl,V2,hair_croppedmohawk_c.dds,Male01|||||||
00000000-00000000-00000000-00010020|Receding Spiky|Receding Spiky|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,Hair_recedingspiky_lod1.mdl,Hair_recedingspiky_A.dds,Textures,Hair_recedingspiky_lod3.mdl,Hair_recedingspiky_S.dds,Hair_recedingspiky_lod2.mdl,Hair_recedingspiky_C.dds,Characters,V2,Male01|||||||
00000000-00000000-00000000-00010021|Long Spiky Crop|Long Spiky Crop|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,Hair_additional_05_lod1.mdl,Hair_additional_05_lod2.mdl,Hair_additional_05_lod3.mdl,Textures,Hair_additional_05_C.dds,Hair_additional_05_A.dds,Characters,Hair_additional_05_S.dds,V2,Male01|||||||
00000000-00000000-00000000-00010022|Long Afro|Long Afro|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair,v2,characters,Hair_largeafro_lod1.mdl,Hair_largeafro_lod2.mdl,textures,hair_largeafro_c.dds,Characters,hair_largeafro_s.dds,V2,hair,Hair_largeafro_lod3.mdl,hair_largeafro_a.dds|||||||
00000000-00000000-00000000-00010023|Cornrows|Cornrows|Male-Hair||1.75.0.68.PUB|D|6|L||T031||||||||||Hair_cornrows_lod2.mdl,hair_cornrows_s.dds,Hair,v2,hair,Hair_cornrows_lod3.mdl,characters,hair_cornrows_c.dds,textures,Characters,Hair_cornrows_lod1.mdl,V2,hair_cornrows_a.dds,Male01|||||||
04AC1991-A29543E5-AF682B7D-9F0B40DF|Star Trek Vulcan Hair (Male)|Hey Star Trek Fans, Star Trek has come to PlayStation Home. You can now look like a real Vulcan. TM and 2014 CBS Studios Inc. Star Trek and all related marks and logos are trademarks of CBS Studios Inc. All Rights Reserved.|Male-Hair|Flashman Studios LLC.|1.80.0.53.PUB|P|6|L||T033|Tom Rutjens||||||7D9C5EE9-08E14D0E-BA1917B8-E8AED87D|||v2,generic,tools,shared,Hair_Vulcan_lod3.mdl,characters,Hair_Vulcan_lod2.mdl,placeholder_c.dds,vulcan_male_hairstyle_c.dds,Hair_Vulcan_lod1.mdl,textures,hair||||EP4422-NPER00075_00-STARTREKVU000053|UT5030-NPUR00260_00-0000310000000000||
0631A370-212941B2-80FDBA76-645F87FE|The Hachiku|Thick luscious locks with a centre parting. Hair by Medusa.|Male-Hair|Lockwood|1.86.0.17.PUB|P|6|L||T031|Lockwood|||||||||longhair,anime,Hair_Long_lod3.mdl,2014,v2,jun,characters,hair_long_a.dds,Hair_Long_lod1.mdl,hair_long_s.dds,lockwood,06,Hair_Long_lod2.mdl,male,hair_long_d.dds||||EP4127-NPER00050_00-THEHACHIKU002922|UT5000-NPUR00012_00-LKWDTHEHACHIKUJU||
06AC712D-893A4C22-948CC279-7A505FC4|Male Pirate Hat|A bandana helps keep the hair out of your eyes when sword fighting.|Male-Hair|Sony Computer Entertainment|1.3.5.121.PUB|P|9|L||T031|dpaulsen||||||1D87F4F5-CFCE4856-A1363789-1C3FD871,C2BB8606-566A4663-AECE5100-F7B2CB9B|||hat_commapril_piratebandana_s.dds,v2,Hair_CommApril_PirateHair_lod3.mdl,hat_commapril_piratebandana_n.dds,Hair_CommApril_PirateHair_lod2.mdl,hat_commapril_piratehair_c.dds,commapril,characters,piratehair,hat_commapril_piratebandana_c.dds,textures,hat_commapril_piratehair_a.dds,hat_commapril_piratehair_s.dds,Hair_CommApril_PirateHair_lod1.mdl|||||UP9000-NPUQ00010_00-REPURPPIRATEHATM||
0BD6EC33-C35B4844-A63B88EA-35EAB1ED|Messy Short Hair (Male)|Who needs a comb when you can just style your hair with your hands.|Male-Hair|Sony Computer Entertainment|1.41.0.37.PUB|P|6|L||T031|qinping|||||||||v2,commdec,hair_commdec_hairshortmessy_c.dds,hair_commdec_hairshortmessy_s.dds,Hair_CommDec_HairShortMessy_lod1.mdl,characters,Hair_CommDec_HairShortMessy_lod2.mdl,hair_commdec_hairshortmessy_a.dds,textures,hairshortmessy,Hair_CommDec_HairShortMessy_lod3.mdl||||EP9000-NPEQ00005_00-MESSYSHORT001926|UP9000-NPUQ00020_00-MESSYSHORTHAIRM1|HP9000-NPHQ00010_00-0002500000000000|
0C26A62D-5C6840F4-9079B404-FC6FA03C|The Evan - Purple|Delirious Squid and Medusa have collaborated to bring you these wild styles straight from the scene. Hair by Medusa.|Male-Hair|Lockwood|1.86.0.17.PUB|P|9|L||T031|Lockwood||||||98A2EC13-11AC4A75-91F7F4B2-2EF2E58B,AD920F71-1E384235-80118651-7CFF5371|||hair_emo_d.dds,placeholder_s.dds,2014,v2,hair_emo_a.dds,05,shared,Hair_Emo_lod1.mdl,characters,lockwood,hair_emo_purple.dds,hair_emo_s.dds,Hair_Emo_lod2.mdl,medusa,hair,male,emo,generic,tools,Hair_Emo_lod3.mdl,textures,may,placeholder_n.dds||||EP4127-NPER00050_00-THEEVANPUR002531|UT5000-NPUR00012_00-LKWDTHEEVANPURPL||
0C9C7A00-4C7D4751-B5696618-A5B0CDCD|Fantasy Adventurer Hair (Male)|A hero is only as epic as his hair.|Male-Hair|Sony Computer Entertainment|1.3.6.22.PUB|P|12|L||T032|apadua||||||1484FA4E-90314D03-99CD10DB-106E97D7,6E1BC0E5-6ABD47E3-87A58017-39647D25|||Hair_CommJune_FinalFantasyHair_lod3.mdl,v2,eye_n.dds,Hair_CommJune_FinalFantasyHair_lod1.mdl,shared,Hair_CommJune_FinalFantasyHair_lod2.mdl,characters,eye_s.dds,hair_commjune_finalfantasyhair_c.dds,generic,hair_commjune_finalfantasyhair_s.dds,finalfantasyhair,teeth_c.dds,textures,teeth_n.dds,commjune,eye_green_c.dds,hair_commjune_finalfantasyhair_a.dds,teeth_s.dds||||EP9000-NPEQ00005_00-FANTASYADV000746|UP9000-NPUQ00020_00-ADVENTURRHAIRM01||
