folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00020000|Bare Hands||Male-Hands|||D|6|S||T001||||||||||Hands,v2,skin_body_n.dds,shared,skin_body_white_s.dds,hands_lod2.mdl,characters,textures,skin_body_white_c.dds,Characters,V2,hands_lod1.mdl,hands_lod3.mdl,Male01|||||||
00000000-00000000-00000000-00020001|Work Gloves|Work Gloves|Male-Hands||1.52.0.2.PUB|D|9|S||T031||||||||||placeholder_s.dds,Hands,v2,hands,shared,characters,hands_workerglove_lod1.mdl,generic01_hands_workerleather_n.dds,hands_workerglove_lod2.mdl,generic01_hands_workerleather_brown_c.dds,hands_workerglove_lod3.mdl,Characters,skin_body_c.dds,generic,skin_body_n.dds,textures,skin_body_s.dds,V2|||||||
00148ABA-B22D40C8-80AEBD46-CE16EA21|Magic Dauber (Male)|Ensure you never call a wrong Bingo again with this Magic Dauber. The Magic Dauber lets you know if you ve marked a number that had yet to be called accidentally. Perfect for all Bingo players.|Male-Hands|Digital Leisure|1.70.0.93.PUB|P|8|L||T032|DL_ARTPOD_Animation|||||||||photoshop,dauber_n.dds,v2,generic,skin_body_n.dds,hands,tools,bingodaubers_magic_c.dds,shared,characters,Hands_BingoDauber_Magic_lod3.mdl,sparkle.dds,textures,Hands_BingoDauber_Magic_lod1.mdl,daubers,dauber_s.dds,Hands_BingoDauber_Magic_lod2.mdl||||EP2043-NPER00040_00-MAGICDAUBE000259|UP2043-NPUR30262_00-DLBINGOHALLXX800||
0014B874-CD5741E7-A42A5FDD-044471E3|Crystal Staff M |You hold the power of the crystal in your staff. Now if you only remembered how to use it...|Male-Hands|Heavy Water|1.70.0.93.PUB|L|8|L||T031|HeavyUser|||||||||Hands_Staff_lod1.mdl,Hands_Staff_lod3.mdl,placeholder_s.dds,v2,generic,hands,skin_body_n.dds,tools,staff_n2.dds,shared,Hands_Staff_lod2.mdl,crystal_glow.dds,characters,staff_c.dds,textures,staff|||||||
001BE24A-425947F1-9FA0AB00-0FDE5084|Staff Of The Thunder God (Male In Combat)|Staff Of The Thunder God (Male In Combat)|Male-Hands|IREM SOFTWARE ENGINEERING INC.|1.3.2.27.PUB|L|8|S||T031|cmn|||||||||v2,hands,shared,characters,sourceimages,hands_wand_11_1_lod1.mdl,hands_wand_14_c.dds,generic,04,hands_wand_11_1_lod3.mdl,skin_body_n.dds,textures,hands_wand_11_n.dds,hands_wand_14_s.dds,hands_wand_11_1_lod2.mdl|||||||
002166DE-D7CC4F39-8BA34E6E-8EB412D7|Wedding Band (Male)|The ultimate gift for the perfect couple. You can find this gift at the Giftinator 9000 from Hellfire Games.|Male-Hands|Hellfire Games, Inc.|1.86.0.17.PUB|A|8|L||T031|Patrick Sutter|||||||||models,Hands_WeddingRing_lod2.mdl,weddingring_male_spec.dds,weddingring_male_color.dds,v2,skin_body_n.dds,generic,hands,tools,shared,Hands_WeddingRing_lod1.mdl,characters,weddingring_nrm.dds,weddingringtextures,twinklescroll_c.dds,Hands_WeddingRing_lod3.mdl,misc|||||||
00296F13-66944190-B5790871-8396FDD4|Zangief Wristband - alternate|Feel like Zangief from Street Fighter IV with this alternate set of wristbands. Street Fighter IV CAPCOM U.S.A., Inc.|Male-Hands|Sony Computer Entertainment|1.3.2.27.PUB|P|9|S||T036|Sony Computer Entertainment||||||76B928A9-5A3E4463-B37FBCC8-EDD20416|||hands_st4_zgf_arr_s.dds,Hands,v2,hands,Hands_st4_Zgf_Arr_lod2.mdl,Hands_st4_Zgf_Arr_lod3.mdl,hands_st4_zgf_arr_n.dds,skin_body_n.dds,skin_body_white_s.dds,characters,textures,skin_body_white_c.dds,hands_st4_zgf_arr_c.dds,Characters,Hands_st4_Zgf_Arr_lod1.mdl,V2,Male01||||EP9000-NPEQ00005_00-ZANGIEFARR000151|UP9000-NPUQ00005_00-SF4COSTUMEZANGIE|HP9000-NPHQ00004_00-000170|JP9002-NPJQ50060_00-000095
00298FFE-86484F4E-80CBB0DB-96B6D994|B Movie Madness - Zombie - Hands - Men|Join the B Movie Madness with this Zombie costume.|Male-Hands|VEEMEE|1.80.0.53.PUB|P|6|L||T032|matthew||||||BA050B76-9DED4D3B-B67FAAD7-9C9D46BF,D6B7BCE1-AC5E439E-A0A0E942-1F777DF8|||v2,hands,bmoviemadness_zombiehands_s.dds,bmoviemadness_zombiehands_n.dds,characters,Hands_BMovieMadness_Zombie_lod2.mdl,Hands_BMovieMadness_Zombie_lod3.mdl,textures,bmoviemadness_zombiehands_c.dds,Hands_BMovieMadness_Zombie_lod1.mdl||||EP4065-NPER00003_00-BMOVIEMADN002223|UT5002-NPUR00030_00-0040330000000000|HT4005-NPHR00020_00-0012050000000000|
00499082-60E94818-87AD02E7-14241E65|Gold Analogue Watch (for Male)|Exemplary style.|Male-Hands|Lockwood|1.40.0.264.BETA4|P|7|L||T033|Lockwood|||||||||Hands_Watch_lod3.mdl,hands_watch_gold.dds,v2,shared,characters,lockwood,november,watch,Hands_Watch_lod1.mdl,male,generic,2010,skin_body_n.dds,fashion,textures,Hands_Watch_lod2.mdl,hands_watch_s.dds,hands_watch_n.dds||||EP4127-NPER00014_00-GOLDANALOG000368|UT5000-NPUR00010_00-OUTSOGANALOGUEWA|HT4001-NPHR00012_00-0003450000000000|JT4001-NPJR50210_00-AA00910000000000
0056831A-055948A7-A0F5458C-D5F74798|Hands_2012Apl_sword_01_1 (0)|Hands_2012Apl_sword_01_1|Male-Hands|Granzella Inc.|1.75.0.85.PUB|U|7|L||T031|iwata|||||||||v2,hands,shared,characters,sourceimages,Hands_2012Apl_sword_01_1_lod1.mdl,Hands_2012Apl_sword_01_1_lod2.mdl,generic,04,skin_body_n.dds,tools,hands_2012apl_sword_01_n.dds,textures,hands_2012apl_sword_01_s.dds,hands_2012apl_sword_01_c.dds,Hands_2012Apl_sword_01_1_lod3.mdl|||||||
