folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00010025|Beanie Hat||Male-Hat|||D|9|S||T000||||||||||hair_sideparting_S.dds,Hair,hair_sideparting_C.dds,Hair_beanie_lod3.mdl,hair_sideparting_A.dds,Textures,Hair_beanie_S.dds,Hair_beanie_lod2.mdl,Hair_beanie_black_C.dds,Hair_beanie_N.dds,Characters,Hair_beanie_lod1.mdl,V2,Male01|||||||
00000000-00000000-00000000-00010031|Black Bucket Hat|This simple black bucket hat looks great and keeps the sun off.|Male-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||placeholder_s.dds,Hair,v2,shared,Hair_buckethat_lod3.mdl,Hair_buckethat_lod1.mdl,characters,hair_sideparting_a.dds,Characters,Hair_buckethat_lod2.mdl,hair_sideparting_s.dds,hair,hair_sideparting_c.dds,hair_buckethat_n_grey.dds,generic,textures,Hair_Buckethat_black_C.dds,V2|||||UP9000-NPUQ00010_00-MLBUCKETHATBLACK|HP9000-NPHQ00001_00-0007530000000000|JP9002-NPJQ50000_00-0002680000000000
00000000-00000000-00000000-00010032|Bucket Hat||Male-Hat|||D|9|S||T000||||||||||Hair_buckethat_S_grey.dds,Hair_Buckethat_blue_C.dds,hair_sideparting_S.dds,hair_sideparting_C.dds,Hair,Textures,Hair_buckethat_lod3.mdl,Hair_buckethat_lod1.mdl,Characters,Hair_buckethat_lod2.mdl,hair_sideparting_A.dds,Hair_buckethat_N_grey.dds,V2|||||||
00000000-00000000-00000000-00010033|Brown Bucket Hat|The brown bucket hat combines practicality and a great retro look.|Male-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair_buckethat_S_grey.dds,hair_sideparting_S.dds,Hair,hair_sideparting_C.dds,Textures,Hair_buckethat_lod3.mdl,Hair_buckethat_lod1.mdl,Hair_Buckethat_brown_C.dds,Characters,Hair_buckethat_lod2.mdl,hair_sideparting_A.dds,Hair_buckethat_N_grey.dds,V2|||||UP9000-NPUQ00010_00-MLBUCKETHATBROWN|HP9000-NPHQ00001_00-0007540000000000|JP9002-NPJQ50000_00-0002690000000000
00000000-00000000-00000000-00010034|Jungle-Camo Bucket Hat|Keep those harmful UV-rays off and look your best with this jungle camo bucket hat.|Male-Hat|Sony Computer Entertainment||P|9|S||T038||||||||||Hair_buckethat_S_grey.dds,hair_sideparting_S.dds,Hair,hair_sideparting_C.dds,Textures,Hair_buckethat_lod3.mdl,Hair_buckethat_lod1.mdl,Characters,Hair_buckethat_lod2.mdl,hair_sideparting_A.dds,Hair_buckethat_N_grey.dds,Hair_Buckethat_camojungle_C.dds,V2|||||UP9000-NPUQ00010_00-MLBUCKETHATJUNGL|HP9000-NPHQ00001_00-0007570000000000|JP9002-NPJQ50000_00-0002720000000000
00000000-00000000-00000000-00010035|Grey Bucket Hat|Make the most of summer with this grey bucket hat.|Male-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair_buckethat_S_grey.dds,hair_sideparting_S.dds,Hair,hair_sideparting_C.dds,Hair_Buckethat_grey_C.dds,Textures,Hair_buckethat_lod3.mdl,Hair_buckethat_lod1.mdl,Characters,Hair_buckethat_lod2.mdl,hair_sideparting_A.dds,Hair_buckethat_N_grey.dds,V2|||||UP9000-NPUQ00010_00-MLBUCKETHATGREY1|HP9000-NPHQ00001_00-0007560000000000|JP9002-NPJQ50000_00-0002710000000000
00000000-00000000-00000000-00010037|White Bucket Hat|It s summer. Look no further than this simple white bucket hat.|Male-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||Hair_buckethat_S_grey.dds,hair_sideparting_S.dds,Hair,hair_sideparting_C.dds,Textures,Hair_buckethat_lod3.mdl,Hair_buckethat_lod1.mdl,Characters,Hair_buckethat_lod2.mdl,hair_sideparting_A.dds,Hair_buckethat_N_grey.dds,Hair_Buckethat_white_C.dds,V2|||||UP9000-NPUQ00010_00-MLBUCKETHATWHITE|HP9000-NPHQ00001_00-0007580000000000|JP9002-NPJQ50000_00-0002730000000000
00000000-00000000-00000000-00010039|Baseball Cap||Male-Hat|||D|9|S||T000||||||||||hair_sideparting_S.dds,Hair,hair_sideparting_C.dds,Hair_bballcap_blacktan_C.dds,hair_sideparting_A.dds,Hair_bballcap_S.dds,Textures,Hair_baseballcap_lod2.mdl,Hair_baseballcap_lod1.mdl,Characters,Hair_baseballcap_lod3.mdl,Hair_bballcap_N.dds,V2|||||||
00000000-00000000-00000000-00010040|Blue Baseball Cap|Authentic 1950s baseball cap in blue.|Male-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||hair_sideparting_S.dds,Hair,hair_sideparting_C.dds,Hair_bballcap_blue_C.dds,hair_sideparting_A.dds,Hair_bballcap_S.dds,Textures,Hair_baseballcap_lod2.mdl,Hair_baseballcap_lod1.mdl,Characters,Hair_baseballcap_lod3.mdl,Hair_bballcap_N.dds,V2|||||UP9000-NPUQ00010_00-MLBASEBLCAPBLUE1|HP9000-NPHQ00001_00-0007590000000000|JP9002-NPJQ50000_00-0002740000000000
00000000-00000000-00000000-00010041|Grey Baseball Cap|Classic baseball cap in grey.|Male-Hat|Sony Computer Entertainment||P|9|S||T034||||||||||hair_sideparting_S.dds,Hair,hair_sideparting_C.dds,hair_sideparting_A.dds,Hair_bballcap_S.dds,Textures,Hair_bballcap_grey_C.dds,Hair_baseballcap_lod2.mdl,Hair_baseballcap_lod1.mdl,Characters,Hair_baseballcap_lod3.mdl,Hair_bballcap_N.dds,V2|||||UP9000-NPUQ00010_00-MLBASEBLCAPGREY1|HP9000-NPHQ00001_00-0007600000000000|JP9002-NPJQ50000_00-0002750000000000
