folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00060003|Headband Headphones|Show your passion for music in these classic styled headphones.|Male-HeadPhones|Sony Computer Entertainment||P|6|S||T034||||||||||Accessories,Accessories_headphonesheadbandstyleA_S.dds,Accessories_headphonesheadbandstyleA_C.dds,generic,shared,Accessories_headphonesheadbandstyleA_lod2.mdl,accessories,Accessories_headphonesheadbandstyleA_lod3.mdl,Accessories_headphonesheadbandstyleA_lod1.mdl,textures,Characters,placeholder_n.dds,V2||||EP9000-NPEQ00001_00-HEADBANDHE000485|UP9000-NPUQ00010_00-MALEHDBNDHDFONES|HP9000-NPHQ00001_00-000538|JP9002-NPJQ50000_00-000197
00000000-00000000-00000000-00060004|Over ear headphones||Male-HeadPhones|||D|6|S||T000||||||||||Accessories,Shared,accessories,Accessories_headphoneshookon_C.dds,textures,nonormals_N.dds,Characters,Accessories_headphoneshookon_lod3.mdl,V2,Accessories_headphoneshookon_lod2.mdl,Accessories_headphoneshookon_S.dds,Accessories_headphoneshookon_lod1.mdl|||||||
00000000-00000000-00000000-00060005|Neckband Headphones|Show your love for music in these neckband earphones.|Male-HeadPhones|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||Accessories,Accessories_headphonesstreetstyle_S.dds,generic,Accessories_headphonesstreetstyle_lod1.mdl,shared,Accessories_headphonesstreetstyle_lod3.mdl,accessories,placeholder_n.dds,Accessories_headphonesstreetstyle_C.dds,textures,Characters,Accessories_headphonesstreetstyle_lod2.mdl,V2||||EP9000-NPEQ00001_00-NECKBANDHE000162|UP9000-NPUQ00001_00-NECKBANDHEADHP01|HP9000-NPHQ00001_00-000262|JP9002-NPJQ50000_00-000059
000153CC-E3EB43F7-ACF3860D-B5A24A58|Knit Cat Ear Cap (Black, Men)|A knit cap with two cat ear-like bumps attached. Cuteness  |Male-HeadPhones|Granzella Inc.|1.75.0.85.PUB|P|6|L||T031|Gud||||||2143BB58-2E11468C-AA7648D5-F7417D3F,23B4279C-7B0545A0-9646265C-DE55C8A1|||placeholder_s.dds,v2,headphones_spring_knit_00_c.dds,shared,accessories,HeadPhones_spring_knit_00_lod1.mdl,characters,sourceimages,HeadPhones_spring_knit_00_lod3.mdl,generic,tools,headphones_spring_knit_00_n.dds,HeadPhones_spring_knit_00_lod2.mdl,06,textures,headphones|||||UT5012-NPUR00121_00-0002750000000000||
00071129-48E84135-AE185130-4094D8E0|Knit Beanie, Small (Brown, Men)|A knit cap with ear flaps. This type matches easily with thinner hairstyles. Warmth  |Male-HeadPhones|Granzella Inc.|1.70.0.93.PUB|P|9|L||T031|sigiyama||||||4B8D4C23-3FBB4958-B47F9844-F9C5C5B7|||headphones_nitcap_00_c.dds,headphones_nitcap_00_s.dds,v2,HeadPhones_nitcap_00_lod3.mdl,08,headphones_nitcap_00_n.dds,sourceimages,characters,HeadPhones_nitcap_00_lod2.mdl,headphones,HeadPhones_nitcap_00_lod1.mdl|||||UT5012-NPUR00120_00-GRANZELLAXXX5000||
001F8799-56E44299-A603AF92-BCA11F3B|Prehistoric Valley T-Rex Skull Hat (for Male)|Prehistoric Valley from Lockwood a time AND a place.|Male-HeadPhones|Lockwood|1.80.0.53.PUB|L|6|L||T032|Lockwood|||||||||skull_seat_d.dds,placeholder_s.dds,v2,cavemen,shared,characters,skull_seat_n.dds,island,dino,headphone_skull_lod3.mdl,lockwood,male,headphone_skull_lod1.mdl,generic,tools,headphone_skull_lod2.mdl,june,headphone,textures,2013|||||||
00318A0F-8E994AF7-BEC15A11-830AE158|Wizard Hat (Black, Men)|A wizard s pointed hat. Defensive Strength  Magic Power  |Male-HeadPhones|Granzella Inc.|1.70.0.93.PUB|P|6|L||T031|Gud||||||644740F4-D15D4F3C-992F2489-26491DC3,670ECBDB-D93A473E-8A37BE53-5B0A7C6E|||headphones_halloween_witch_00_n.dds,placeholder_s.dds,v2,shared,accessories,characters,sourceimages,HeadPhones_Halloween_witch_00_lod3.mdl,HeadPhones_Halloween_witch_00_lod1.mdl,HeadPhones_Halloween_witch_00_lod2.mdl,generic,tools,06,textures,headphones_halloween_witch_00_c.dds,headphones|||||UT5012-NPUR00120_00-0055000000000000||
00394712-A8014954-A372E264-0D054118|Hannya Mask (Men)|Mask resembling Hannya. Defensive Strength  |Male-HeadPhones|Granzella Inc.|1.70.0.93.PUB|L|9|L||T031|Tanaka|||||||||headphones_hannya_00_s.dds,v2,headphones,08,sourceimages,characters,headphones_hannya_00_c.dds,HeadPhones_hannya_00_lod3.mdl,HeadPhones_hannya_00_lod2.mdl,headphones_hannya_00_n.dds,HeadPhones_hannya_00_lod1.mdl|||||||
004056A1-3F0D4D7D-B9D7B038-2186616D|Mischievous Imp Horns (Black, Men)|Some mischievous imp horns. Magic Power  Cuteness  |Male-HeadPhones|Granzella Inc.|1.82.0.17.PUB|P|7|L||T031|Gud||||||29BFC9B5-1FB549A3-8686D6C1-0FB1A592|||v2,headphones_halloween2013_10_c.dds,headphones_halloween2013_10_n.dds,HeadPhones_halloween2013_10_lod3.mdl,accessories,characters,sourceimages,HeadPhones_halloween2013_10_lod2.mdl,06,HeadPhones_halloween2013_10_lod1.mdl,headphones,headphones_halloween2013_10_s.dds|||||UT5012-NPUR00121_00-0018500000000000||
00586F95-D1244E12-8FEDD73A-4CF8BC19|Red Oni Mask (Men)|Mask of red demon worn by demon actor on Setsubun holiday.|Male-HeadPhones|Granzella Inc.|1.70.0.93.PUB|L|9|L||T031|Hattori|||||||||HeadPhones_demon_mask_00_lod3.mdl,v2,glasses_demon_mask_00_s.dds,accessories,glasses_demon_mask_00_n.dds,characters,sourceimages,HeadPhones_demon_mask_00_lod1.mdl,glasses_demon_mask_00_c.dds,06,HeadPhones_demon_mask_00_lod2.mdl,headphones|||||||
