folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00070003|Both Silver Square Stud|Both Silver Square Stud|Male-Jewellery|Sony Computer Entertainment||P|5|S||T001||||||||||Accessories,Shared,jewellery_bothstudsquare_lod2.mdl,Jewellery,jewellery_bothstudsquare_lod1.mdl,textures,nonormals_N.dds,Characters,Generic01_Accessories_silver_C.dds,Generic,Generic01_Accessories_silver_S.dds,V2||||EP9000-NPEQ00001_00-SQUARESTUDBOTH00|UP9000-NPUQ00001_00-SQUARESTUDBOTH00|HP9000-NPHQ00001_00-000090|JP9002-NPJQ50000_00-002013
00000000-00000000-00000000-00070007|Left Square Stud||Male-Jewellery|||D|5|S||T000||||||||||Accessories,Shared,Jewellery,Generic01_Accessories_gold_S.dds,jewellery_leftstudsquare_lod2.mdl,textures,nonormals_N.dds,Characters,V2,Generic,jewellery_leftstudsquare_lod1.mdl,Generic01_Accessories_gold_C.dds|||||||
00000000-00000000-00000000-00070008|Right Square Stud||Male-Jewellery|||D|5|S||T000||||||||||Accessories,jewellery_rightstudsquare_lod2.mdl,Shared,Jewellery,Generic01_Accessories_gold_S.dds,textures,nonormals_N.dds,Characters,jewellery_rightstudsquare_lod1.mdl,V2,Generic,Generic01_Accessories_gold_C.dds|||||||
00000000-00000000-00000000-00070009|Both Gold Square Studs||Male-Jewellery|||D|5|S||T000||||||||||Accessories,Shared,jewellery_bothstudsquare_lod2.mdl,Jewellery,Generic01_Accessories_gold_S.dds,textures,nonormals_N.dds,Characters,jewellery_bothstudsquare_lod1.mdl,V2,Generic,Generic01_Accessories_gold_C.dds|||||||
001F8242-E250459F-8A651AC4-D65A8680|Treasure Earring (Emerald, Right Ear, Men)|This gem is a type of beryl that is tinged with a striking green colour. For the right ear. (Mohs hardness  8)|Male-Jewellery|Granzella Inc.|1.65.0.139.BETA|L|9|L||T031|Gud|||||||||jewelrightear_earring_03_n.dds,v2,accessories,characters,sourceimages,jewelrightear,06,JewelRightEar_earring_03_lod2.mdl,JewelRightEar_earring_03_lod3.mdl,JewelRightEar_earring_03_lod1.mdl,jewelrightear_earring_03_s.dds,jewelrightear_earring_03_c.dds|||||||
009590FA-8DEB465D-A6EB4130-529E0E4D|DNA (White) Earring (Right Men)|DNA (White) earring for the right ear. For male.|Male-Jewellery|O-Two inc.|1.70.0.93.PUB|A|6|L||T036|zura|||||||||v2,JewelRightEar_jewelDNAwhite_lod1.mdl,characters,jewelrightear,jewelrightear_jeweldnawhite_c.dds,textures,jewelrightear_jeweldnawhite_s.dds,jewelrightear_jeweldnawhite_n.dds,JewelRightEar_jewelDNAwhite_lod3.mdl,JewelRightEar_jewelDNAwhite_lod2.mdl|||||||
00EA281F-54114028-91647AD6-6C67E425|Birdman s Earmuffs (Left Male)|Birdman s Earmuffs (Left Male)|Male-Jewellery|IREM SOFTWARE ENGINEERING INC.|1.3.2.27.PUB|L|6|L||T031|cmn|||||||||jewelleftear_harpy_00_lod2.mdl,v2,jewelleftear_harpy_00_c.dds,jewelleftear,characters,sourceimages,jewelleftear_harpy_00_lod1.mdl,jewelleftear_harpy_00_n.dds,jewelleftear_harpy_00_lod3.mdl,jewelleftear_harpy_00_s.dds,06,accessories|||||||
01A68202-8A724FF4-91CDD9F7-CEA11623|DNA (Red) Earring (Right Men)|DNA (Red) earring for the right ear. For male.|Male-Jewellery|O-Two inc.|1.70.0.93.PUB|A|6|L||T036|zura|||||||||jewelrightear_jeweldnared_c.dds,JewelRightEar_jewelDNAred_lod3.mdl,jewelrightear_jeweldnared_s.dds,v2,jewelrightear_jeweldnared_n.dds,characters,jewelrightear,textures,JewelRightEar_jewelDNAred_lod1.mdl,JewelRightEar_jewelDNAred_lod2.mdl,male01|||||||
02A76FFF-5BC34A51-AF384EB8-9B4C886D|DNA (Legendary) Earring (Left Men)|Mutated DNA earring for the left ear. For male.|Male-Jewellery|O-Two inc.|1.70.0.93.PUB|A|6|L||T034|zura|||||||||jewelleftear_jeweldnapink_n.dds,v2,jewelleftear,JewelLeftEar_jewelDNApink_lod3.mdl,characters,JewelLeftEar_jewelDNApink_lod2.mdl,textures,jewelleftear_jeweldnapink_s.dds,JewelLeftEar_jewelDNApink_lod1.mdl,jewelleftear_jeweldnapink_c.dds|||||||
02B27F54-14FE4BE8-A8B9668B-54D2396D|Glow Eyebrow Spike - Pink (for Male)|Bright eyes, bright eyebrows.|Male-Jewellery|Lockwood|1.70.0.93.PUB|P|7|L||T033|Lockwood|||||||||placeholder_s.dds,lkwd,trends,v2,shared,jewelleftear,characters,lockwood,JewelLeftEar_SpikeyEyebrowBar_lod2.mdl,purplebase_d.dds,JewelLeftEar_SpikeyEyebrowBar_lod3.mdl,JewelLeftEar_SpikeyEyebrowBar_lod1.mdl,generic,tools,purpleglow_e.dds,general,female,textures,2013,february,placeholder_n.dds||||EP4127-NPER00050_00-GLOWEYEBRO000905|UT5000-NPUR00012_00-LKWDGLOWEYEBROWM|HT4001-NPHR00036_00-0001170000000000|JT4001-NPJR50210_00-AA03860000000000
