folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00040000|Jeans|Classic jeans|Male-Legs|||D|6|S||T001||||||||||placeholder_s.dds,generic,shared,Legs_regularjeans_lod1.mdl,Textures,Legs_regularjeans_blue_C.dds,Legs,Legs_regularjeans_lod3.mdl,Legs_regularjeans_N.dds,textures,Legs_regularjeans_lod2.mdl,Characters,V2,Male01|||||||
00000000-00000000-00000000-00040004|Green Cargo Pants|Whether you are looking to explore the outdoors or just want a great-looking pair of casual trousers, these green cargo-pants are the ones for you.|Male-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,generic,shared,Textures,Legs,Legs_cargopants_lod3.mdl,Legs_cargopants_green_C.dds,textures,Legs_cargopants_lod1.mdl,Legs_cargopants_N.dds,Characters,V2,Legs_cargopants_lod2.mdl|||||UP9000-NPUQ00010_00-MLCARGOPNTSGREEN|HP9000-NPHQ00001_00-0007480000000000|JP9002-NPJQ50000_00-0002630000000000
00000000-00000000-00000000-00040005|Beige Cargo Pants|Functional and stylish beige cargo-pants.|Male-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,generic,shared,Textures,Legs,Legs_cargopants_beige_C.dds,Legs_cargopants_lod3.mdl,textures,Legs_cargopants_lod1.mdl,Legs_cargopants_N.dds,Characters,V2,Legs_cargopants_lod2.mdl|||||UP9000-NPUQ00010_00-MLCARGOPNTSBEIGE|HP9000-NPHQ00001_00-0007460000000000|JP9002-NPJQ50000_00-0002610000000000
00000000-00000000-00000000-00040006|Black Cargo Pants|For night manoeuvres or for relaxing in your personal space these black cargo pants are perfect.|Male-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,generic,shared,Legs_cargopants_black_C.dds,Textures,Legs,Legs_cargopants_lod3.mdl,textures,Legs_cargopants_lod1.mdl,Legs_cargopants_N.dds,Characters,V2,Legs_cargopants_lod2.mdl|||||UP9000-NPUQ00010_00-MLCARGOPNTSBLACK|HP9000-NPHQ00001_00-0007470000000000|JP9002-NPJQ50000_00-0002620000000000
00000000-00000000-00000000-00040007|Cargo Pants||Male-Legs|||D|6|S||T000||||||||||placeholder_s.dds,generic,shared,Textures,Legs,Legs_cargopants_lod3.mdl,Legs_cargopants_camoj_C.dds,textures,Legs_cargopants_lod1.mdl,Legs_cargopants_N.dds,Characters,V2,Legs_cargopants_lod2.mdl|||||||
00000000-00000000-00000000-00040008|Urban-Camo Cargo Pants|Whether exploring the great outdoors or lounging about, these camouflage cargo pants are perfect.|Male-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,generic,shared,Textures,Legs,Legs_cargopants_lod3.mdl,Legs_cargopants_camou_C.dds,textures,Legs_cargopants_lod1.mdl,Legs_cargopants_N.dds,Characters,V2,Legs_cargopants_lod2.mdl||||EP9000-NPEQ00001_00-URBANCAMOC000524|UP9000-NPUQ00010_00-MLCARGOPNTSURBNC|HP9000-NPHQ00001_00-0007450000000000|JP9002-NPJQ50000_00-0002600000000000
00000000-00000000-00000000-00040013|Sweat Pants||Male-Legs|||D|6|S||T001||||||||||placeholder_s.dds,generic,shared,Textures,Legs,Legs_yogapants_red_C.dds,Legs_yogapants_lod3.mdl,Legs_yogapants_lod2.mdl,textures,Characters,Legs_yogapants_N.dds,Legs_yogapants_lod1.mdl,V2|||||||
00000000-00000000-00000000-00040017|Drainpipe Jeans|Skintight, drainpipe jeans.|Male-Legs|Sony Computer Entertainment||P|6|S||T001|PlayStation Home|||||||||placeholder_s.dds,Legs_drainpipejeans_N.dds,generic,shared,Textures,Legs_drainpipejeans_lod1.mdl,Legs,Legs_drainpipejeans_lod2.mdl,Legs_drainpipejeans_lod3.mdl,textures,Characters,V2,Legs_drainpipejeans_worn_C.dds,Male01||||EP9000-NPEQ00001_00-DRAINPIPEJEAN000|UP9000-NPUQ00001_00-DRAINPIPEJEAN000|HP9000-NPHQ00001_00-DRAINPIPEJEAN000|JP9002-NPJQ50000_00-DRAINPIPEJEAN000
00000000-00000000-00000000-00040022|Regular Trousers|Regular Trousers|Male-Legs|||D|6|S||T000||||||||||Legs_regulartrousers_N.dds,placeholder_s.dds,Legs_khakis_lod3.mdl,generic,Legs_regulartrousers_khaki_C.dds,shared,Textures,Legs_khakis_lod1.mdl,Legs,textures,Characters,Legs_khakis_lod2.mdl,V2,Male01|||||||
00000000-00000000-00000000-00040026|Smart Trousers|Smart Trousers|Male-Legs|Sony Computer Entertainment||P|6|S||T000||||||||||placeholder_s.dds,Legs_dresstrousers_lod3.mdl,generic,shared,Textures,Legs,Legs_dresstrousers_grey_C.dds,textures,Legs_dresstrousers_lod2.mdl,Legs_dresstrousers_lod1.mdl,Legs_dresstrousers_N.dds,Characters,V2,Grey|||||||
00000000-00000000-00000000-00040027|Tartan Corduroy Jeans|The free-spirited amongst us need look no further than these red tartan corduroy jeans.|Male-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,v2,shared,Legs,characters,legs_jeanscorduroy_n.dds,legs,Characters,Legs_jeanscorduroy_lod3.mdl,V2,generic,textures,legs_jeanscorduroy_tartan_c.dds,Legs_jeanscorduroy_lod2.mdl,Legs_jeanscorduroy_lod1.mdl||||EP9000-NPEQ00001_00-TARTANCORD000523|UP9000-NPUQ00010_00-MLCORDUROYJNSTRT|HP9000-NPHQ00001_00-0007430000000000|JP9002-NPJQ50000_00-0002580000000000
00000000-00000000-00000000-00040028|Red Corduroy Jeans|Stand out from the crowd with these attention-grabbing red corduroy jeans.|Male-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,Legs_jeanscorduroy_N.dds,generic,shared,Textures,Legs,textures,Legs_jeanscorduroy_lod2.mdl,Legs_jeanscorduroy_red_C.dds,Legs_jeanscorduroy_lod3.mdl,Characters,Legs_jeanscorduroy_lod1.mdl,V2|||||UP9000-NPUQ00010_00-MLCORDUROYJNSRED|HP9000-NPHQ00001_00-0007420000000000|JP9002-NPJQ50000_00-0002570000000000
00000000-00000000-00000000-00040030|White Corduroy Jeans|Classic wear-anywhere white corduroy jeans.|Male-Legs|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,Legs_jeanscorduroy_white_C.dds,Legs_jeanscorduroy_N.dds,generic,shared,Textures,Legs,textures,Legs_jeanscorduroy_lod2.mdl,Characters,Legs_jeanscorduroy_lod3.mdl,Legs_jeanscorduroy_lod1.mdl,V2|||||UP9000-NPUQ00010_00-MLCORDUROYJNSWHT|HP9000-NPHQ00001_00-0007440000000000|JP9002-NPJQ50000_00-0002590000000000
00000000-00000000-00000000-00040031|Leather Pants|Heavy duty leather pants. Essential for that biker look.|Male-Legs|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||Legs_leatherjeans_lod3.mdl,Legs_leatherjeans_S.dds,Textures,Legs,Legs_leatherjeans_N.dds,Legs_leatherjeans_lod1.mdl,Black Jeans,Legs_leatherjeans_lod2.mdl,Characters,V2,Legs_leatherjeans_C.dds|||||||
00000000-00000000-00000000-00040033|Black Cargo Shorts|Versatile black cargo shorts. Dress up with a short-sleeved shirt or down with a distressed T-shirt.|Male-Legs|Sony Computer Entertainment|1.3.0.285.CORE|P|7|S||T034||||||||||Legs_shorts_lod1.mdl,placeholder_s.dds,v2,shared,Legs,characters,legs,Legs_shorts_lod2.mdl,Characters,legs_cargopants_black_c.dds,generic,skin_body_n.dds,Legs_shorts_lod3.mdl,textures,V2,legs_shorts_n.dds|||||UP9000-NPUQ00010_00-MLCARGOSHRTBLACK|HP9000-NPHQ00001_00-0007520000000000|JP9002-NPJQ50000_00-0002670000000000
00000000-00000000-00000000-00040034|Jungle-Camo Cargo Shorts|You don t need to be exploring the jungle to enjoy these great-looking cargo shorts.|Male-Legs|Sony Computer Entertainment|1.3.0.285.CORE|P|7|S||T038||||||||||Legs_shorts_lod1.mdl,placeholder_s.dds,v2,shared,Textures,Legs,characters,legs,Legs_shorts_lod2.mdl,Characters,Legs_shorts_camoj_C.dds,generic,skin_body_n.dds,Legs_shorts_lod3.mdl,textures,V2,legs_shorts_n.dds||||EP9000-NPEQ00001_00-JUNGLECAMO000525|UP9000-NPUQ00010_00-MLCARGOSHRTJUNGL|HP9000-NPHQ00001_00-0007510000000000|JP9002-NPJQ50000_00-0002660000000000
00000000-00000000-00000000-00040035|Cargo Shorts|Casual cargo shorts, with large side pockets, perfect for a summer s day.|Male-Legs|Sony Computer Entertainment|1.3.0.285.CORE|P|7|S||T034|PlayStation Home|||||||||Legs_shorts_lod1.mdl,placeholder_s.dds,v2,shared,Legs,characters,legs,Legs_shorts_lod2.mdl,Characters,generic,skin_body_n.dds,Legs_shorts_lod3.mdl,legs_shorts_camou_c.dds,textures,V2,legs_shorts_n.dds||||EP9000-NPEQ00001_00-SHORTSURBANCAMO0|UP9000-NPUQ00001_00-SHORTSURBANCAMO0|HP9000-NPHQ00001_00-SHORTSURBANCAMO0|JP9002-NPJQ50000_00-SHORTSURBANCAMO0
00000000-00000000-00000000-00040036|Green Cargo Shorts|Green cargo shorts. Ideal for the active layabout.|Male-Legs|Sony Computer Entertainment|1.3.0.285.CORE|P|7|S||T034||||||||||Legs_shorts_lod1.mdl,placeholder_s.dds,v2,shared,Legs,characters,legs,Legs_shorts_lod2.mdl,Characters,legs_cargopants_green_c.dds,generic,skin_body_n.dds,Legs_shorts_lod3.mdl,textures,V2,legs_shorts_n.dds|||||UP9000-NPUQ00010_00-MLCARGOSHRTGREEN|HP9000-NPHQ00001_00-0007490000000000|JP9002-NPJQ50000_00-0002640000000000
00000000-00000000-00000000-00040037|Grey Cargo Shorts|Versatile grey cargo shorts. Whether you re on the go or just kicking-back.|Male-Legs|Sony Computer Entertainment|1.3.0.285.CORE|P|7|S||T034||||||||||Legs_shorts_lod1.mdl,legs_shorts_grey_c.dds,placeholder_s.dds,v2,shared,Legs,characters,legs,Legs_shorts_lod2.mdl,Characters,generic,skin_body_n.dds,Legs_shorts_lod3.mdl,textures,V2,legs_shorts_n.dds|||||UP9000-NPUQ00010_00-MLCARGOSHRTGREY1|HP9000-NPHQ00001_00-0007500000000000|JP9002-NPJQ50000_00-0002650000000000
00000000-00000000-00000000-00040039|Baggy Jeans||Male-Legs|||D|9|S||T001||||||||||Legs_baggyjeans_lod3.mdl,legs_baggyjeans_n.dds,placeholder_s.dds,v2,shared,Legs,characters,legs,generic01_accessories_belt01_n.dds,Characters,V2,Legs_baggyjeans_lod2.mdl,generic,generic01_accessories_belt01_s.dds,Legs_baggyjeans_lod1.mdl,textures,generic01_accessories_belt01_c.dds,legs_baggyjeans_brown_c.dds,accessories|||||||
00000000-00000000-00000000-00040040|Baggy Jeans|Low slung, baggy, faded blue denim jeans for that relaxed urban style.|Male-Legs|Sony Computer Entertainment||P|9|S||T000|PlayStation Home|||||||||Legs_baggyjeans_lod3.mdl,placeholder_s.dds,legs_baggyjeans_n.dds,v2,shared,Legs,characters,legs,generic01_accessories_belt01_n.dds,Characters,V2,Legs_baggyjeans_lod2.mdl,belt,generic,legs_baggyjeans_blue_c.dds,generic01_accessories_belt01_s.dds,Legs_baggyjeans_lod1.mdl,textures,generic01_accessories_belt01_c.dds,accessories|||||||
00000000-00000000-00000000-00040051|Jeans with Turnups|Simple, comfortable turn-up jeans.|Male-Legs|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||Legs_jeansturnups_lod3.mdl,placeholder_s.dds,v2,shared,Legs,characters,legs,Legs_jeansturnups_lod1.mdl,legs_jeansturnups_n.dds,Characters,generic,legs_jeansturnups_black_c.dds,Legs_jeansturnups_lod2.mdl,textures,V2||||EP9000-NPEQ00001_00-JEANSTURNIPSBLAC|UP9000-NPUQ00001_00-JEANSTURNIPSBLAC|HP9000-NPHQ00001_00-JEANSTURNIPSBLAC|JP9002-NPJQ50000_00-JEANSTURNIPSBLAC
00021D6E-0B504C3E-92CF4B7A-6E8DB6B1|Baseball Shorts - Cemetery Shadows (for Male)|Batter up. Whose side are you on. Sponsored by Double Time - Hitting sportswear out of the park.|Male-Legs|Lockwood|1.52.0.2.PUB|P|7|L||T033|Lockwood||||||CC68B934-BC23403C-B9397CAC-04B69C30|||doubletime,Legs_Baseball_lod3.mdl,v2,shared,characters,legs,lockwood,legs_s.dds,2011,male,legs_n.dds,generic,tools,skin_body_n.dds,baseballplayer,legs_world_series_d.dds,Legs_Baseball_lod2.mdl,june,textures,Legs_Baseball_lod1.mdl||||EP4127-NPER00014_00-BASEBALLSH001320|UT5000-NPUR00010_00-OUTSOOCTDTSHOCSM|HT4001-NPHR00012_00-0012700000000000|JT4001-NPJR50210_00-AA01610000000000
000799AF-B921423B-BEEDF8AA-6E064E55|Chain Leather Pants|Features a literally heavy metal belt.|Male-Legs|Sony Computer Entertainment||P|6|S||T031|Matt Forehand|||||||||legs_metalheadpantslegs_c.dds,aap9,Legs,Legs_metalheadpantslegs_lod2.mdl,Legs_metalheadpantslegs_lod3.mdl,legs_metalheadpantslegs_sl.dds,Characters,legs_metalheadpantslegs_n.dds,metalheadpantslegs,V2,import,Legs_metalheadpantslegs_lod1.mdl,Male01|||||UP9000-NPUQ00001_00-MCHAINLETHRPANTS||
0048BA48-024C4662-AD1E9813-13C26C97|Billabong - Conquest Boardshorts - Royal (Men)|When domination is the call, the Conquest boardshort should be your first line of defense. You ll power through the sets with unrestricted movement. Plus, its rapid dry time will keep you from being dragged down. Details include an engineered print and a wave applique.|Male-Legs|VEEMEE|1.86.0.17.PUB|P|7|L||T031|nick||||||50572C29-B0B64B9B-A6B2F03B-CE3FAA6F|||conquestboardshorts_roy_c.dds,placeholder_s.dds,v2,generic,tools,Legs_ConquestBoardshorts_lod3.mdl,skin_body_n.dds,shared,characters,legs,Legs_ConquestBoardshorts_lod1.mdl,Legs_ConquestBoardshorts_lod2.mdl,textures,conquestboardshorts_n.dds||||EP4065-NPER00071_00-BILLABONGC001285|UT5002-NPUR00030_00-0053710000000000||
0055D203-8D094678-92DEA8C7-13A15F41|Football uniform, Bottom (Navy blue, Men)|A uniform bottom worn by a football player. Defensive strength  Stylishness  |Male-Legs|Granzella Inc.|1.70.0.93.PUB|P|7|L||T031|shimizu|||||||||v2,legs_soccer_uniform_06_c.dds,shared,characters,legs,sourceimages,Legs_soccer_uniform_00_lod2.mdl,generic,tools,skin_body_n.dds,Legs_soccer_uniform_00_lod1.mdl,legs_soccer_uniform_06_s.dds,Legs_soccer_uniform_00_lod3.mdl,textures,03,legs_soccer_uniform_00_n.dds||||||HP0025-NPHR00021_00-0025500000000000|
