folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
000578F8-7DF84895-A1CA00A8-D41F64CA|Mutt Williams Costume|(Torso pants shoes) Once again the diner was in turmoil - a few greasers felt they had a right to the table they were at - one of the college guys felt otherwise, and here I was stuck in the middle of it all. I knew the cops would be here soon, and even though I hadn t gotten involved in the small-scale war that was taking place, I knew they d bust me regardless. After all, I picked my side when I purchased the Mutt Williams avatar outfit. At least it looks like it ll be a good brawl.|Male-Outfit|LucasArts|1.3.5.121.PUB|P|15|L||T031|LucasArts||||||9948391E-A92A4CBB-B14005B0-F092C982|||torsolegsfeet_muttwilliams_lod3.mdl,torso_mutt_wiliams_clothes_s.dds,v2,torso_mutt_wiliams_trousers_n.dds,torso_mutt_wiliams_clothes_n.dds,torso_mutt_wiliams_clothes_c.dds,characters,torsolegsfeet_muttwilliams_lod2.mdl,textures,torso_mutt_wiliams_trousers_s.dds,torsolegsfeet_muttwilliams_lod1.mdl,torsolegsfeet,torso_mutt_wiliams_trousers_c.dds||||EP1010-NPER00024_00-MUTTWILLIA000080|UP1010-NPUR30060_00-LECIJMUTTTOPM001||
00907898-E2374EF0-82154983-8935CE67|Urban Camo - Rock 1|Hide in plain sight. Grab some friends and change the look of any place with this Urban Camo.|Male-Outfit|Konami Digital Entertainment, Inc.|1.55.0.155.BETA2|P|21|L||T031|Virtuos Holdings Ltd.||||||0C9471F2-7F7F4A9E-B97C0C55-561C360D,2E40D901-5BC84616-B24CE694-42068915,34A95CD6-B26D4805-8EB1130C-B9A56C59,3F104CFC-5FED40E0-A5B5BA4E-292EB504,46AF0933-914C4AB3-9CAFB4F6-94A9C342,6A191796-9CDA40FF-96CB6FFA-64C34670,6AD2DEDB-7FED4B36-934CEFCC-1C458A87,82CDB94C-605544AB-A06C2988-7D6B90A9,E288F863-7F1C43D9-887C8CEE-69E3B1BA,E75AB803-B1564CB9-92C2F6F4-94FBF0D4|||fullbodysuit_jeans_c.dds,placeholder_s.dds,v2,fullbodysuit_rock1_n.dds,plainsight,00907898-E2374EF0-82154983-8935CE67,PlainSight_Sneak.ani,shared,characters,FullBodySuit_Rock1_lod1.mdl,fullbodysuit_rock1_s.dds,FullBodySuit_Rock1_lod2.mdl,fullbodysuit_jeans_n.dds,fullbodysuit_shoes_n.dds,repertoire.xml,fullbodysuit_rock1_c.dds,generic,tools,FullBodySuit_Rock1_lod3.mdl,animation,fullbodysuit,textures,PlainSight_Hidden.ani,PlainSight_Run.ani,objects,hidden,emotes.xml,fullbodysuit_shoes_c.dds,PlainSight_HiddenBAKED.ani||||EP0101-NPER00034_00-URBANCAMOR000368|UP0101-NPUR30230_00-KDEUCROCKM000001||
009310DE-67CA4C26-A6920053-D033CF24|Bath Towel (light Blue For Sandy Beach PS Male)|Bath Towel (light Blue For Sandy Beach PS Male)|Male-Outfit|Granzella Inc.|1.65.0.139.BETA|U|13|L||T031|shimizu|||||||||v2,shared,TorsoLegs_BathTowel_11_lod3.mdl,characters,sourceimages,torsolegs,troso,torso_bathtowel_11_c.dds,torso_bathtowel_11_n.dds,legs_bathtowel_11_s.dds,generic,tools,skin_body_n.dds,02,03,legs_bathtowel_11_c.dds,textures,TorsoLegs_BathTowel_11_lod2.mdl,TorsoLegs_BathTowel_11_lod1.mdl,torso_bathtowel_11_s.dds,legs_bathtowel_11_n.dds|||||||
00943231-C62E4042-90E3992B-EC250BFF|Bath Towel (Pink For Beach PS Male)|Bath Towel (Pink For Beach PS Male)|Male-Outfit|Granzella Inc.|1.65.0.139.BETA|U|13|S||T031|shimizu|||||||||v2,shared,TorsoLegs_BathTowel_11_lod3.mdl,characters,sourceimages,torsolegs,legs_bathtowel_12_c.dds,troso,torso_bathtowel_11_n.dds,legs_bathtowel_11_s.dds,torso_bathtowel_12_c.dds,generic,skin_body_n.dds,tools,02,03,textures,TorsoLegs_BathTowel_11_lod2.mdl,TorsoLegs_BathTowel_11_lod1.mdl,torso_bathtowel_11_s.dds,legs_bathtowel_11_n.dds|||||||
009A523B-9B344752-80C1E7B7-D29E1C66|Spunland Spun Suit Purple (male)|Dress yourself in true Spun style with the Spunland Spun Suit.|Male-Outfit|madmunki|1.80.0.53.PUB|P|9|L||T032|munki||||||1EAE7D69-10624601-B2B4F0B8-BD1FA0A2|||FullBodySuit_icon_purple_lod1.mdl,placeholder_s.dds,v2,sharedtextures,generic,tools,spunland_d_purple.dds,characters,target_purple_male.dds,fullbodysuit,spunland,placeholder_n.dds,FullBodySuit_icon_purple_lod3.mdl,FullBodySuit_icon_purple_lod2.mdl||||EP4393-NPER00062_00-SPUNLANDSP000103|UT5032-NPUR00280_00-0000880000000000||
00A216AD-184548CD-AA6A70F2-7E96F7CB|Plate Armour (Silver, Men)|Western-style armour made with metal plates. Defensive Strength  + Gorgeousness  |Male-Outfit|Granzella Inc.|1.80.0.53.PUB|P|13|L||T031|shimizu||||||243DD48E-BF614A42-9EF2DC3F-18749F0F|||v2,09,shared,characters,torsolegs_knight_00_0_n.dds,sourceimages,torsolegs,TorsoLegs_knight_00_lod3.mdl,TorsoLegs_knight_00_lod2.mdl,torsolegs_knight_00_0_c.dds,generic,tools,torsolegs_knight_00_1_n.dds,TorsoLegs_knight_00_lod1.mdl,skin_body_n.dds,torsolegs_knight_00_1_c.dds,textures,torsolegs_knight_00_1_s.dds,torsolegs_knight_00_0_s.dds|||||UT5012-NPUR00121_00-0016410000000000||
0101253B-8D9F4E80-8D0FDD26-F9671549|Haori Hakama with Crest (Ink Black, Men)|Customary outfit for men worn on formal occasions. Defensive Strength  Luckiness  |Male-Outfit|Granzella Inc.|1.70.0.93.PUB|P|10|L||T032|shimizu||||||4C043A5A-E6B34138-8D23BEB7-AA9CFB56|||torsolegs_hakama_0_00_c.dds,TorsoLegs_gz_hakama_00_lod1.mdl,v2,09,shared,torsolegs_hakama_1_00_s.dds,torsolegs_hakama_1_00_n.dds,torsolegs_hakama_1_00_c.dds,torsolegs_hakama_0_00_n.dds,characters,sourceimages,torsolegs,TorsoLegs_gz_hakama_00_lod2.mdl,generic,tools,TorsoLegs_gz_hakama_00_lod3.mdl,skin_body_n.dds,torsolegs_hakama_0_00_s.dds,textures,male01|||||UT5012-NPUR00120_00-GRNZXMASNYEX3744||
0101408C-92004109-99951C90-C4769260|Bath Towel (Red For Beach PS Male)|Bath Towel (Red For Beach PS Male)|Male-Outfit|Granzella Inc.|1.65.0.139.BETA|U|13|L||T031|shimizu|||||||||v2,shared,TorsoLegs_BathTowel_11_lod3.mdl,characters,legs_bathtowel_13_c.dds,sourceimages,torsolegs,troso,torso_bathtowel_11_n.dds,legs_bathtowel_11_s.dds,torso_bathtowel_13_c.dds,generic,skin_body_n.dds,tools,02,03,textures,TorsoLegs_BathTowel_11_lod2.mdl,TorsoLegs_BathTowel_11_lod1.mdl,torso_bathtowel_11_s.dds,legs_bathtowel_11_n.dds|||||||
01041645-F64E4A1E-906E131B-C31C17E7|Bath Towel (for Beach PS Yellow Green Male)|Bath Towel (for Beach PS Yellow Green Male)|Male-Outfit|Granzella Inc.|1.65.0.139.BETA|U|13|S||T031|shimizu|||||||||v2,shared,TorsoLegs_BathTowel_11_lod3.mdl,characters,sourceimages,torsolegs,troso,torso_bathtowel_11_n.dds,legs_bathtowel_14_c.dds,legs_bathtowel_11_s.dds,generic,tools,skin_body_n.dds,02,03,textures,TorsoLegs_BathTowel_11_lod2.mdl,torso_bathtowel_14_c.dds,TorsoLegs_BathTowel_11_lod1.mdl,torso_bathtowel_11_s.dds,legs_bathtowel_11_n.dds|||||||
01074088-7C1F45DF-97784FF9-21B7F30D|Secret Agent Male - Stealth Suit|No matter what nefarious plots are waiting around the corner, you know you ll save the world in style. You have all the tools an agent needs to infiltrate any location. Gun, knife, harpoon gun, you ve got a license to thrill as an International Man of Mystery.|Male-Outfit|Konami Digital Entertainment, Inc.|1.65.0.139.BETA|P|41|L||T031|WLim|||||||||v2,secretsneak_gun_c.dds,secretsneak_body_c.dds,SecretAgent_CrawlSlow.ani,secretsneak_goggle_s.dds,shared,characters,white.dds,SecretAgent_GoggleIdle.ani,SecretAgent_KnifeAttack.ani,repertoire.xml,SecretAgent_HarpoonFire.ani,tools,FullBodySuit_SecretAgent_Sneak_lod3.mdl,secretsneak_pack_n.dds,secretsneak_gun_n.dds,SecretAgent_Walk.ani,SecretAgent_Run.ani,animation,belts_s.dds,glowinner.dds,fullbodysuit,gun_pouch_s.dds,gun_pouch_n.dds,secretsneak_knife_s.dds,belts_n.dds,placeholder_n.dds,FullBodySuit_SecretAgent_Sneak_lod1.mdl,emotes.xml,gun_pouch_c.dds,secretsneak_knife_c.dds,halloween2012,secretsneak_pack_s.dds,secretsneak_body_s.dds,SecretAgent_Idle.ani,grey.dds,belts_c.dds,objects,generic,secretsneak_goggle_n.dds,black10_20a.dds,secretsneak_pack_c.dds,secretagent,secretsneak_knife_n.dds,white_50a.dds,secretsneak_body_n.dds,sneak,01074088-7C1F45DF-97784FF9-21B7F30D,textures,FullBodySuit_SecretAgent_Sneak_lod2.mdl,SecretAgent_Gunpoint.ani,secretsneak_goggle_c.dds||||EP0101-NPER00034_00-SECRETAGEN000771|UP0101-NPUR30230_00-KDESECRTSTLTHMOF||
