folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-00030000|T-Shirt|Classic T-Shirt|Male-Torso|||D|7|S||T000||||||||||Torso_tshirt_white_C.dds,placeholder_s.dds,Shared,generic,shared,Textures,Torso_tshirt_lod2.mdl,White,textures,Torso_tshirt_lod1.mdl,Torso_tshirt_N.dds,Characters,Torso,Torso_tshirt_lod3.mdl,skin_body_N.dds,V2|||||||
00000000-00000000-00000000-00030002|Home T-Shirt|Classic Home T-Shirt|Male-Torso|||D|7|S||T001||||||||||placeholder_s.dds,Shared,shared,Textures,Torso_tshirt_orange_C.dds,Torso_tshirt_lod1.mdl,Characters,Torso,Torso_tshirt_N.dds,skin_body_N.dds,V2,generic,Torso_tshirt_lod2.mdl,textures,Torso_tshirt_lod3.mdl|||||||
00000000-00000000-00000000-00030012|Sweatshirt||Male-Torso|||D|6|S||T000||||||||||placeholder_s.dds,Torso_longsleevetshirt_N.dds,generic,shared,Textures,torso_longsleevetshirt_lod1.mdl,torso_longsleevetshirt_lod2.mdl,Torso_longsleevetshirt_grey_C.dds,textures,torso_longsleevetshirt_lod3.mdl,Characters,Torso,Long Sleeve T-Shirt Grey,V2,Male01|||||||
00000000-00000000-00000000-00030017|Polo Shirt||Male-Torso|||D|7|S||T000||||||||||placeholder_s.dds,Green,Shared,generic,torso_poloshirt_lod1.mdl,shared,Textures,torso_poloshirt_lod3.mdl,textures,Torso_poloshirt_green_C.dds,Characters,Torso,V2,Torso_poloshirt_N.dds,skin_body_N.dds,torso_poloshirt_lod2.mdl|||||||
00000000-00000000-00000000-00030023|White Hooded Top|A casual white hooded top with front pocket. Perfect for those colder days.|Male-Torso|Sony Computer Entertainment||P|6|S||T034||||||||||placeholder_s.dds,torso_hoodie_lod2.mdl,torso_hoodie_lod1.mdl,torso_hoodie_white_C.dds,generic,shared,Textures,torso_hoodie_lod3.mdl,textures,Characters,Torso,V2,torso_hoodie_N.dds||||EP9000-NPEQ00001_00-WHITEHOODE000469|UP9000-NPUQ00010_00-MALEWHTHOODEDTOP|HP9000-NPHQ00001_00-000522|JP9002-NPJQ50000_00-000192
00000000-00000000-00000000-00030025|Black Hooded Top|A casual black hooded top with front pocket. Perfect for those colder days.|Male-Torso|Sony Computer Entertainment||P|6|S||T034||||||||||torso_hoodie_black_C.dds,torso_hoodie_lod2.mdl,placeholder_s.dds,torso_hoodie_lod1.mdl,generic,shared,Textures,torso_hoodie_lod3.mdl,textures,Characters,Torso,V2,torso_hoodie_N.dds||||EP9000-NPEQ00001_00-BLACKHOODE000462|UP9000-NPUQ00010_00-MALEBLKHOODEDTOP|HP9000-NPHQ00001_00-000515|JP9002-NPJQ50000_00-000185
00000000-00000000-00000000-00030026|Green Hooded Top|A casual green hooded top with front pocket. Perfect for those colder days.|Male-Torso|Sony Computer Entertainment||P|6|S||T034||||||||||torso_hoodie_lod2.mdl,placeholder_s.dds,torso_hoodie_lod1.mdl,generic,shared,Textures,torso_hoodie_lod3.mdl,textures,Characters,Torso,V2,torso_hoodie_green_C.dds,torso_hoodie_N.dds||||EP9000-NPEQ00001_00-GREENHOODE000461|UP9000-NPUQ00010_00-MALEGRNHOODEDTOP|HP9000-NPHQ00001_00-000514|JP9002-NPJQ50000_00-000184
00000000-00000000-00000000-00030027|Hooded Top|A casual hooded top with front pocket. Perfect for those colder days.|Male-Torso|Sony Computer Entertainment||P|6|S||T000|PlayStation Home|||||||||torso_hoodie_lod2.mdl,placeholder_s.dds,torso_hoodie_lod1.mdl,generic,shared,Textures,torso_hoodie_lod3.mdl,textures,Characters,Torso,V2,torso_hoodie_grey_C.dds,torso_hoodie_N.dds||||EP9000-NPEQ00001_00-HOODEDTOPGREY000|UP9000-NPUQ00001_00-HOODEDTOPGREY000|HP9000-NPHQ00001_00-HOODEDTOPGREY000|JP9002-NPJQ50000_00-HOODEDTOPGREY000
00000000-00000000-00000000-00030028|Jungle-Camo Hooded Top|A casual jungle camo hooded top with front pocket. Perfect for those colder days.|Male-Torso|Sony Computer Entertainment||P|6|S||T034||||||||||torso_hoodie_lod2.mdl,placeholder_s.dds,torso_hoodie_lod1.mdl,generic,shared,Textures,torso_hoodie_lod3.mdl,torso_hoodie_jcamo_C.dds,textures,Characters,Torso,V2,torso_hoodie_N.dds||||EP9000-NPEQ00001_00-JUNGLECAMO000463|UP9000-NPUQ00010_00-MALECMOHOODEDTOP|HP9000-NPHQ00001_00-000516|JP9002-NPJQ50000_00-000186
00000000-00000000-00000000-00030029|Urban-Camo Hooded Top|A casual urban camo hooded top with front pocket. Perfect for those colder days.|Male-Torso|Sony Computer Entertainment||P|6|S||T034||||||||||torso_hoodie_lod2.mdl,placeholder_s.dds,torso_hoodie_lod1.mdl,generic,shared,Textures,torso_hoodie_lod3.mdl,torso_hoodie_ucamo_C.dds,textures,Characters,Torso,V2,torso_hoodie_N.dds||||EP9000-NPEQ00001_00-URBANCAMOH000468|UP9000-NPUQ00010_00-MALEURBHOODEDTOP|HP9000-NPHQ00001_00-000521|JP9002-NPJQ50000_00-000191
