folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0033A3B3-8FBE4F40-9C0A1197-27CDE015|Phantom|Phantom|Minigames-Minigame|IREM SOFTWARE ENGINEERING INC.|1.3.2.27.PUB|U|22|P|||IREM SOFTWARE ENGINEERING INC.||||||SpelunkerLounge_B01F_99B6_274A|||Ghost.lua,Eff_skull_01.efx,ItemMark,sound,April2010,sourceimages,B1_ItemMark.lua,RBGM003.mp3,V8Lounge,99,B1_gameover_font.dds,GhostCtrl.lua,jp,B1,bspline.lua,Minigame,Box.lua,scenes,April2010.lua,E_Ghost_D.mdl,af_afte_skeletons_b.ani,Date,af_afte_skeletons_a.ani,af_afte_skeletons_b.mdl,E_Ghost_D.skn,Death.bnk,B1_Death.lua,soft,E_Ghost_D.ani,af_afte_skeletons_a.skn,af_afte_skeletons_a.mdl,af_afte_skeletons_b.skn,ATGParticles,Efx,chr,Ghost,Death,BGMCtrl.lua,design,GhostMain.lua,MiniGames|||||||
004E6146-4CAF4DD3-AAD0BF28-B90B335A|Media Tutorial|An Introduction to the Hollywood Hills House.|Minigames-Minigame| 2009 Loot. All Rights Reserved.|1.80.0.53.PUB|U|6|L||T041|Richard Bisso||||||Hllywd_Night_Apt_11B4_F050,Hllywd_Night_Club_3A08_2ED1,Hollywood_Hills_Club_C8A5_505B,PUB_Hollywood_Hills_2D44_46FA,SCEA_Hollywood_Hills_3AFC_6A61|||Assets,basicchip.xml,basiclegend.xml,mediaapttutorial,home,MediaAptTutorial,environments,types.xml,minigames,theater,textpanel.xml,pad,OSD,screentutorial.mdl,main_hhh_tutorial.luac,MiniGames|||||||
006D5E10-9C594A99-B61F40FF-343706DF|DataStation(School PS)|DataStation(School PS)|Minigames-Minigame||1.75.0.85.PUB|U|14|P|||maru||||||GzSchl_Lounge_PS_JP_F34_543|||lua,LG,PhaseCtrl.lua,lib,home,soft,00,MgData.lua,PhaseCmn.lua,AsyncCommandJobManager.lua,UtilDebug.lua,dataStation.lua,gzschool,jp,MgMain.lua,PSDataStation,UtilResource.lua,Log.lua,PhaseList.lua,dataInterface.lua,MiniGame.lua,gzcmn,UtilInventory.lua,UtilFunc.lua|||||||
0081B161-AD21424B-AF16E0FD-DE36A222|Avatar Effects (Spring)|Minigame That Detects Certain Outfits And Generates Effects|Minigames-Minigame||1.60.0.450.BETA|U|21|S||T031|s091347|||||||||server_propaty.luac,lua,MiniGame.luac,99EE60AF-48BF4F7F-BD0268B4-2EB03304,sakura,msg.luac,Network.xml,paHomeCommon.luac,doc,mathx.luac,sakura_cross_storm_03.efx,paHomeServerGeneral.luac,EfxPlayer.luac,AvaterFx2,sakura_fall_01.efx,paHomeServerCommon.luac,paHomeServerBase.luac,time.luac,paHomeTime.luac,ATGParticles,task.luac,parameters.luac,Efx,pa,file,paHomeServerTrigger.luac,information.luac,paHomeCommonDebug.luac,common,objects,sakura_wind_01.efx,misc.luac,MiniGames|||||||
008953C5-AB30498F-88A86BA1-A9F8E05F|Inside PlayStation Vita Sign Up|Inside PlayStation Vita Sign Up|Minigames-Minigame|Sony Computer Entertainment|1.60.0.450.BETA|U|8|P|||janes||||||PS_Vita_Lobby_445B_2185|||psvita_poly_file01.ani,lua,screen_background.dds,Document.lua,psvita_poly_file01.skn,psvita,psvita_poly_file01.mdl,VitaScene,file,SignupObject,Utility.lua,AsyncInventoryChecker.lua,MiniGame.lua,LuaLibs,environments,Scripts,homesquare,MiniGames|||||||
00926FEC-647E40DE-B3DA4950-D9214475|Theater Viewing Detection|Theater Viewing Detection|Minigames-Minigame||1.41.0.37.PUB|U|12|S||T035|||||||jcinema_auditorium_1|||always.xml,paHomeCommon.lua,gamemain.lua,resource,paHomeServerAccess.lua,ajust_propaty.lua,reward_set.lua,eventOsd.lua,00926FEC-647E40DE-B3DA4950-D9214475,serverurl.lua,paHomeUI.lua,Objects,types.xml,osd,selectbar.xml,main.lua|||||||
01356182-575B4042-B5A4442B-6736CA90|Ammo  Meteor Gun|Fires a flaming hunk of rock that explodes when it lands. Available in two diagonal shot patterns.|Minigames-Minigame|Sony Computer Entertainment||U|9|L||T044|smariotti||||||NSIRCHOME_Hub_2BC9_87FD|||Textures,GunDisplay_Idle.ani,options.xml,nsirchome,ammoInstructFrameFull.dds,AP_BASE_MeteorGun.mdl,environments,hub,types.xml,AP_BASE_MeteorGun.skn,minigames,143c,blitzgun,weapons,2bc9,iconT_meteorgun.dds,MiniGame,87fd,meteorgun,AmmoHint,AmmoHint.lua,Platform.lua,OSD,Scripts,skunkworks,baef|||||||
017AA686-641C4DEA-9779F241-77AD7AC2|ChristmasTree|Singstar xmas minigame|Minigames-Minigame||1.40.0.264.BETA4|U|11|P|||Andrew_D_Taylor||||||SingStar_Main_Christmas|||ChristmasTree,LibParticleManager.lua,internal,singstar_main_XMAS_TREE.hkx,LibActiveValue.lua,LibObjectModel.lua,LuaLibrary,home,TreeStar.efx,XmasStars.efx,singstar_main_XMAS_TREE.mdl,environments,SingStar,ParticleManager,SingStar_ChristmasTree.lua,LibPointLight.lua,lobbies,scee,LibParticleEffect.lua,Snow.efx,singstar,MiniGames|||||||
0191D574-291343A9-8A88AAAC-B2A98C14|How to play Prinny Race|How to play Prinny Race|Minigames-Minigame|NIPPON ICHI SOFTWARE INC.|1.41.0.37.PUB|U|15|S||T033|NIPPON ICHI SOFTWARE INC.|||||||||Fig_Prinny.hkx,ch_503_901.mdl,anime,TextureAnimation.lua,data,PrinnyRaceHelp,PrinnyRace_Manual_03.dds,race,snd.bnk,ch_503_901.skn,types.xml,Fig,PrinnyRaceHelp.lua,furniture,prinny,PrinnyRace_Manual_01_en.dds,scenes,ArrayList.lua,PrinnyRace_Manual_03_en.dds,PrinnyRace_Manual_02_en.dds,PrinnyRace_Manual_02.dds,PrinnyRace_Manual_01.dds,ch_503_901.ani,MiniGames|||||||
01E4B162-EC1E4A83-A0A560EB-A392BDDD|Audi TV|Audi TV|Minigames-Minigame|AUDI AG|1.70.0.93.PUB|U|4|L||T032|jonny||||||AudiApt_394B_F75E,Audi_Connect_Apt_C2D4_2F8B|||TVControl.lua,OSD,TVControl,types.xml,tv_control.xml,Network.xml,MiniGames|||||||
