folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00004315-A4D54487-95D275AC-12615BD8|Interact|Cavity Wall Animation MG|Minigames-Targetable|nDreams Ltd.|1.70.0.93.PUB|U|7|L||T032|JohnW||||||Mansion_13_55D3_AD90|||lua,MiniGame.luac,banging_lid_2.mp3,ATGParticles,CavityWallMG,Mansion_13new.bnk,Scripts,banging_lid.mp3,smoke_green.efx,Sound,banging_lid_3.mp3,Splash_Title.mp3,MiniGames|||||||
002F710A-131D44E1-917411E7-19759197|nDreams Shop|nDreams Shop|Minigames-Targetable|nDreams Ltd.|1.80.0.53.PUB|U|2|L||T031|angelo||||||Musicality_Clubhouse_533C_81D3|||CommercePoint.luac,Network.xml,MiniGames|||||||
007B35A1-2EB243FE-872D585E-53023593|Ferris Wheel|Enjoy a bird s-eye view of the Casual District with a friend.|Minigames-Targetable|Sony Computer Entertainment America|1.60.0.450.BETA|U|12|L||T039|J. Adrian Herbez||||||SCEA_Casual_District_4thJuly,SCEA_Casual_District_7831_9753,SCEA_Casual_District_Thxgiving,SCEA_Casual_District_Xmas2011,SCEAsia_PierParkDest_42E8_C97C,SCEE_PierPark_Dest_FB6D_390A|||models,ferriswheel,gondola.mdl,ferris_wheel.lua,simplemenu.xml,MiniGames,Minigame.lua,camera.lua,Message.lua,Invite_Manager.lua,wheel.mdl,gondola.lua,OSD_Board.lua,gondola.hkx,types.xml,scripts|||||||
00991E11-16D047EA-8E6FACA1-D808B770|Cashier|Tournament Cashier|Minigames-Targetable||1.80.0.53.PUB|U|6|L||T037|Administrator||||||High_Roller_Club_6453_97BA,Poker_Qualifying_F19D_7358,casino_lobby_a30e_e9d0,poker_room_5eb_e601,vip_balcony_52c_13a9|||lua,Shop_Icon_Small.dds,Circle_Button.dds,TournamentCashier,Libs,MiniGames,KeyMaster.lua,file,X_Button.dds,TournamentCashier.lua,featuredItemMessageBox.dds|||||||
00C61CEE-D5044059-9A051821-2C608CCE|Screen Controls|Diamond Beach Mansion Screens|Minigames-Targetable||1.65.0.139.BETA|U|11|L||T035|Dave||||||BeachMansion_CE77_91AA|||MenuStates.luac,Library,MiniGame.luac,lua,EventManager.luac,ControllerModule.luac,Misc_LockPlayer.luac,Mansion,Beach,games,Core.luac,Misc_OSD.luac,Network.xml,Utility_TriggerMover.luac,file,Util.luac,Screens,StateMachine.luac|||||||
011504A5-F5864C04-938A662B-38129D72|Community Lounge|Off to the Community Lounge we go.|Minigames-Targetable|Sony Computer Entertainment Inc.|1.86.0.17.PUB|U|3|L||T036|gbsaundth||||||Home_Halloween_2014_A5A3_D283,Home_Square_4_EC01_382D,Home_Square_Close_4CED_C4FA,Xmas_Home_Square_14_FFA7_18E9|||lua,Pad.lua,Locale.lua,Teleporter,MiniGames,Lounge,MiniGame.lua,Community|||||||
01702297-89A84FD0-81EB9642-63E25A14|Board for the Great Seal of the Order|Board for the Great Seal of the Order|Minigames-Targetable|Sony Computer Entertainment|1.80.0.53.PUB|U|38|P||T041|watanabe||||||Shouei_Kingdom_6_15EC_51A6|||lua,MonthlyBoard.lua,Cyokurei_Month09.dds,Cyokurei_Month03.dds,image5.dds,Cyokurei_Comment01.dds,Cyokurei_Month04.dds,libpad.lua,Cyokurei_Month11.dds,Cyokurei_Month07.dds,Cyokurei_RankMonth09.dds,Cyokurei_RankMonth03.dds,Cyokurei_Comment02.dds,Cyokurei_RankMonth05.dds,Cyokurei_Comment03.dds,Cyokurei_Month05.dds,MonthlyBoard,libcore.lua,global.lua,Scripts,Cyokurei_RankMonth04.dds,Cyokurei_Month02.dds,Cyokurei_RankMonth07.dds,Cyokurei_Comment04.dds,ScreenObject.lua,Cyokurei_RankMonth11.dds,Cyokurei_Month06.dds,Cyokurei_Month12.dds,Cyokurei_RankMonth02.dds,Cyokurei_Comment05.dds,Cyokurei_RankMonth01.dds,Cyokurei_Month10.dds,OOLibrary,Cyokurei_RankMonth10.dds,libgame.lua,Cyokurei_Month08.dds,Cyokurei_RankMonth06.dds,Cyokurei_Month01.dds,liblistener.lua,Cyokurei_RankMonth12.dds,file,Cyokurei_RankMonth08.dds,MiniGame.lua,MiniGames|||||||
01B20606-C34D480E-AF07741C-F2D6BA10|Peakvox Information||Minigames-Targetable|O-Two inc.|1.60.0.450.BETA|U|26|L||T032|OTWO-111|||||||||lua,texture,help16.dds,all.lua,pad.lua,peakvox,peakvox_box.hkx,params.lua,cameraMgr.lua,help15.dds,help08.dds,help03.dds,osdLayer.lua,environments,sceneScript,help07.dds,help10.dds,environmentanimations,box,Peakvox_Box.mdl,HelpObject,Peakvox_Box.ani,help06.dds,help02.dds,help05.dds,help13.dds,help14.dds,helpManager.lua,Asia,MiniGame.lua,help17.dds,help18.dds,Peakvox_Box.skn,help09.dds,help11.dds,MiniGames|||||||
0211E2C6-C0844646-B2E0D6E3-6A83B631|E3 Photobooth|Have your photograph taken with your favourite video game characters|Minigames-Targetable|Sony Computer Entertainment|1.60.0.450.BETA|U|41|S||T042|Richard Coen||||||SCEA_E3_2012_8015_53E0|||Hud,Photobooth,AC3_Connor.hkx,HUDSprite.lua,Code,Sound,Playmetrix.lua,Ryu.mdl,film_strip.dds,E3,PhotoboothGame.lua,AC3_Connor.mdl,CameraFocusEdge.dds,Merc_low.hkx,Ryu.hkx,HUDObject.lua,Merc_low.mdl,sackboy_cart2.mdl,2012,OHS.lua,Camera.lua,HUD.lua,sound.bnk,Art,Math.lua,Controller.lua,photobooth_lkwd_logo.dds,Models,CameraFocusMid.dds,photobooth_hud.dds,Rewarder.lua,Util,Jamin.lua,HUDListBox.lua,photobooth_sfxt_logo.dds,Main.lua,PhotoboothScreens.lua,HUDLib.lua,HUDTextPanel.lua,HUDRectangle.lua,HUDLib,HUDText.lua,Booth,mechjet,mechjet_lod.mdl,photobooth_bl2_logo.dds,Photobooth_menu.dds,photobooth_ac3_logo.dds,photobooth_lbpk_logo.dds,ScreenShot.lua,photo_background.dds,mechjet_lod.hkx,sackboy_cart2.hkx,MiniGames|||||||
026EF574-9E2F493A-B1B34C1A-49B6FE83|Active Objects Yacht|Interact with objects in the scene|Minigames-Targetable||1.65.0.139.BETA|U|26|L||T031|danny||||||Yacht_Apt_A926_CC0B|||Yacht_Fridge.hkx,MiniGame.luac,Misc.luac,lua,ResourceManager.luac,Audio,shower_effect.efx,Yacht_Fridge.ani,activeitems,SoundObject.luac,Yacht_Oven.hkx,MultiStateModelObject.luac,Yacht_Oven.ani,ActiveObjects,Core.luac,Component_GameTriggerMove.luac,mbm,Library,GamePad.luac,DeferredLoadingResources.luac,MansionSoundbank.bnk,Yacht_BathroomDoors.ani,Util.luac,environments,Yacht_Stove.ani,mask1.dds,AnimationObject.luac,FanObject.luac,yacht,Yacht_BathroomDoors.hkx,Yacht,ATGParticles,EmbeddedObjects,Tool,ModelObject.luac,DayNightShift,textures,InteractiveObjectsManager.luac,common,InteractiveObjectsResources.luac,CeilingFan.luac,games|||||||
028E969D-DF324EF7-A89516BF-6F7B3720|Stone Sundial|Stone Sundial|Minigames-Targetable||1.65.0.139.BETA|U|67|P|||maru||||||Tea_Lounge_Apt_B47C_F9FD|||lua,Enum.lua,UtilGarbage.lua,ps_selectwindow_04.dds,PhaseExit.lua,ps_select_on_08.dds,ps_select_off_04.dds,TimeSelectID.lua,CommonSelectWindow.lua,ps_window_01.dds,ps_window_02.dds,ps_selectwindow_03.dds,ps_select_on_09.dds,ps_select_off_03.dds,UtilResource.lua,ps_select_on_07.dds,ps_select_on_06.dds,PhaseFree.lua,gzcmn,Data.lua,Hankagai,ps_select_off_05.dds,LG,ps_selectwindow_08.dds,lib,00,ps_selectwindow_02.dds,ps_select_off_02.dds,tea,ps_window_05.dds,ps_select_on_05.dds,CommonMessageWindow.lua,File.lua,Scene,design,ps_select_on_02.dds,FileList.lua,ps_select_off_09.dds,sound,room,ps_selectwindow_06.dds,datastation,ps_select_off_01.dds,network.xml,ps_window_04.dds,ps_select_off_07.dds,AsyncCommandJobManager.lua,PhaseLoad.lua,jp,ps_window_08.dds,CoroutineManager.lua,PhaseList.lua,ps_select_off_08.dds,ps_window_07.dds,datainterface.lua,PersonalSpace,ps_window_06.dds,ps_selectwindow_05.dds,PhaseIdle.lua,ps_select_on_01.dds,Sync.lua,message.bnk,PhaseLock.lua,Menu.lua,MessageSound.lua,ps_window_03.dds,ps_select_off_06.dds,ps_select_on_03.dds,PadIo.lua,PhaseCtrl.lua,home,MenuOsd.lua,ps_selectwindow_09.dds,soft,ps_selectwindow_01.dds,ps_window_09.dds,ps_select_on_04.dds,Main.lua,ps_selectwindow_07.dds,Edo,TimeSelect,Log.lua,PhaseMenu.lua,SunIF.lua,file,2D,MiniGame.lua|||||||
02EBBE16-0C7C4DC5-9D39D769-88DA3B1A|Moon Forest Items|Moon Forest Items|Minigames-Targetable|Sony Computer Entertainment|1.60.0.450.BETA|U|1|S||T031|PPurdy|||||||||MoonForest.lua,object,Files,CP,Script|||||||
032E585F-9D744979-9F55C1BF-C1DD8D85|Conversation|Conversation|Minigames-Targetable||1.83.0.11.PUB|U|12|P|||Administrator||||||SCEA_Gran_Lagoon_1E70_EAEC|||UtilDeferredLoad.lua,Base,FossilData.lua,kantei,lua,ver2,Datastation,UtilGarbage.lua,Data.lua,soft,00,datainterfaceLight.lua,NPC,jp,Box.lua,DigDebug,eu,Lounge,DigPositionData.lua,GameMain.lua,MiniGame.lua,Lib,ver3,TicketInterface.lua,TicketStation,CheckAllFossile.lua,GetRegionUUID.lua|||||||
03456610-E0524F0C-C0566907-965F96FA|Set Dressing 01|set dressing one|Minigames-Targetable|Sony Computer Entertainment|1.41.0.37.PUB|U|1|P|||J. Adrian Herbez|||||||||minigames,plaza,sp,setpiece_placeholder.luac|||||||
