folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00033179-83F9478E-914C756D-D38A72B2|Cafe Table, Square|A wooden table perfectly suited for a cafe.|NoSDAT|Granzella Inc.|1.80.0.53.PUB|P||S||T031||Known Info  Furniture-Table|||||3A04B302-44CC4621-94D92A15-AA796CCC,462D7B2F-E8234AEE-AADFDE33-BC2019F6,48BD9248-D02B4B7B-90239EC8-D38607C5,4A6AFE23-123F412D-B009B5E4-0A1D5E79,4DE222D2-0B504E14-8F1FBDCC-C3D0B83A||||||||UT5012-NPUR00121_00-0010350000000000||
001A05CA-B39D4A2F-86A375CD-0B82B029|001A05CA-B39D4A2F-86A375CD-0B82B029||NoSDAT|||A||S||T031||Known Info  Furniture-Ornament|||||||||||||||
0076F6A5-D2424443-9E8BE347-B02E6853|Twin Lightning (for women)|Twin swords with lightning power.|NoSDAT||1.75.0.85.PUB|A||S||T031||Known Info  Female-Hands|||||||||||||||
008D86B6-795A428B-8F8E7C76-7829DACF|008D86B6-795A428B-8F8E7C76-7829DACF||NoSDAT|||A||S||T031||Known Info  Furniture-Ornament|||||||||||||||
020224E0-486A44A6-99F7B623-3FC8F0B7|UFO companion|UFO companion|NoSDAT|Atom Republic|1.86.0.17.PUB|L||L||T031|||||||||||||||||
0251C24F-874A4EA9-9D090F36-FF1978B4| Statue of the King Great Leap #9 (Silver) |Silver statue given to those who participate in events during the period. The King s Great Leap of Faith #9.|NoSDAT||1.70.0.93.PUB|A||S||T031||Known Info  Furniture-Ornament|||||||||||||||
02BD459F-EF284111-AAF4D644-C11AD56D|Funkster 74 Bundle (Male)|The Funkster 74 bundle contains a range of cool, retro and funk-tastic clothing items. Included in this set  *Funk Master (Outfit) *Blazing Inferno (Outfit) *White Lightning (Outfit) *Dancing Thunder (Outfit) *Lean Green Dance Machine (Outfit) *Funk Stick (Male) Upon purchase, all items will be added to their corresponding categories.|NoSDAT|nDreams Ltd.|1.41.0.37.PUB|P||S||T035|||||||||||||||||
02ED9C23-A96A45B8-84D9FDD9-F96BAEDE|Bubble Skirt (Pink, Women)|A pink check skirt billowing out from the hem. Defensive Strength  Cuteness  |NoSDAT|Granzella Inc.|1.75.0.85.PUB|P||S||T031||Known Info  Female-Legs|||||13A04A19-BF754D0B-A447EC89-4419C35A||||||||UT5012-NPUR00121_00-0003140000000000||
03470884-65194F65-9CB15062-093A1E21|Kappa Pumpkin Head, Blue (for women)|Redemption reward for Halloween period only. Kappa-like pumpkin headpiece.|NoSDAT||1.70.0.93.PUB|A||S||T031||Known Info  Female-Hat|||||||||||||||
04888328-03254A93-A0A8704E-5C44A4AE|Techno Peep - Heavy Pet - Glowing Green|Move to the groove with Techno Peep. As the hottest gadget on the market, you can bring him into your apartment for hours of fun. You can control him with custom animations and special Peep moves.|NoSDAT|Heavy Water|1.66.0.144.PUB|P||L||T036||Known Info  Furniture-Appliance|||||30670D58-811C4F1A-AB825F3C-5CFC3FD9,59A1403C-D36B401B-B174E78D-81C5B5F9,CD601483-6B744627-9C9D0334-2D1EF6E5|||||||ET0002-NPER00035_00-TECHNOPEEP000089|UT5004-NPUR00050_00-H30TECHNOPEEPHP1|HT4010-NPHR00022_00-0000290000000000|
04DF14A2-A72145A6-BE8E0230-C726ABAD|04DF14A2-A72145A6-BE8E0230-C726ABAD||NoSDAT|||A||S||T031||Known Info  Furniture-Ornament|||||||||||||||
055B2AEF-E4BF42C1-879BC520-E3E2D5BA|Character Stand Sign 08 (Teacher Woman)|Character panel creating a lively school atmosphere.|NoSDAT|Granzella Inc.|1.75.0.85.PUB|P||S||T031||Known Info  Furniture-Ornament|||||||||||||||JP0025-NPJR50380_00-AA62050000000000
057DBA42-35B0467C-BD55E6FE-4ADD0020|140 LOOT Gold EOD TV - Wall Mounted|For gamers who have it all, here is a special edition gold EOD TV that let s you watch full length movies, TV episodes, live shows and more with your friends in PlayStation Home. The LOOT Entertainment On Demand TV will work in any private space unless the space comes with a video screen you can t turn off, it does not include streaming radio or audio-only content. This bundle-exclusive wall mounted TV works with the FREE LOOT TV Wall Mount (found in the LOOT Store.) Simply hang the mount on the wall like a picture frame then hook your Wall Mounted EOD TV on it. Decorating has never been so easy. PLEASE READ BEFORE YOU PURCHASE  Due to contractual and rights agreements, some EOD channels are nation specific. Crackle content is ONLY available in United States, Canada, United Kingdom, and Australia. RadioIO is ONLY available in the United States and Canada. In addition, due to rights issues, countries may not receive the same content selections within the channels. Only one TV can be active at a time. The LOOT EOD will work in any private space, UNLESS the space comes with a video screen you cannot turn off.|NoSDAT| LOOT |1.80.0.53.PUB|P||S||T031||Known Info  Furniture-Appliance|||||FE3BE160-39A34598-94F1C5D8-8AB0D527|||||||EP0644-NPER00008_00-140LOOTGOL000792|US0002-NPUR00001_00-4008430000000000||
05C64419-7D254D2E-A2748AFE-353961FF|Unidentified Sentai Youman suit (Youma green, male)|Unidentified Sentai Youman suit. Defense  Heroism  |NoSDAT|Granzella Inc.|1.75.0.85.PUB|P||S||T031||Known Info  Male-Outfits|||||||||||||||JP0025-NPJR50380_00-AA06400000000000
060D319D-AE2A4BBC-AC79EDDB-642D4BD9|060D319D-AE2A4BBC-AC79EDDB-642D4BD9||NoSDAT|||A||S||T031||Known Info  Female-Hands|||||||||||||||
0636C931-A3184AE6-8883BE84-4E9C0D5F|0636C931-A3184AE6-8883BE84-4E9C0D5F||NoSDAT|||P||S||T037||Known Info  Male-Hat|||||||||||||||
0640C07E-D2744BE9-924CA483-AD68643A|Modular Skatepark - Grind Rail|A straight grind rail. This is part of the Modular Skatepark set and can be used to create your very own skatepark.|NoSDAT|VEEMEE|1.86.0.17.PUB|P||S||T031||Known Info  Furniture-Ornament|||||57675757-1C6B41F9-890B88F9-5320787D|||||||EP4065-NPER00071_00-MODULARSKA001756|UT5002-NPUR00030_00-0058490000000000||
06518B81-484A4FF1-88328A04-6DDF7C51|Uranus|Fact  Space is cool. Now LOOT s brought all the planets to you so you can create the solar system in your personal space. Who doesn t love Venus with all its carbon dioxide. Don t even get me started on the gas giant Jupiter. Sorry, Pluto, you re no longer in the club.|NoSDAT||1.51.0.60.PUB|P||L||T034||Known Info  Furniture-Ornament||||||||||||EP0644-NPER00008_00-URANUSXXXX000350|US0002-NPUR00001_00-PLANETURAN110100||JT4003-NPJR50250_00-AA60540000000000
069E1A90-B2AA492A-A980E572-0299168F|Poker Tournament - Tournament 23 Bracelet|Poker Tournament - Tournament 23 Bracelet. Both male and female versions are included.|NoSDAT||1.75.0.85.PUB|P||P||T033||||||||||||||EP2043-NPER00040_00-POKERTOURN000337|UP2043-NPUR30261_00-DLCSNPKRTOURX297||
06EF1F41-A47E4BB2-89BC1DF5-145E1E58|Unidentified Squadron U-Man Red Figure (Men)|A figure of one of the heroes of justice, Unidentified Squadron U-Man.|NoSDAT|Granzella Inc.|1.75.0.85.PUB|L||S||T031||Known Info  Furniture-Ornament|||||||||||||||
070CF51D-C2E34C4C-8E95A2C3-AD3D03B3|SFRGBT.. Bucket and Spade|Dig and carry till you drop.|NoSDAT|VEEMEE|1.70.0.93.PUB|L||S||T031||Known Info  Furniture-Ornament|||||||||||||||
075F2071-67F44B5B-AD531539-9F6D5BB4|075F2071-67F44B5B-AD531539-9F6D5BB4||NoSDAT|||P||S||T032||Known Info  Furniture-Chair|||||||||||||||
076EEC70-DB3149C3-AB8EE78E-978A6E21|076EEC70-DB3149C3-AB8EE78E-978A6E21||NoSDAT|||L||S||T035||Known Info  Male-Hands|||||||||||||||
078399BD-661F47D4-BDBF3EDA-AEB16587|078399BD-661F47D4-BDBF3EDA-AEB16587||NoSDAT|||P||S||T031||Known Info  Female-HeadPhones|||||||||||||||
07EA2623-12AC4CE2-8C613E17-ED5EDF73|Scary Fairy Peep - Heavy Pet - Persnickety Purple|Scary Fairy is one twisted sister Peep. Bring Sweetie Pie with you into your apartment and let the fun begin. Control her with custom animations and special Peep moves.|NoSDAT|Heavy Water|1.66.0.144.PUB|P||L||T036||Known Info  Furniture-Appliance|||||30670D58-811C4F1A-AB825F3C-5CFC3FD9,3FAB1B79-27E74B06-B29700E9-1B1F9DF3,FF27C8E6-A12A4AD2-81DC1DA7-CE1D61CD|||||||ET0002-NPER00035_00-SCARYFAIRY000081|UT5004-NPUR00050_00-H30SCRYFRYPEEPHP|HT4010-NPHR00022_00-0000270000000000|
07FC7256-F9E64E9A-AE18558A-76386A39|Lances and Shield hung on the wall (Silver)|A lance and shield hung on a wall for decoration.|NoSDAT|Granzella Inc.|1.80.0.53.PUB|L||S||T031||Known Info  Furniture-Frame|||||||||||||||
080E9F2D-881E4EBF-8879D0F9-D72D0F58|080E9F2D-881E4EBF-8879D0F9-D72D0F58||NoSDAT|||A||S||T031||Known Info  Male-Hands|||||||||||||||
087392BD-CAC84BC3-B1E1FF0F-2857A5DE|Polo Neck and Bubble Skirt (White and Pink, Women)|A pink check bubble skirt and a white polo neck jumper. Defensive Strength  Cuteness  |NoSDAT|Granzella Inc.|1.75.0.85.PUB|P||S||T031||Known Info  Female-Outfits|||||13A04A19-BF754D0B-A447EC89-4419C35A||||||||UT5012-NPUR00121_00-0003230000000000||
