folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0132A6C7-4D514080-89F49052-02AE1FF3|Kissin Whimsy|Kissin Whimsy|Other-Aquatic|VEEMEE|1.70.0.93.PUB|A||L||T031|alan||||||||||||||||
0268A642-855246C9-AE5209B1-D4429D4B|Rainbow Notho|Rainbow Notho|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|Paul Gold|||||||||||||EP2043-NPER00040_00-RAINBOWNOT000197|UP2043-NPUR30262_00-DLAQUARRNBWNOTHO||
04149EF2-0D18401B-A195D847-43361F76|Bonzai Tree|Bonzai Tree|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|DL_GFX_Brian|||||||||||||EP2043-NPER00040_00-BONZAITREE000236|UP2043-NPUR30262_00-DLAQUABONZAITREE||
04AB830A-5FD14945-8786F39D-F3D37F32|Tribal Tatsnarf|Tribal Tatsnarf|Other-Aquatic|Sony Computer Entertainment Europe|1.52.0.2.PUB|A||L||T033|alan||||||||||||||||
04EA861F-2FC24668-ACD89D85-9874E4D6|Heads Will Roll Pack|Decorations included  Skull, Diving Helmet, T-Rex Skull, Diver s Mask.|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|Paul Gold|||||||||||||EP2043-NPER00040_00-HEADSWILLR000156|UP2043-NPUR30262_00-DLAQHEADSWROLLPK||
058C29CD-DE714512-870894AF-36AB6234|Robotic Snike|Robotic Snike|Other-Aquatic|Sony Computer Entertainment Europe|1.52.0.2.PUB|A||L||T033|alan||||||||||||||||
0A488B16-AD4A44F1-837F0B5F-A1524307|Rainbow Pack|The fish included are  Mandarinfish, Rainbow Notho, Cortez Rainbow Wrasse, Bicolor Parrotfish.|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|Paul Gold|||||||||||||EP2043-NPER00040_00-RAINBOWPAC000150|UP2043-NPUR30262_00-DLAQRAINBOFISHPK||
0D5D68C5-9A2E4605-8568421F-34348293|Camo Flange|Camo Flange|Other-Aquatic|Sony Computer Entertainment Europe|1.52.0.2.PUB|A||L||T033|alan||||||||||||||||
0E3627A9-A5C9465E-B1972FAA-6711A1F0|Sky Fishing Lure Bundle|Get this bundle of fantastic lures for the Aurora Sky Fishing game so you can hone in on specific catches . This set includes  * The Tasty Snapper * The Magnetico * Genie in a Bottle Upon purchase, these items will not appear in your inventory. These items are upgrades that will increase your chances of catching specific items in the Aurora Sky Fishing game.|Other-Aquatic|nDreams Ltd.|1.52.0.2.PUB|P||L||T037|danm|||||||||||||EP4114-NPER00011_00-SKYFISHING000218|UT5001-NPUR00020_00-NDAURORASKYFSHLR|HT4002-NPHR00014_00-0002310000000000|JT4002-NPJR50260_00-AA50050000000000
0E6D48A7-27F44D61-B376B38D-C8F17B36|Catalina Goby|Catalina Goby|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|Paul Gold|||||||||||||EP2043-NPER00040_00-CATALINAGO000206|UP2043-NPUR30262_00-DLAQCATALINAGOBY||
10FAC86A-B1CD45AB-B7F0F90A-6A76EE53|Plasma Globe|Plasma Globe|Other-Aquatic|nDreams Ltd.|1.52.0.2.PUB|A||S||T036|PeteB||||||||||||||||
11405ADD-0B844B0F-81206495-B76924FE|X-Ray Spix|X-Ray Spix|Other-Aquatic|Sony Computer Entertainment Europe|1.52.0.2.PUB|A||L||T033|alan||||||||||||||||
1839D9B7-A4F2459D-9527F1CC-4D852F03|Small Fish Pack|The fish included are  Coral Beauty Angelfish, Fire Fish, Flame Angelfish, Serpae Tetra, Catalina Goby.|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|Paul Gold|||||||||||||EP2043-NPER00040_00-SMALLFISHP000151|UP2043-NPUR30262_00-DLAQSMALLFISHPAK||
18D6195B-B1C64536-86D7DDAD-DCEBA46D|Teeny Emo|Teeny Emo|Other-Aquatic|Sony Computer Entertainment Europe|1.52.0.2.PUB|A||L||T033|alan||||||||||||||||
19DF6B48-75434D8C-ACC3C18E-57CCCBE5|Zebra Pleco|Zebra Pleco|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|Paul Gold|||||||||||||EP2043-NPER00040_00-ZEBRAPLECO000179|UP2043-NPUR30262_00-DLAQUAZEBRAPLECO||
1F66861A-9E654B82-87C8B8B2-03EE366D|Stingray|Stingray|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|Paul Gold|||||||||||||EP2043-NPER00040_00-STINGRAYXX000173|UP2043-NPUR30262_00-DLAQUARISTINGRAY||
219E4D0E-DDDA4E38-B0D6C340-B15F45D7|Coral Beauty|Coral Beauty|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|Paul Gold|||||||||||||EP2043-NPER00040_00-CORALBEAUT000201|UP2043-NPUR30262_00-DLAQUCORALBEAUTY||
245EA65C-3D2B4E5B-89EACFE9-57A68EAA|Yellow Sponge|Yellow Sponge|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|DL_GFX_Brian|||||||||||||EP2043-NPER00040_00-YELLOWSPON000233|UP2043-NPUR30262_00-DLAQYELLOWSPONGE||
24772C6B-9321482A-BADFD872-DFC25AE4|Conch Shell|Conch Shell|Other-Aquatic|Digital Leisure|1.66.0.144.PUB|P||L||T031|DL_GFX_Brian|||||||||||||EP2043-NPER00040_00-CONCHSHELL000229|UP2043-NPUR30262_00-DLAQUACONCHSHELL||
