folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0070C3F1-C5BB48FD-8B971296-0307705E|Spunland Seeds|Whenever you visit Spunland you will always start with 3 seeds.|Other-Consumable|madmunki|1.80.0.53.PUB|A||L||T033|Dave||||||||||||||||
00AF6438-94C74746-88F8442D-9DC872B0|Charcoal Champ Ultimate Lighter Fluid|Toss on the lighter fluid to instantly cook all meat on the grill to perfect in Charcoal Champ. 60 uses in each pack.|Other-Consumable|Sony Computer Entertainment|1.80.0.53.PUB|P||L||T033|MTsai||||||||||||||||
00D5EB51-49014907-8A178A00-BCCB5C57|Xi  Continuum - Buff Pack (250)|Give your associates a temporary boost of power and gain the upper hand in the Xi  Continuum Combat Game. This pack contains 250 consumable buffs. These buffs are only for use in the Xi  Continuum Combat Game. Note - This is a consumable item.|Other-Consumable|nDreams Ltd.|1.70.0.93.PUB|P||L||T032|bene|||||||||||||EP4114-NPER00011_00-XICONTINUU000752|UT5001-NPUR00020_00-NDXICNTBFFCRDPX3|HT4002-NPHR00033_00-0000540000000000|
023F207A-BD994DEE-AA4B4D66-9E389D81|Xi  Continuum - Associate Pack 10|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi  Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi  Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|nDreams Ltd.|1.70.0.93.PUB|P||L||T032|bene|||||||||||||EP4114-NPER00011_00-XICONTINUU000743|UT5001-NPUR00020_00-NDXICNTASSOCPX10|HT4002-NPHR00033_00-0000450000000000|
04BFCBAA-59C0485B-8EAB9F8C-63C65832|Xi  Continuum - Associate Pack 1|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi  Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi  Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|nDreams Ltd.|1.70.0.93.PUB|P||L||T032|bene|||||||||||||EP4114-NPER00011_00-XICONTINUU000734|UT5001-NPUR00020_00-NDXICNTASSOCPXX1|HT4002-NPHR00033_00-0000360000000000|
066E7127-21CF45FD-9010A87E-200B5E8A|GZ Tickets (240)|A strand of 240 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|Granzella Inc.|1.82.0.17.PUB|P||L||T032|hatake||||||||||||||UT5012-NPUR00120_00-0057120000000000||
0689BD6B-52DD440E-84C27863-12B59112|GZ Tickets (30)|A strand of 30 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|Granzella Inc.|1.65.0.139.BETA|P||L||T031|hide||||||||||||||UT5012-NPUR00120_00-GRNZTICKETSXXX30||
06B86A70-034E4C25-8DD78D26-D255DD38|Uproar Credits - 2,620|Uproar Credits allow you to purchase, rent and gift Weapons, Serums, Clothing Items and Taunts in Uproar - the fast paced, action packed third-person shooter, exclusive to PlayStation Home. This Pack contains  2221 Uproar Credits + 399 Bonus Uproar Credits Get more bonus Credits when you purchase larger packs and take full advantage of the game s extensive customisation options.|Other-Consumable|Lockwood|1.70.0.93.PUB|P||L||T033|Lockwood|||||||||||||EP4127-NPER00050_00-UPROARCRED000317|UT5000-NPUR00012_00-UPROARTOKENS0006||
06E23C61-887D4319-8E2E8B44-98F01804|GZ Tickets (30)|A strand of 30 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|Granzella Inc.|1.65.0.139.BETA|P||L||T031|hide|||||||||||||EP5017-NPER00046_00-GZTICKETS3000728|||
0706DB2B-B0494BA1-ADDEC48A-6D8EE292|GZ Ticket (30 Tickets)|These 30 tickets bring you special discounts in various Granzella lounges.|Other-Consumable|Granzella Inc.|1.65.0.139.BETA|P||S||T032|hide|||||||||||||||HP0025-NPHR00021_00-0007580000000000|
07541DAB-28924A4E-854E3606-0158C1AF|GZ Tickets (60)|A strand of 60 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|Granzella Inc.|1.65.0.139.BETA|P||L||T031|hide||||||||||||||UT5012-NPUR00120_00-GRNZTICKETSXXX60||
07F8BA4E-9FAB4801-9ACEAB83-D4856A49|Xi  Continuum - Associate Pack 14|Add more grunt, guile and guns to your crew with these 5 random associates for the Xi  Continuum Combat Game. 5 associates that you do not currently own will be chosen at random. These associates are only for use in the Xi  Continuum Combat Game. Note - On buying all 16 Associate Packs you are guaranteed to unlock all 80 purchasable associates.|Other-Consumable|nDreams Ltd.|1.70.0.93.PUB|P||L||T032|bene|||||||||||||EP4114-NPER00011_00-XICONTINUU000747|UT5001-NPUR00020_00-NDXICNTASSOCPX14|HT4002-NPHR00033_00-0000490000000000|
08162686-EB694695-8B80DE93-FCC2C015|GZ Tickets (60)|A strand of 60 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|Granzella Inc.|1.65.0.139.BETA|P||L||T031|hide|||||||||||||EP5017-NPER00046_00-GZTICKETS6000729|||
087C88C2-1EAB4313-81985860-B45E28BE|GZ Ticket (60 Tickets)|These 60 tickets bring you special discounts in various Granzella lounges.|Other-Consumable|Granzella Inc.|1.65.0.139.BETA|P||S||T031|hide|||||||||||||||HP0025-NPHR00021_00-0007590000000000|
094C6D68-49634716-B746B65C-3BE8074D|GZ Tickets (240)|A strand of 240 tickets that allow for use of special services in the various Granzella lounges.|Other-Consumable|Granzella Inc.|1.82.0.17.PUB|P||L||T031|hatake|||||||||||||EP5017-NPER00064_00-GZTICKETS2000001|||
09594404-641640D1-AA848BAF-83485B18|3,600 Giftinator Bucks|Get a +44% bonus instantly with this pack of 3,600 Giftinator Bucks to use with the Giftinator 9000 from Hellfire Games. Redeem to gift exclusive items to friends (and yourself.) and earn Karma bonuses with each transaction.|Other-Consumable|Hellfire Games, Inc.|1.83.0.11.PUB|P||L||T031|awalls|||||||||||||EP4305-NPER00037_00-3600GIFTIN000299|UT5006-NPUR00070_00-0010040000000000||
0AEA689C-EBEF4A99-9B28DF3B-A0DA8A42|Peach|The Wonderful Living Thing Said To Live In Shangri-La Is Drawn Near. 20-piece Set.|Other-Consumable|Will Co.,Ltd.|1.52.0.2.PUB|P||S||T033|matsumura3||||||||||||||||JP0043-NPJR50420_00-AA90040000000000
0BCDAB19-93DD4593-AF91EF95-6B887230|Dueling Red Stones X12|Set Of 12 Mysterious Gemstones That Restore Order Counts For Use With The Peakvox Monster.|Other-Consumable|O-Two inc.|1.70.0.93.PUB|P||L||T031|Yoshinori Utsumi||||||||||||||||JP0085-NPJR50370_00-AA50310000000000
0F758E3C-9C3C4D21-80991302-5125AB00|Vortex Attractor (50)|Vortex Attractors can be used in the Aurora Sky Fishing game to dramatically reduce the waiting time and distance between you and your catch, making it much easier to reel in the rarer catches. This is a pack of 50 Vortex Attractors.|Other-Consumable|nDreams Ltd.|1.52.0.2.PUB|P||L||T035|danm|||||||||||||EP4114-NPER00011_00-VORTEXATTR000216|UT5001-NPUR00020_00-NDAURORAVORTEX50|HT4002-NPHR00014_00-0002290000000000|JT4002-NPJR50260_00-AA50030000000000
