folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0034A777-F38E4B47-96796A89-BCA61C97|Deton8 DX Fuel Additive x26|An explosive fuel additive for your Sodium2 racer that focuses on providing boosted acceleration when added as well as increasing top speed. This is a 26 use item that will be used automatically in a race if equipped.|Other-Technology|Sodium - Lockwood|1.55.0.155.BETA2|P||S||T032|Lockwood|||||||||||||EP4127-NPER00014_00-DETON8DXFU000970|UT5000-NPUR00010_00-OUTSOSODIUM2FDE1|HT4001-NPHR00012_00-0009760000000000|JT4001-NPJR50210_00-AC60770000000000
0755CD76-FDED4547-84C25E39-7DFA6053|Turbulence DX Rocket Booster Pair x52|These are high power boosters with a slightly delayed onset. Get the timing right and you can kiss your old personal best goodbye.|Other-Technology|Sodium - Lockwood|1.50.0.238.BETA|P||S||T032|Lockwood|||||||||||||EP4127-NPER00014_00-TURBULENCE000962|UT5000-NPUR00010_00-OUTSOSODIUM2TUR1|HT4001-NPHR00012_00-0009680000000000|JT4001-NPJR50210_00-AC60690000000000
0F3F1726-5801447E-A861725E-93F3BF30|Sonic Camo - Sodium2 Racer Paint Scheme|This futuristic evolution of the classic camo paint scheme will leave other racers wondering what just past them by.|Other-Technology|Sodium - Lockwood|1.50.0.238.BETA|P||S||T036|Lockwood|||||||||||||EP4127-NPER00014_00-SODIUM2RAC000330|UT5000-NPUR00010_00-OUTSOSODIUM2SKNJ|HT4001-NPHR00012_00-0004160000000000|JT4001-NPJR50210_00-AC60250000000000
1347390A-0F3048CC-B9340114-77500F84|Titan DX Engine|Control the lower turning speed into corners and your Sodium2 racer will hit those higher velocities.|Other-Technology|Sodium - Lockwood|1.50.0.238.BETA|P||S||T034|Lockwood|||||||||||||EP4127-NPER00014_00-TITANDXENG000686|UT5000-NPUR00010_00-OUTSOSODIUM2ENGT|HT4001-NPHR00012_00-0006820000000000|JT4001-NPJR50210_00-AC60430000000000
16EFB4A5-B7804388-A802A605-D4089D32|Digital Code Bomb|This disposable device installs a crude, yet effective, brute-force software attack used for bypassing a safe s logic code and forcing it open. Use of this device may cause a spike in a facility s alarm state. This is a Conspiracy game item and is placed in your game character s inventory when purchased. It equips in a Gadget slot on raids. Quantity  3.|Other-Technology|Jet Set Games, Inc.|1.40.0.265.PUB|P||L||T034|||||||||||||||UT5005-NPUR00060_00-JSGDIGICODEBOMB1||
19DD9067-52694AFB-9A90AA11-A678A3BB|Behemoth Go-Faster Stripes|This custom livery for the mighty Behemoth ship has go-faster stripes and looks great too. You will be unable to purchase this livery unless you own the corresponding ship pack.|Other-Technology|FluffyLogic Development Ltd.|1.75.0.85.PUB|P||L||T033|ChrisMash||||||||||||||||
1BB203AF-C28F4DE3-848DAE8C-78824E2A|Terrapin DX Rocket Booster Pair x130|A more steady boost effect but with a much longer duration that will give you a big advantage if you can maintain your speed.|Other-Technology|Sodium - Lockwood|1.50.0.238.BETA|P||L||T032|Lockwood|||||||||||||EP4127-NPER00014_00-TERRAPINDX000959|UT5000-NPUR00010_00-OUTSOSODIUM2TER2|HT4001-NPHR00012_00-0009650000000000|JT4001-NPJR50210_00-AC60660000000000
20823B91-BBBA44F8-9607B9E8-963659D4|Molotov DX Fuel Additive x140|A balanced fuel additive for your Sodium2 racer that marginally increases both your top speed and your acceleration. This is a 140 use item that will be used automatically in a race if equipped.|Other-Technology|Sodium - Lockwood|1.52.0.2.PUB|P||S||T031|Lockwood|||||||||||||EP4127-NPER00014_00-MOLOTOVDXF000968|UT5000-NPUR00010_00-OUTSOSODIUM2FMO3|HT4001-NPHR00012_00-0009740000000000|JT4001-NPJR50210_00-AC60750000000000
2C687690-AF664B0D-9283B076-836861DC|Large Pulse Alarm Suppressor|For use in extreme emergencies, this disposable item significantly reduces the alarm state of any alerted facility. This is a Conspiracy game item and is placed in your game character s inventory when purchased. It equips in a Gadget slot on raids. Quantity  3.|Other-Technology|Jet Set Games, Inc.|1.40.0.265.PUB|P||L||T033|||||||||||||||UT5005-NPUR00060_00-JSGLRGPLSALRMSUP||
363A35DC-DE9644BC-A9E16D48-453C2E92|Dynamite DX Fuel Additive x65|A highly unstable and powerful fuel additive for your Sodium2 racer that supplements your fuel to increase your top speed. This is a 65 use item that will be used automatically in a race if equipped.|Other-Technology|Sodium - Lockwood|1.55.0.155.BETA2|P||S||T032|Lockwood|||||||||||||EP4127-NPER00014_00-DYNAMITEDX000975|UT5000-NPUR00010_00-OUTSOSODIUM2FDY2|HT4001-NPHR00012_00-0009810000000000|JT4001-NPJR50210_00-AC60820000000000
