folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0818C316-B41B4A2D-9D52C556-7E029FD1|Styx-Lethe Grinder Machine Gun - Lucky Shot|High powered, high calibre, large clip. Destructive but not too accurate.|Other-Weapon|VEEMEE|1.66.0.144.PUB|P||L||T031|mark|||||||||||||EP4065-NPER00053_00-STYXLETHEG000250|UT5002-NPUR00031_00-VMNMLTESTOBJECT1|HT4005-NPHR00028_00-0002510000000000|
0A243347-37414947-AA30358E-4FD0FE32|Khul Mercali Raider s Shield|Built for close-quarters combat style of a Mercian Fighter. Made from mighty oak and adorned with the horns of fierce creatures, this shield can withstand the onslaught of battle but is light enough for a Warrior to charge into the fray. Will unlock items within the Mercia  Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|Lockwood|1.60.0.450.BETA|P||L||T034|Lockwood|||||||||||||EP4127-NPER00050_00-KHULMERCAL000224|UT5000-NPUR00010_00-LKWDKHULMRCRSHLD||
0AE665D6-14A94BE9-AACD514F-185BDBDF|Haze Smoke Grenade|Grenade  Billows smokes for a few seconds that hinders the vision of anyone near it.|Other-Weapon|VEEMEE|1.66.0.144.PUB|P||S||T034|dale|||||||||||||EP4065-NPER00053_00-TOTALRECAL000277|UT5002-NPUR00031_00-0002770000000000||
0E440EA9-43664BC7-8F419AE3-719630ED|Kretsky Slugger Assault Rifle - Shiny|Good to medium accuracy depending on the length of time of the burst of fire. High damage weapon. Average clip size.|Other-Weapon|VEEMEE|1.66.0.144.PUB|P||L||T034|mark|||||||||||||EP4065-NPER00053_00-KRETSKYSLU000216|UT5002-NPUR00031_00-0000340000000000|HT4005-NPHR00028_00-0002240000000000|
13F797D4-7BEE402A-866904AE-03D10A27|Kretsky KS-9 Sniper Rifle - Renegade|High powered rifle, small clip, accurate and powerful but a slow rate of fire|Other-Weapon|VEEMEE|1.66.0.144.PUB|P||L||T031|mark|||||||||||||EP4065-NPER00053_00-KRETSKYKS9000248|UT5002-NPUR00031_00-0002400000000000|HT4005-NPHR00028_00-0002490000000000|
146AF0C7-CBFB48BA-B8B0AA2B-D258EF75|Khul Blade|Built for the close-quarters combat style of a Mercian Fighter. Will unlock items within the Mercia  Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|Lockwood|1.60.0.450.BETA|P||L||T034|Lockwood||||||BC00F8F5-CC6241DE-87E5FC19-ECE0F00B|||||||EP4127-NPER00050_00-KHULBLADEX000217|UT5000-NPUR00010_00-LKWDKHULBLADEXXX||
15ED0EB0-AAFB43EF-8A304CFB-E1328D0C|Kretsky Anvil Revolver - Shiny|Hand gun, revolver type, small clip, slow fire rate, has high accuracy, high recoil, high power.|Other-Weapon|VEEMEE|1.66.0.144.PUB|P||L||T034|mark|||||||||||||EP4065-NPER00053_00-KRETSKYANV000215|UT5002-NPUR00031_00-0000330000000000|HT4005-NPHR00028_00-0002230000000000|
172B95D4-CCFB4C39-A11871FB-C9B7096F|Taloc Blade|Built for the close-quarters combat style of a Mercian Fighter. Will unlock items within the Mercia  Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|Lockwood|1.60.0.450.BETA|L||L||T033|Lockwood||||||||||||||||
1A8CC7B8-85A1490E-A5009A74-205306B9|Taloc Bow|Used by Rangers for long range attacks. Will unlock items within the Mercia  Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|Lockwood|1.60.0.450.BETA|P||L||T034|Lockwood||||||228F2D74-A69B4F9D-889216CB-546E71A0|||||||EP4127-NPER00050_00-TALOCBOWXX000211|UT5000-NPUR00010_00-LKWDTALOCBOWXXXX||
1B953F36-FC9D46E0-869DF08E-1FE39CBE|Eztil Shield|Built for the close-quarters combat style of a Mercian Fighter. Will unlock items within the Mercia  Fractured Realms game will not give avatar components for general PlayStation Home use. Not available to users in Japan and Asia.|Other-Weapon|Lockwood|1.60.0.450.BETA|P||L||T034|Lockwood||||||14205ACD-FBEF48CC-B8A11F5D-10737AB0,D2FBE7C0-37944025-A85B492E-7FF5885F|||||||EP4127-NPER00050_00-EZTILSHIEL000221|UT5000-NPUR00010_00-LKWDEZTILSHIELDX||
1E7A8281-6F0A497A-962CCF73-A810A966|Inferno Incendiary Grenade|Grenade  Sets the detonation area on fire for a few seconds, causing burn damage to anyone who enters the flames.|Other-Weapon|VEEMEE|1.66.0.144.PUB|P||S||T034|dale|||||||||||||EP4065-NPER00053_00-TOTALRECAL000276|UT5002-NPUR00031_00-0002760000000000||
2003D0AC-7847491D-9E7D5260-8CDA8774|Strike Frag Grenade|Grenade  High explosive shrapnel grenade, deals high damage to anyone in the blast radius.|Other-Weapon|VEEMEE|1.66.0.144.PUB|P||S||T034|dale|||||||||||||EP4065-NPER00053_00-TOTALRECAL000275|UT5002-NPUR00031_00-0002750000000000||
