folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0075FA0B-5970445C-90EED6AF-7BDCE126|nDreams Gestures - Insults (Female)|Time to show how you really feel in PlayStation Home with this pack of five unique gestures. This includes Taunt, Yo Trippin , Whack Attack, Shamone and What s Up.|Portable-Animation|nDreams Ltd.|1.75.0.85.PUB|P|14|L||T032|CarlaR||||||1DB99FE4-BC7A4C3A-81A51353-4ED9B4EB,435D1095-343B41CA-B3D4DA21-7BF03A55|||lua,female.xml,male.xml,male_emotes.xml,emotes,insults,gestures_insults_02.ani,boot.luac,05,configuration.xml,audio.bnk,gestures,Insults,AvatarAnimPacks,gestures_insults_01.ani,female_emotes.xml,repertoire,apf_pose1.ani,04,apf_pose1_in.ani,02,01,Gestures,animation,gestures_insults_04.ani,gestures_insults_05.ani,file,soundbank,female,03,gestures_insults_03.ani||||EP4114-NPER00011_00-NDREAMSGES001005|UT5001-NPUR00020_00-NDRMSANMPRJX3436|HT4002-NPHR00014_00-0007690000000000|JT4002-NPJR50260_00-AA70860000000000
0084F0DE-0BA9411B-989C18E9-DA70C004|EMT Panic Run|Flee from whatever strikes fear in your heart with this EMT. Includes a custom walk, run and idle animations for both male and female avatars.|Portable-Animation|Juggernaut Games|1.80.0.53.PUB|P|13|L||T033|Juggernaut Games|||||||||HUNT_Male_PanicRun_Run.ani,PanicRun,lua,female.xml,male.xml,male_emotes.xml,HUNT_Female_PanicRun_Run.ani,emotes,boot.luac,HUNT_Male_PanicRun_Idle01.ani,HUNT,configuration.xml,HUNT_Female_PanicRun_Idle01.ani,audio.bnk,Locomotion,AvatarAnimPacks,female_emotes.xml,hunt,HUNT_Male_PanicRun_Walk.ani,repertoire,soundbank,file,panicrun,HUNT_Female_PanicRun_Walk.ani||||EP5020-NPER00048_00-LMOPANICRU000479|UT5014-NPUR00140_00-0012220000000000||
00A6A1B4-64404251-913CCE5D-4141B2C2|GST - nDreams Gestures - Rude (Female)|The perfect Gesture pack for when words just can t convey your thoughts. Includes Loser, Vomit, Devil Horns, Watching You and Weirdo.|Portable-Animation|nDreams Ltd.|1.75.0.85.PUB|P|11|L||T032|CarlaR||||||860729EC-335B4BF2-ADB3753E-6ADB373D,CA13C94D-E2774119-B0AF5708-F92CDB86,E39D425E-B3C94E88-94ED78CD-E9D466DD,EDA751A9-4C6F4FEE-AB33C126-B34564CB|||lua,gestures_rude_watchingyou.ani,female.xml,male.xml,male_emotes.xml,emotes,vomit,boot.luac,gestures_rude_loser.ani,watchingyou,configuration.xml,gestures_rude_vomit.ani,loser,weirdo,-,gestures,gestures_rude_weirdo.ani,AvatarAnimPacks,female_emotes.xml,repertoire,devil,gestures_rude_devil.ani,animation,Gestures,file,female,rude,Rude||||EP4114-NPER00011_00-GSTNDREAMS001121|UT5001-NPUR00020_00-0034650000000000|HT4002-NPHR00014_00-0008840000000000|JT4002-NPJR50260_00-AA71080000000000
01077FB1-8C74473D-A600EF46-C858A8A2|Robo-Punk  Dance Pack 1 (Female)|Show off your dancing talents with da funkiest electronic moves in PlayStation Home.|Portable-Animation|nDreams Ltd.|1.86.0.17.PUB|P|9|S||T031|KristianF||||||08837467-00884490-A787C791-C77CC600,5DFDFA5F-C9174DB2-86D9D611-2F09AFDC,DD1D0375-68D7419C-81C2B627-A7A1DBBE|||lua,female.xml,male.xml,male_emotes.xml,2,emotes,boot.luac,configuration.xml,Dance,Robo-Punk,3,robopunk,RoboPunk_2_F.ani,AvatarAnimPacks,female_emotes.xml,repertoire,Female,animation,file,RoboPunk_3_F.ani,female,RoboPunk_1_F.ani,1||||EP4114-NPER00011_00-ROBOPUNKDA002165|UT5001-NPUR00022_00-0003510000000000||
02AEB22A-6E774776-A18D004E-99136E0B|Winter Activities Pack (for Female)|Winter Activities Pack (for Female) This pack includes the following animations  Hand Warming Shivering Slide Slip Over Snow Angel Winter has arrived and now you can show just how it affects you.|Portable-Animation|Lockwood|1.80.0.53.PUB|P|12|L||T032|Lockwood|||||||||lua,female.xml,male.xml,male_emotes.xml,emotes,boot.luac,configuration.xml,audio.bnk,anim,F,AvatarAnimPacks,female_emotes.xml,repertoire,F_Slide.ani,Animation,soundbank,file,F_Slip.ani,F_SnowAngel.ani,Winter,F_RubHands.ani,F_Shiver.ani||||EP4127-NPER00050_00-WINTERACTI001820|UT5000-NPUR00012_00-LKWDWINTERACPAKF||
02F23842-EDFB4AF1-9C509EE9-C3A05D4F|GST - New. Toprock Dance Pack (Female)|This dance pack includes three Toprock style dances.|Portable-Animation|nDreams Ltd.|1.80.0.53.PUB|P|9|L||T031|CarlaR||||||9560D4EF-4D744216-AEB6EEC6-69A7818C,AD5C5A53-A0564DB6-92E15A29-1DB57B6B|||lua,female.xml,male.xml,male_emotes.xml,emotes,boot.luac,configuration.xml,toprocks_03.ani,Toprocks,AvatarAnimPacks,female_emotes.xml,repertoire,toprocks_02.ani,Female,02,01,animation,file,toprocks,female,toprocks_01.ani,03||||EP4114-NPER00011_00-GSTNEWTOPR001523|UT5001-NPUR00020_00-0044380000000000|HT4002-NPHR00014_00-0012430000000000|JT4002-NPJR50260_00-AA71710000000000
03D539FD-06D44B7C-843DCFD7-82D6B3E5|Serenity Lake Oriental Dance Pack for Male|Serenity Lake Oriental Dance Pack (for Male) This pack includes the following dances  Tranquility Peace Strength Discover culture and art form with these profound oriental dances|Portable-Animation|Lockwood|1.80.0.53.PUB|P|13|L||T032|Lockwood||||||3687CF16-1C1A44E3-BD7822F6-11404DB5|||lua,M_SerenityDance_2.ani,female.xml,male.xml,M_SerenityDance_2_loop.ani,male_emotes.xml,emotes,boot.luac,dances,configuration.xml,audio.bnk,M_SerenityDance_1.ani,M_SerenityDance_1_loop.ani,M_SerenityDance_3_loop.ani,AvatarAnimPacks,female_emotes.xml,repertoire,serenity,M_SerenityDance_3.ani,soundbank,file||||EP4127-NPER00050_00-SERENITYLA001579|UT5000-NPUR00012_00-LKWDSERENLKDNCEM||
03DC3673-73434CE3-B6CAEC72-66D66A09|GST - Party Dance 1 (Male)|This dance pack includes 3 popular party style dances Warp Time , Superhero and Maca-yeah-yeah .|Portable-Animation|nDreams Ltd.|1.82.0.17.PUB|P|9|L||T032|CarlaR||||||2AA26A12-9FEF4C55-8628AD5D-623C8E56,4284C860-E2D440AC-8660F84D-D0837586,C4A8467C-6BBB440E-94865AD6-F093BE29,C9599761-82B14904-978F4551-5F5E4A4F|||lua,female.xml,male.xml,macarena.ani,timewarp.ani,male_emotes.xml,boot.luac,Wedding,emotes,timewarp,configuration.xml,macarena,superman,male,AvatarAnimPacks,female_emotes.xml,repertoire,Male,animation,Dances,file,superman.ani,1||||EP4114-NPER00011_00-GSTPARTYDA001711|UT5001-NPUR00020_00-0029410000000000||
04A049B6-4A344CFD-8124FB77-27568F3A|nDreams Gestures - Pack 2 (Male)|Time to show off your true emotions in PlayStation Home with this pack of five unique gestures. Gestures include beg, cry, wipe brow, double take and sneeze.|Portable-Animation|nDreams Ltd.|1.75.0.85.PUB|P|14|L||T032|CarlaR||||||1DB99FE4-BC7A4C3A-81A51353-4ED9B4EB,246E4C5D-C429470C-9246211C-E5D22116,353ADAAF-AC0048EE-BAEEE182-3294699E,39ACC876-390D4622-A75EC7C2-03B53011,40822050-D5024B33-AE553438-25035F3C,435D1095-343B41CA-B3D4DA21-7BF03A55,CA13C94D-E2774119-B0AF5708-F92CDB86,E39D425E-B3C94E88-94ED78CD-E9D466DD|||lua,female.xml,male.xml,male_emotes.xml,2,emotes,boot.luac,gestures_cry_01.ani,sneeze,cry,gestures_beg_01.ani,configuration.xml,audio.bnk,gestures,gestures_wipebrow_01.ani,male,AvatarAnimPacks,female_emotes.xml,repertoire,apf_pose1.ani,beg,apf_pose1_in.ani,gestures_doubletake_01.ani,animation,gestures_sneeze_01.ani,Gestures,01,doubletake,file,soundbank,wipebrow||||EP4114-NPER00011_00-NDREAMSGES001000|UT5001-NPUR00020_00-NDRMSANMPRJX3431|HT4002-NPHR00014_00-0007640000000000|JT4002-NPJR50260_00-AA70840000000000
0528B0D4-50F94401-82BFFF34-3D5B05EF|Believer Fever Dance Pack (Male)|Show off your best moves in PlayStation Home with this new pop icon dance pack from nDreams. Contains the Believer Fever dance moves.|Portable-Animation|nDreams Ltd.|1.86.0.17.PUB|P|9|L||T031|CarlaR||||||B12C3CF9-8DC340A1-99C00CE5-1EA7F665,C1E4D257-01F34996-BB30431B-D0B4244C|||lua,female.xml,male.xml,male_emotes.xml,2,dance,boot.luac,emotes,JB_Dance_2_M.ani,configuration.xml,3,JB_Dance_1_M.ani,male,AvatarAnimPacks,female_emotes.xml,repertoire,1,animation,jb,file,bieber,JB_Dance_3_M.ani||||EP4114-NPER00011_00-BELIEVERFE001900|UT5001-NPUR00022_00-0000860000000000||
