folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00D1996F-7F734C0F-A7B7F798-7CA393DE|Mythical Creature Avatars - Bundle 02|Transform your avatar into a Mythical Creature with these Mythical Creature locomotion items. Speed  -Standard = 5.25 meters per second This bundle contains  (1) LMO - Mythical Creature Avatars - Chimera (2) LMO - Mythical Creature Avatars - Manticore (3) LMO - Mythical Creature Avatars - Phoenix|Portable-Bundle|VEEMEE|1.80.0.53.PUB|P||L||T033|Danny||||||1E2F44FA-19F74EC4-8212CEBF-6A196C36,65135EC4-415C4232-91691832-8A8BE21F,CD3B3336-4638422A-A171BB50-00D194CC|||||||EP4065-NPER00071_00-MYTHICALCR000069|UT5002-NPUR00030_00-0041590000000000|HT4005-NPHR00020_00-0013290000000000|
017EEA30-0D1642B0-8AB2424A-9AE3DC1A|LMO - Bladestream Corp  A3000 Bundle|Bladestream Corp is proud to introduce this great value for money bundle. This bundle includes  * LMO - Bladestream Corp  A3000RBK * LMO - Bladestream Corp  A3000BLR * LMO - Bladestream Corp  A3000GG * LMO - Bladestream Corp  A3000V Speed  LMO (Locomotion) is a Portable item. Upon purchase, all items will be added to their corresponding categories.|Portable-Bundle|nDreams Ltd.|1.70.0.93.PUB|P||L||T031|DanM||||||1DDEBC5E-33EF4C62-BDF99030-509EBD9C,37803F2D-F7D44445-9BC63672-B29C534A,4DAD2819-36C943FA-95B4CD12-3AE1DEDD,EEFFE6D7-3B96430A-81F7DEA0-957D3A77|||||||EP4114-NPER00011_00-BLADESTREA000973|UT5001-NPUR00020_00-NDRMSLCMTNXX3404|HT4002-NPHR00014_00-0007370000000000|
022DD7EA-877548FC-84336AF8-8F0AA3D4|Animal Avatars - Baby Animals - Bundle|Transform your avatar into a cute baby animal with these Baby Animal Avatar locomotions. These locomotion objects will boost your speed. Speed  Standard = 5.25meters per second This bundle contains  (1) Animal Avatars - Baby Animals - Red Deer Fawn (2) Animal Avatars - Baby Animals - Rhino Calf (3) Animal Avatars - Baby Animals - Baby Chimpanzee (4) Animal Avatars - Baby Animals - Seal Pup These items are portable items.|Portable-Bundle|VEEMEE|1.86.0.17.PUB|P||L||T031|alan||||||0665055C-E8244700-BC63EBB3-FC1994D9,64DF3150-26B84F0F-BA0E3D7F-EDB375CF,6589A74C-3383479D-B8451805-5A5FB510,FF0DF7A6-C29B4E67-A74FDBCF-47FD159C|||||||EP4065-NPER00071_00-ANIMALAVAT001571|UT5002-NPUR00030_00-0056510000000000||
03A7713C-32C74119-B2C4C38F-94550FE5|Codeglue Companion Special Bundle 2| It s the Codeglue Companion Special Bundle 2. This bundle includes the Spotted Jack, Brown Jack and Dog House. **IMPORTANT NOTICE** This Codeglue Companion Special Bundle 2 may contain the items you have already purchased. Only the item which is not yet purchased is added to your inventory and same purchased item will not appear in the inventory twice. Purchased Special Bundles are not refundable, transferable or exchangeable, and cannot be redeemed for cash or credit. |Portable-Bundle|Codeglue B.V.|1.55.0.155.BETA2|P||S||T032|Sony Computer Entertainment||||||A751AF6C-86DE429A-A94A8F14-DAC59580,B28EBA60-2693462E-B03D25B1-1C3B356F,EBA5EAA0-07A4486E-99D72674-B21844E7|||||||||HT4007-NPHR00016_00-0001190000000000|
03D57442-56E34EB7-9FB5F2A5-C898CFAB|LMO - Sports SuperStars Bundle|This great value for money bundle contains all of the Sports SuperStars Locomotion items including two bonus Hockey Stick colour variations. This bundle includes  * LMO - Sports SuperStars  American Football Pro * LMO - Sports SuperStars  Basketball Pro * LMO - Sports SuperStars  Ice Hockey Pro (Red and Blue) * LMO - Sports SuperStars  Ice Hockey Pro (Green Flame) * LMO - Sports SuperStars  Ice Hockey Pro (Neon) * LMO - Sports SuperStars  Ice Hockey Pro (White Flame) Speed  LMO (Locomotion) is a Portable item. Upon purchase, all items will be added to their corresponding categories.|Portable-Bundle|nDreams Ltd.|1.70.0.93.PUB|P||L||T031|Dan||||||0C2A7997-40FE408B-A82AD7F3-88115BEB,18F55249-5D9447F0-A60E43AF-6D8DB4D0,2ADB70A0-DE2448A7-8DA95BDD-533B6AD4,68102892-697A4364-A5885272-954B3549,794A868C-F7E44C4D-B7A92BF4-39DCE5FE,D633AA63-FE634695-9AB6DC00-89364101|||||||EP4114-NPER00011_00-LMOSPORTSS000929|UT5001-NPUR00020_00-NDBTCH4LOCOX2841|HT4002-NPHR00014_00-0006980000000000|
068E76B1-1DC641E8-ACE3D6CE-31F03EEB|Apartment Pets  Li l Ninja Bundle|See your apartment come to life with these fantastic free-roaming pets. For best results, try combining them with the other apartment pets now available from nDreams. This bundle includes  * Apartment Pets  Li l Ninjas (Appliance) * Ninjutsu Warrior - Li l Ninja (Companion) Upon purchase, all items will be added to their corresponding categories.|Portable-Bundle|nDreams Ltd.|1.80.0.53.PUB|P||L||T031|DanM||||||087F1CA5-A88E43EF-B324493F-CEEF45DD,E8CFC5BB-0FD84973-928167BC-1D98B566|||||||EP4114-NPER00011_00-APARTMENTP001303|UT5001-NPUR00020_00-0042120000000000|HT4002-NPHR00014_00-0010630000000000|
08A8BA38-7DC74021-9FD9A06D-8126E389|Adult Tiger Companions Bundle|White tigers, orange tigers, and even black tigers, this bundle has them all.|Portable-Bundle|Sony Computer Entertainment|1.55.0.155.BETA2|P||L||T031|dho||||||0BF4F350-5C2B4C3F-89EBB599-6F592FF5,3CCF18C3-C05A47E3-9FD67318-80970BDB,956954AA-31144589-AD4E8C3C-5823D9D6||||||||UP9000-NPUQ00020_00-ADULTIGERCOMPBND||
0BFF6A65-C0E745AF-8A79F08E-3FA8E8B8|Lockwood Rare Species Pack|Lockwood Rare Species Pack This pack includes the following  Maliki the Lion Xiong Mao the Baby Panda Pirta the Penguin All these animals are rare in the real world, but in PlayStation Home they can roam free, plentiful and safe. For every purchase made on or before 5th September 2012 (23.59 GMT) Lockwood Publishing will donate 25% of the retail price to REACT Red Endangered Animal Connection Trust, Charity Number  1136449. For more information, please visit www.LockwoodPublishing.com|Portable-Bundle|Lockwood|1.60.0.450.BETA|P||L||T034|Lockwood||||||B1584BC0-0D6F4794-8DFEA376-257CDC6C,BE019AE1-3216408C-8BB84EC2-61075BB4,C993D00B-84FE4FE1-90770855-19C3C962|||||||EP4127-NPER00050_00-LOCKWOODRA000040|UT5000-NPUR00010_00-LKWDJULYENDANGER|HT4001-NPHR00012_00-0019170000000000|
0C6641D7-379B482A-99D37E96-23628731|Animal Avatar - Cubs - Bundle|Transform your avatar into one of these adorable cubs. These locomotion objects will boost your speed. Speed  Standard = 5.25meters per second This bundle contains  (1) Animal Avatar - Cubs - Leopard (2) Animal Avatar - Cubs - Lion (3) Animal Avatar - Cubs - Brown Bear (4) Animal Avatar - Cubs - Polar Bear These items are portable items.|Portable-Bundle|VEEMEE|1.86.0.17.PUB|P||L||T031|euan||||||2D372937-CCB04CF4-81C2776D-A62B7642,CA40A6BC-77034B8D-AB3D5B3B-A4C89D3C,DA6D9470-9B3B4477-A44D0688-0CF84160,ECEB865F-8C34411A-803EBE8A-5D54FCC7|||||||EP4065-NPER00071_00-ANIMALAVAT001523|UT5002-NPUR00030_00-0056040000000000||
0E2E0D0D-3931480A-9B289129-8E8097CE|Kittens - Bundle|These kittens are a little balls of furry feline fun. This bundle contains  (1) Kittens - Black (2) Kittens - Black and White (3) Kittens - White (4) Kittens - Calico (5) Kittens - Ginger (6) Kittens - Tabby These items are portable items. Upon purchase, the items will be placed into their respective categories.|Portable-Bundle|VEEMEE|1.80.0.53.PUB|P||L||T031|mark||||||049CE621-61424A9D-9F6D97EE-D3223E54,259E1390-6570411F-986169BA-1695CBB9,6330D7FF-A10945D4-BD5C2473-90023B9C,79B938AA-39FA4EC1-9CD9595C-9FB25FC3,7FFF1FA7-4A114271-9FAEFA8D-9B2D5C9D,AAC28382-3E804327-97200185-81A5EDC5|||||||EP4065-NPER00003_00-KITTENSBUN002285|UT5002-NPUR00030_00-0040930000000000|HT4005-NPHR00020_00-0012730000000000|
