folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
00000000-00000000-00000000-0000000B|Bubble Machine|A fun bubbly toy.|Portable-Companion|Sony Computer Entertainment|1.55.0.151.PUB|D|8|L||T037|PlayStation Home|||||||||Items,Bubble.bnk,atgparticles,generic,Audio,Portables,BUBBLE_EFFECT2.efx,bubbletexture.dds,Bubble_Machine.skn,Machine,efx,NetBag.xml,Bubble_Machine.mdl,AtgParticles,textures,Bubble_Machine.ani,Bubble,main.lua|||||||
00000000-00000000-000000F0-00000004|Camera|This camera allows you to save those precious PlayStation Home moments to your HDD.|Portable-Companion|Sony Computer Entertainment|1.65.0.110.BETA|D|9|L||T082|Pritpal S. Panesar|||||||||corner.dds,bootstrap.lua,Camera.bnk,Portables,Camera,view_finder.dds,remote.lua,local.lua,script,res,tick.dds,arrow.dds,zoom.dds||||EP9000-NPEQ00001_00-CAMERAXXXX000506|UP9000-NPUQ00010_00-POCAMERA00000001|HP9000-NPHQ00001_00-000411|JP9002-NPJQ50000_00-008001
00000000-00000000-000000F3-00000001|Dice|A huge dice for all to see. Play your own game with this massive dice.|Portable-Companion|Sony Computer Entertainment|1.60.0.450.BETA|P|8|L||T035|Sony Computer Entertainment|||||||||dice_01.ani,scriptremote.lua,model.mdl,scriptlocal.lua,Portables,dice_01.mdl,Die,script.lua,Dice.bnk,audio,dice_01.skn||||EP9000-NPEQ00001_00-DICEXXXXXX000509|UP9000-NPUQ00010_00-PODICE0000000001|HP9000-NPHQ00001_00-000414|JP9002-NPJQ50000_00-008004
00165FE8-48794596-BB092E26-25B2ED1C|Sheep Companion|Show off your farming prowess with this fuzzy sheep companion.|Portable-Companion|Juggernaut Games|1.70.0.93.PUB|P|13|L||T032|Juggernaut Games||||||9093DC05-0DA14516-8573C3C1-460DF282|||lua,bramblenook,boot.luac,dance.ani,sheep,farm,animals,FARM_Sheep_Run.ani,audio.bnk,environments,FARM_Sheep_Walk.ani,FARM_Sheep_Idle_Unique.ani,models,FARM_Sheep_Feed.ani,FARM,FARM_Sheep_Idle.ani,collision,config.xml,soundbank,sphere.hkx,file,CompanionFollowers,FARM_Sheep_Companion_Remote_RIG.mdl,FARM_Sheep_Companion_RIG.mdl,FARM_Sheep_Companion_RIG.skn||||EP5020-NPER00048_00-SHEEPCOMPA000321|UT5014-NPUR00140_00-0006270000000000|HT4017-NPHR00037_00-0000370000000000|
00E718B9-291F4FBF-B80D8DE7-3B7481DF|Pig Bomb (Gold)| Congratulations on your victory in YECK Tower Defense . The next stage is unlocked. You will receive a Pig Bomb (Gold). *This item is a portable item. |Portable-Companion|YECK Entertainment|1.66.0.144.PUB|A|12|L||T033|YECK Entertainment|||||||||PigBomb_Gold.skn,lua,run.ani,script.luac,skeleton,scriptlocal.luac,configuration.xml,anim,scriptremote.luac,follower,companion,walk.ani,PigBomb,model,file,idle3.ani,idle1.ani,idle2.ani,PigBomb_Gold.mdl,xml.luac,Gold|||||||
014495ED-60A34AD6-B022246D-6F528F29|Warframe Shade (companion)| With Revenge and Ghost as default precepts, Shade is well suited for stealth gameplay. Includes a Burst Laser Pistol. |Portable-Companion|Sony Computer Entertainment|1.83.0.11.PUB|A|22|L||T032|bkerbow|||||||||lua,sentinels,applaud.ani,trails.efx,run.ani,ShadePet_idle_l.mdl,Models,boot.luac,warframe,dance.ani,particle,an_land.ani,an_flap.ani,audio.bnk,ShadePet_idle.ani,anim,inhomerewards,an_twist.ani,ShadePet_idle.mdl,idle.ani,shakefists.ani,walk.ani,collision,config.xml,soundbank,sphere.hkx,Shade,file,an_yawn.ani,CompanionFollowers,shadepet,fly.efx,an_sat.ani,ShadePet_idle.skn,smoke.efx|||||||
01C7EDF8-349F45D1-B6B97CF0-90D2E6A0|Vane the Cockatrice|Whatever you do, don t call him chicken.|Portable-Companion|Lockwood|1.60.0.450.BETA|P|11|L||T032|Lockwood|||||||||lua,Cockatrice_Walk.ani,script.luac,companion,Cockatrice,cockatrice,Cockatrice_Run.ani,Cockatrice.skn,scriptlocal.luac,follower,file,configuration.xml,xml.luac,Cockatrice_Idle_1.ani,Cockatrice.mdl,scriptremote.luac,Cockatrice_Idle_2.ani||||EP4127-NPER00014_00-VANETHECOC001913|UT5000-NPUR00010_00-LKWDMAYFTVANETHE|HT4001-NPHR00012_00-0018720000000000|JT4001-NPJR50210_00-AB90230000000000
02555752-9FF742B9-A16420B5-1314585D|AAA - Devilrobots - Humphrey|Companion Item designed by DevilRobots.|Portable-Companion|AAA|1.52.0.2.PUB|P|12|L||T031|mark|||||||||lua,run.ani,script.luac,skeleton,scriptlocal.luac,configuration.xml,3,anim,scriptremote.luac,follower,skeleton.skn,Mika,companion,walk.ani,Doll,model,file,idle3.ani,idle1.ani,idle2.ani,xml.luac,Model.mdl||||EP4065-NPER00003_00-AAAMIKACOL000722|UT5002-NPUR00030_00-VMDEVILROBOTHUMP||
02EC942D-5FB74B9F-BDEE55DB-10ED830B|Trudging Prinny (Yellow)|I ll Stay With You, Dood. The Prinny Will Walk, Run, And Stay With You Wherever You Go. Ah, How Lovely They Look. Enjoy The Game Even More Together With The Prinny..|Portable-Companion|NIPPON ICHI SOFTWARE INC.|1.41.0.37.PUB|P|12|L||T033|NIPPON ICHI SOFTWARE INC.|||||||||lua,anime,script.luac,scriptlocal.luac,ch_503_003.ani,race,configuration.xml,Prinnys,ch_503_001.ani,scriptremote.luac,follower,furniture,ch_503_006.ani,companion,ch_503_002_Slow.ani,scenes,ch_503_192_Long.ani,ch_503_001.skn,xml.luac,prinny,Anime_Prinny_Companion_Yellow.mdl||||||HP0404-NPHR00004_00-0001010000000000|JP0404-NPJR50020_00-AA70020000000000
0313F183-E4A84D35-8287C15A-6B743BBF|Zombie Purple (Thunder)|Category  demonic species. Attributes  lightning. A member of the Corruption Squadron Zombie Rangers. The biggest challenge in the team is what to put them in charge of. He is considering changing jobs because the hourly wage of the Sombi Rangers is 800 yen.|Portable-Companion|O-Two inc.|1.66.0.144.PUB|A|23|L||T031|otwo-110|||||||||lua,zombie_thunder.skn,applaud.ani,trails.efx,run.ani,an_flap2.ani,skeleton,boot.luac,zombie,dance.ani,an_land.ani,an_flap.ani,audio.bnk,anim,an_twist.ani,thunder,idle.ani,shakefists.ani,walk.ani,collision,config.xml,zombie_thunder_lo.mdl,sphere.hkx,model,zombie_thunder.mdl,an_yawn.ani,soundbank,file,CompanionFollowers,fly.efx,an_sat.ani,particle,an_fly.ani,smoke.efx|||||||
