folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
0B2424D6-586E4233-8CE7F7CB-A2979B0E|GAP - Bollywood Dance Pack One|GAP - Bollywood Dance Pack One This pack includes the following animations  The Lotus Jubilation Take to the dancefloor and shake your booty like a true Bollywood star. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|Lockwood|1.86.0.17.PUB|P|11|L||T031|Lockwood||||||F1599B09-EFAF4B80-9C6E6CEB-6FCB9EF2|||GroupAnimPacks,lua,lkwd,waiting,boot.luac,configuration.xml,logo,Dance,M_Waiting.ani,anim,Jul-LKWD,F_Waiting.ani,F_Dance5_Loop.ani,M_Dance5_Loop.ani,repertoire,General-Bollywood-Bollywood,male_new.xml,female_new.xml,logo_texture_lod.mdl,gap,model,07,file,F_Dance1_Loop.ani,M_Dance1_Loop.ani,1||||EP4127-NPER00050_00-GAPBOLLYWO003229|UT5000-NPUR00012_00-LKWDGAPBOLLYWPAK||
108C204C-9C6848A8-B9553697-5541D0CF|GAP - Thousand Arm Dances|GAP - Thousand Arm Dances This pack includes the following animations  Rise Up Sway Have fun with some epic authentic Eastern dance moves. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|Lockwood|1.86.0.17.PUB|P|11|L||T031|Lockwood|||||||||GroupAnimPacks,lua,lkwd,waiting,boot.luac,M_Dance1_Rise_Up.ani,General-Bollywood-Thousand,configuration.xml,logo,M_Dance2_Sway.ani,M_Waiting.ani,Dance,anim,Arm,F_Waiting.ani,repertoire,male_new.xml,female_new.xml,1,logo_texture_lod.mdl,gap,F_Dance2_Sway.ani,08,model,file,Aug-LKWD,F_Dance1_Rise_Up.ani||||EP4127-NPER00078_00-GAPTHOUSAN000169|UT5000-NPUR00012_00-LKWDGAPTHOUSANDA||
139B98AE-2D4B43D1-B8F7EC78-703EA7B0|GAP - Drop Science Breakdancing Pack|GAP - Drop Science Breakdancing Pack This pack includes the following animations  Flare Top Rock Your crew shows your best moves, and a break battle ensues. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|Lockwood|1.86.0.17.PUB|P|11|L||T031|Lockwood|||||||||GroupAnimPacks,F_Flare_LOOP.ani,lua,lkwd,F_Step_LOOP.ani,boot.luac,F_Wait.ani,configuration.xml,logo,repertoire,male_new.xml,female_new.xml,Science-Breakdancing-Breakdance,logo_texture_lod.mdl,Jun-Drop,model,file,06,M_Wait.ani,M_Flare_LOOP.ani,M_Step_LOOP.ani||||EP4127-NPER00078_00-GAPDROPSCI000057|UT5000-NPUR00012_00-LKWDGAPDROPSCPAK||
18A143D8-B1E74764-AFA2C4A6-BD7C818F|Group Interactions - Bollywood Dance 02|Group up with your friends and amaze others with your synchronized Bollywood Dance animation. This group animation pack is for you and 7 other users.|Portable-Interaction-Group|VEEMEE|1.86.0.17.PUB|P|11|L||T032|mark||||||307FD97F-09D54582-B44C4448-EDE58F63|||LightShaft.mdl,GroupAnimPacks,lua,f_bollywood03.ani,boot.luac,Dance,anim,m_bollywood03.ani,AvatarAnimPacks,repertoire,Bollywood,female_02.xml,m_bollywood_wait.ani,f_bollywood02.ani,model,file,male_02.xml,f_bollywood_wait.ani,configuration02.xml,m_bollywood02.ani||||EP4065-NPER00071_00-GROUPINTER001688|UT5002-NPUR00030_00-0057670000000000||
1B5EA4D6-9AC5445C-B2472204-64875DD4|Line Dancing group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|Atom Republic|1.86.0.17.PUB|P|10|L||T038|Tanguy|||||||||fLineDancing.ani,GroupAnimPacks,LineDancing.ani,lua,Pose_F_07_p2.ani,boot.luac,configuration.xml,RemoteDiscoBall.mdl,repertoire,furniture,male_new.xml,female_new.xml,groupdancediscoball,animation,file,groupdances,female,GroupDanceDiscoBall.mdl,pose_m_06_p2.ani,lineDancing||||EP4377-NPER00057_00-LINEDANCIN000271|UT5025-NPUR00220_00-0013790000000000||
242C4D38-98A24AAD-8B72E6F0-B6907EDD|GAP - Cheerleading Moves Pack One|GAP - Cheerleading Moves Pack One This pack includes the following animations  Legendary Spirit So Fierce Bring Your Game Get your cheer on with these totally awesome group cheerleading moves. Go Lockwood. GAP is a portable item. This is a Group Animation Pack suitable for 2 to 8 players.|Portable-Interaction-Group|Lockwood|1.86.0.17.PUB|L|11|L||T031|Lockwood|||||||||GroupAnimPacks,lua,M_Cheerleader_B.ani,lkwd,Time-Cheerleader-Dance,Pose_F_07_p2.ani,05,boot.luac,configuration.xml,logo,anim,repertoire,male_new.xml,female_new.xml,logo_texture_lod.mdl,F_Cheerleader_A.ani,model,May-Double,file,F_Cheerleader_B.ani,M_Cheerleader_A.ani,pose_m_06_p2.ani,1|||||||
26E33355-8EA7409B-9CE323C9-CF616913|The Train  nDreams Group Dance Pack|Do you love dancing with friends. Then this Group Dance Pack is for you. Dance The Train and have people join in when you equip this new, fully motion-captured animation pack.|Portable-Interaction-Group|nDreams Ltd.|1.86.0.17.PUB|P|7|L||T031|KristianF||||||B5405287-081E4E1D-94951F17-1AA9B030|||GroupAnimPacks,lua,boot.luac,Line,configuration.xml,Conga,femaleint,follow,Conga_Follow_M.ani,repertoire,models,male_new.xml,female_new.xml,conga,animation,nCube.mdl,file,GDP,Conga_Follow_F.ani||||EP4114-NPER00011_00-THETRAINND002187|UT5001-NPUR00022_00-0003730000000000||
2E6474E5-058C4BCA-B5105FBE-C68B6241|Cossak jump-style group animation|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|Atom Republic|1.86.0.17.PUB|P|10|L||T033|Tanguy|||||||||fCossak.ani,GroupAnimPacks,lua,Pose_F_07_p2.ani,boot.luac,cossak.ani,configuration.xml,RemoteDiscoBall.mdl,Cossak,repertoire,furniture,male_new.xml,female_new.xml,groupdancediscoball,animation,groupdances,female,GroupDanceDiscoBall.mdl,pose_m_06_p2.ani,lineDancing||||EP4377-NPER00057_00-COSSAKJUMP000281|UT5025-NPUR00220_00-0013890000000000||
33580C64-EE164680-96F672F5-E1FECB02|Dance Warp GAP Part 3|Why dance alone when seven others can join you. The Dance Warp GAP 3 features knees knocking, hip thrust and hip rotation in a fun, synchronized dance routine that is sure to have the entire room on their feet. Both men and women can lock on the Dance Warp GAP disco ball and join the fun.|Portable-Interaction-Group|PSTALENT.COM|1.86.0.17.PUB|P|14|S||T031|Tanguy||||||2156AF58-2F4A4982-8D76CF9F-F8187DB5|||GroupAnimPacks,lua,female_dance_p5.ani,Pose_F_07_p2.ani,man_Dance_p5.ani,boot.luac,man_Dance_p3_frameFix.ani,configuration.xml,Dance,RemoteDiscoBall.mdl,man_Dance_p4.ani,Warp,AvatarAnimPacks,repertoire,furniture,male_new.xml,female_new.xml,groupdancediscoball,Female,Male,animation,female,test,Female_Dance_p3_framefix.ani,Female_Dance_p4.ani,GroupDanceDiscoBall.mdl,Kpop,pose_m_06_p2.ani||||EP4386-NPER00059_00-DANCEWARPG000072|UT5020-NPUR00170_00-0000760000000000||
3E8AADEF-C17C4E13-9182A2B3-4E5B2364|Bollywood group dance|Once you have equipped this item, press square to select the move. Then up to 7 other users can then join,by walking up to the disco ball and pressing the X button.|Portable-Interaction-Group|Atom Republic|1.86.0.17.PUB|P|10|L||T031|Tanguy|||||||||GroupAnimPacks,lua,Pose_F_07_p2.ani,boot.luac,configuration.xml,Bollywood.ani,fBollywood.ani,RemoteDiscoBall.mdl,repertoire,furniture,male_new.xml,female_new.xml,groupdancediscoball,animation,file,groupdances,female,GroupDanceDiscoBall.mdl,pose_m_06_p2.ani,lineDancing||||EP4377-NPER00057_00-BOLLYWOODG000280|UT5025-NPUR00220_00-0013880000000000||
