folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
11D2A9B6-B30F4E2A-81374866-62EA722F|Anime Photobooth Interaction Pack One|Anime Photobooth Interaction Pack One This pack includes the following animations  Peace Out. Loved Up Kawaii poses for you and a friend to strike, snap, and enjoy forever.|Portable-Interaction|Lockwood|1.86.0.17.PUB|P|20|L||T031|Lockwood||||||821B4D94-8DC04505-AC12493A-8A0CBB26|||F_1_Left_Loop.ani,lua,M_1_Right_Intro.ani,F_2_Right_Intro.ani,male.xml,female.xml,05,boot.luac,M_1_Right_Loop.ani,M_2_Left_Intro.ani,configuration.xml,F_2_Left_Loop.ani,May-Anime-Photobooth-Poses,F_1_Left_Intro.ani,M_2_Right_Intro.ani,F_1_Right_Intro.ani,F_2_Left_Intro.ani,repertoire,F_2_Right_Loop.ani,file,M_2_Left_Loop.ani,F_1_Right_Loop.ani,M_2_Right_Loop.ani,M_1_Left_Loop.ani,AvatarInteractionPacks,M_1_Left_Intro.ani,1||||EP4127-NPER00050_00-ANIMEPHOTO002990|UT5000-NPUR00012_00-LKWDANIMEPHOTPAK||
137D6FB9-893A4897-BEC84325-6263BEBE|nDreams 2-Player Interactions  Dancing Pack 4|Get closer than ever to people in PlayStation Home with these new interactive 2-player dances from nDreams. Dance The Waltz with this intimate new dance pack.|Portable-Interaction|nDreams Ltd.|1.86.0.17.PUB|P|8|L||T031|CarlaR||||||15C2E79D-93CD4783-AFE0A37D-2D924140,19EB6BAE-51884EC1-9BF4A7AA-4236CBF1,2F5BE27D-A9B946F9-A4F91A81-CC2C426A,3B9B6B41-CE10478D-A7C2A565-673D0320,69105F51-76B44B49-82978C15-492914FC,B374C99D-5FA54007-BF29DF84-C212285E|||repertoire,lua,female.xml,male.xml,waltz_b_f1.ani,boot.luac,waltz,waltz_a_f1.ani,file,configuration.xml,waltz_b1_m.ani,anim,waltz_a_m1.ani,AvatarInteractionPacks||||EP4114-NPER00011_00-NDREAMS2PL001894|UT5001-NPUR00022_00-0000800000000000||
167101AD-6C2248AF-B3403FE5-759C2BFB|nDreams 2-Player Interactions  Romantic Lift Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to lift or be lifted with this intimate new gesture pack.|Portable-Interaction|nDreams Ltd.|1.86.0.17.PUB|P|8|L||T031|KristianF||||||89029A19-02604A8D-BEE9F7FB-036A50A1|||lua,female.xml,male.xml,boot.luac,configuration.xml,femaleint,RomanticLift_Lead_M.ani,lead,follow,repertoire,RomanticLift_Lead_F.ani,Romantic,RomanticLift_Follow_M.ani,animation,Lead,file,RomanticLift_Follow_F.ani,Lift,AvatarInteractionPacks,romanticlift||||EP4114-NPER00011_00-NDREAMS2PL002203|UT5001-NPUR00022_00-0003890000000000||
20C0A0CD-432146CA-AAB3B8BA-8EC12B18|Friends poses|A collection of 8 static avatar-to-avatar physical interactions. Strike a pose with a friend  arm around partner s shoulder, arm around partner s waist, side hug, carry partner on shoulders, piggyback, sit back to back, cover partner s eyes, and whisper in partner s ear. Equip the item to invite other users to interact with you, and press square to choose the type of interaction other users will need to press the X button to interact with you.|Portable-Interaction|Atom Republic|1.86.0.17.PUB|P|36|L||T031|Tanguy||||||47D8F297-D7584D0F-84EF72AC-B017355A|||fArmAroundWaistRight.ani,CoverEyesFront.ani,lua,fSitOnShouldersAbove.ani,fCoverEyesBehind.ani,friendsposes,SatBackToBackFront.ani,femaleint,fArmAroundWaistLeft.ani,whisper_Left.ani,Test,ArmAroundShoulderRight.ani,friendsPoses,SideCuddle_Right.ani,ArmAroundShoulderLeft.ani,animation,SatBackToBackBehind.ani,fSatBackToBackBehind.ani,ArmAroundWaistLeft.ani,ArmAroundWaistRight.ani,fPiggybackUp.ani,piggybackUp.ani,sitOnShouldersAbove.ani,physicalinteractions,SideCuddle_Left.ani,sitOnShouldersBelow.ani,female.xml,fSideCuddle_Left.ani,boot.luac,fCoverEyesFront.ani,fPiggybackDown.ani,configuration.xml,fSitOnShouldersBelow.ani,fWhisper_Right.ani,fSatBackToBackFront.ani,piggybackDown.ani,fWhisper_Left.ani,repertoire,male_new.xml,whisper_Right.ani,CoverEyesBehind.ani,fSideCuddle_Right.ani,file,fArmAroundShoulderLeft.ani,AvatarInteractionPacks,fArmAroundShoulderRight.ani||||EP4377-NPER00057_00-FRIENDSPOS000299|UT5025-NPUR00220_00-0014090000000000||
21BBF490-67274D85-88429775-37E5B04D|nDreams 2-Player Interactions  Slapstick Pack 1|Get closer than ever to people in PlayStation Home with these new interactive 2-player slapstick moves from nDreams. Choose to throw or kick a willing avatar with this intimate new slapstick pack.|Portable-Interaction|nDreams Ltd.|1.86.0.17.PUB|P|12|L||T031|CarlaR||||||6145F74B-D04B4734-9C9DA577-296A9212|||lua,female.xml,male.xml,slapstick_kick_b_m.ani,boot.luac,slapstick_kick_b_f.ani,configuration.xml,slapstick_kick_a_f.ani,slapstick_throw_a_m.ani,femaleint,b,throw,repertoire,slapstick_throw_b_f.ani,slapstick_throw_a_f.ani,kick,animation,file,slapstick,slapstick_throw_b_m.ani,slapstick_kick_a_m.ani,AvatarInteractionPacks,1||||EP4114-NPER00011_00-NDREAMS2PL001915|UT5001-NPUR00022_00-0001040000000000||
23F1BD56-77BF40AE-A6CAE02D-8459928D|nDreams 2-Player Interactions  Gesture Pack 2|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to give a high five or a fist bump with this intimate new gesture pack.|Portable-Interaction|nDreams Ltd.|1.86.0.17.PUB|P|12|L||T031|CarlaR||||||3F41BEA6-FA414B74-8CB14014-17886EB6,89029A19-02604A8D-BEE9F7FB-036A50A1,BED0D2CD-B882491E-9FE634A8-ECFB978E|||high_five_b_f.ani,lua,female.xml,high_five_a_m.ani,male.xml,five,boot.luac,high_five_b_m.ani,configuration.xml,anim,fist_bump_b_m.ani,repertoire,fist_bump_a_m.ani,fist_bump_a_f.ani,fist_bump_b_f.ani,file,high_five_a_f.ani,AvatarInteractionPacks,high||||EP4114-NPER00011_00-NDREAMS2PL001883|UT5001-NPUR00022_00-0000690000000000||
265D2621-8AC64ECD-831E446B-ED9A4046|nDreams 2-Player Interactions  Hip Bump Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to hip bump from two different positions with this intimate new gesture pack.|Portable-Interaction|nDreams Ltd.|1.86.0.17.PUB|P|8|L||T031|KristianF||||||3F41BEA6-FA414B74-8CB14014-17886EB6|||HipBump_Follow_F.ani,HipBump_Follow_M.ani,lua,female.xml,male.xml,boot.luac,configuration.xml,femaleint,lead,follow,repertoire,hipbump,animation,Lead,file,Bump,HipBump_Lead_F.ani,HipBump_Lead_M.ani,Hip,AvatarInteractionPacks||||EP4114-NPER00011_00-NDREAMS2PL002198|UT5001-NPUR00022_00-0003850000000000||
3466EE0F-DBD14BCF-A77BEB54-44905E9F|nDreams 2-Player Interactions  Holding Hands Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to hold hands from two different positions with this intimate new gesture pack.|Portable-Interaction|nDreams Ltd.|1.86.0.17.PUB|P|8|L||T031|KristianF||||||89029A19-02604A8D-BEE9F7FB-036A50A1|||lua,Hands,female.xml,male.xml,Hold,holdhands,boot.luac,configuration.xml,femaleint,lead,follow,repertoire,HoldHands_Lead_M.ani,animation,HoldHands_Follow_M.ani,Lead,file,AvatarInteractionPacks,HoldHands_Follow_F.ani,HoldHands_Lead_F.ani||||EP4114-NPER00011_00-NDREAMS2PL002204|UT5001-NPUR00022_00-0003900000000000||
3AD6BA11-4B2E4E6C-971F0749-73579B2D|nDreams 2-Player Interactions  Leap Frog Gesture Pack|Get closer than ever to people in PlayStation Home with these new interactive 2-player gestures from nDreams. Choose to Jump or be be jumped with this intimate new gesture pack.|Portable-Interaction|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|KristianF||||||3F41BEA6-FA414B74-8CB14014-17886EB6|||LeapFrog_Follow_F.ani,lua,Frog,female.xml,male.xml,boot.luac,leapfrog,configuration.xml,leapfrog_lead_small.png,femaleint,lead,follow,LeapFrog_Lead_F.ani,repertoire,LeapFrog_Lead_M.ani,animation,Lead,file,LeapFrog_Follow_M.ani,thumbnails,Leap,AvatarInteractionPacks||||EP4114-NPER00011_00-NDREAMS2PL002197|UT5001-NPUR00022_00-0003840000000000||
3DF69F05-B51F4F87-AEB71ECF-EC094220|Spun Fun 01 (Avatar Interaction Pack)|Flatulent fun for finger pulling friends. Pull an avatar s finger to make them break wind. Or get them to pull your finger... Silent but deadly.|Portable-Interaction|madmunki|1.86.0.17.PUB|P|12|L||T032|munki|||||||||repertoire,lua,Pull_My_Finger_Dead.ani,SpunSilly_01.xml,female.xml,male.xml,Finger_Puller_Into.ani,boot.luac,animation,01,Finger_Puller_Dead.ani,Spun,file,Pull_My_Finger.ani,femaleint,Silly,pullmyfinger,AvatarInteractionPacks||||EP4393-NPER00062_00-SPUNFUN01A000169|UT5032-NPUR00280_00-0001660000000000||
