folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
005E5FB2-4A4447FB-B95E862E-C478E583|Classic Scooter - Cream|Become a style icon with this fashionable Classic Scooter. Hold the square button to gain a speed boost. Speed  Standard = 4meters per second Square Boost = 5.25meters per second|Portable-Locomotion|VEEMEE|1.75.0.85.PUB|P|20|L||T031|mark|||||||||Cream_Lod2.mdl,lua,F_Move_V03.ani,female.xml,male_emotes.xml,male.xml,emotes,Scooter_Move_V02.ani,boot.luac,M_Lft_Turn_V03.ani,Scooter_Lookaround_V02.ani,Locomotion,anim,rig,F_LookAround_V02.ani,female_emotes.xml,repertoire,M_Lookaround_V02.ani,F_Right_Turn_V03.ani,config.xml,file,Cream_Lod1.skn,M_Rt_Turn_V03.ani,F_Left_Turn_V03.ani,Cream_Lod1.mdl,M_Move_V03.ani,MotorScooter,particle,smoke.efx||||EP4065-NPER00003_00-CLASSICSCO001867|UT5002-NPUR00030_00-0037240000000000|HT4005-NPHR00020_00-0009020000000000|
0072B2BF-89974A9F-8FAA019D-4CF69A27|Auras - Energywave Locomotion Item|An aura emanates from your core. Unleash the power within. Combines with all clothing items.|Portable-Locomotion|Konami Digital Entertainment, Inc.|1.70.0.93.PUB|P|7|L||T031|arobles|||||||||female_emotes.xml,repertoire,lua,female.xml,male.xml,male_emotes.xml,emotes,animatedmodels,boot.luac,config.xml,auras,file,AuraSpinEnergywave,Locomotion,AuraSpinEnergywave.mdl||||EP0101-NPER00034_00-AURASENERG000917|UP0101-NPUR30230_00-0031100000000000||
0082BA41-21354140-A674D4A9-8B129D11|LMO - Xi Hover Bike  The Scarab|The Scarab is a sleek, futuristic hover bike. Rocket around on the latest technology and hold the square button to receive a speed boost. Speed  LMO (Locomotion) is a portable item.|Portable-Locomotion|nDreams Ltd.|1.70.0.93.PUB|P|16|L||T033|janes||||||EC064C06-81494DB5-8A8114EF-D2AE37B6|||idle_f.ani,lua,female.xml,male.xml,male_emotes.xml,emotes,boot.luac,hoverbike,Locomotion,hoverbike3.skn,avatar_boostf.ani,female_emotes.xml,repertoire,idle.ani,walk.ani,config.xml,hoverbike_walk.ani,avatar_boost.ani,file,hoverbike3.mdl,hoverbike1.ani,walk_f.ani||||EP4114-NPER00011_00-LMOXIHOVER001159|UT5001-NPUR00020_00-0006720000000000|HT4002-NPHR00033_00-0000600000000000|JT4002-NPJR50260_00-AA70990000000000
0084E6AB-0D644652-893F607F-B8536428|Shadow Mysterious UFO|Blast off into the past and boost your speed to 150% with Retro Flyers. Your speed boost will automatically engage when moving at full running speed. Retro Flyers can be accessed from your personal inventory.|Portable-Locomotion|Hellfire Games, Inc.|1.80.0.53.PUB|P|21|L||T031|bkerbow||||||D9D620E4-A3A444C6-AA9E4775-3DE2C342,E5EFB13A-6D7041BC-B8174D3C-BFFB7836|||lua,RetroFlyer_UFO_Purple.mdl,RetroFlyer_UFO_Move.ani,female.xml,male.xml,male_emotes.xml,emotes,UFO_fidle.ani,boot.luac,UFO_mright.ani,UFO_fleft.ani,Locomotion,RetroFlyer_UFO_Rig.skn,anim,config_UFO.xml,Retroflyer,female_emotes.xml,flame.efx,repertoire,UFO_midle.ani,RetroFlyer_UFO_Idle.ani,file,UFO_mleft.ani,UFO_fright.ani,streak02.efx,locomotionassets,particle,smoke.efx||||EP4305-NPER00037_00-SHADOWMYST000241|UT5006-NPUR00070_00-0007100000000000||JT4006-NPJR50360_00-AA70400000000000
00876BDB-66BE424D-9E0AFB28-B143BF18|Dr Pepper TEN   Vending Machine Costume|Representing the very latest in stealth technology, this vending machine disguise allows the wearer to blend seamlessly into the background whenever danger presents itself. Pressing SQUARE increases the avatar s speed.|Portable-Locomotion|Sony Computer Entertainment|1.75.0.85.PUB|L|18|L||T032|mark|||||||||lua,female.xml,male.xml,male_emotes.xml,emotes,skeleton,boot.luac,fmove.ani,board.skn,fidle.ani,VendingMachine,Locomotion,cabinet.mdl,anim,fright.ani,female_emotes.xml,flame.efx,move.ani,repertoire,idle.ani,config.xml,right.ani,left.ani,file,DrPepper,particle,fleft.ani,smoke.efx|||||||
00A4BA4E-77A84F4E-878B24D0-6C3F88DE|Element - Evan Moonshine Cigar Box Deck - Kickflip|An authentic Element skateboard. Hold the square button to perform a trick and gain a speed boost. Speed  Standard = 4meters per second Square Boost = 5.25meters per second This item is a portable item.|Portable-Locomotion|VEEMEE|1.82.0.17.PUB|P|20|L||T032|alan|||||||||lua,female.xml,board_move.ani,male_emotes.xml,male.xml,emotes,Special_Kickflip.ani,boot.luac,Skateboards,fmove.ani,board.skn,skeleton,fidle.ani,Locomotion,anim,fright.ani,female_emotes.xml,move.ani,repertoire,idle.ani,fSpecial_Kickflip.ani,config.xml,right.ani,fleft.ani,model,left.ani,file,Board_EvanMoonshineCigarBox.mdl,board_Idle.ani||||EP4065-NPER00071_00-ELEMENTEVA001065|UT5002-NPUR00030_00-0051770000000000||
00BBC23E-C1234A5D-A4565DE2-3FCF8774|Mythical Creature Avatars - Golden Phoenix|Transform your avatar into a Golden Phoenix with this mythical creature locomotion item. This item is part of the Limited Edition 3D Printer Anniversary Collection. Speed  -Standard = 5.25 meters per second This item is a portable item.|Portable-Locomotion|VEEMEE|1.86.0.17.PUB|L|15|L||T031|Danny|||||||||lua,female.xml,male.xml,male_emotes.xml,PhoenixFlames.efx,emotes,boot.luac,skeleton,fmove.ani,GoldPhoenix_Rig_Lod1.mdl,Locomotion,anim,Phoenix_Walk_V01.ani,MythAvatarPhoenix,female_emotes.xml,move.ani,repertoire,Phoenix_Run_V01.ani,phoenix_Rig_Lod1.skn,GoldPhoenix_Rig_Lod2.mdl,config.xml,Phoenix_Hover_V01.ani,model,file,particle|||||||
010049B6-EB7E41B8-A4BC8B3E-6B43200D| Juggernaut Hoverdisc - Cloudrunner |This inventory item boosts your avatar s speed by 50%. BONUS  Unlocks the Hoverdisc gadget for use in MiniBots multiplayer.|Portable-Locomotion|Juggernaut Games|1.80.0.53.PUB|P|18|L||T032|Juggernaut Games||||||225CA3EF-710B4353-989D9808-BAB2A34C,CBA35FFB-80494DD1-8AE032CA-ABCA8271|||MINIBOTS,config_variant1.xml,MINIBOTS_Hoverboard_Pink.mdl,female.xml,male.xml,male_emotes.xml,lua,emotes,Pink_Exhaust.efx,male_hoverboard_forwardright.ani,boot.luac,MINIBOTS_Hoverboard_Pink_Remote.mdl,hoverboardlocomotion,female_hoverboard_idle.ani,MINIBOTS_Hoverboard.skn,male_hoverboard_forwardleft.ani,female_emotes.xml,female_hoverboard_forwardleft.ani,repertoire,minibots,MiniBots,female_hoverboard_forward.ani,HoverboardLocomotion,animation,female_hoverboard_forwardright.ani,model,file,Tools,AtgParticles,male_hoverboard_forward.ani,female,male_hoverboard_idle.ani||||EP5020-NPER00048_00-JUGGERNAUT000211|UT5014-NPUR00140_00-JUGHOVERDISCXXX4|HT4017-NPHR00037_00-0000690000000000|
0105D304-F74B4A29-A16BE43C-FA73A55E|LMO - Bat Swarm|Transform yourself into a terrifying swarm of blood sucking bats and prowl the streets for tasty victims. LMO (Locomotion) is a Portable Item. By equipping this item, your movement speed will be increased.|Portable-Locomotion|Lockwood|1.80.0.53.PUB|P|24|L||T032|Lockwood|||||||||bats_lod.mdl,lua,female.xml,male.xml,male_emotes.xml,emotes,f_hidden.ani,boot.luac,fmove.ani,fidle.ani,Locomotion,bats.ani,bats_hidden.ani,m_idle.ani,anim,transform,fright.ani,halloween,poof.efx,female_emotes.xml,move.ani,repertoire,idle.ani,config.xml,right.ani,left.ani,file,m_hidden.ani,f_idle.ani,bats.mdl,bats.skn,fleft.ani||||EP4127-NPER00050_00-LMOBATSWAR001389|UT5000-NPUR00012_00-LKWDLMOBATSWARMA||
010F0CC5-17D94A64-85210AE3-6A2E38CE|Locomotion - Snacks and Picnic Sheet (Camellia)|A sheet spread out on the ground that is indispensable for outings. When using it, your avatar will sit atop the sheet when you stop moving. Open the menu with the R1 button to choose from 4 different sitting styles. Locomotion Speed  *Locomotion is a portable item.|Portable-Locomotion|Granzella Inc.|1.75.0.85.PUB|P|24|L||T031|shimizu||||||1AC85A4E-772A4B28-BD4CBB89-0D24E043,4855FEB6-E3BD49CB-AB9FDF51-B7711C5C|||sheet_open.ani,lua,female.xml,run.ani,male_emotes.xml,male.xml,emotes,sheet_move_00.ani,boot.luac,f_pose0.ani,f_pose3.ani,m_open.ani,m_pose3.ani,skeleton,f_open.ani,00,Locomotion,anim,model.skn,frun.ani,f_pose2.ani,female_emotes.xml,repertoire,m_pose1.ani,model.mdl,config.xml,model,file,model_lo.mdl,m_pose2.ani,m_pose0.ani,f_pose1.ani,sheet_idle_00.ani,03,leisureSheet|||||UT5012-NPUR00121_00-0003580000000000|HP0025-NPHR00035_00-0001200000000000|
