folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
130C3613-9E07498F-B6CAC8E2-92C9E8B8|Fourth of July Marching Drum (Sound Pack)|Celebrate the Declaration of Independence on July 4th 1776 by marching on the spot in time to the beat of your massive magical invisible star spangled drum.|Portable-Soundpack|madmunki|1.86.0.17.PUB|P|7|L||T032|munki|||||||||lua,female.xml,male.xml,boot.luac,Drum_conf.xml,4th,bigdrum,Marching_BigDrum_Idle.ani,Test,repertoire,Drum_SoundPack.bnk,animation,soundbank,file,female,marching,Marching_BigDrum_idle.ani,July,SoundPacks||||EP4393-NPER00062_00-FOURTHOFJU000193|UT5032-NPUR00280_00-0001880000000000||
15C08DF4-FF4B4946-B39AB649-EE95E530|Fourth of July Marching Whistle (Sound Pack)|Celebrate the Declaration of Independence on July 4th 1776 by marching on the spot with a war wounded limp and a soulful tune - like t was 1776.|Portable-Soundpack|madmunki|1.86.0.17.PUB|P|7|L||T031|munki|||||||||pennywhistle,lua,female.xml,male.xml,boot.luac,4th,PennyWhistle_Idle.ani,Test,repertoire,Whistle_SoundPack.bnk,animation,soundbank,file,female,July,Whistle_config.xml,SoundPacks||||EP4393-NPER00062_00-FOURTHOFJU000194|UT5032-NPUR00280_00-0001890000000000||
191C2D6D-571F41FF-904F2B48-8016D80E|Air-Mic Sound Pack| A collection of 3 air-mic animations, with voice samples which can be heard by other avatars near you. Your avatar can sing lyrically, rock and chant Yeah yeah , or croon Oooh yeah. . Press square for the contextual menu, to choose the sound sample and its associated animation. |Portable-Soundpack|Atom Republic|1.86.0.17.PUB|P|12|L||T031|Tanguy|||||||||airmic,lua,female.xml,AirMicM.bnk,male.xml,soundpacks,boot.luac,rocking.ani,soundstream,configuration.xml,SoundPacks,clenchedFistF.ani,repertoire,ClenchedFist.ani,HeadUp.ani,animation,AirGuitar186,file,HeadUpF.ani,RockingF.ani,female,air-mic,AirMicF.bnk||||EP4377-NPER00057_00-AIRMICSOUN000265|UT5025-NPUR00220_00-0013730000000000||
24D8444F-37C4437B-ACD2E99B-09154F8C|nDreams Sound Packs  Whistling Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you wolf whistle and get attention with this new whistling sound pack.|Portable-Soundpack|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|CarlaR|||||||||repertoire,lua,female.xml,male.xml,MALE_DEFAULT.bnk,whistling_attention_m.ani,FEMALE1.bnk,boot.luac,whistling_wolf_f.ani,soundbank,file,whistling_attention_f.ani,configuration.xml,whistling_wolf_m.ani,whistling,anim,SoundPacks||||EP4114-NPER00011_00-NDREAMSSOU001888|UT5001-NPUR00022_00-0000740000000000||
29092C6D-4FFD4C37-9E90577D-C80541C4|nDreams Sound Packs  Kissing Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you blow a kiss and kiss the air with this new kissing sound pack.|Portable-Soundpack|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|CarlaR|||||||||kiss_air_m.ani,kiss_blow_m.ani,lua,female.xml,male.xml,boot.luac,configuration.xml,kiss,Kisses_M.bnk,repertoire,kiss_blow_f.ani,Kisses_F.bnk,animation,soundbank,file,female,kiss_air_f.ani,blow,air,SoundPacks||||EP4114-NPER00011_00-NDREAMSSOU001896|UT5001-NPUR00022_00-0000820000000000||
30E5B2C9-2F1B4D5F-B1CEAD0A-A5F8AB8F|nDreams Sound Packs  Clapping Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you clap and cheer with this new clapping sound pack.|Portable-Soundpack|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|CarlaR|||||||||repertoire,lua,female.xml,male.xml,MALE_DEFAULT.bnk,FEMALE1.bnk,clapping,clapping_clap_m.ani,boot.luac,soundbank,file,clapping_clap_f.ani,configuration.xml,clapping_cheer_m.ani,anim,clapping_cheer_f.ani,SoundPacks||||EP4114-NPER00011_00-NDREAMSSOU001889|UT5001-NPUR00022_00-0000750000000000||
39A6DC34-BAA546CD-9FA7A5D3-DC2DA7E9|Air-Drums Sound Pack|A collection of 3 air-drums animations, with drum samples which can be heard by other avatars near you. You can choose between the slow loop, the fast loop, and drumsticks-tapping. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|Atom Republic|1.86.0.17.PUB|P|11|L||T031|Tanguy|||||||||lua,fastF.ani,female.xml,Loop.ani,fast.ani,male.xml,soundpacks,boot.luac,airdrum,soundstream,configuration.xml,tapping.ani,repertoire,tappingF.ani,animation,AirGuitar186,file,female,AirDrums.bnk,drums,Drums,loopF.ani,SoundPacks||||EP4377-NPER00057_00-AIRDRUMSSO000264|UT5025-NPUR00220_00-0013720000000000||
4D4812D3-2F504482-B22A8843-20DBAFD2|nDreams Sound Packs  Rude Pack 2|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you fart and break wind with this new rude sound pack.|Portable-Soundpack|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|CarlaR|||||||||lua,female.xml,male.xml,boot.luac,configuration.xml,fart_f.ani,repertoire,breakwind_m.ani,animation,soundbank,FemaleF.bnk,breakwind,fart,file,female,breakwind_f.ani,fart_m.ani,rude2,MaleF.bnk,SoundPacks||||EP4114-NPER00011_00-NDREAMSSOU001919|UT5001-NPUR00022_00-0001020000000000||
504A76B2-E7DA4FB6-AAF6BA84-7FD414BF|Undead Voice Male 01 | Male Speak like the undead. 3 sounds |Portable-Soundpack|Engine Giant Entertainment, LLC|1.86.0.17.PUB|P|5|L||T031|X|||||||||repertoire,lua,female.xml,male.xml,UndeadMale01.bnk,boot.luac,Male,01,soundbank,file,Undead,configuration.xml,SoundPacks|||||UT5037-NPUR00340_00-0001100000000000||
61812DCD-732B460D-875872DB-D343DF5D|Ghost Voice Male 01 | Male Speak like a ghost. 3 sounds |Portable-Soundpack|Engine Giant Entertainment, LLC|1.86.0.17.PUB|P|5|L||T031|X|||||||||repertoire,lua,female.xml,male.xml,GhostMale01.bnk,boot.luac,Male,01,soundbank,file,configuration.xml,Ghost,SoundPacks|||||UT5037-NPUR00340_00-0001110000000000||
7901B9C0-11DF4FD8-81311762-01136DF2|nDreams Sound Packs  Laughing Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you giggle and laugh with this new laughing sound pack.|Portable-Soundpack|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|CarlaR|||||||||lua,female.xml,male.xml,boot.luac,configuration.xml,giggle_f.ani,giggle_m.ani,giggle,laugh_m.ani,repertoire,LaughF.bnk,animation,soundbank,file,female,laugh,laugh_f.ani,LaughM.bnk,SoundPacks||||EP4114-NPER00011_00-NDREAMSSOU002024|UT5001-NPUR00022_00-0002230000000000||
79B5EF71-3A454F2A-9CD9E9E9-2D3172BA|Adventurer Voice Male 01 | Male Speak like an adventurer. 8 sounds |Portable-Soundpack|Engine Giant Entertainment, LLC|1.86.0.17.PUB|P|5|L||T032|X|||||||||AdventurerVoiceMale01.bnk,repertoire,lua,female.xml,male.xml,Adventurerboot.luac,soundbank,file,configuration.xml,SoundPacks|||||UT5037-NPUR00340_00-0000710000000000||
7AA2DD0E-49554568-A433E0B5-48454D47|Fartinator Sound Pack| What s that smell. This audible version of the Fartinator 8000 is the opposite of silent but deadly , as nearby users will hear every bodily function you can muster. |Portable-Soundpack|Hellfire Games, Inc.|1.86.0.17.PUB|A|19|L||T031|bkerbow|||||||||lua,female.xml,male.xml,male_emotes.xml,FEMALE1.bnk,emotes,fCoughing_Anim.ani,boot.luac,mLoudandProud_Anim.ani,Fartinator5550_Female.bnk,configuration.xml,anim,spf_pose1_in.ani,repertoire,Fartinator.bnk,fSilentButDeadly_Anim.ani,MALE_DEFAULT.bnk,fSecretAgent_Anim.ani,soundbank,5550,file,spm_squat.ani,Fartinator5550_male.bnk,mLegLift_Anim.ani,Fartinator,spf_pose1.ani,fLoudandProud_Anim.ani,SoundPacks|||||||
7B116421-19474AAD-B282B4F3-3F743FFC|Necromancer Voice Male 01 | Male Speak like a necromancer. 8 sounds |Portable-Soundpack|Engine Giant Entertainment, LLC|1.86.0.17.PUB|P|5|L||T031|X|||||||||repertoire,lua,female.xml,male.xml,boot.luac,Necromancer,NecromancerMale01.bnk,soundbank,file,configuration.xml,SoundPacks|||||UT5037-NPUR00340_00-0000700000000000||
9BFF3B55-19844A2A-B9FBD829-4D50EE86|nDreams Sound Packs  Crying Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you cry and sob with this new crying sound pack.|Portable-Soundpack|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|CarlaR|||||||||lua,female.xml,male.xml,boot.luac,cry,cry_f.ani,configuration.xml,sob_f.ani,repertoire,sob,cry_m.ani,sob_m.ani,animation,soundbank,file,CryF.bnk,female,CryM.bnk,SoundPacks||||EP4114-NPER00011_00-NDREAMSSOU002023|UT5001-NPUR00022_00-0002220000000000||
A19092D3-28944C8E-92198426-CD6750C4|Wizard Voice Male 01 | Male Speak like a wizard. 8 sounds |Portable-Soundpack|Engine Giant Entertainment, LLC|1.86.0.17.PUB|P|5|L||T031|X|||||||||repertoire,lua,female.xml,male.xml,boot.luac,Male,01,soundbank,Wizard,file,WizardMale01.bnk,configuration.xml,SoundPacks|||||UT5037-NPUR00340_00-0000720000000000||
A8B0FB05-66554F1F-A62728AD-A9565DF0|nDreams Sound Packs  Rude Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you burp and hiccup with this new rude sound pack.|Portable-Soundpack|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|CarlaR|||||||||lua,female.xml,hiccup_m.ani,male.xml,boot.luac,hiccup_f.ani,configuration.xml,Female.bnk,repertoire,burp_m.ani,burp,Male.bnk,animation,hiccup,soundbank,file,female,rude1,burp_f.ani,SoundPacks||||EP4114-NPER00011_00-NDREAMSSOU001918|UT5001-NPUR00022_00-0001010000000000||
AB37FAB4-C5D042D8-9F030832-39183043|Air-Guitar Sound Pack|A collection of 4 air-guitar animations, with electric guitar samples which can be heard by other avatars near you. You can choose between the loop, the hand-up, the jump and the riff. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|Atom Republic|1.86.0.17.PUB|P|13|L||T031|Tanguy|||||||||lua,guitar,female.xml,male.xml,soundpacks,boot.luac,soundstream,configuration.xml,jump_m.ani,riff_m.ani,armloop_f.ani,repertoire,jump_f.ani,airguitarf.ani,riff_f.ani,animation,armloop_m.ani,AirGuitar186,file,airguitar.ani,female,AirGuitar.bnk,SoundPacks||||EP4377-NPER00057_00-AIRGUITARS000266|UT5025-NPUR00220_00-0013740000000000||
B539A83B-63EB4418-A5D82346-B4D3D17B|nDreams Sound Packs  Waving Pack 1|Tell the people of PlayStation Home exactly how you feel with these new sound packs from nDreams. Allow other avatars to hear you wave and cute wave with this new waving sound pack.|Portable-Soundpack|nDreams Ltd.|1.86.0.17.PUB|P|10|L||T031|CarlaR|||||||||lua,female.xml,male.xml,wave_wave_f.ani,boot.luac,wave_wave_m.ani,configuration.xml,wave,repertoire,animation,soundbank,Waves_F.bnk,file,wave_cute_m.ani,female,wave_cute_f.ani,Waves_M.bnk,cute,SoundPacks||||EP4114-NPER00011_00-NDREAMSSOU001897|UT5001-NPUR00022_00-0000830000000000||
B835D19E-D0EF4E17-9BB8A2C6-3915AAFC|Beat-Boxing Sound Pack|A collection of 3 beatboxing animations, with voice samples which can be heard by other avatars near you. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|Atom Republic|1.86.0.17.PUB|P|11|L||T031|Tanguy|||||||||lua,female.xml,male.xml,intenseF.ani,soundpacks,boot.luac,down.ani,rocking.ani,soundstream,configuration.xml,Beatboxing,repertoire,downF.ani,beatboxing,beat-boxing,Beatboxing.bnk,animation,AirGuitar186,intense.ani,file,RockingF.ani,female,SoundPacks||||EP4377-NPER00057_00-BEATBOXING000267|UT5025-NPUR00220_00-0013750000000000||
DBB2E02D-AC0A4D44-AEDC4396-0F653523|Air-Keyboard Sound Pack|A collection of 3 Air-Keyboard animations, with keyboard samples which can be heard by other avatars near you. You can choose between the quiet loop, the hammering and the intense loop. Press square for the contextual menu, to choose the sound sample and its associated animation.|Portable-Soundpack|Atom Republic|1.86.0.17.PUB|P|13|L||T031|Tanguy|||||||||lua,female.xml,male.xml,hammering.ani,intenseF.ani,AirKeyboard.bnk,boot.luac,soundpacks,quietF.ani,soundstream,configuration.xml,airkeyboard,HammeringF.ani,quiet.ani,repertoire,jump_f.ani,animation,AirGuitar186,intense.ani,file,female,jump_m.ani,air-keyboard,SoundPacks||||EP4377-NPER00057_00-AIRMICSOUN000268|UT5025-NPUR00220_00-0013760000000000||
E0492FD4-7DC840E2-BC66EC9E-88496FC9|Assassin Voice Male 01 | Male Speak like an assassin. 8 sounds |Portable-Soundpack|Engine Giant Entertainment, LLC|1.86.0.17.PUB|P|5|L||T031|X|||||||||repertoire,lua,AssassinMale01.bnk,male.xml,female.xml,Assassin,boot.luac,soundbank,file,configuration.xml,SoundPacks|||||UT5037-NPUR00340_00-0000690000000000||
E883F13E-DE6446B6-B76AA739-DBE9BB8E|Spun Fun Sound Pack 01|Life s a gas with these smelly sounds with animations. Drop one and blame someone else, or just let rip regardless.|Portable-Soundpack|madmunki|1.86.0.17.PUB|P|13|L||T031|munki|||||||||Fart_SqueezeOneOut.ani,Fart_Nicole.ani,lua,female.xml,male.xml,boot.luac,femaleint,farts,repertoire,MFart_SqueezeOneOut.ani,MFart_Papa.ani,SillySpunSoundsPack_01.xml,animation,01,Spun,file,soundbank,Fart_Blame.ani,MFart_Nicole.ani,MFart_Blame.ani,Silly,Fart_Papa.ani,SpunSilly_01.bnk,SoundPacks||||EP4393-NPER00062_00-SPUNFUNSOU000170|UT5032-NPUR00280_00-0001670000000000||
