folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
50s_Diner_Apt_FED2_B1BC|VEEMEE s 50 s Diner|Don t be a square on those summer nights and head down to the VEEMEE 50 s Diner to hand jive, grab some food and hang with friends.|Private|VEEMEE|1.80.0.53.PUB|PrivateNoVideo|7|L|50s_Diner_Apt_FED2_B1BC|T003|||PrivateNoVideo|||3|3A2EDB43-F2694335-B657340B-85942E6D,4D50E834-83994A2A-838804D5-C0BC3D19,6332F91D-18294D59-90DED7F5-1A2D58B4|22579296|||fifties_diner fifties_diner.scene|fifties_diner_T036.sdc|||||
921_Acacia_Drive_6B3F_16ED|921 Acacia Drive|Live the suburban dream at 921 Acacia Drive. With a range of rooms for you to decorate to suit your tastes, along with 8 daily reward items that give you the essential furniture items, this personal space is a bonafide slice of Americana.|Private|Lockwood|1.86.0.17.PUB|Home|27|L|921_Acacia_Drive_6B3F_16ED|T002|||Home|||0||24193396|||nursery nursery_apartment nursery_apartment.scene|nursery_apartment_T032.sdc|||||
AC2_Venetian_Apt_3161_9FB5|Assassin s Creed Apartment|Take time out and relax in the birthplace of culture and art, 15th Century Italy. Place your treasured possessions within a luxurious Venice apartment overlooking the famous canals.|Private|Ubisoft|1.3.6.22.PUB|Home|59|L|AC2_Venetian_Apt_3161_9FB5|T003|||Home|||1|AEA75916-513745BC-8ACC3B2F-47E1075C|34189428|||ac2_apartment ac2_apartment.scene|ac2_apartment_T041.sdc|||||
AM_Birthday_Apt_830A_D57F|Acorn Meadows Park Apartment - 1st Birthday.|Join us in in celebrating Acorn Meadows Park s 1st Birthday. Your own little private slice of Acorn Meadows Park, this lakeside garden apartment provides the perfect place to relax and take time away from the main Park without leaving the Acorn Meadows environment. Awarded in the 1st Birthday Acorn Meadows Park after completing all 22 Birthday Challanges.|Private|VEEMEE|1.86.0.17.PUB|PrivateNoVideo|7|L|AM_Birthday_Apt_830A_D57F|T001|||PrivateNoVideo|||3|40007919-FA6E42D9-A93B8AC6-E0952D0C,74F7DC8D-62E34872-A2F08F2D-E90E63D3,CA54C0DC-F76D4C03-8BAF556C-50F2D37E|20923220|||veemeepark acorn_meadows_apartment_birthday.scene|acorn_meadows_apartment_birthday_T033.sdc|||||
AbbeyHillCottage_Apt_A513_5000|Abbey Hill Cottage|In a picturesque setting beside the river, stands the timeless Abbey Hill Cottage. Dating back to the 17th century, this period house was home to the Lord Ronald Phillipson distant cousin to the inventor of the watering can. The cottage now nestles in serenity, amongst stunning scenery, enveloped by a breathtaking countryside scene.|Private|Lockwood|1.80.0.53.PUB|Home|46|L|AbbeyHillCottage_Apt_A513_5000|T001|||Home|||1|7921BA40-E93C47D1-ADF128E2-669A006A|39747772|||cottage_apartment cottage_apartment.scene|cottage_apartment_T031.sdc|||||
Aeronautilus_F37A_F04C|The Imperial Voyager|Traverse the great blue yonder in Professor Sidwell s patented steampunk skyship, the legendary Imperial Voyager.|Private|Sony Computer Entertainment|1.82.0.17.PUB|Home|13|L|Aeronautilus_F37A_F04C|T001|||Home|||1|43046CB3-6E564CBD-9C3948F1-448B3036|29559068|||airship airship.scene|airship_T035.sdc|||||
Ajagaras_Peak_Apt_4A94_3E08|Ajagara s Peak|Nestled atop a steep and perilous mountain Ajagara s Peak is only accessible to a select few - those known as the Dragon Scouts. A place for diligent training, scholarly pursuits and deep mediation the monastery at Ajagara s Peak was founded to train an elite band of soldiers who keep watch over the kingdom of Ajagara.|Private|Lockwood|1.86.0.17.PUB|Home|17|L|Ajagaras_Peak_Apt_4A94_3E08|T001|||Home|||1|D93E363E-C0704610-8FAED188-BB4E0C79|42777456|||stand_alone mountain_top mountain_top.scene|mountain_top_T031.sdc|||||
AnsadaFone_Apt_97BA_6BD6|Ansada Fone Apartment|This truly unique apartment isn t like anything you have ever seen before in PlayStation Home. A fantastic cartoon world where you can play a frantic 4 player mini game with your friends or chill out and redecorate. Will you get there in time to Ansada Fone.|Private|nDreams Ltd.|1.82.0.17.PUB|Home|19|L|AnsadaFone_Apt_97BA_6BD6|T005|||Home|||4|27F719C1-990C4B45-B42D7904-1960D13F,315B605C-981A4273-8793A555-621C2026,40D581D4-55AA4F98-BF4C4E47-0C17E7A3,52EC5682-96CA4027-83E399A7-CE4E12AE|5105832|||ansadafone_apt_97ba_6bd6_redesign ansadafone_apt_97ba_6bd6.scene|ansadafone_apt_97ba_6bd6_T038.sdc|||||
Ansadafone_Night_Apt_A474_EDB5|Ansada Fone Apartment (Night)|This is a special version of the Ansada Fone Apartment that was won from playing the OMG Trap-O-Matic in Aurora. Don t forget to check out the other cool apartments and clubhouses from nDreams.|Private|nDreams Ltd.|1.82.0.17.PUB|Home|19|L|Ansadafone_Night_Apt_A474_EDB5|T003|||Home|||4|27F719C1-990C4B45-B42D7904-1960D13F,315B605C-981A4273-8793A555-621C2026,40D581D4-55AA4F98-BF4C4E47-0C17E7A3,52EC5682-96CA4027-83E399A7-CE4E12AE|5820968|||ansadafone_apt_97ba_6bd6_redesign ansadafone_night_apt_a474_edb5.scene|ansadafone_night_apt_a474_edb5_T034.sdc|||||
ApartmentEvening|Rainy Day Apartment|When the sun is setting and it s wet outside, there really is no place like home...|Private|Sony Computer Entertainment|1.82.0.17.PUB|Home|31|L|ApartmentEvening|T001|||Home|||1|054D6FF8-5F894D48-9FE3D6DF-C6F81E9E|23608000|||basic_apartment_evening basic_apartment_evening.scene|basic_apartment_evening_T037.sdc|||||
Arabian_Castle_Apta_12FC_3AE3|The Jewel of the Skies|The Jewel of the Skies was once a flourishing village in the clouds, each palace and dwelling accessible only by flying carpet. Long ago this magical knowledge was lost and the towers and spires gradually fell into disrepair until only a few remained. Awaken the Genie, unleash his magic and reap the rewards. Flying Carpet Gem Collection Mini-game Interactive Genie Unlockable rewards and apartment customisations|Private|Lockwood Publishing Ltd|1.70.0.93.PUB|Home|35|L|Arabian_Castle_Apta_12FC_3AE3|T002|||Home|||2|7D81805B-88BF486D-A0C1F7D2-00084F0E,C0D88777-AA7944BE-9BFBFB86-11E0B8C0|57226852|||1001_nights palace_apartment 1001_nights.scene|1001_nights_T036.sdc|||||
ArcticDreamYacht_Apt_D1C5_F674|The Dream Yacht  Arctic Voyage|Treat them to the sights of breathtaking glaciers, giant ice formations and crystal blue waters with the Dream Yacht  Arctic Voyage. Explore three decks, chill out on the private ice shelf and collect 20 unique rewards. Live the dream.|Private|Lockwood|1.83.0.11.PUB|Home|18|L|ArcticDreamYacht_Apt_D1C5_F674|T004|||Home|||7|3A59A193-D15E4D0B-988B99C2-7596E282,770FF739-DAD44413-AD5ADAC4-2BA06BC9,7F2FA371-A97E4508-AA98AAF2-F894D6AF,8EF91777-2B414A23-866B25AB-442A72C2,90448CC6-000D48D7-BA23664B-16BC6E67,C3835154-9B734FC6-915B087E-433BEA75,E5ED6504-4FF448F7-9FC0FA0E-048FDC8E|23146964|||scenes yacht_arctic yacht_arctic.scene|yacht_arctic_T035.sdc|||||
Atom_Park_Apt_AD76_3C79|Atom Republic Park  personal space|Whether you prefer to chill out by the fountain, or dance with your friends in the music pavilion, there is always a good reason to come and visit this peaceful art-d co public park. Contains a go-kart racing game, a rythm-action game, and the Space Crash arcade cabinet. Get exclusive rewards form playing and winning.|Private|Atom Republic|1.86.0.17.PUB|PrivateNoVideo|57|L|Atom_Park_Apt_AD76_3C79|T003|||PrivateNoVideo|||5|34443D19-BDBC41D4-AA8EBB4F-F9FCF45F,3BEE9940-8849432C-B5BE199F-ECF0202A,7495A8DA-1E534400-A09D78B5-0A54DE72,D1E6EF5D-DCD14B16-8B577252-48BF608E,EC6B6F58-0ADD437A-B58E0D13-1F03B849|19787404|||chilloutpark atom_park_apt_ad76_3c79.scene|atom_park_apt_ad76_3c79_T035.sdc|||||
AudiApt_394B_F75E|Audi Apartment|The Audi apartment is your reward for reaching the skies in the Audi Vertical Run game. Inside the apartment you can watch Audi TV, or simply admire the view of the city below.|Private|AUDI AG|1.70.0.93.PUB|Home|23|L|AudiApt_394B_F75E|T011|||Home|||1|01E4B162-EC1E4A83-A0A560EB-A392BDDD|15893552|||audiapt audiapt.scene|audiapt_T041.sdc|||||
Audi_Connect_Apt_C2D4_2F8B|Audi Technology Apartment|The Audi Technology Apartment is your reward for configuring and racing your perfect car in the Audi Technology Experience. Inside the apartment you can relax, entertain your friends, or simply admire the view of the city below.|Private|AUDI AG|1.70.0.93.PUB|Home|11|L|Audi_Connect_Apt_C2D4_2F8B|T002|||Home|||2|01E4B162-EC1E4A83-A0A560EB-A392BDDD,6CDD9FFA-D6074B8F-816B6A9B-70665DB9|10225728|||audiconnect audiconnect_apartment.scene|audiconnect_apartment_T032.sdc|||||
Audi_Sled_MP_695B_CC81|Audi S1 Sledge Multiplayer|Jump onto an Audi S1 Sledge and race down the mountainside against up to 5 other players, with a chance to win rewards.|Private|AUDI AG|1.50.0.238.BETA|Home|44|L|Audi_Sled_MP_695B_CC81|T003|||Home|||3|2981450B-7AB84AD7-921C4B9C-3E59B50B,37E8FECC-CFB54F21-A7EE32C2-A901BF49,711F2E59-B7B74917-8C9054BB-24679A34|32796356|||audisled audisledapt.scene|audisledapt_T034.sdc|||||
Aurora_100RewardApt_5594_97F6|Aurora Champion Apartment|To reward you for your hard work and dedication to Aurora, we have gifted you this Aurora Champion apartment.|Private|nDreams Ltd.|1.55.0.155.BETA2|Home|104|L|Aurora_100RewardApt_5594_97F6|T004|||Home|||1|C5237273-914941A8-B0A7E97B-26DCCC11|42020032|||landsharkisland aurora_100rewardapt_5594_97f6.scene|aurora_100rewardapt_5594_97f6_T034.sdc|||||
Aurora_Island_ACAA_2178|Aurora Island|Your very own slice of Aurora - It is a place to relax and contemplate. Well, when Aurora isn t under attack.|Private|nDreams Ltd.|1.80.0.53.PUB|Home|84|L|Aurora_Island_ACAA_2178|T004|||Home|||2|C5237273-914941A8-B0A7E97B-26DCCC11,F223FCF9-9EA74EF3-A1D6BCE1-FF0E4CE9|27437500|||auroraapartment aurora_island_acaa_2178.scene|aurora_island_acaa_2178_T040.sdc|||||
Aurora_Trophy_Apt_F843_B9D|Aurora Showcase Apartment|The perfect apartment for showcasing your rewards and purchases.|Private|nDreams Ltd.|1.75.0.85.PUB|Home|10|L|Aurora_Trophy_Apt_F843_B9D|T002|||Home|||0||12397648|||trophyapartment_001 aurora_trophy_apt_f843_b9d.scene|aurora_trophy_apt_f843_b9d_T032.sdc|||||
