folderName|niceName|niceDesc|category|maker|hdkVersion|PremiumOrReward|fileCount|PreferredThumbnail|SceneID|TxxxVersion|Author|Comment|type|sha1|flags|uuidcount|uuids|size|timestamp|Keywords|config|desc|ChannelID|product_id_SCEE|product_id_SCEA|product_id_SCEAsia|product_id_SCEJ
2013Apl_City1_SCEA_FF6A_46C0|Shinjuku Station Front|The west side of Shinjuku Station where the fiendish Kikai soldiers act like they own the place. Humanity s counterattack starts here. Defeat the Kikai soldiers and move ahead.|Public||1.75.0.85.PUB|Game16Space|117|L|2013Apl_City1_SCEA_FF6A_46C0|T005|||Game16Space|||15|06A2D1C0-B4864C14-8094B5DD-0489DA36,07D1EE65-D378448A-A0B93523-2B7C920F,18CA50DE-20C14205-96C7D7DC-C345CE8F,1B4C8997-E7C44458-92B2758C-AB7852A5,1FDED06D-C0FE40C6-8B05FAB3-BB3C06ED,2132E16E-DF9346E1-9E30AC79-8BE28F14,237D6D56-3A584127-BF58A1C4-37FE2DA9,257F3274-004148F4-98CE1256-103831A9,280BB251-6CDB451D-A100B26C-38948C36,2A164EF2-B29D4038-8471090D-A2F3663E,31109357-E8F64578-8F6D8257-5BCA3D22,3675E0C2-40224708-BB934066-843575DA,7F7A6D0A-9CE84D3C-ACFCA76B-1CBD3CE4,86228FEF-19CF468C-B2F2ED57-E76E4046,AF9941EC-5F724CB4-B46AFBBE-3444DDC1|35017908|||Shinjyuku soft_us_00 Shinjyuku_01_us_01.scene|Shinjyuku_01_us_01_T035.sdc|||||
2013Apl_City1_SCEE_B916_3F7B|The Secret Base.| A secret base you can enter from a stone statue in the Southern Island Hideaway lounge. Apparently, it s mankind s last hope. |Public||1.75.0.85.PUB|Game16Space|120|L|2013Apl_City1_SCEE_B916_3F7B|T002|||Game16Space|||11|13FC6CA5-DA174877-8CCB12BB-877F49EF,15B8F4F8-4B75429B-99E8BE3A-9C58254C,192F9099-C171491E-93D5F9AF-6A21379D,20716B16-251B44E5-A50978B4-39A85BB4,23A343E5-A0D246CD-9F274220-80F2B94E,2592B653-8BEF461D-8D88301B-A2170852,45C777A5-F9654CC6-8A348FCD-A06CA71C,7D7F4589-44324AFC-A6C2F5CF-56A3892A,802EA9A4-6E61477B-92F50874-49161663,B9D8614D-27F44379-B410768F-6F134D4F,BB270111-130A425A-B2EFD07B-7359A2BD|19397748|||Himitsukichi soft_eu_00 Himitsukichi_eu_02.scene|Himitsukichi_eu_02_T032.sdc|||||
2013Apl_City2_SCEA_BD38_46C|Shinjuku Intersection|Warriors of the self-defence troops that struggled through the attack on Shinjuku Station. The empire s attack is heating up in this intersection.|Public||1.75.0.85.PUB|Game16Space|104|L|2013Apl_City2_SCEA_BD38_46C|T005|||Game16Space|||15|06A2D1C0-B4864C14-8094B5DD-0489DA36,07D1EE65-D378448A-A0B93523-2B7C920F,18CA50DE-20C14205-96C7D7DC-C345CE8F,1FDED06D-C0FE40C6-8B05FAB3-BB3C06ED,237D6D56-3A584127-BF58A1C4-37FE2DA9,257F3274-004148F4-98CE1256-103831A9,280BB251-6CDB451D-A100B26C-38948C36,2A164EF2-B29D4038-8471090D-A2F3663E,2F0BDF80-1BF844C6-83BE33F9-EFA9816A,31109357-E8F64578-8F6D8257-5BCA3D22,3675E0C2-40224708-BB934066-843575DA,37582B45-8C7B4B02-BEFCDD15-F68B6519,7F7A6D0A-9CE84D3C-ACFCA76B-1CBD3CE4,86228FEF-19CF468C-B2F2ED57-E76E4046,AF9941EC-5F724CB4-B46AFBBE-3444DDC1|36119000|||Shinjyuku soft_us_00 Shinjyuku_02_us_01.scene|Shinjyuku_02_us_01_T035.sdc|||||
2013Apl_City2_SCEE_2F44_E476|Shinjuku Intersection|Warriors of the self-defence troops that struggled through the attack on Shinjuku Station. The empire s attack is heating up in this intersection.|Public||1.75.0.85.PUB|Game16Space|104|L|2013Apl_City2_SCEE_2F44_E476|T002|||Game16Space|||15|081510C9-9B574D5F-957CBA96-066E619E,192F9099-C171491E-93D5F9AF-6A21379D,20716B16-251B44E5-A50978B4-39A85BB4,23A343E5-A0D246CD-9F274220-80F2B94E,2592B653-8BEF461D-8D88301B-A2170852,28FADD0C-4F3E4E2B-84F561B9-F56E8BB5,2BCEB76A-D7AA4236-99415C81-DF44E9E3,308D14A5-FE39427E-B6F991F5-DDE142DF,34C5533D-FDDE4DCF-8D0E7A11-407FF86C,367D59C5-EB134EBB-9EBC6C02-9E488E57,37633BCD-47E04F68-9A2D31B8-3F2577CE,802EA9A4-6E61477B-92F50874-49161663,86EEC909-610A4465-85007995-2A6CC825,B9D8614D-27F44379-B410768F-6F134D4F,BB270111-130A425A-B2EFD07B-7359A2BD|36118712|||Shinjyuku soft_eu_00 Shinjyuku_02_eu_01.scene|Shinjyuku_02_eu_01_T032.sdc|||||
2013Apl_City3_SCEA_EAE0_F63C|Shinjuku Tokyo Government Office|Once they pass through the intersection, they arrive in front of a government office. A giant flying object hovers ominously above the buildings. It s time to board the enemy s flying object. Come on, let s go.|Public||1.75.0.85.PUB|Game16Space|97|L|2013Apl_City3_SCEA_EAE0_F63C|T005|||Game16Space|||15|06A2D1C0-B4864C14-8094B5DD-0489DA36,07D1EE65-D378448A-A0B93523-2B7C920F,18CA50DE-20C14205-96C7D7DC-C345CE8F,1FDED06D-C0FE40C6-8B05FAB3-BB3C06ED,237D6D56-3A584127-BF58A1C4-37FE2DA9,257F3274-004148F4-98CE1256-103831A9,280BB251-6CDB451D-A100B26C-38948C36,2A164EF2-B29D4038-8471090D-A2F3663E,31109357-E8F64578-8F6D8257-5BCA3D22,3675E0C2-40224708-BB934066-843575DA,37E3B4E3-32B448AB-B2AD1541-13299A0B,49E362B3-E3B04752-94F83672-3D93A5E4,7F7A6D0A-9CE84D3C-ACFCA76B-1CBD3CE4,86228FEF-19CF468C-B2F2ED57-E76E4046,AF9941EC-5F724CB4-B46AFBBE-3444DDC1|36273536|||Shinjyuku soft_us_00 Shinjyuku_03_us_01.scene|Shinjyuku_03_us_01_T035.sdc|||||
2013Apl_City3_SCEE_8586_9627|Shinjuku Tokyo Government Office|Once they pass through the intersection, they arrive in front of a government office. A giant flying object hovers ominously above the buildings. It s time to board the enemy s flying object. Come on, let s go.|Public||1.75.0.85.PUB|Game16Space|97|L|2013Apl_City3_SCEE_8586_9627|T002|||Game16Space|||15|081510C9-9B574D5F-957CBA96-066E619E,192F9099-C171491E-93D5F9AF-6A21379D,20716B16-251B44E5-A50978B4-39A85BB4,23A343E5-A0D246CD-9F274220-80F2B94E,2592B653-8BEF461D-8D88301B-A2170852,28FADD0C-4F3E4E2B-84F561B9-F56E8BB5,2BCEB76A-D7AA4236-99415C81-DF44E9E3,34C5533D-FDDE4DCF-8D0E7A11-407FF86C,367D59C5-EB134EBB-9EBC6C02-9E488E57,38287537-60154575-A9F514A8-41B1CA19,4BC1092D-CC834091-92811C5D-C3C4059E,802EA9A4-6E61477B-92F50874-49161663,86EEC909-610A4465-85007995-2A6CC825,B9D8614D-27F44379-B410768F-6F134D4F,BB270111-130A425A-B2EFD07B-7359A2BD|36273236|||Shinjyuku soft_eu_00 Shinjyuku_03_eu_01.scene|Shinjyuku_03_eu_01_T032.sdc|||||
2013Apl_Ship1_SCEA_6168_6360|UFO Rear Section|They have finally boarded the Kikai Machine Empire s mothership. The warriors have no choice but to move forward.|Public||1.75.0.85.PUB|Game16Space|66|L|2013Apl_Ship1_SCEA_6168_6360|T005|||Game16Space|||16|06A2D1C0-B4864C14-8094B5DD-0489DA36,07D1EE65-D378448A-A0B93523-2B7C920F,18CA50DE-20C14205-96C7D7DC-C345CE8F,1FDED06D-C0FE40C6-8B05FAB3-BB3C06ED,237D6D56-3A584127-BF58A1C4-37FE2DA9,257F3274-004148F4-98CE1256-103831A9,280BB251-6CDB451D-A100B26C-38948C36,2A164EF2-B29D4038-8471090D-A2F3663E,31109357-E8F64578-8F6D8257-5BCA3D22,3675E0C2-40224708-BB934066-843575DA,3D660910-8619448B-AB016176-EF662D05,4D90416F-951C483D-9DCB4FB6-527BB15D,7976C27B-7A15476A-8D074C72-A8F0975C,7F7A6D0A-9CE84D3C-ACFCA76B-1CBD3CE4,86228FEF-19CF468C-B2F2ED57-E76E4046,AF9941EC-5F724CB4-B46AFBBE-3444DDC1|17177048|||Hikoubuttai soft_us_00 Hikoubuttai_map01_us_00.scene|Hikoubuttai_map01_us_00_T035.sdc|||||
2013Apl_Ship2_SCEA_642E_A423|UFO Front Section|Warriors of the self-defense troops that sally forth into the giant UFO. What awaits them at the end..|Public||1.75.0.85.PUB|Game16Space|47|L|2013Apl_Ship2_SCEA_642E_A423|T002|||Game16Space|||17|06A2D1C0-B4864C14-8094B5DD-0489DA36,07D1EE65-D378448A-A0B93523-2B7C920F,18CA50DE-20C14205-96C7D7DC-C345CE8F,1FDED06D-C0FE40C6-8B05FAB3-BB3C06ED,237D6D56-3A584127-BF58A1C4-37FE2DA9,257F3274-004148F4-98CE1256-103831A9,280BB251-6CDB451D-A100B26C-38948C36,2A164EF2-B29D4038-8471090D-A2F3663E,31109357-E8F64578-8F6D8257-5BCA3D22,3675E0C2-40224708-BB934066-843575DA,3FFC44C6-5C70473E-AAAF558C-348803E8,50995C91-CCCD4321-B33449D2-2BFCA009,5A414464-BCE04D8A-BB4C2A60-0BC091EC,70AFBDAC-AF144985-86717F76-F6AE8EE9,7F7A6D0A-9CE84D3C-ACFCA76B-1CBD3CE4,86228FEF-19CF468C-B2F2ED57-E76E4046,AF9941EC-5F724CB4-B46AFBBE-3444DDC1|18587800|||Hikoubuttai soft_us_00 Hikoubuttai_map02_us_00.scene|Hikoubuttai_map02_us_00_T035.sdc|||||
2013Apl_Ship2_SCEE_705C_6914|UFO Front Section|Warriors of the self-defense troops that sally forth into the giant UFO. What awaits them at the end..|Public||1.75.0.85.PUB|Game16Space|47|L|2013Apl_Ship2_SCEE_705C_6914|T002|||Game16Space|||17|081510C9-9B574D5F-957CBA96-066E619E,192F9099-C171491E-93D5F9AF-6A21379D,20716B16-251B44E5-A50978B4-39A85BB4,23A343E5-A0D246CD-9F274220-80F2B94E,2592B653-8BEF461D-8D88301B-A2170852,28FADD0C-4F3E4E2B-84F561B9-F56E8BB5,2BCEB76A-D7AA4236-99415C81-DF44E9E3,34C5533D-FDDE4DCF-8D0E7A11-407FF86C,367D59C5-EB134EBB-9EBC6C02-9E488E57,4009354D-13FD45F6-8E05B778-8415B564,53866348-4E5F40E3-927BF0BD-99936744,5D78425D-6EB84A7D-AAC0A371-11D96813,70E80A34-CFBE4F37-AB9E8D7E-18072C9E,802EA9A4-6E61477B-92F50874-49161663,86EEC909-610A4465-85007995-2A6CC825,B9D8614D-27F44379-B410768F-6F134D4F,BB270111-130A425A-B2EFD07B-7359A2BD|18587780|||Hikoubuttai soft_eu_00 Hikoubuttai_map02_eu_00.scene|Hikoubuttai_map02_eu_00_T032.sdc|||||
2013Apl_base_SCEA_F852_6E50|The Secret Base.| A secret base you can enter from a stone statue in the Southern Island Hideaway lounge. Apparently, it s mankind s last hope. |Public||1.80.0.53.PUB|PublicLobby|120|L|2013Apl_base_SCEA_F852_6E50|T009|||PublicLobby|||11|07D1EE65-D378448A-A0B93523-2B7C920F,1315E6FC-F5834ED7-BCF8FBD4-4F3B4BCB,15A6FB3A-E77945D7-AB8E2586-C12B68E7,18CA50DE-20C14205-96C7D7DC-C345CE8F,1FDED06D-C0FE40C6-8B05FAB3-BB3C06ED,237D6D56-3A584127-BF58A1C4-37FE2DA9,257F3274-004148F4-98CE1256-103831A9,44C44EF2-AB744A50-95BFB787-E734A31E,7D53FC13-BFEC4880-A07AA257-299ED833,7F7A6D0A-9CE84D3C-ACFCA76B-1CBD3CE4,AF9941EC-5F724CB4-B46AFBBE-3444DDC1|19403484|||Himitsukichi sot_us_00 Himitsukichi_us_02.scene|Himitsukichi_us_02_T039.sdc|||||
